,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.759044298601886,0,0,0,0,0,0.00543892486581107,0,0,0,0,0,0.0288082946982408,0.000204947629029145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175099051413161,0,0,0,0,0,0,0.00162698993646315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000878411231366046,0.00744349257458284,0,0,0,-0.0309403180424601,0,0
X601088.SH,0,0,0,0,0.499167922661348,0,0,0,0,0,0,0,0.0489620647455492,0,0,0,0,0,0,0,0,0,0,0.01876438332821,0,0,0,0.102966244230188,0,0,0.0486927226286824,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0183602181896888,0,0,0,0,0.018726466327295,0,0
X600028.SH,0.332802247566362,0,0,0,0.0325428462413577,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.123336685275466,0,0,0,0,0,0.0480969178969893,0,0,0,0,0,0,-0.0719151555421096,0,0,0,0,0,0,0,0.163300916185584,0,0,0,0,0,0,0,0,-0.0220212158306376,0,0,-0.0381171088150547,0,0,0,0,0
X600309.SH,0,-0.0304874026955664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219847712577464,0,0.22820218801292,0,0,0.128945552429758,0,0,0,0,0,0,0,0,0,0,0,0.126434853957512,0,0.0751075872355961,0,0,0,0,0,0.00794234296700316,0,0.0126484324491336,0,0,0,0,-0.0821673952120441,-0.019648249984134,0.00653732515009745,0,0,0,-0.00206409847918439,0,0
X601898.SH,0,0.640930221242205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131677330426437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134035458581709,0,0,0,0.0317434198345593,0,0,0,0,0,0,0,0.0243600692054726,0,0,0,0,-0.0203987703436936,0,0
X600188.SH,0,0,0,0,0.122170308407753,0,0,0.0392633439134899,0,0,0,0,0,0,0,0.00842802434924621,0.142021275263701,0,0,0,0,0,0,0,0,0,0,0.0544281743934483,0,0,0.123044073972763,0.0827732824631808,0,0,0,0,0,0,0.0717564812715312,0,0,0,0,0.0765993506214105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.275083648133837,0,0,1.73472347597681e-18,0,0,0,0.172624625425997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135477037991746,0,0.128923536360968,0,0,0,0.0564783818114785,0,0,0,6.93889390390723e-18,0,0,0.0552828150728362,0,0,-0.024366972246519,0,0,0,0,0,0,0.0143364382558822,0,0,0,0,0,0.0152118679268854,0.00376386005207071,0,0,0,-0.00415698246687719,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218217157032318,0,0,0,0,0,0,0.210849983873836,0,0,0.0739339692306316,0,-0.101379142151603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024970358848978,-0.150964709132476,0,-0.00118353594249146,0,0,0,0,0,0,-8.67361737988404e-19,0,0.148427960545908,0,-0.0226665349563108,0,0
X601600.SH,0,0,0,0,0,0,0.132980601272486,0,0,0,0,0,0,0,0,0,0,1.06506269963161,0,0,0,0,0,-0.164254976124763,0,0.0906532156210668,0,0,0.0626558013242996,0,0,0,0,0,0,-0.299511815379474,0,0,0,0,0,0,0.160981750851343,0,0,0,0,0,0,0,-0.0085661767429821,-0.00585385023815795,0,0,0,0,-0.109134402006344,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0812987264061298,0.0331297258241759,0,0,0,0,0.0400384073905646,0,0,0,0,0,0,0.185879701856219,0,0,0,0,0,0.0866303725257173,0,-0.0878757218546866,0,0.134131592897028,0,0,0,0,0,0,-0.00129102959194486,0,0,0,0.0167251792656236,0,0
