,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600010.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X601158.SH,X600547.SH,X000898.SZ,X600489.SH,X600352.SH,X000709.SZ,X000792.SZ,X002353.SZ,X000883.SZ,X000831.SZ,X000539.SZ,X000630.SZ,X000629.SZ,X600808.SH,X000027.SZ,X000825.SZ,X600660.SH,X600549.SH,X600008.SH,X600578.SH,X601699.SH,X000983.SZ,X600315.SH,X600863.SH,X600307.SH,X002470.SZ,X600098.SH,X000937.SZ,X600348.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.397339545445653,0,0,0,0,0,0.0126476437242685,0.0182092860669378,0,0.132898500326698,0,0.13258413789614,0,0,0,0,0.104464212759675,0,0,0,0,0,0,0,0,0,0,0,0.0672684177750159,0,0,0,0.0121684581821789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0422418300464637,-0.00316220404526636,0,0,0,0,0,0
X600028.SH,0.534604292371171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344939489977249,0,0,0,0,0.00156727262517471,0,0,0,0,0,0,0,0,0,0,0,0.0249593852111895,0,0.0858590733562158,0,0,0,0,0,-0.0428383356927902,0,0,0,0,0,0,0,-0.0390253166748029,-0.0101985364716161,0,0,0,0,0,0
X601088.SH,0,0.0750902892258944,0,0,0,0,0.0950145322668414,0,0,0,0.0333729188656758,0,0.127027976255447,0,0,0,0.0745230004799391,0,0,0,0,0,0,0,0,0.0776106198797636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377134238572333,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,-0.00301579916579805,0,0,0,0,0,0
X600011.SH,0,0.08661842217876,0,0,0,0.125239139526003,0,0.153508209322628,0,0,0.268486001362509,0.0434461317218867,0.0785478973425828,0,0,0.054124231732006,0,0,0,0,0,0,0,0,0,0.0517484716544825,0,0,-0.0172097871411462,0,0,0,0,0,0.0118948902570594,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.00122486409623423,0,0,0,0,0,0
X600585.SH,0,0.128853337851318,0.0579294421311441,0,0,0,0,0.132206582302895,0,0,0,0.0567892707646575,2.0532009974635e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278913309241221,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.192394110540265,0,0,0,0,0,-0.00243380359477927,0,0,0,0,0,0
X600019.SH,0,0,0,0.0680898828353548,0,0,0,0,0,0,0.0871894918427218,0.0573359984628475,0,0,0,0,0,0,0,0,0,0,0.438145770917467,0,0,0.158446665301552,0,0,0,0,0,0,0,0,0,0,0,0,-0.00779619802337573,0,0,0,0,0,0,0,0,0,0,0,0,-0.0668523335994471,-0.0182043764809269,-0.0244106374837948,0,0,0,0,0
X601898.SH,0,0,-6.93889390390723e-18,0,0,0,0,0.0851270938804361,0.0826449566944084,0,0,0.0117480628412016,0.0358025242083666,0,0,0.0443287229019384,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.162531495091642,0,0,0,0,0,0,0,0,0.476667738142203,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-0.00190026530700574,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0336475114076321,0.114161977753249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608895422611352,0,0,0,0.0952616060512827,0.0688525935689228,0,0,0,0,0,0,0,0,0,0,0,-0.0684859676382379,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.233658948718259,0.167932468792444,0,0.12125563285946,0,0,0,0.165137673100399,0,0.0273413562809881,0,0,0,0,0,0,0.0532895699499563,0.0700297753656555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272099716338475,0,0,0,0,0,0
X600795.SH,0,0.0603322234979272,0,0,0,-1.73472347597681e-18,0,0,0.0472816907260285,0,0.222579673369649,0,0,0,0,0.0842384829246611,0,0,0,0,0,0,0,0,0,0.0930742564667434,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343913722622444,0,0,0,0,0,0
