,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X601898.SH,X600010.SH,X601600.SH,X601991.SH,X600795.SH,X600188.SH,X600886.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X601992.SH,X600583.SH,X600309.SH,X000709.SZ,X000898.SZ,X600157.SH,X600352.SH,X601158.SH,X000792.SZ,X600660.SH,X000027.SZ,X600808.SH,X000629.SZ,X600547.SH,X000539.SZ,X600489.SH,X002353.SZ,X600008.SH,X600021.SH,X000060.SZ,X000825.SZ,X002470.SZ,X000831.SZ,X600307.SH,X600219.SH,X000630.SZ,X600549.SH,X600315.SH,X600578.SH,X601699.SH,X000959.SZ,X002004.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.472514782570987,0,0,0,0,0,0,0.0383447563240044,0,0,0.0189573895208638,0.1849551602715,0,0,0,0,0,0,0.0586241437183653,0,0,0,0,0,-0.013003172786923,0,0,0,0,0.0736007036155774,0,0,0,0,0,0,0,0,0.0588016907253586,0,0,0,0,0,0,0,0,0,0,0.0188898324144525,0.0170583502200178,0,0,0,0,0,0
X600028.SH,0.352973947582038,0,0,0,0,0.164947181996233,0,0.0217908653383653,0.136331430474983,0,0,0,0,0,0,0.0283827253720415,0,0.0249221241164424,0.133194599686618,0,0,0,0,0,0,-0.0686557696595812,0,0.128367953498705,0,0,0,0,0.0349126785619986,-0.037091201374811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113089616642667,0,0,0,0,0,0
X601088.SH,0.0630350290793411,0,0,0,0,0,0.193889146390505,0,0,0,0,0.151001064770835,0,0,0,0.0507349067605413,0,0,0,0.00661901454997281,0,0,0,0,0,0.0425895281061242,0,0,-0.0409282720367879,0,0.00762513896262594,0,0,0,0,0.0111269300622102,0,0,0,0.0399781326922432,0,0,0.04895675035594,0,0.0349133953082428,0,0.369602749823087,0,0,0,0.0284030067586985,2.16840434497101e-19,0,0,0,0,0,0
X600585.SH,0,0.0368183787513086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181484864072421,0.32567116880743,0,0.00403551286118942,0,0,0,0,0,0,0,0,-0.0495513241684262,0,0,0,0.00214319402895016,-0.00527120889333696,0,0,0,0,0.0094289446914878,0,0,0,0,0,0.208420640010242,0.050725773615489,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0739270355552759,0,0.0500074930235194,0,0,0,0,0,0,0,0.0108970022646354,0.240376314214711,0,0,0,0,0,0,0,0,0,0.206328016152414,0,0,0,0,0,0,0,0,0,-0.013585944366736,0,0,0,0,0.109513533233718,0.109950572124704,0,0,0,-0.0285223348808207,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.122204574480249,0,0.00578018529418056,0.26482483287316,0,0,0,0,0,0.299882586070794,0,0.0708954703189475,0,0,0.148827232727282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0.301455721630027,0,0,0,0,0,0.193932085748925,0,0,0.0354247713743997,0.088501187381114,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.00330730869209653,0,0,0,0,0,0,0,0.10106969429492,0,0,0,0,0,0,0,0.122648535571019,0.0162714758110803,0,0,0,0,0.00487841909291508,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.341254393549436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1023762698197,0,0,0.148172365169574,0,0,0,0.0997664315221163,0,0,0,0,-0.0258477917368443,0,0,0.0318657040453391,0.0576901877378989,0,0.0325729434568595,0.312373060439481,0.116059465930005,0.111946171292006,0,0,0.0487857912244083,0,0,0.0221116073790332,0.0428489141439513,-0.256768928161081,0,0,0.13730780171556,0,0
X601600.SH,0,0,0,0,0,0,0.268499248235085,0,0,0,0,0,0.181304921548514,0,0.234800578221749,0.0315658124333319,0.209405950027922,0.0120267162927727,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.148535913993256,0,0.0388683995184232,0,0,0,0,0.0679971807137164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,-0.0126310619058392,0.269791987110392,0,0.194247665891323,0,0.0859291742714143,0,0,0,0.101167024260938,0,0,0.032877600073032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571284821986628,0,0.188064601597679,0,0,0,0,0,0.0988521031304354,0,0,0,0,0,0,0,0,-0.0146668594027071,0,0,0,0,0,0,0
