,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X600489.SH,X000709.SZ,X601158.SH,X000792.SZ,X600352.SH,X002466.SZ,X600583.SH,X600309.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000629.SZ,X000630.SZ,X000027.SZ,X002075.SZ,X000959.SZ,X000060.SZ,X000983.SZ,X600021.SH,X300072.SZ,X002470.SZ,X600022.SH,X600176.SH,X601699.SH,X600578.SH,X600315.SH,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.17563501134835,0,0,0,0,0,0,0,0,0,0,0,0,0.0400002976638666,0,0,0,0,0,0.0341545678305836,0,0.02600855388201,0.055992682727279,0,0.0521826138956964,0,0,0.067646637109131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154266598035398,0,-0.0123586075802501,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0288094321814565,0.159368850911335,0.0749418984031349,0,0,0,0,0,0.0284056795498844,0,0,0,0,0,0.0138487625768512,0,0,0,0,0,0.0116738172703909,0,0,0.0997830241789008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0345243358451115,0,0,0,0,0.00694893057709778,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.515228394597368,0,-8.67361737988404e-19,0,0,0,0.133364157155405,0,0,0,0,0.0327051601123571,0.00633206492334722,0,0,0,0,0,0,0.0377937255969371,0,0,0,0,0,0,0,0.0767618192134388,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0141354254537001,0,0.0354808401541617,0,0,0,0,-0.0105929697105547,0,0,0,0,0,0,0
X600011.SH,0,0,0.18667146651981,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.12402782281041,0,0,0,0,4.33680868994202e-19,0,0,0,0.0139890729775117,0,0,0,0,0.025540661389366,0,0,0,0,0,0,0.011415469803928,0,0.0497865886073883,0,0,0,0,0,0,0,0,0,0,0.194487122657051,0,1.35525271560688e-20,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31188780258014,0,0.0684331352636322,0,0,0,0,0,0,0,0.00448177815842688,0,0,0,0,0.0828425082646362,0,0,0.148800947225249,0.0268417448699812,0,0.0235444837114868,0.0326790125274898,0.126617626637757,0,0.07716381431335,0,0,0,0,0,0,0,0,0,0,-0.00719519482559937,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369519302305693,0,0,0,0,0,0,0,0,0,0,0,0,0.412162692660096,0,0,0,0,0,0,0.0555365791076603,0.00362186611810658,0.0776804455190569,0,0,0,0.370542965914159,0,0,0,0,0,0,0.0182654309659463,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0378797855749608,0,0.13153374295565,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.14330821064605,0,0.0151759113698537,0,3.46944695195361e-18,0,0,0.0972483355167843,0,0,0,0.0809219921244605,0,0.015059162024039,0,0,0,0.0687510707711616,0,0,0,0,0,0,-0.0445781817590309,0,0,0,0,0,0,0
X601898.SH,0,0,0.013267167090647,0,0.058380536077384,0.0155840572347972,0,0,0,0,0,0,0,0,0,0,0,0,0.125775640312901,0.0293911090850603,0.103017136339012,0,0,0,0,0,0,0,0,0,0,0.189991792172301,0,0,0.119282802546271,0,0,0,0,0,0.0196082568381656,0,0,0,0.0880022412302099,0,0,0,0,0.131640898777965,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.122312950993464,0,0,0,0,0,0,0.128153984507965,0,0,0,0,0.012004747969961,0.100744282367108,0,0,0,0.0450361533069454,0,0,0,0,0,0,0.00824826517193217,0,0,0,0,0,0,0,0.214907553116054,0.0351856179293261,0.0677250825243916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684142952181655,0,0,0,-6.93889390390723e-18,0,0,-0.0302409286763337,0.0767865799032781,0,0,0,0,0.0291233379050395,0,0,0,0,0,0,0,0,0,0,0,0.0988233723694448,0,0.167416662271732,0,0,0.380195651922482,0,0.0758847875103751,0,0.00606964443009841,0,0,-0.0303456163511552,-0.041888690324592,0.184167761796259,0,0,0,0,0
X600795.SH,0,0,0,0,0.0506398257427203,0,0,0,0,0,0,0,0,0,0.111766006099148,0,0,0,0.0817176578404886,0,0.010514597531762,0,0,0,0,0,0,0,0.0330199568994316,0.156205690085284,0,0,0,0,0.0787273605979199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168767184780294,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0.0207975028135905,0,0,0,0,0,0,0,0,0,0,0,0,0.032000571433893,0,0,0,0,0,0,0,0,0,0,0.11442786136702,0,0,0.203118211083857,0,0.0461639727029528,0,0.100967755200618,0.0107734017533243,0,0,0,0.115630116451096,0,0,0.0807413760959792,0,0,0,0,0.0681923047916464,0,0,0,0,0,0,0,0,0
X600027.SH,0,0,0,0.161603952986489,0,0,0,0.0974969696162495,0,0,0,0.31829502972084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603736931722843,0,0,0,0,0.00398176815144775,0,0,0,0.00333125790799287,0.0717865803500514,0.0238705407044286,0,0,0,0,0,0,0,0,0.171025322973867,0,-0.000501561869715285,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.0630472687843984,0,0,0,0,0.107102868421685,0,0.299052986201424,0.105509329992003,-0.104642059681418,0,0,0,0,0,0,0,0.123571219280185,0.268567257783905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645979440376313,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,-4.33680868994202e-19,0,0,0.118888362596434,0.171544828439509,0,0,0,0,0,0,0,0,0,0,0.0976579387611496,0,0,0,0,0.113312588886072,0,0.0604679736990545,0,0,0,0,0,0,0,0,0,0,0.0627493708395823,0.143754487354999,0.0650628048624643,0,0,0,0,0,0,0.167583277605902,0,0,0,0,-0.0285302625314567,-0.00580547912536532,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0.204595044000743,0,0,0,0,0,0,0,0,0.256552819012118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230022666330051,0,0,0,0,0,0,0,0.214561498988797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00926022866202683,0,0,0,0,0,0,0
