,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600623.SH,X600027.SH,X600188.SH,X600157.SH,X600111.SH,X600362.SH,X601992.SH,X600886.SH,X600547.SH,X002466.SZ,X600299.SH,X600660.SH,X600309.SH,X000709.SZ,X600489.SH,X601158.SH,X000792.SZ,X600583.SH,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000883.SZ,X000983.SZ,X000027.SZ,X000630.SZ,X000723.SZ,X000629.SZ,X600549.SH,X002470.SZ,X002460.SZ,X000012.SZ,X600176.SH,X000060.SZ,X600021.SH,X002407.SZ,X000959.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0352177922597452,0,0.0638025641440197,0,0,0,0.00483965531557905,0,0,0,0.0387294871856955,0,0,0,0,0,0,0,0.195461375316947,0,0,0,0,0.108229671563339,0,0,0,0,0,0,0,0,0,0,0.00444676510811792,0,0,0,0.029811524446318,0,0,0,0,0,0,0.0120539702103495,0,0,0,0,0,0,0
X600028.SH,0.308601886271975,0,0,0,0,0,0,0.0881302029906643,0,0,0,0,-2.71050543121376e-20,0,0.0498738884405068,0,0,0.0620168950948887,0,0,0,0,0,0,0.00970296237370882,0,0,0,0,0.134459213491796,0,0.0401909776010692,0,0,0,0,0,0,-0.0361227958996502,0,0.00373121182630392,0,0,0,0.00387464001224662,0,0,-0.0172350787481383,0,0,0,0.00598793564113236,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.196548846826448,0.0220621680301109,0,0,0,0,0,0,0,0,0,0.00155735062399198,0,0,0,0,0,0,0.12759424634462,0,0,0,0.0620421037723172,0,0,0,0,0,0,0.0395222565581544,0,0,0.0843825810279779,0.191041883418792,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.0251056306029625,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708244478670288,0,0,0,0,0,0,0,0.00805444486310439,0,0,0,0,0,0,0.119591298325584,0.169242009244696,0,0,0,0,0.0177559764102598,0,0,0,-5.42101086242752e-20,0,0,0,0.0474482383474172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0399918317207464,0,0,0,0,0,0,0.25650468109637,0.0200798944711521,0,0,0.0301137916427392,0,0,0,0,0.169966112280026,0,0,0.0709190769472705,0,0,0,0.206783266045368,0,0,0,0,0,0,0.0464549768864604,0,0,0.0288093982049186,0,0,0.0377984916301038,0,0,0,0.00243426302224314,0,0.00467802830863425,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0110563581839217,0.15752599207477,0.208142310611469,0,0,0,0,0,0.034276474774178,0,0,0,0,0,0,0,0,0,0,0,0,0.212701414837659,0,0,0.0210281090660227,0,0,0,-1.73472347597681e-18,0,0,0,0.00219935467430627,0.0351230813556314,0,0,0,0,0,0,0,0,0,0,0.0644697030751696,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0228408879570035,0,0,0,0.0929653486254319,0,0,0.0640217209971956,0,0,0,0,0,0,0,0,0,0.0324362580732768,0,0,0,0,0,0.00298179662206207,0.122490213525726,0,0.131127310912739,0,0,0,0,0,0,0,0,0.119982759510454,0,0,0,0,0,0,0,0,0,0,-0.0411043231082766,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.0225667233774973,0,0,0,0,0.0595767688680773,0.16942165216052,0,0,0,0,0,0,0.126577473160875,0,0,0,0,0.339231033269699,0,0,0,0.000738668605588756,0,0,0,0,0,0,0,0.0215674888121586,0.0174000269595403,0,0,0,0,0.111223017218646,0,0,0,0,0,-0.060691550670792,0.00181166024611087,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223453658061109,0.0855564623507704,0,0,0,0,0,0.152350839559901,0,0,0,0,0,0.195360652909418,0.197178261639648,0,0,0.0651687631976787,0,0,0,0,0,0.0332415062357327,0.0946478430763412,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681371404510234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104759398240651,0,0,0,0,0,0,0.216650325755071,0,0.246070061910974,0,0.0447644147306449,0,0,0.0909600792194595,0,0,0,0,0,0.025980921034194,-0.00887353601360503,0,0.319805554366689,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.133656146490729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105294719908524,0,0,0,0,0,0,0,0.209835681037914,0,0.0836983536619766,0.0149489265232113,0,0,0,0,0,0.121282225502354,0.0103211785198395,0.0564530898642924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711106903319086,0,0,0,0,0,0,0,0,0.0198915104941277,0,0,0,0.00315425342113942,0.0760957690480624,0,0.028224453080242,0,0,0,0.0535911957159275,0.296433448987054,0,0,0,0,0,0.0293232750519523,0,0,0,0.126233281506122,0,0,0.0841803966371258,0,0,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0742257767814873,0,0.082732509023888,0,0,0,0.134554350008379,0,0,0,0,0,0,0,0,0.514704213753463,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0643236901759191,0.247438919656416,0,0,0.0442258211082027,0,0,0,0,0,0,0,-0.0359161827308842,0,0,0.200611208820586,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112955618524132,0.167489450294889,0,0.0791116743593135,0,0,0,0,0,0,0,0,0.0276350552964759,0,-8.67361737988404e-19,0,0,0,0,0.0677057160168024,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.0752227187212002,0,0.112366788264116,0,0,0,0,0,0,0,0.191437022205415,0,0,0,0,0,0,0,0,0,0,0.110138002109369,0,0,0,0,0,0,0.486200382948951,0,0,0,0,0.0117284551227208,0,0,0,0,0,0,0,0.0825680477655488,0,0,0.0231785371373873,-0.086183420399781,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.272227204909183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055288473090605,0,0,0,0,0,0.0407469688604959,0,0,0.0394558619292815,0,0,0,0.00155082575338832,0.201181002917446,0,0.0143733344323326,0,0,0,0.0819671246944302,0,0,0,0.0552951367458697,0.0517044552417596,0,0,0,0.0181709364810225,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.156494738550792,0,0.0368217883329038,0,0,0,0,0,0.0164801536645621,0,0,0,0,0,0,0,0,0,0,0,0.0619697968806121,0.0962166625973221,0.047330877884017,0,0,0.0353844137227215,0,0.077571470428191,0.0562224186238975,0,0,0,0.0870347534609551,0,0,0,0.243741517642934,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0373481019703726,0,0,0,0.138054246346366,0,0,0,0,0.0299072697510227,0,0,0,0,0.190973726710382,0,0,0.094749433233316,0,0,0,0,0,0,0,0.0974251272908311,0.00706537924210006,0,0,0,0,0.317876630209859,0,3.46944695195361e-18,0,0,0,0,0,0,0.0202587891894986,0,0.252240526578162,0,0,0,0
X601992.SH,0,0,0,0,0,0,0.020252141986821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392258599346603,0,0,0.192586044037986,0,0,0,0,0.0311824672318351,0.100613587758228,0,0,0,0,0,0.136837340688493,0,0,0.106120221154276,-0.0430410074342761,0,0,0,0,0,0,0.0993753663435037,0,0,0,-0.0428320349294041,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0.0330939086671695,0,0,0,0,0.127578466230241,0,0,0,0,0,0,0,0.0115621377490758,0,0,0,0,0,0,0.0496158984145198,0.140169872743621,0,0.202534870485235,0,0,0.0493280044436586,0,0.0543437874924868,0,0,0.0213368804906691,0.0308968058895564,0,0.0137727358111541,0,0,0,0,0,0,0,0,0.00738456788445354,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0708810411465494,0,0,0,0.051898317464915,0,0,0,0,0.0117424283108754,0,0,0,0,0.941854771373579,0,0,0,0,0,0,0,0,0,0,0,0,0.0358217948488316,0,0,0.0619397474739107,-0.0363218611111514,0,0,0,0.0323972975613499,0,0,0,-0.00777393425901826,0.067815086333803,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.0711240813822369,0,0,0,0,0,0.0435352434653153,0,0.0935850762178574,0,0.218083686897716,0,0,0,-0.108144279332758,0,0,0,0,0,0,0,0.14827576597465,0,0,0,-0.17063093625356,0,0,0,0,0,0,0,0,0,0.511315724655465,0,0,0,0,0.306455323688762,0,0,0,0.115258397466929,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0.35284616278886,0,0,0,0,0,0,0,0.112283434931083,0,0,0,0,0,0,0,0,0,0,0,0.150619515364892,0,0,0,0,0,0,0,0,0,0,0,0.13059262352484,0,0,0,0.119411648081024,0.11614342946717,0.0614732309599086,0,0,0,0,0,-0.0263259675008026,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0928446386995199,0.0338817186611624,0,0,0,0,-0.0321901594880269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261995118426818,0,0.0143925330585978,0.0857707923307054,0,0,0,0,0,0,0,0,0,0.0679528698342097,0,0.073487144927439,0,0,0,0,0,0,0,-0.0402511587105906,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.258815710942712,0,0.0787343607349572,0,0,0,0,0,0,0,0.065629244960614,0,0,0,0,0.00620480581406628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030914521617115,0.109429660183706,0.0208720933423715,0,0,0.163234367330528,0,0,0,0,0,0,0,0,0.0141328921538206,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0.101074663917685,0,0,0,0,0,0,0,0,0,0,0,0.128938347282599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20139169810054,0,0,0,0,0,0.00737422594376445,0.0609127963197601,0.020007097719186,0,0,0,0,0.0528289259108504,0,0.00448197378879962,0.0869799133565138,0.336167451191746,0,0.0259993119048655,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0.0297564187179139,0,0.0841477997571185,0,0,0,0,0,0,0.0910413464885879,0,0,0,0,0.580822216052886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457112459095096,0.0994773113437906,0,0,0,0,0.0304627775268742,0,-0.0203442302340515,0,0,0,0,-0.00982416639428401,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0
