,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600157.SH,X600886.SH,X600111.SH,X600362.SH,X600547.SH,X600188.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000709.SZ,X000883.SZ,X300072.SZ,X600352.SH,X000898.SZ,X000539.SZ,X002460.SZ,X002407.SZ,X000723.SZ,X000027.SZ,X002470.SZ,X000630.SZ,X600549.SH,X600021.SH,X600176.SH,X600098.SH,X002075.SZ,X000012.SZ,X000983.SZ,X000629.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0451276878199575,0,0.0594258850081748,0,0,0,0.0349517776989097,0,0,0,0,0.136562305973422,0,0.00934773160651717,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.188663452986711,0,0,0.0031196817958995,0,0.0173373611968225,0,0,0,0,0,0,0,0,0.0831139777297001,0,0,0,0.0367637829775688,0,0,0,0,0,0.0217689347672204,0,0.00352974506570286,0.00157965856455074,0,0,0,0,0,0
X600028.SH,0.126721483756054,0,0,0,0,0,0,0.0875948260816382,0,0,0,0,0,0,0,-0.00296326547595173,0,0,0,0,0.000239801000285759,0,0,0,0,0.0707171432277032,0,0,0.22339857630858,0,0,0,0.00645652213411485,0,0,0,-0.0128852045756657,-0.0504775704603083,0,0,0,0.0333590115956013,0,0,0,0,0,0,0,0,0,0.00425058907716816,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.187941184200937,0.00451468171484746,-6.93889390390723e-18,0,0,0,0,0.012761007048476,0,0,0,0,0.0211383686265307,0,0,0.0463047604548691,0,0,0,0.146917816701148,0,0,0,0,0,0,0,0,0,0,0,0.141274607435866,0,0,0,0,0,0,0,0,0,0,0.111813684809089,0,0,-0.0277550241694238,-0.00328940743139384,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.00273212137722568,0,0,0,0,0,0,0,0,0,0.089057094544082,0,0,0,0.173995010757738,0,0,0,0.0099020096203846,0,0,0.00996882925287703,0,0,0,0,0,0.0227932684437581,0,0,0.0118741303051221,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0856110425486769,0,0,0,0,0,0,0,0,0.0799606131717326,0,0.238606999675074,0,0,0,0,0,0,0,0,0,0.0481159200929281,0,0.0120986598221606,0,0,0,0.0814139783041112,0,4.33680868994202e-19,0,0.0874316270815526,0,0,0,0.10026573577628,0,0,0,0,0.0656713860324514,0,0.0351722197952819,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0516796403859771,0,0,0,0,0,0.0442808630745173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688039281242784,0,0,0,0.223047281516324,0,0,0,0,0,0,0,0.0535481411588926,0,0.00277660632129197,0,0.0484704757768485,0.0793710452354624,0,0.0146942083300019,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0.103300150615604,0,0,0.205224865732748,0,0,0,0,0,0,0,0.00750761704674967,0,0,0,0.095578497603126,0,0,0,0.13974290152409,0,0,0,-3.46944695195361e-18,0,0,0,0.0992190243337434,0,0,0,0,0,0,0,0,0,0,0,0.114702811411368,0,0,0,0,0,0,0,0,0,-0.0173208929919176,0,0.0524021297714874,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000436661458421892,0,0,0,0,0,0.0362957879231587,0.1646489996807,0,0,0.0188192418933367,0,0,0.168782552602935,0,0,0,0,0.275079618796694,0,0,0,0,0,0,0,0,0,0,0,0.0251433417156622,0,0.0217462292982902,0,0,0.201701671728058,0,0,-0.0604667142278153,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373517275376852,0,0,0,0,0,0,0,0.00398484086736014,0,0,0,0,0.145898091459834,0.100328153915677,0,0,0.229668420809281,0,0,0,0,0.0918532717021236,0,0,0,0,0,0.036083792553114,0.0418568892208662,0,0,0.0296208132874293,0.108703291243925,0.0722447271588308,0,-0.0112871130050046,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.147018353235756,0,0.0134795753117797,0,0,0,0,0,0,0,0,0,0,0,0,0.158671131502063,0,0,0,0.141953698270831,0,0,0,0,0,0,0,0.107356851224344,0,0,0,0,0.184554480905111,0,0,0,0.15453409602289,-5.42101086242752e-20,0,0,3.46944695195361e-18,0,0,0,-0.187607274891637,0,-0.0123641681805274,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.143261347861606,0,0,0,0,0,0,0.012353391276841,0,0,0,0,0,0,0,0,0,0,0.0598170267651265,0,0,0,0.131619187722355,0,0,0,0.0361604363248005,0.00600428561760433,0,0,0,0.0719096620370913,0,0,0,0,0,0,0.0551835474896518,0,0.013682007509603,0,2.16840434497101e-19,0.0327767267928458,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101886692595715,0,0,0,0,0.165867279772863,0,0,0,0.0226684883966215,0,0,0,0.0763361760146189,0,0,0,0,0,0,0.00919104204030488,0.0770462852428811,0.0244151049831785,0,0.0573542852821909,0.0394455956728919,0.0569235719797617,0,-0.0155868999527731,-0.0337921357744022,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0143533213327625,0,0,0.0152831431793162,0,0,0,0,0,0.0511776880368824,0.133553944593122,0,0,0,0.146027602913902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280517297680622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00752166008723928,-0.134156193411551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53632718697308,0,0,0,0,0.0611787885600023,0.0487378191171319,0,0,0,0.166416641574931,0,0,0,0.0232146218547184,0.128004698061804,0,0,0,0,-0.0242912039520097,0,0,0.206573449120883,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.0825206221487726,0.201217639360607,0,0,0,0,0,0.00848267496953201,0,0,0,0,0.108657964790092,-0.0178177160584863,0,0,0,-0.0478997186521388,0,0,0,0,0,0,0,0.00202611025515259,0,0,0,0.425225996869574,0.312283773062493,0,0.0645075331374529,0,0,0,0,0,0,-0.00350870802350081,0.205384673949655,-0.22882728375945,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.144013401574745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439751351599661,0.0314731345530905,0,0,0,0,0,0,0,0.188948055879477,0,0,0,0,0.0101686864807477,0,0,0,0.00281794926876542,0,0,0,0,0.238190163667995,0,0,0,0,0,0,0,0,0,0,0,0
