,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600111.SH,X600188.SH,X600157.SH,X600362.SH,X600623.SH,X600886.SH,X002466.SZ,X600547.SH,X601992.SH,X600660.SH,X600299.SH,X600489.SH,X000792.SZ,X600309.SH,X601158.SH,X600583.SH,X000883.SZ,X300072.SZ,X000709.SZ,X600352.SH,X000898.SZ,X000539.SZ,X000723.SZ,X600549.SH,X002075.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002407.SZ,X002470.SZ,X000983.SZ,X000012.SZ,X600021.SH,X600098.SH,X600176.SH,X000060.SZ,X000629.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0867654601932588,0,0,0,0,0,0,0,0,0.0569861904148142,-0.00903448108808272,0,0,0,0,0,0,0,0,0.21145181822324,0,0,0,0,0,0,0,0,-0.0471779997235291,-0.00303955155416297,-0.0113959543916353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139681657697778,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.114205066524571,0,0,0,0,0,0,0,-0.00853858354361116,0.0925710735689594,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0740658703028464,0,0.145835881832361,0,0,0,0,0,0,-0.0613281708019959,0,0,0,0,0,-0.0304110186740007,0,0,0,0,0,0,0,0,0,0,0.0102335260893073,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.225615677646707,0,0,0,0,0,0,0,0,0,0.0942567204775612,0.0492371125885345,0,0,-0.0014687573840095,0,0,0,0,0,0.0148542359458466,0,0,0,0,0,0,0,0,0.10537596570224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088883056094584,0,-0.0132244111118415,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0463027568719805,0,0,0,0,0,0,0,0.0368772670417037,0,0,1.0842021724855e-19,0.129979582830608,0.00970582159438639,0,0,0,0,0,0.0389617365190007,0.0396491497594672,0,0,0,0,0,0,0,0,0.00739654012875203,0.018304340188266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.183356482945038,0,0,0,0.271854404323589,0,0.00854906046467488,0.0650387271302997,0,0,0,0.0436731208892807,0,0,0,0.0269908812577236,0.0481645796270983,0,0,0,0,0,0,0,0,0,0,0.116624785425443,0,0,0,0,0.0182941672665913,0,0.0526927532334395,0,0,0,0,0,0,0,0.0139737378623597,0.00924298051272201,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0176044775585442,0,0.0832921228935613,0,0,0,0,0,0,0,0.0183838872373286,0,0,0,0.0644419660772213,0,0,0,0,0,0.0502825579257005,0,0,0,0.0928454246707745,0,0.197743294242825,0,0,0.00754658811621222,0.0846976198053869,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0391435887478578,0.042796982734748,0,0,0,0,0,0
X600585.SH,0,0,0.403897164837182,0,0,0,0,0,0,0,0,0,0,0.091871715829284,0,0,0,0.114459628422596,0,0,0,0,0.142718362578048,0,0,-0.122129521330545,0,0,0,0,0,0,0.0260907700440642,0,0,0,0.21329376692034,0,0,0,0.0506384111507112,0,0,0,0,0,0,-0.0864081183736519,0,0,0,-0.0153263403815192,0,0.113112245313585,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169836025094637,0,0,0,0,0,0,0,0,0,0,0,0,0.142188578973895,0,0,0.297389464921715,0,0,0,0,0,0,0.0466206707029727,0,0,0,0,0,0,0,0,0,0,0.015294052354356,0.204228067676515,0,-0.0665544293166386,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.041673724048851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0466273303517646,0.00545101015406817,0,0,0,0.0353227678279678,0,0,0.218548598639207,0,0,0,0.094446626461935,0.0797878279238216,0.0664827598917816,0,0,0.0222673798263087,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0157379936000286,0,0,0,0,0,0,0,0,0.223472183730031,0,0,0,0,0,0,0,0,0,0,0.154641831506385,0,0,0,0,0,0,0,0,0,0.228263966354518,0.103510761617857,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.00922766570033449,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.137130675189189,0,0,0,0,0,0,0,0,0.0119165819078397,0.127002217098782,0.00347021397507538,0,0,0,0.0735918255806558,0,0,0,0,0,0,0.0166222617657219,0,0,0,0,0,0,0,0,6.7762635780344e-21,0,0,0,0,0,0.0179504593116035,0.052779750892591,0,0,0,0,0,0,0.00576356573857367,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0605248962925346,0,0,0,0,0,0,0,0.0231958382036474,0,-0.00400192764686028,0,0,0,0,0,0.00467833488078816,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115015654097584,0.152716215282042,0,0,0.0448940493454957,0,0.140912351544777,0,0.0688581632536487,0.0444557594112893,0.0178574563511214,0,0,0,-0.0408479797396867,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.100887631925179,0.0410612262131209,0,0,0,0,0,0.00710630415745473,0,0.0327939568292277,0.0380514688869971,0,0,0.014372422162378,0,0,0,0,0,0.0335601195497019,0,0,0.0232873863495004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0700292340221405,0,0,0,0,0,0,0,0.00861294582178172,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.07305775346942,0.0261615807434056,0,0,0,0,0,0,0.0435034196612613,0.0769332582548519,0,0,0,0,0,0,0,0,0,0,0.503965836945745,-0.00077814276369549,0,0,0.0833201550482844,0,0,0,0,0,0,0,0,0,0,0.00773686326999327,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.036143955491434,0,0,0,0,0,0.0533398779966195,0,0,0,0,0,0,0.0104881970954826,0,0,0.0678461830093869,0,0,0,0,0,0,0,0,0,0,0,0.0236371661109856,0.147224670140474,0.00287953055505482,0,0,0,-0.0938427609518472,0,0.483123822551643,0,0,0,0,0.0821124339460217,0,0,-0.016956332831646,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138044911890521,0,0,0,0,0.099874304948311,0,0.0695771610441848,0,0,0,0,0.0675969301479222,0,0,0,0.0259846186408274,0,0.111180132975852,0.0693287592714519,0.038144221998847,0,0,0,0,0,0.0468579917903737,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153443722006849,6.93889390390723e-18,0,0,0.0130038420718017,0,0,0,0,0,0.353211660748447,0.10395876188021,0,0,0,0,0,0,0,0,0,0,0.0291976543215903,0,1.73472347597681e-18,0,0,0,-0.0112172789527801,0,0,0,0,0,0,0.305354366336031,0,0,-0.0534731804897388,0,0,0,0,0,0,0
X600623.SH,0,0,0,-0.143397785552282,0,0,0,0.0242865360247591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278318037507502,0,-0.037512588040404,0,0,0.105096181417468,0.228234947406264,0,0,0,1.38777878078145e-17,0.000445574911605773,0,0,0.409633927088245,0,0,0,0.106915133068766,0,0,-0.0233295118915174,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.00299424390784447,0,0,0,0,0,0,0,0,0,0.10323338134555,0,0,0,0,0,0,0,0,0,0,0.0614755377417547,0,0,0,0,0,0,0,-0.0312010986376172,0,-0.0151509363510636,0,0,0,0,0,0,0.134278104571028,0,0.115939398403207,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.128374613253909,0,0,0,0,0,0,0,0,0,0.122896414363922,0,0,0,0,0,0,0,0.157343308729966,0,0,0.0280766226180393,0,0,0,0,0,0,0,0,0.00116622414198331,0,0,0.578968926927794,0.29305682962393,0,0,0,0,0,0,0.0534931060122378,0,0,0,-0.0117168165897062,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328197250477269,0,0,0,-0.0142789473460747,0,0.0355680077370538,0,0,0,-0.0462084265510017,0.90033373602571,0,0,0,0,0,0.0922849221155633,0,0.00590567735203145,0,0,0,0.0592339933671323,0.121698091486776,0,0,0,0.144015445017048,0,-0.00974160380480747,-0.256699784519821,0,0,0,0,0,0,0,0.0542193015488865,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0.290108200831156,0.0379867743852528,0,0,0,0,0,0,0,0,0,0,0,0.0574943336824985,0,0,0,0,0,0.0912024338615898,0.00346212791986549,0,0.366242203810695,0,0,0,0.0028095051804316,0,0,-0.0955323068479907,-0.077833470569642,0.00955551594077145,0,0,0,-8.67361737988404e-19,0,0.127279321294582,0,0,0,0,0,0,0,0,0.0382662820103128,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0757553491096975,0.041262517080016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506951487676862,0,0.0622695489118483,0,0,0,0,0,0,0,0.00855899424610218,0,0,0,0,0,0,0,-0.0361019900616447,0,0,0,-0.0139187287934585,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0.343616194347684,0,0,0,0,0,-0.0690496926956652,0.106749154786137,0.126402996406289,0,0,0,0.0132482073417304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795672886878035,0,0.0528067617297259,0,0.0808905168548661,0,0.00830359917180799,0,0,0,0,0.281674390898599,0,0,0,0,-0.114768705216933,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.103810817039882,0,0,-0.0829156123962889,0.51267857575572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00290448966649521,0.0438884751974098,0,0,0,-0.0164315267827409,0,0.128801473872417,0.0060668074208451,0,0,0,0,0,0,0.0194129383498086,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0870638510252004,0,0,0,0.0732060693395153,0,0.0573287660925622,0,0.0279326235663308,0,0,0,0,0,0.00996190244440879,0,0,0,0,0.180046441867421,0,0,0,0,0.0482050982791947,0.0169757889961766,0,0,0,0,0,0.186288368854524,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600309.SH,0,0,0.12708183354811,0,0,0,0.115390051260329,0,0,0,0,0,0,0.0968210879388734,0,0,0.0979943256836099,0.00545085627827532,0,0,0,0.0707129899473537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,-0.0133274655673384,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0.0205340314440602,0,0,0,0,0,0,0.0282701169879195,0,0,0.0370746804120825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115525041903238,0,0,0,0,0.139874941912648,0,0,0.0395098948501624,0.0554407427683827,0,0.0527363177923578,0,0,0.201997882420564,0.203950985325047,0,-0.00883140388767511,0,0,0,-0.0470135885619986,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.0375706431067767,0,0,0,0,0,0.0081978403216497,0.0768130014769553,0,0.0216556296446866,0,0,0,0,0,0,0.0245949902947524,0.0197373284413901,0,0.392900598063611,0,0,0,0,0,0,0,0,0,0,0,0.0467357920327829,0,0,-0.0123776662120769,0,0,0.125034209768909,0,0,0,0.0647778419718013,0,0,-0.00166516685475831,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0.0102814115704926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036295469914186,0,0.0118516381250582,0,0,0.0642570052509055,0,0,0,0,0,0,0.0859023827477588,0,0,0,0,0,0,0,0,0.264925294702905,0.0757780814029822,0,0.00197508858425522,0,0.00166339904396032,0.0159669579508998,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.177720772687002,0,0,0,0.222019951388229,0,0.0192345025978082,0,0.0935737455775034,0.0772513650078661,0,0,0.0242716771457842,0,0,0.0556774533330355,0.359329643385726,0,0,0,0,0,0.0155802279137582,0,0.028000464724906,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.199778067706988,0,0,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0.143938609201963,0,0,0,0,0,0,0.131151009837613,0.0860094025358789,0,0,0.0434901186874254,0,0,0,0,0,0,0,0,0,0,0,0,0.0157737302366435,0,0,0.115266758358972,0,-8.67361737988404e-19,0.00591548108334903,0.0557706291892319,0,0,0,0,0,0,0,0,0,0,0.000718651932767731,0.127785000645407,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0.0288810159861105,0,0.100015286173688,0,0,0,0,0,0.0542602370676974,0,0,0,0.152371166360473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404652805394358,0,0.0520954647660399,0,0,0.0733101521247257,0,0,0.0394443650088095,0,0.0955580997321223,0,0,0.172343600000827,0,0,0,-0.0292680230125758,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0.0275097840466922,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249075223059952,0,0,0,0,0,0.0932587816167003,0,0,0,0,0,0,0.12090614712117,0,0,0.137243329659071,0,3.46944695195361e-18,0,0,0,0,0,0.0408828358225303,0,0,0,0,0.190913378597463,0,0,0,0.00922654276435534,0,0,0,0,0,0
