,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600795.SH,X600188.SH,X601600.SH,X300072.SZ,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600111.SH,X600886.SH,X600489.SH,X601992.SH,X600309.SH,X600660.SH,X600623.SH,X600299.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000723.SZ,X000898.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X000983.SZ,X600549.SH,X000539.SZ,X000027.SZ,X000959.SZ,X600176.SH,X002470.SZ,X600021.SH,X000630.SZ,X000060.SZ,X000012.SZ,X002460.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0625752691008489,-0.0182601436337899,0,0,0,0,0,0,0,0,0,0,0,0.0229711594187035,0.0105015216815421,0,8.67361737988404e-19,0.040102964444038,0,0,0,0,0,0,0,0,0,0,0,0,0.03313003747472,0,0,0,0,0,0,0,0,0,0,0.0466662812568609,0,0.00048910703468258,0.0200186479946903,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0439146182224399,1.73472347597681e-18,0,0.032909443983958,0,0.0425618303177797,0,0,0,0,0,0,-0.0422358047076466,0,0,0,0.00768640491710192,0,0,0,0.0231818477999405,0,0,0,0,0.0262847262390464,0,0,0,0.0544968074235291,0.0554353624330174,0,0,0,0,0,0,0,0,0,0,0.00372852270157651,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0994940786779459,-0.0150808679364295,0,0.117406064372576,0,0,0,0,0,0,0,0,0,0.0776532143672195,0.00553744381584723,0,0.032252914951762,0,0,0,0,0,0,0,0,0.0324996731383168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147114567967233,0.00884681290198007,0,0,0.0744793385577253,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.107521902654922,0,0,0,0.0796444739316764,0,0.0519410363816744,0,0,0,0,0,0,0,0,0,0,-0.0508971883081198,0,0,0.0329969186066332,0,0,0,0,0,0.0767043352772781,0,0,0.10182655834312,0,0.113225788552447,0,0,0,-0.0802880579529086,0,0,0,0,0,0.0332632159847052,0,0,0,0.00117001229580151,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.042437519342843,0,0,0.00300527375039703,-0.0332515962516616,0,0,0,0,0,0,0,0.0277988694314435,0.158164198193282,0,0,0,0.0160575980013956,0,0.000117378802645217,0,0,0.0462240461969988,0,0,0,0,0,0,0,0,0,0,0.0892450859931709,0,0,0,-0.0060753612376958,0,0,0,0,0,0,0.0978442776738664,0,0,-0.0253486369792779,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0534724240189752,-0.0149819881903077,0,0.146744626609481,0,0,0,0,0,0,0,0,1.35525271560688e-20,0.194771636399781,-0.0421418169504517,0.12991365669732,0.136462959863469,0,0,0,-0.0974900633500749,0,0,0,0,0,0,0,0,0,0.0996800840767445,0,0,-0.0715553051037856,0,0,0,0,0,-0.112733882995281,0,0,0,0.0229232531235098,0.016519622719922,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0389386659032558,0,0,0,0,0,0,0,0,0,0,-0.0209044353105424,0,0.0472572893785552,0,0.0111254865173839,0,0,0,0,0,0,0,0,0,0,-0.00780664965747622,0,0,0.0306724173851921,0,0,0,-0.003785959286444,0,0,0,0,0,0,-0.00418804795848019,0,-0.0825722838661472,0.0369752576068819,-0.00945866123116318,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.138669025141025,0,0.0260323628855301,0,0,0,0,0,0,0.0149931472508116,0,0.0204124282665871,0,0.127519388085287,0,0,0,0.0436966361354302,0,0,0,0,0.0575013408965695,0,0,0,0.0524655357887494,-0.0641850696262988,0,0,0.0522097199611545,0,0,0,0,0,-8.67361737988404e-19,0,0.335522309564508,0,0.0157584604956368,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0690935380565035,0,0,0,0.141177512905167,0,0,0,0.0150583962905482,0,0,0,0,0,0,0,0,0.232232554556925,0,0,0,0,0,0.108813332603246,0,0,0,0,0.0759034564225785,0,0,-0.0193922286030307,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616111061817959,0,0.10485647792563,0,0.162434696511643,0,0,0,0,0,0,0,0,-0.0433667236256233,0,0,0,-0.220123536290058,0,0,0,0,-0.157763852000208,0.181599919569388,0,0,0,0,-0.0590684074890928,0,0,0.0510496820695052,0.0676098852298292,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053399736423063,0,0.164248112643992,0,0.0287983741736889,0,0.00653172137975305,0,0,0,0,-0.00788575705129752,0,0,0.0619718198159687,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0830671714947197,0,0,0.0116455951338664,0,0,0,0,0,0,0,0,0,0.00477526578947403,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0887310499021384,0,0,0,0,0,0,0.0403843547521594,0,0.00239629390623239,0,0.128742607135364,0,0,0,0,0,0,0,0,0,0,0,0,0.560648360295335,0,0,0,0,0,0,0,0,0.18077961547446,0.0619581175846218,-0.0262930375588439,0,0,1.73472347597681e-18,0.166557725616394,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0555236972327065,0,0.026917127561014,0,0,0,0,0,0,0,0.0702949220178873,0,0,0,0,0.11772965173827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164298493681807,0,0,0.157318367303717,0,0,0,0,0.12732847304067,0,0,0,0,-0.0554524026361364,0,0,0,0,0,0,0
X300072.SZ,0,0,0.0430563214643572,0.115779780434715,0,0,0,0,0,-0.0565851483326289,0,0,0,0,0,-0.494086346886445,0,0,0.161892630488488,0,0,0,0,0.163542224736583,0,0,0,0,0,-0.238769748559834,0,0,0,0,0,0,0,0,0,0,0.158458093128936,0,0.205288335871839,0,0,0,0,0,0.044180719369985,0.231964440543082,0,-0.00118420800798488,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,-0.0165175603400252,0,0,0,0,0,0,0,0,0.0180388456513837,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0182844314099618,0,0,0,0,0.151851336371362,0,0,0.00323573261582849,0.021956169590873,0,0,0,0,0.138577275896818,0,0,0.00175282195880311,0,0,0.0710423648500892,0,-0.0507727773070256,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,-0.006945933325042,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.304112429831482,0,0,0.0170071804971167,0.0560500117521684,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.075823140884,0,0.0261847228664503,0,0,0,0,0,0.0249661873564153,0,0,0,0,0,0,0.0145156498260951,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0.0475520935923558,-0.0165219228407414,0,0,0.145189548382209,0,0,0,0,0,0.117478499427383,0,0,0,0,0,0,0,0,0.0395917563551544,0.0550003473519237,0,0,0,0,0.0837895633764809,0,0,0,0,0,0,0,0.0213143698060578,0,0,0,0,0,0,0,0.20836330261599,0,0,0.0182551005933168,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.293551346288421,0,0,0,0,0.0886213763598395,0,0,0,0,0,0,0.0879342568351484,0,0,0,0,0,-0.0256477443339831,0,0,0,0,0,0,0,0,0,0,0.12893366885883,0.060250177799052,0,0,0,0,0,0,0.387124704543262,0.142202881003395,0,0,0.0528628945571511,0,0.0166896953354544,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.144418164965712,0,0,0,0,0,0,0,0,0.245935521791894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000303533401672584,0,0,0,0,0,0,0,0,0,0.049699220466066,0,-0.0806238233005078,0,0,0,0,0,0.343638157675494,0,0,0.221115636193893,0,-0.0307411486180943,0.000405071597136843,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107291686765575,0,0,0,0,0,0,0,0,-0.0257415951576978,0.0774609856903112,0,0,0,0,0,0,0,0.0705364668391575,0,0,0,0.0446363078894219,0,0,0,0.0216596270596837,-0.0425471472041998,0.121302375211228,0,0,0,-0.0297218952479962,0,0.118971750344422,0,0.0293014649040777,-0.121641241601893,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0994055180306588,0,0.672626195124401,0,0,0,0,0,0,0,0.389696907678031,-0.0248095136440877,0,0,0,0,0,-0.0201905252150479,0,0,0,0,0,0,0,-0.207409237286873,0,0,0,-0.09891474788808,0.0647167582173222,0,0,0,0,0,0,0.134762547793961,0,0,0,0,0,0,0,0.0368625117422402,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0.315653676371717,0,0,0,0,0,0,0,0,0,0,0,0.118444914715187,0,0,-0.123658249930486,0,0.103899423052792,0,0.142511543362924,0,0,0.0574937797547521,0,0,0,0,0,0,0,0,0,0,0.0016941173476961,0,0,0,0,0,0,0,0,0,-0.0130512271371795,0,0,0.0277992020484189,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108462264394115,0,0,0,0.0881805255176823,0,0.352704751671317,0,0.0128046476167053,0,0,0,0,0,0,0.0319743832231958,0,0,0,0,0,0,0,0,0,0,0,0,0.000665998005128084,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.219053214719759,0,0,0,0,0,0,0,0.0181448610066224,0,0,0,0,0,0,-0.0123913593190925,0,0.0613813170318455,0,0,0.100029430039069,-0.0677783953756096,0,-0.0148650780747292,0.167101615557151,0.0787717706092798,0,0,0,0.167461409255464,0,0,0,0,0,0,0,0.191832445942371,0,-0.07339538769166,0,0,0,0,0,0,0.0230600989189539,-0.0129050644337183,0,0,0,-0.0763836847458833,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,-0.0818310403316482,0,0,0,0.462270748545396,0,0,0,0,0,0,0,0.149100819056782,0.0662574971995514,0,0,0,0.221452744957247,0.0674354245957727,0.119253065020714,0,0,0,0,0,0,0,0,0,0.0935509790061276,0,0,0,0,0,0,0,0,0,0,0,0,-0.00892525142057815,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0,0,0,0,0,0.09492605471316,0,0,0,0,0,0,0,0,-0.102178382308112,0,0,0,0,0,0,0,0,0,0,0.017047438167676,0,0.18511920821171,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0992886824810358,0.164003277125832,-0.0233823410096972,0,0,0,0.0991842570858211,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577235077485045,0,0,0,0.146971206269165,0,0,0,-0.0128635174623269,0,0,0,0,0,0,0,0,0,0.0638365828835334,0,0,0,-0.11496917110279,0.155913892966188,0,0,0,0.0699789284074231,0.485136150024003,0,0,0,0.0457325701035268,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0583397315709921,0,0,0,0,0.339228199373724,0,0,0.258688548706701,0,0,0,0,0,0,0,0,0,0,0.153264525242374,0.15171763302765,0.031350628085098,0,0,0,0,0.254006712609573,0.126676894823716,0.0187144590913833,0,0,0,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.365012666064279,0,0,0,-0.0483149207661317,0,0.321928097109306,0,0.203410797001211,0.0360398300634199,0,0,0,0.0445235517742449,0.247096289017521,0,0.108134423580664,0,0.373707737492498,0,0,0.125811868527246,0,0,0,0,0,0,0.136372329342842,0,0,0.267961962414814,0,0,0,0,0,0,0,0.0946269830818135,-0.037790058963348,0,0,0,0,0
