,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X600547.SH,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X601992.SH,X600309.SH,X600886.SH,X600111.SH,X600660.SH,X600489.SH,X600623.SH,X601158.SH,X002466.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000723.SZ,X000709.SZ,X000408.SZ,X000898.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600758.SH,X000959.SZ,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X600126.SH,X000630.SZ,X600021.SH,X002470.SZ,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0491139676616237,0,0.0367631069193755,0,0,0,0.000658453831639111,0,0,0,0,0.0529048277617686,0,0.0107443658539188,0,0,0,0.0204240245181089,0,0,0,0,0.00190448829537388,0,0,0.0480689934391478,0.024956509456948,0,0,0,0,0,0.00965479837891849,0,0.0220242813323482,0,0,0,0.0035298438279127,0,0,0.0151125007671209,0.00285014180996285,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0620297008845947,0,0,0.0700512739686892,0,0,0.0180063750473075,0,0,0.0615764783531027,0.00330834323416169,0,0,0,0,0,-0.0156812237432005,0,0,0,0,0,-0.0439629661226675,0,0,0,0,0,-0.0112053982205241,0,0,0,0.0839763118191526,0,0,0.04328137362138,0,0,0,0,-0.00796899878102022,0,0,0,0,0,0.071906433706735,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.100970092606075,0.0647463874658759,0,0,0.048422533775677,0,0,0,0,0,0,0,0,0,0,0.0209855220571449,0,0,0.0251647634618708,0,0,0,0,0,0,0,0,0.00487455227132678,0,0,0.0421403496995649,0.00368038956434081,0,0,0,0,0.0492065342710134,0,0,0,0,0,0,0.0319171231692329,0.0392807252824353,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.12049829630569,0,0,0.0931506432011733,0,0,0,0.0331214207258508,0,0,0,0.0840097115725306,0,0,-0.0145674004203739,-0.0116584504291167,0,0,-0.220501684888763,0,-0.00362263631544032,0,0,0,0,0,0,0,0.184334236900088,0.014621563843564,-0.0465587969290805,0.00170094601744067,0,0,-0.125158056263148,0,0,0,0,0,0,0,0.0407484270569777,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0120541374089196,0,0,0.0288408701273931,0,0,0,0,0,0,0.0108361976252732,0.081130501311259,0.106248355583128,0,0,0,0,0,0,0.179888117745623,0,0,0,0,0,0,0.0827879438526701,0,0,0.0107937805925899,0,0.0765668162550088,0,0,0,0.00152111255113952,0,0,0,0.00989181172561234,0,0,0,-0.0366038430590824,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.003025796294688,0,0,0,0,0,0,0,0,0,0.0161449478167519,0,0,-0.0197974597158273,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121405809961257,0.00900286906426193,0,0,0,0,0,0,0,0.00293138798009907,0,0,0,0,-0.0485129721208734,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.040705288013576,0,0,0,0.265811780009261,0,0,0.0172743995914693,0,0,0,0,0,0.100557281528901,0,0,0,0.17698330460297,0,0,0,0,0,0,-0.18512912787938,0,0,0,0,0,0,0,0.00307558155421643,0,0,0,0,0,0,0.0609872469514838,0,0,0,0,0,0,0.0405905221238997,-0.0992002537459794,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0371536053443452,0,0,0,0,0,0,0,0,0,0,0.0397399834221287,0.0556075575280101,0.0425965672271788,0,0,0,0.0188928370161724,0,0,0,0,0,0,0,0,0.0329630228188478,0,-0.205325700324727,0,0,0,0,0,0,0,0.367904867995208,0.22009487409278,0,0.057071296633275,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341323541393229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162709374895787,0,0,0,0,0.0092239458352628,0,0,-0.00170958546810204,0.105232195403878,0,0,0.110944184573976,0.10928968908058,0,0,0.00665543725302517,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0588055031787293,0,0,0,0,0,0,0,0,0,0,0,0.121619238268757,0,0,0,0,0,-0.015674675218562,0,0,0.0438422867794224,-0.117953447181818,0.618965050622009,0,0,0,0,0.145571477974009,0,0,0,0,0,0,-0.0491862267854044,0,0,0,0.0451766595409777,0.103805979241475,0,0,0,0,0,0
