,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X600547.SH,X600362.SH,X600188.SH,X600688.SH,X601600.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600489.SH,X600886.SH,X600660.SH,X600309.SH,X000723.SZ,X600623.SH,X601158.SH,X000792.SZ,X002466.SZ,X600299.SH,X000959.SZ,X002075.SZ,X000898.SZ,X000709.SZ,X000983.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600549.SH,X000630.SZ,X600352.SH,X000937.SZ,X601699.SH,X600176.SH,X000060.SZ,X000539.SZ,X000027.SZ,X000935.SZ,X002092.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,-0.0114303423039605,0,0.05287890985141,0,0,0,0,0.0100232424425723,0,0,0,0,0,0,0,0.0242898646733654,0,0,0,0,0.10393032389736,0,0,0,0,0,0.00598044573361438,0,0,0,0,0.0247137770519126,0,0,0,0,0,0.0108108758140198,0,0,0,0,0,0,0,-0.0134893561761451,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,-0.0385009023556049,0,0,0,0,0,0.0504318051572077,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124479657973794,0,-0.00477177745257106,0,0,0,0.0373961199421545,0,0.0681513761317893,0,0,0,0,0,0,0.0303673782660146,0,0,0,0.0098334463472688,0.101850121947425,0,0,0,-0.0138386476728729,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.198384315401796,0,0,0,0,0,0,0.00362084656429151,0,0,0,0,0,-0.0215367542449718,0,0,0.0431553568987902,0.0465191766863663,-0.0956143517089035,0,0,0,0,-0.0132642390515488,0,0,0,0,0,0,0,0.0286522448722189,0,0,0.117392189414647,0,0,0,0,0,0.081286543424338,0,0,0,0,-0.0507367678747694,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.0598609718211445,0,0,0,0,0,0.0801376872129733,0,0,0,0,0,0,0.166939659538148,0,-0.0172167606147199,0,0.0157552597967918,-0.0325475110670093,0,0.0470222416831474,0,-0.0522063380340136,0,0,0,0.0286495683798783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0587008916642769,0.0158517215590974,0,-0.00824932347075613,0.0265875381654749,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,-0.0577966592449171,0.0607591306468991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337129363681374,0,0,0,0,0,0,0,0,0.0527014163641449,0,0,0.0217714528100953,0,0,0,0,0.0127974649871272,0,0,0,-0.0169330469257848,-0.0558460456123185,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,-0.103161009549847,0,0,0,0,0,0.0634728179549753,0,0,0,0,0,0,0,0.152467329404412,0.221309674651874,0,0,0.0449167236421527,0,0,0,0,-0.0460668176671437,0,0,0,0,0,0,0,0,0,0,0.228593870822672,0.0225423394076524,0,0,0,0.0623065256691328,-0.0851342384569146,0,0,0.0556128107153876,0.0282396236123058,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0197837615357651,0,0,0,0,0,0.0125731560802618,0,0,0,0,0,0,0.151612555829308,0,0.0380791778341587,0,0,0,0,0,0,0,0,0,0.032185106694131,0,0,0,0,0.106915272397983,0,0,0,0.0525744621989064,0,0.073209694721754,0,0,0.0157409688799542,0.0529397397949662,-3.46944695195361e-18,0,-0.0083121082855961,0,0,0,0,0,0,0
X601898.SH,0,0,0.194566902681868,0,0,0,0,0,0,0,0.284728861003267,0,0,0,0,0,0,0,0,0,0,0,0.0260619039469387,0,0,0.154808280491679,0,0,0,0,0.021755361622413,0,0,0,0.0990536847971138,0,0,0,-0.0670627784149991,0,0.123832052283318,0,0.15680192848917,0.092771982139072,0,0,0,0.0605215771055775,0,0,0,0,-0.0408243218568241,0,0,0,0,0,0
X600547.SH,0,0,-0.0890830984444948,0,-0.00118805161636122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899348063842508,0,0,0,0,0,0.01902090921824,0,0,0,0,0,0,0,0,0,0,0,-0.00153879921472214,0,0,0,0,0,0,0,0,0.0938958766555855,0.0828937410199666,-0.00894721984159014,0,-0.0744150660742634,0.0286465693536331,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0.0711728735152212,0,0,0,0,0.0454690891568487,0,0,0,0,0,0,0,0,0,0,0,0.0864790813497937,0,0,0,0,0,0.01402182161097,0,0,0,0,0,0,0,0.0599360658437044,0.490175180499753,0,0.228639757194929,0,0,0.143979881544619,0,0,-0.0019026588274982,0,0.0751481122646819,0,0,-0.0225590657049424,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.000809732641803874,0.0250053318165069,0,0.076315731659736,0,0,0,0,0,0,-0.0769994164861287,0,0,0,0,0,0,0,0,0.0116548953164782,0,0,0,0,0,0,0,0,0.0334694325459211,0,0.492652170954833,0,0,0,0.0618163162443149,0,-0.132859440098103,0,0.0894614320551764,0,0.119766137050829,0,0,0,0,-0.0355286521720954,0,0.0063644508488746,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085203271908343,0,0,0,0,0,0,0,0,0.195393008254694,0,0,0.0275887306960256,0.049593036900151,0,0,0,0,0,0.139308899347448,0,0.0340567314613626,0,0,0.0820162911765736,0,0,0,0,0.0268115653787512,0,0,0.0197805169147073,0,0,0.0231206157373413,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0.12888302474655,0,0,0,0,0,0,0,0,0,0,0,0.000918366716877773,0,0,0,0,0,0,0,0,0,-0.0184124218221178,0,0,0.160410258085585,0,0,0,0,0,0,0,0,0,0,0.109103693743296,0.0767112437558425,0,0,0,0,0.0921788707109609,0,0,0.00817502312122545,0.0214443729883196,0,0,-0.0454679863331837,-0.0281644058663664,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,-0.000733532308020998,0,0,0,0,0,0,0.0252705365820366,0,0,0,0,0,0,0,0,0,0,-0.0118459812754434,0.0732532360521844,0.0639469732501436,0,0,0,0,0,0,0,0,0.0972230066641483,0,0.0215219543139855,0,0,0,0,0.0804384774885509,4.33680868994202e-19,0,0,-0.00314225575847848,0.0533110240499775,0,0,0,0.00495877480459538,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,-0.0365542576359676,-0.101107847936269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283914193454394,-0.034993333088689,0.455141179638108,0,0,0,0,0,0,0,0,0,0,0,0,0.137989274924404,0,0,0,0,0,0,-0.0547938030471194,0,0.611237313436314,-0.714846298811939,0.342879068870517,-0.579459675891845,0,0,0.67237085234927,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0.0274868649017075,0,0,0,0,0,0,0,0,0,0,0,0.0987785094305084,0,0,0,0,0,0,0.0751044722106628,0.00287959692083505,0,0,0.043860988096272,0.00649840088265421,0,0,0,0,0,0,0.0460437665944763,0.124777035216079,0,0,0,0,0,0.106455878287913,0,0,0,0.00485249846484914,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223505767660239,0.0364152535125987,0.0611806252614668,0.10977477312491,0,-0.0139635750707454,0,0,0,0,0.006595294132199,0.0554531270458704,0,0.00769591508423583,0,0,0,0,0,0,0,0,-0.010985077533172,0,0.0608083813592211,0,-0.0246051396019492,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,-0.00328204099563235,0.00899451722508799,0,0,0,0,0.024632545947355,0,0,0,0,0,0,0.314178303212756,0,0,0,0,0,0,0,0.0891093730494324,0,0,0,-0.033119711840629,0,0,0,0,0,0,0,0,0,0.0216456143912254,0,0,0,0.00364510782246847,0.0443468112723729,0.0448177031302648,0,0,0.0224942757936191,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0.440910844492865,0,0,0.0283116410186852,0,0,0,0,0,0,0,0,0,0,0,0.0728184813702171,0,0.0179805606676052,0,0,0,0.0271954201649247,0,0,0,-0.0545971081154703,0,0,0,0,0,0,0,0.000739286136385034,-0.057994275935843,0,0,0.030669112736666,0,0,0,0,-0.00891047880510644,0.067908554502865,0,0,0.0632232941674618,0,-3.46944695195361e-18,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.00228808512807736,0.0148836270382763,0,0,0,0,0,0,0,0,0,0.0409683937740898,0,0,0,0,0,0.112404135325678,0.00127747580629018,0,0,0,0,0,0.0257406748389462,0,0,0,0,0.235562872514083,0.053642043741555,0,0,0,0.0799737807017134,0.119389491941182,0,0,0.00993562310091757,0.0701690840376451,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0.766251553120167,-0.0172023082052634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653882317655063,0,0,0,-0.0346119068600569,0,0,0,0,0.0583877591157537,0,0,0.01029022580633,0,0,0,0.0517173397460054,0,0,0,0,0.00589654921863496,0,0,0,-0.0416254856695416,-0.0247046702134425,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.116303617467087,0,-0.00831962144349204,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.012237963342881,0.0439296434773616,0,0,0,0,0,0.129908727797514,0.00688636927265559,0,0,0,0.0882858633999178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322481470173413,0.129751759187678,0,-0.0151405280765022,0,0.135022650815548,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.174975151093964,0,0.0096491706931241,-0.00358543741806027,0,0,0,0,0,0,0,0,0,0.0528982267591344,0,0,0,0,0,0,0,0.012206192838018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202551566542303,0,0,0,0,0,0.0237167695344346,0,0.00362364114619275,-0.0130690062280887,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0.05006148162316,0,0,0,0.0169097035213356,0,0,0,0,0,0,0.116237805882246,0,0,0,0.063173103619022,0,0.181379135105091,0,0,0.179363884897098,0,-0.426452040661242,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0433987704554881,0,0,0,0,0,0,0,0.171361764257698,0,0,0.0218680520882969,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570662311992349,0,0,0,0,0.0917000689478121,0,0,-0.277670116844339,0,0.142927421072366,0,0,0.00952394965201913,-0.0754649664821557,-0.0849269661008242,0,0,0,0.228845042276944,0,0,0,0,0.097068509961339,0,0,-0.13275376256773,0,-0.140392321992144,0,0,0,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610795476006066,0,-0.0494788579662972,0,0,0,0.159551881355178,0,0.0635894563813124,0,0.189602050424309,0,-0.133793914807531,0,0,0,-0.0903975097389957,0,0,0,0,0.0887112067282788,0,0,0,0,0,0,0,-0.022194114085491,0,-0.143396082998996,0,0.0930872665967447,0.0653879659480672,0,0,0,0,0,0
X601158.SH,0,0,0,0,0.0369047993622569,0,0,0,0,0.13446335467856,0,0,0,0,0,0,0,0,0,0,0.0603400693013183,0,0,0.04471702954201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229908293662784,0,0,0,0.000506028586941752,0.0381118648583526,-0.0772555241898313,0,-0.0366286461988619,2.16840434497101e-19,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00998340922565401,0,0,0,0,0,0.0224396347690411,0,0,0,0,0,0,0,0,0,0.0144148321271529,0,0.172044255873628,0,0,0,0,0,0.213028999468667,0,0,0,0,0.188267898733345,0,0,0,0,0,0.0258432546003853,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,-0.0283282071946395,0,0.0385904045768898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204342057995797,0.00226627124358065,0,0,0,0,0.0688413625728954,0,0,0,0,0,0,0,0.0266052273021836,0,0,0.0164022994403909,0,0.124537988441406,0.15712712787684,0,0,-0.0499113454032288,0,0,0,-0.00947224350589145,0,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.0928480501964385,0,0,0,0,0,0,0,0.0273264229124439,0,0,0,0,0,0,0,0.056382424337491,0,0,0,0,0.210977922275297,0,0,-0.0382595801697379,0,0,0,0,0,0,0,0.0559577722503707,0.0251018073475443,0,0,0,-0.0356152094116032,0,0,0,0.0132128657128654,0.130724662134489,0,0,-0.110839561294202,0.120973802779607,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0.421534537753855,0,0,0,0,0,-0.537396659641062,-0.837278247922434,0,0,0,0,0,0,0,0,0,0.294493316570098,0,0,0,0,0,0.156704802458318,0.0492078605244279,0,0,0,0,0.220204760637896,0,0,0,0,0,0,0.437940408164232,0,0,0,0.193248222923733,0,0,-0.0443828936562055,0,0,0,0,0.149767456160319,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,-0.348602475990637,0,0.126213067166776,0,0.0922259430744879,0,0,0,0,-0.063970386417967,0,0,0,0,0,0,0,0.0668089369488795,0,0.0628667710558106,0,0.115197987499406,0,0,0,0,0,0,0,0,0.209352486089994,0,0,-0.0399739669586263,0,0,0.126414857566055,0,0,0,0,0,0,0,0.0160491007742685,0,-0.0563415520142593,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837695938130182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152244701162569,0,0,0.294284275381884,0,0,0,0,0,0,0,0,0,0,0.0959035737652426,0,0,0,0.0831169958429806,0,0,0.01701635515491,0.0212792206034179,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0,0,0,0.191100401869663,0,0,-0.0582962715716726,0,0,0,0.0934455866456398,0,0,0,0,0,0.0753823860205007,0,0,0.116005420955187,-0.012995193069682,0,0.173513530557606,0.297887499787257,0.38742614769196,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.05472545854692,0,0,0,0,0,0,0.105362183541979,0,0,0,0,0,0,0,0,0
