,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X600188.SH,X601992.SH,X600362.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X000709.SZ,X600516.SH,X600157.SH,X600027.SH,X600176.SH,X000786.SZ,X000553.SZ,X600352.SH,X000792.SZ,X000408.SZ,X600808.SH,X600219.SH,X000959.SZ,X600489.SH,X601699.SH,X002271.SZ,X000983.SZ,X601158.SH,X600339.SH,X000723.SZ,X000883.SZ,X002092.SZ,X002470.SZ,X000630.SZ,X002110.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.581430058086914,0,0.00900805497740638,0,0,0,0,0,0,0,0,0,0,0,0,0.0831098748485595,0,0,-0.0343801054463632,0,0,0,0,0,0,0,0,0,0,0,0,0.0207307339548361,0,0,0,0,0,-0.0606793031083617,0.0634978350603813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.485323168017097,0,0,0,-0.0216254157684474,0,0,0,0,0,0.152304147763739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049128363511291,0,0,-0.098427568096305,0,0,0,0,-0.0174508385170535,0,0,0,-0.186328523951454,0.0292969836310019,0,0,0,-0.0381879014620642,0,0,0,0,0,0,0,0.0166860965861534,-0.00240314831254061,-0.0435484891165347,0,0,0,0,0
X601088.SH,0,0,0,0.0939622450361466,0.0423239551826243,0.194114801039357,0,0,0,0,0,0,0.335328599768805,0,0.219144561134966,0,-0.0465879906958274,0,0,0,-0.0790926755449802,0,0,0,0,8.67361737988404e-19,0,0,0,0.0859051206585821,0,0,-0.0360347208619568,0,0,0,0,0,0.152545806600745,0,0,0,0,0,0,0,0,0,0,0,0.00771021452398636,-0.0165776016805886,0.124795964639256,0,0,0.13869829951701,0,0
X600019.SH,0,0,0.187220577865703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103219812906234,0,0,0.312163764586359,0,-0.0256241811098102,0,0,0,0.023110732169973,0,0,0,0,0.253211213455599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0670957724362931,-0.0345732909919628,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.377815576578288,0,0,0,0,0,0,0,0,0,-0.0556710418158877,0,0,0,0,0,0,0.0173877455356618,0,0,-0.07961483683394,-0.0326252312020627,0.35114635460622,0,0,0,0,-0.0260056227525924,0,0,-0.201125692189943,-0.283203256113374,0,0,0,0,-0.156781366720251,0,-0.0260707150468747,0.056378649528413,0,0,0,0,0,0
X601600.SH,0,0,0.00134107363265417,0.0283016113583278,-0.0130224660561791,0,0,-0.0341681388720355,0,0,0,-0.0525557394985429,0,-0.0237444035901322,0,0,0,0,0,0,-0.0257137065859933,0,0,0,0,-0.000760735961798977,0,0,0,0.00620747327028798,0,0.00476429785401881,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631320319986814,0,0,-0.0309029514081958,0,0.00447529199817125,-0.0430808631811044,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487715362558377,0,0.01945541798035,0,0,0,0.0137878885526469,0,0,0,0,0,0,0,0,0,0.0588147241776811,0,0,0,0.334702516648385,0,0,0,0,0,0,0,0,0,0,0.148621770181922,0,0,0,0,0.00439880318261868,0,0,0,0,0,0,0
X600309.SH,-0.0643982459018579,0,0,0,0,0,0,0,0,0,0,0,0,-0.188709917137021,0,0,-0.355197803849107,-0.0610116067902348,0.129156785401076,0,-0.0526136153538083,0,0,0,0,0,0,0,0.0582599025584779,-0.0272197716286758,-0.0883076594829128,0,-0.027699519163592,0,0,0,0,0,-0.0371573556691819,-1.73472347597681e-18,0,0,0,0,0,0.724450119777827,0,0,0,0,-3.20558711634873e-05,0.00339369287137636,0,0,0,0,0,0
X600011.SH,0,0.114630246714922,0.0248297580501244,0,-0.086669747120682,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.110255266094919,0,0,0,0,0,-0.00896312310976389,0,-0.0655299181592903,0,0,0,0,0,-0.0166714375903072,0.0233992969813786,0,0,0,0,0.00518834838286028,0,0,0,0,0,0.0369330207678433,0,0,0.0476671814958482,0,0,0,0,0,0,-0.0382149998436041,0.0385116700505248,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.0247007756694658,0,0.0557062546239679,0,0,0,0,0,0,0,0.210618899293766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514188056162132,0,0.0458283524455523,0,0.0214838856609516,0,0,0,0.0586167804185257,0.00157689030102242,0.153053126937829,0,0,0.0424223104208058,0,0,-0.0250299606524172,0,0,0,-0.00835518539792055,0,0,0,0,0,0,0
