,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X600188.SH,X601898.SH,X600688.SH,X601991.SH,X002466.SZ,X600660.SH,X600362.SH,X600795.SH,X600547.SH,X300072.SZ,X600516.SH,X601992.SH,X002460.SZ,X600111.SH,X000898.SZ,X600886.SH,X000786.SZ,X600176.SH,X000553.SZ,X600352.SH,X000709.SZ,X600299.SH,X000825.SZ,X600027.SH,X000792.SZ,X000408.SZ,X002271.SZ,X601158.SH,X600489.SH,X601699.SH,X600219.SH,X600808.SH,X600426.SH,X000883.SZ,X600583.SH,X000630.SZ,X002470.SZ,X600315.SH,X600157.SH,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.159539237697878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112011687836813,0,0,0,0,0,0,0.0643461087791712,0.0129471826355572,0.0183613731811824,0,0,0,0.0242052642803707,0,0,0,0.00264142580378314,0,0,0,0,0.158207480622588,0.0535779658188467,0,0.0780441123300434,0,0,0,0,0,0,0,0.00422287172887494,0,0,0,0,0,0
X600028.SH,0,0,0.372350301530918,0,0,0,0,0,0,0,0.0875791670203532,0,0,-0.0058930313773995,0,0,0.166429116595347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00918908965676333,0,0.0701236565291197,0,0,0,0,0,0,0.0175447076487696,0.0118099761890292,0,0,0,0,0,0
X601088.SH,0,0.124209228545861,0,0.165759622243209,0.0545428662908325,0,0,0.0405709190470678,0,0,0.0055633117406976,0,-0.0021960091022732,0,0,0,0,0,-0.0251024881194151,0,0,0,0,0,0.0659535644852429,0.0200381455637177,0,0,0,-0.158543829798862,0,0,-0.0547143540127273,0,0,0,0,0.354778558862429,0,0,0,0,0,0,0,0,0,0,0,0.00373651581438595,-0.0323917613279866,0,0,0,0,0,0
X600019.SH,0,0,0.382149975727408,0,0.0977090425396019,0,-0.000855573914129832,0,0.0528586882515243,0,0,0,0,0,0,0,-0.0121596139687825,0,0,0,0,-0.110862343606501,0,0,0,0,0,0,0,0,0.0678003916423954,0,0,0,0,0,0,0.077883560781589,0,0.115468292119701,0,0,0,0,0,0,0,0.0936647573465888,0,0.0243187218081096,0,0,0,0,0,0,0
X600585.SH,0,0,0.408354898389209,0,0,0,0,0.0495643366931255,0.131256819447643,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0804726333683603,0,0,0,0.109129588256961,0,0,0,0,0,0,0,0.00348816974615023,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0080631334750394,0.0952819643352693,0,0.0101799947819674,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382594671048158,0,0.169360007667839,0.00324764404390304,0,0,0,0,0.0702912964769737,0,0.0103110402135525,0.0372875600544275,0,0.0225627586883239,0,0,0,0,0,0,0.0942878930067635,0,0,0.100320564781697,0,0.124186837239215,0,0,0.0070701873872481,0,-0.0150244667563906,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0898629716450312,0,0,0,0,0,0,0,0,0,0,0,0,0.0138941876606388,0.197761342535603,0,0.0567320781850595,0.0849518682282884,0,0,0,0,0.0379332352764304,0,0,0,0,0,-0.0279522122111587,0,0,0,0,0.206536143100439,0,0,0,0,0,0,0,0,0,0,0,-0.0173538069579323,-0.0190121118050581,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.90952473171817,0,0,0,0,0,-0.145438631922983,0,0.106427563190427,-0.0642737146091373,0,0,0,0,0,0,0,-0.271223330288831,0,-0.199520891749909,0,0.152298301856976,0,0,0,0,0.247734826726782,0,0,0,0,0,-0.121680196241659,0,0,0,-0.331019370806608,0,0,-0.667900101397852,0,0,-0.159116424994925,0,0,0,0,0,0
X600188.SH,0,0,0.0919625836719623,0.0802515061719026,0.0156313534884192,0,0,0,0,0,0,0,0,0,0,0,0.181714017695819,0,0,0,0.102862718828501,0,0.406455146705296,0,0,0.265463737580671,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.171806851324758,0,0,0.0836083151114582,0,0,0,0,0,0,0.0912348791782645,0,-0.00746891924506753,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0702996706294238,0,0.07295027818393,0,0,0,0,0,0.315102168494755,0,0,0,0,0,0,0,0,0,0,0,0,0.0906444036420923,0,0,-4.33680868994202e-19,0,0.0894806835093761,0,0,0,0,0.0617094032640789,0,0.108118254571016,0,0,0.0308881719234597,0,0.101786123094268,0,0,0,0,0.00406231126105447,0,0,0,0,0,0,0
X600688.SH,0,0.254966734944527,0.0312121759753511,0,0,0,0,0,0,0,0,0,-0.0313298542708041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138209008469873,-0.034282017895449,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.167414598070244,0,0.0139467393405954,0,0,0,0,0.0217143422466539,0.0466736550398736,0,0.169303559667606,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.102838726619789,0,0,0,0,0,0,0,0,0,0,0.0472680829271961,0.0350564691719936,0,0,0.0361972340206911,0,0,0,0,0.0728074152145138,0,0,0.0647159140184228,0.041063212414679,0,0.0298415283362404,0,0.0303296726303753,0,0,0,0,0,0.0471029958907235,0,0,0,0,0,0,0.026568690274148,0,0,-0.0166392344692332,0,0,0,0,0,0
X002466.SZ,0,0,0,0.00595210016650909,0.0695016590284744,0,0,0,0,0,0,0,0,0,0,0,-0.0603433623845079,0,0.0140700469570674,0,0.502897864975971,0.109973735880125,0,0,-0.0262542947557845,0,0.163266125726292,-0.0498134423745143,0,0,0,0,-0.0584214117770978,0,-0.0436004254962401,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0388810808544893,0,0,2.16840434497101e-19,0,0.00935444018679839,0,0,-0.112179866874993,0,0,0,0
X600660.SH,0,-0.0206061997345285,0,-0.0373819884012877,0,0,0,0,-0.0892586740766304,0,0,0,0,0,0,0,0,0,0,0,0.0151331839360558,0,0,0,0,0.379552077428642,0,0,0,0,-0.0130685049703373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444204641508007,-0.0438371697327364,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.121258091217063,0.288206461268638,0,0,0,0,0,0,0.242380012356209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394281335648802,0,0,0,0,0.322066790899253,0,0,0,0,0,0,0.00383562964028338,0,0,0,0,0.0343099093903671,0.0601166099411218,0,0,0,0,0,0
X600795.SH,0,0.0390926479084317,0,0,0,0,0,0,0.0594936263192642,0,0,0,0,0,0,0,0.0422783705920494,0,0,0.0645356170855531,0,0,0,0,0,0,0.106294966109049,0,0,0,0,0,0,0,0,0,0,0,0,0.0659610212420584,0,0,0,0,0,0,0.0227779197752619,0.0474059342711666,0,0.00765775150910105,0.0029604260959763,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.139958658288123,0,0,0,0.0402259953056701,0,0,0,0,0,0.0310948500263854,0,0,0,-0.100623677985201,0,0,-0.0194273672648759,0,0,0,0,-0.0358207841009458,0,0,0,0,0,-0.0104914641613579,0,0,0,1.04487321896476,0,0,0,0,0,0,0,0,-0.00147582811056597,0,0,0,0.00098899299734901,0.00868359439432373,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,-0.09662165806198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223220756564066,0,0,0,0,0.05083959592774,0,0.0856938914278817,0,0,0,0,0,0,0,0.388222299542992,0,0.0676319512406366,0,0,0,0,0,0,-0.124539136987902,0.0180944182935999,0,0,0,0,0,0
X600516.SH,0,0,-0.649930329240541,0,0,0,0.0638223835288767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374067929220632,0.388162837916642,0,0,0,0,0,0.0960858764618809,0,0,0,0,0.253440321601484,0,0,0.272625357384831,0,0,0,0,0,0.0703984521195685,0.14902742907286,0,0.0596888427749893,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,-0.00843963307667963,0,0,0,0,0,0,0.259419672373171,0.114803200561899,0,-0.0254257462992188,0.137403802335143,0.0452864743408284,0,0,0,0,0,0,0,0.0424642634966333,0.142555757738597,0,0,0.0748217722485818,0,0,0,0,0,0,0,0.0907460438743157,0,0,0,0,0.0427085385756534,0,-0.0438923662195903,0.0945006712360442,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,-0.0962202982921634,-0.042089052190847,0,0,0,0,0.698677321821196,0,0,0,-0.190645805816044,0.0415919462746712,0,0,0,0,0,0,0,0.304850453769307,0,0,0,0,0.0504239829529631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139798332838464,0,0,0,-0.0453964159652604,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795541370772685,0.0902726169026823,0,0,0,0,0.0641116405467173,0.100960897347222,0.0136877181357585,0,0,0,0,0,0,0,0,0,0,0,0,0.185849484118969,0,0.208018707549561,0,0,0,0,0,0,-0.00612619235122398,0,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.0951065193663271,0.139176618299636,0,0,0,0,0,0,0,0,0,0,0,0,0.0683596019467554,0,0,0,0,0,0,0.124861847727817,0,0,0,0,0,0,0,0,0,0,0.489973847352602,0,0,0,0,0,0,0,0.023270544632641,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.163792075514818,0,0,0.0973937653036278,0,0,0,0,0.0161817032781653,0,0,0,0,0,0,0,0,0,0,0.0419099830410166,0,0.073095651654078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480396199360366,0,0.0391324742443604,0.00609226665126005,0,0,0,-0.0263677435995536,0,0,0,0,0,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0641160572833015,0,0,0.138445158754107,0,0,0,0,0.390516088142648,0,0,0,0,0,0,0,0,0.18082649042252,0,0,0.0022088641666493,0,0,0.0362150802861282,0,0,0,0,0,0,0.188280880513297,0,1.73472347597681e-18,0.0797669318800576,0,0,0,0,0,0
X600176.SH,0,0,0,0,0.0516931066141825,0,0,0,0,0,0,0,0.132066172749844,0.302665633059265,0,0,0,0,0.0797783905357067,0,0,0,0,0,0.113722682505176,0,0,0.395108399695246,0,0,-0.0175257452127232,0,0,0,0,0,0,0,0,0,0.105408370014686,0,0,0,0,0,0,0,0,-0.00657818044355903,0.00304132422419227,0,0,0,0,0,0
X000553.SZ,0,0,0,0,0,0,0.0317768109312311,0,0,0,0,0.173023078432464,0,0,0,0,-0.00260106828490547,0,0.238057174205651,0,0,0.324276658326668,0,0,0,0,0,0,0,0,-0.0623046040689294,0,0.174810306746095,0,0,0,0,-0.113836771909492,0,0,0,0,0.0551510913961028,0,0,0.0418388492227246,0,-0.0974371635462727,0,0.0394395718093502,-3.46944695195361e-18,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102478189767505,0,0,0,0.020524698442984,0,0,0,0,0,0,0.0612422899945441,0,0,0,0.217455768310084,0.0922199365598165,0,0,0,0,0,0,0,0.0210656789229095,0.164070264373421,0,0,0,0,0.228721241208327,0,0,0,0,0.0429834889464179,0.0338498463342692,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0.041121149595881,0.0247259029690095,0,0,0.0661735856918991,0,0,0,0,0,0,0,0,0,0,0,0,0.0103741123389761,0,0,0,0,0,0,0,0,0,0,0,-0.0389715237728037,0,0,0,0.16668142052122,0.323769645305659,0.071643301243535,0,0,0,0,0,0,0,0,-0.0159126738751042,0.00377837323703037,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.0996947643884346,-0.0264497235778516,-0.00880331955704972,0,0,0,0.0995123995128891,0.155879783963972,0.0493999327485609,0,0,0,0.105728719341377,0,0,0.211375344253331,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0660076234025423,0,0.0526031806356992,0,0,0,0,0,0,0,0,0,0,0.0927297582623254,0,0,0,0.000881012974354831,-0.0193923059121772,0,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0.232523351558532,0,0,0,0.0290080731080958,0,0,0,-0.0536953063806645,0.0950815335171729,0,0.179596600626995,0.1550048115603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398662568571062,0,0,0,0,0,0,0.0711798648860315,0,0,0,0,-0.00461780106067989,-0.0495380814352738,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0.202444494599046,0,0,0,0,0.143898646385317,0,0,0,0,0,0,0,0.0406526028942635,-0.0221212418569251,0,0,0,0,0,0,0.203652650817414,0,0,0,0,0,0,0,0,0,0,0,0.050884802725099,0,0,0,0,0,0,0,0,0,-0.0113115337111402,-0.00962453562148089,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413117470345284,0,0,0,0,0,0,0,0.23443395515532,0,0,0.0743064186595458,0,0,0,0,0.223759916796007,0,0.238277613636842,0,0,0,0.143867928571475,0,0,0,0,0,-0.063378246050722,0,0,-0.0163038625417803,0.0826065413075298,0,0,0,0,0,0
X000408.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157962405594726,0,0.127577981876361,0,0,0,0,0,0.190439367124247,0.049531400219214,0,0,0,0,0.245845895037124,0,0,0,0,-0.0108787049439248,0,0,0,0,0,0,0,0,0,0,0,0.00789740840633863,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.0854625813812366,0,0,0,0.00348044953785857,0,0,0,0,0,0,0,0,0,0,0,0.264709023197539,0,0,0,0,0,0,0,0,0,0,-0.0640165734805334,0,0.0102165942357639,0,0,0,0,0,0,0,0.184439368057586,0,0,0,0,-0.175494571999619,0,0.0802987516738704,0,0,0.0648460992469255,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302761465677453,0,0,0.0456280356013504,0.0642334748323948,0,0,0,-1.73472347597681e-18,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.138738443558223,0,0.0539480427797508,0,0,0,0.0301985450956752,0,0,0.0134485812278506,0,-0.0149540734602564,-0.00834658095970352,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0.0364997849104914,0,0,-0.0527118544708352,0,0,0,0,0,0,0,0.663676046042265,0,0.032720968214479,0,-0.0598731411478101,0,0,0,0,0,0,0,0,0.04703051010489,0,0,0,0,0,0,0,0,0.0118917676535651,0,0,0,0.0650086562673867,0,0,0,0,0,0,0,0.0136510679515082,0,0,0,0,0,0
X601699.SH,0,-0.059071222143913,0.201508504172748,0,-0.0464849902737783,0,0,0.0390680805548938,0.512547033659558,0,0,0,0,0,0.225017242168178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158361916803935,0.196419341933118,0,0,0,-0.0388540671199527,0,0,0,0,0,0,0,0,0,0,0,-0.069142768984249,0,-0.00352383753543756,-0.0164075595914267,0,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10745135953387,0,0,0,0.20221495649505,0,0,0.0711917704942813,0.0872148566364634,0,0,0.0464528971726655,0,0.162701887277169,0.0367008693292033,0,0,0,0,0,0,0,0.127131116502159,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294450352734687,0.0128235577912128,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0.0152397805169052,0.30350945363328,0,0,0,0,0,0,-0.0654633057278027,0.0880178859605115,0,0.00197682359705744,0,0,0.35518363038271,0,0,0,0,0.0641536522970217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770772004287059,0,0,0,0,0.146345672919828,0,0.0141283791165389,0,0,0.0821082984203706,0,0,0,0
X600426.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0661037527943627,0,0,0.0977116917960271,0,0.149631103748062,0.0359216608937939,0,0,0,0,0.531693362901298,0,0.318795133783481,0,0,0.0087859661075842,0,0,0,0,0,0,0,0,0,0,0,-0.0864379787659574,0,0,0,0.0887545904423523,0,0,0.0722325565799947,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0109983119530529,0,0,0,0,0.0241891280664271,0.047294860904625,0.0312165649255269,0.0271945294791807,0,0,0,0,0,0,0.119376605641085,0,0.0359843957142729,0,0,0,0,0,0,0,0,0,0.102687693196138,0,0,0,0,0.11379533401994,0,0,0,0,0.00885657904624526,-0.010889071857616,0,0,0,0,0,0
X600583.SH,0,0.147215005686657,0,0,0,0,0,0,0.0386967644734446,0.041260087876774,0,0,0,0,0.1447598082657,0,0.0533515614387119,0.174982941376664,0,0.0533611109813155,0,0.118992363863605,0,0,0.104581128319664,0,0,2.77555756156289e-17,0,0,1.73472347597681e-18,0,0.0863534777205038,0.0527391558658123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021871454421343,0,0,0,0,0,0,0
X000630.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106007399792171,0,0,0,0.0394234628064406,0.007560796132243,0.00151766079263106,0.0852669614131563,0,0,0,0,0,0,0,0.0116650584482182,0,0,0.0127550485525466,0,0,0,0,0.0122144748882333,0.1412820474105,0,0,0,0.122568866034514,0,0,0,0,0,0,0.0093595936755706,0,0,0,0,0,0,0
X002470.SZ,0,0,0,0,0,0,0,-0.328405482508055,0,0,0,0,0,0,0,0,0.22411140786245,0,0,0,0,0,0,0,0.0474021571459107,0,0.0541002024949719,0,0,0,0.273147475102112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114938731003575,0.117262580588436,-0.902949688913487,0,0,0,0,0
X600315.SH,0,0,0,0,0,0,0,-0.0118842343693264,-0.0466721478643618,0,0,0,0,0,0,0,0,-0.0231656535384725,0,0,0,0,0,0,0,0,0,0,0,0.133532753334699,0,0,0.133085953405894,0,0,0,0,0,0,0,0,0,0,0,0.134999450436578,0,0,0,0.302199724069136,-0.054830210374939,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00856683441158386,0,0,0,-0.251063180245057,-0.0381760128078008,0,0,0,0,0,0,0,0,0,0.224541657838795,0,-0.143980343537066,0,0,0,0,0,0.0754901784403087,0,0,0,0.0590055477156647,-0.21557805050616,0,0.0870796107078236,0,-0.32294932715927,0.118379059160059,0,0,0,0,0,0
X000932.SZ,0,0,0,0.0242878630449349,0.566648217606806,0,0,0,0.0883334935073392,0,0,0,0,0,0,0,0,0,0.0436449128166118,0,0.17772206354337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346119645620573,0,0,0,0,0,0,0,0,0,0.0685165590202332,0,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0,0,-0.154445457035714,0,0,0,0,0,0,0,0,0,-0.00956009430007441,0.051462126925995,0,0.0796403652897943,-0.114626789198029,0,0,0.0574337267840102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0886900264513041,-0.126524408184078,0,0,0,0,0,0,0,0,-0.037940984118391,-0.0827679907230613,0,0,0,0,0,0
Slope,0,0,0,0,0,0,-0.294119310053353,0.0479911255686447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.369878548559449,0,0,0,0,0.156747930753169,0,0,0,-0.219648224269616,0,0,0,0,0,0.00566353499043777,0,0,0,0,0,0,0.126691702765385,0,0,0.48246931542136,0,0,0,0,0,0
TED,0,0,0,0,0,0,-1.55649085773241,0,0.341387762480054,0,0,0,0,0,0,0,0,0,0,1.15443402331408,0.979867507276864,0,0,0,0,-1.15796888277249,0,0.309706447926955,0,0,0,0,0.114985339230219,0,0,0,0,0,0,0,0,0,-0.569703504407518,0,0,0,0,0,-1.86736204480469,0,0,0,-0.73029789828907,0,0,0,0
