,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X600027.SH,X600111.SH,X601992.SH,X300072.SZ,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X000932.SZ,X600808.SH,X000709.SZ,X000786.SZ,X600426.SH,X600801.SH,X000883.SZ,X601158.SH,X600339.SH,X600219.SH,X601699.SH,X600583.SH,X600985.SH,X000830.SZ,X000408.SZ,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0786863861649334,0,0.0293036174592958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0786874797467668,0,0,0,0.123340756603363,0,0,0,0,0,0,0,0.000831949825633131,0,0.0239625853970034,0,0.103145390250668,0,0,0,0,0,-0.00172358581909272,-0.0122234940664677,0,0,0,0,0,0
X600028.SH,0,0,0.296848134189017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064324833458589,0,-0.0920925733506331,0.138121057943907,-0.0691525054820392,0,0,-0.00724049891286852,0,0,0,0,0,0,0,0.0108067218919626,0,0,0,0.0681621648371887,0,-0.00909558209658515,-0.00623909471141748,0,0,0.00478931973958488,0.00402670015226717,0,0,0,0,0,0
X601088.SH,0,0.0718841886717785,0,0.060343920248936,0,0.0416771164331116,-0.0802612024818553,0,0,0,0,0,0.498342687937289,0,0,0,0.116708799500405,0,0.0405881049135526,0,0.0107078374791547,0,0,0,0,0,-0.0293424813947501,0,-0.0652368757244848,-0.0615102206058508,0,0,0,0,-0.0679391355088918,0,0,0,0,0,0.0748167683494486,0,0,0,0,0,0,0,0,-0.00839395243060053,-0.0195062867282207,0,0,0,0,0,0
X600585.SH,0,0,0.233471675786573,0,0,0.00446392765874901,-0.00423772194281449,0,0,0,0,0,0.0383784450958117,0,0,0,0,0,0.110278615156972,0,0,0,0,0,0,0,0,0,0.0913736448881592,0,0,0,0,0,0.126533487127478,0.0271715974128544,0.312942677442516,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123358073504076,0,0,0,0,0,0
X600019.SH,0,0,0.129362489776269,0.162914395371945,0,0.177885544184417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0178221347480547,0.149607232022478,0,0.271977781691484,0,0,0,0,0,0,0,-0.0267033573258254,0,0,0,0,0,0,0.0482957508322916,0,0,0.00372318578252771,0.00497274280542781,0,0,0,0,0,0
X600309.SH,0,0,0,0.0499682723970346,0,0,0,0,0,0,0,0,0,0,0,0,0.181251489284464,0,-0.247025474782887,0.447853803553565,0,0,0,0,0,0,0,0,0,0,0,0,-0.233524315777446,-0.25624578641654,0.13723590189065,0.0391108511621403,0.00213919076697051,0,0,-0.0287490253327063,0,0,0,0,0.146057711374159,0,0,0,0,0.0434196579316959,0.0805724479015613,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0650116924017028,0,0,0,0.0408299821274073,0,0,0,0,0,0.127457545022693,0,0,0,0.104084745321585,0,0.646290947246781,0,0,0,0,0,0,0,-0.0221768106847573,0,-0.0608914176241472,0,0,-0.0297827491383442,0,0,0,0,0,0,0,0,-0.0194911709951599,0.184844145922848,0,0,0,0,0,0.0122030026352576,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0352517331115705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268636662389748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405453814593322,0,0,0.0238413702129959,0.224325506374606,0,0,-0.0233141075335526,-0.109149981175896,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263741384447017,0,0,0,0,0,0.072384508815083,0,0,0,0.0495522423269235,0,0.106729857172105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331334557869161,0.0489736697236918,0,0.0308411393677452,0,0,-0.00289151587443275,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998315970824133,0,0.143592446564926,0,0,0.011586045563685,0,0,0,0,0,0,0,0,0,0,0,0,0.0400598401866302,0,0,0.124798776300797,0.0764075299175565,0,0.069933254111961,0,0,0,0.00153332109414554,-0.00196777858673707,0,0,0,0,0,0
X600660.SH,0,0.0344795492594349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262331398633734,0,0,0.0380832005724296,0,0,0,0,-4.33680868994202e-19,0,-0.0133232965600778,0,0.0811069299829454,0,0,0,0.0374138688370261,0.166544538028178,0,0,0,0,0,-0.0584355838438648,0,8.67361737988404e-19,0,2.16840434497101e-19,0,0,0.0930195975881661,0.00320527406133781,0.024699900113011,0,0,0,0,0,0
X600688.SH,0,0.346406253527672,0,0,0,0,0,0.00450757630825114,0,0,0,0,0,0,0,0,0.171686157536729,0,0.0566655903618735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177070179894407,0,0,0,0.011743567703984,0,0,0.0447508195096418,0.084787976563647,0,0,0,0,0,0.00518025753643633,0,0,0.0180904477423744,0,0,0,0
X600188.SH,0,0,0.365933816942841,0,0,0,-0.0209442657998102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161411962429574,0.162497802788334,0,0,0,0.0101705096119215,0,0,0,0,0,0,0.416794013836291,0,0.0992494378040818,0,0,0.107768978323832,0,0,-0.018809932721435,-0.0326461595841014,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.147514331241575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150489056774195,0,0.0220315070674716,0,0,0,0.00406781427116039,0,0,0,0,0,0,0,0,0,0,0,0.17035446871808,0.254367656996818,0,0.0585247613628806,0,0.0480620633975007,0,0,0.0123573123593362,0.0221194578463298,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.33101925308352,0,0,0,0,0,0,0,0,0,0,0.0377592191324417,0.0810795018456359,0,0.0845912938038784,0,0,0,0,0,0,0.0707793796576271,0,0,0,0,0,0,0,0,0.0614560238893527,0,0,0,0,0,0.017671172010064,0,0,0,-0.0046935716736298,-0.00296483046379591,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.0804726270330941,0,0,0,0,0,0,0,0,0,0.068731525845819,0,0,-0.00878048234536811,0,0.251828422011108,0,0,0,0.197625130379908,-0.180202241494968,0.079072231675413,0,0,0.0274520439015032,-0.00243166522664421,0,0,0.00935514199683561,0,0,0.232981222296599,0,0,0,0,0,0,0,0,0,0,0.0543965157856263,-0.00294920546155519,-0.00370020710219165,0,0,0,0,0,0
X600362.SH,0,0,0.0850350335425166,0,0.0812515608806804,0.140753320818637,0,0,0,0,0,0,0,0.391641586924505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0989657088441799,0,0.0358891527727676,0,0,0,0,0,0,0,0.00640971330979773,-0.000771243205241538,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109918762434181,0,0,0,3.46944695195361e-18,0,0.0442816372083654,0,0.0840225262681078,0,0,0.122935028774164,0,0.0744165774342256,0,0,0,0,0.033102295774105,0,0,0,0.0129614419764333,0,0,0.279930887831846,0,0,0.00351375841385094,0.00649686173162047,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.134122939677452,0.0815241687534076,0,0,0,0,0.515682086465853,0,0,0,0,0,0,0,0.000583401169064381,0.299931050402448,0,0,0,0,0,0.37448275044065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,-0.431300305369037,0,0,0.00682712749227928,0.00723041209216169,0,0.473112763137733,0,0,0,0
X600516.SH,0,0,0,0,-0.0235963368029773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0926410308059203,0,0,0,0,0,0.0443282841093573,0,0.191714377383176,0.344184740704285,0,0,0,0,0,0,-0.108530353339608,0,0,0,0,0,0,0,0.462125006153731,0,0.0470459290123456,0,-0.074339305879717,-0.0286665674888316,-0.0275252378957662,0,0,0,0,0,0
