,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601600.SH,X601991.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X600547.SH,X600516.SH,X601992.SH,X002466.SZ,X600111.SH,X600027.SH,X600176.SH,X600352.SH,X600299.SH,X600808.SH,X000709.SZ,X300072.SZ,X002110.SZ,X002460.SZ,X000553.SZ,X600801.SH,X000786.SZ,X600339.SH,X600583.SH,X000932.SZ,X600426.SH,X601158.SH,X000883.SZ,X000629.SZ,X000301.SZ,X600219.SH,X600489.SH,X000792.SZ,X601699.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.120426039484067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373855876185333,0,0,0.028760584779646,0,0,0,0,0.137552334319801,0,0.102136264979318,0.0737357297713375,0,0,0,0,0,0,0,0,0,-0.100247640568726,0.0010498505864388,0.00970105337316085,0,0,0,0,0,0
X600028.SH,0,0,0.287309876411615,0.0480164492849388,0,0,0,0,0,0.117766434968475,0,0.0123071445035836,0,0,0,0,0,0,-0.0488989038218197,0,0,-0.0587241670463929,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0.0156583127043628,0,-0.043183262970055,0,0,0.0595554248500349,0,0,0,0,0,0,0,0,0,-0.138570632186262,0.0115469241709849,0.0223998367747468,0,0,0,0,0,0
X601088.SH,0,0.0794038379790376,0,0,0.0323883111140198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773698817140197,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331903048741152,0,0,0,0,0,0,0,0,0,0,0.470968959184992,0.0374821454011547,0,-0.00435368243431169,-0.0285915197687045,0,0,0,0,0,0
X600585.SH,0,0,0.212150558853777,0,0,0,0,0,0,0,0,-0.0922255408754216,0,0,0,0,0,0,0,0,0,0.0782655356625987,0,0,0,0,0,0,0,0,0,0,0.0714453315888403,0.33263549153947,0.244775506719822,0,0.102258644730206,0,0,0,0,0,-0.100421198895106,0,0,0.00866423822432723,0,0,0,-0.0075284134500811,-0.0126984138984628,0,0,0,0,0,0
X600019.SH,0,0,0.0748797375368408,0,0,0.0833606710025373,0,0,0,0,0,0,0,0,0,0,0,0.0845523283378674,0,0,0,0,0,0,0,0,0,0,0,0,0.157666703423354,0,0,0.0253261591467339,0,0,0,0.323125084615264,0,0,0,0,0,0,0,0,0,0,0,0.00866197822217582,-2.16840434497101e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0209597087830339,0,0,0.0533386953318545,0,0,0,0,0,0,0,0,0,0.422906726489088,0,-0.0789099656138958,0,0,0,0,0,-0.233467733490145,0,0,0,0,0,0.185221628289115,0.21972729209501,-0.0355031560339375,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0590751946743054,0,0,0,0.0415023206804278,0.0458047979499365,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103131764270097,0,0,0,0,0.750695727881519,0,0.0541503821581993,0,0,0,0,0,0.0259009024348208,0,0,0,0,0,0,0,0,0,0,0,0,-0.136103206322952,0,0,0.0289862214259984,0,0.00564544262964287,0.0200839273167559,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177772983584924,0,0.318692566184409,0.0539505294901755,0,0,0,0,0,0,0,0.135372473916501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0874202502506246,0.061506234678126,0,0.109556273185034,0,0.00954368396668676,-0.00715026664200656,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.239591166329223,0,0,0,0,0,0,0,0.0840879722799575,0.0179524109373076,0,0,0,0,0,0,0.0558903919465116,0,0,0.0949070585195447,0,0,0,0,0,0,0,0,0,0,0,0,0.125201305351411,0,0.0437608333209559,0.0689121416647795,0,0,-0.00958621608912508,-0.00608050430196737,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0523177471078375,0.0178004662082667,0,0,0,0,0,0,0,0,0,0.0160347367672755,0,0,0,0,0.309266538698469,0,0,0,0,0,0.000986487555280489,0,0,0,0,0,0,0,0,0,0,0.0777554104505448,0,0,0,0,0,0,0,0,0,0,0,0.0158514076934382,0,0,0,0,0,0
X600688.SH,0,0.351381574759846,0.0547948700570589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227491899052489,0,0,0,0,0,0,0,0,0,0,0,-0.00422148385914341,0,0.0696372977564838,0.0233341686014982,0,0.0176878523000677,0,0,0,0,0,0,0,0,0,-0.0333467003553899,0.00787023136114906,0,0,0.0555864452356452,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.000982875323460097,0,0,0,0,0.0856625340789101,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.046426803294477,0,0,0.0550840857381549,0,0,0,0,0.132618909395297,0,0,0,0.358462684008469,0,0,0,0,0,0,0,0,0.0452248628676946,0.0515815531028917,0,0,-0.00100059727654974,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0158544524940497,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159826009134822,0,0,0.116244160263911,0,0,0,0,0,0,-6.93889390390723e-18,8.67361737988404e-19,0,0.0351659800571575,0,0.01809884393882,0.126972580633457,0,0,0,0,0,0,0,0,0.0932887990475332,0,0.067459694377255,-0.0329667070132108,2.16840434497101e-19,-1.0842021724855e-19,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.336074503752178,0,0,0,0,0,0,0,0,0,-0.028865684364192,0,0,0,0,0.0535118423619319,0.0969634416631054,0,0,0.0546377306346513,0,0,0.0108486656120894,0.085070118556594,0,0,0.146130152262248,0,0,0,0,0,0,0,0,0.261533591530529,0,0,0.000670228339655557,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.0181214442922494,0,0,0,0,0,0,0.00892352670793772,0,0.0298907065327191,0,0,0.274127840445558,0.0264775967412253,0.054245232347757,0,0,0,0,0,0.0504905280356534,0,0,0,0,0,0,0,0,0,0,0,0,0.105385552300815,0.0614537503073413,0,0,0,0,-0.00318228449220965,0,0,0,0,0,0
X600886.SH,0,0.126104811406628,0,0,0,0,0.178425093099862,-6.93889390390723e-18,0,0,0,0.0573987259543871,0,0,0.0662235910612742,0,0,0,0,0,0,0,0,0.0126651637371535,0,0,0.0910434686804426,0,0,0.0221596276842353,0,-0.0416784566512356,0,0,0.0644769833763956,0,0,0,0,0,0,-0.0629321820900696,0,0,0,0.0494730967467331,0,0,0,-0.000557171253065673,0,0,0,0,0,0,0
X600362.SH,0,0,0.155479117207569,0,0.187971673135222,0.0400857543655234,0,0,0,0,0,0.180432868484606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118708826890698,0,0,0,0,0,0,0,0,0,0.0335167020903821,0,0,0,0.00244522573585015,-0.00598524025062077,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0259120262455946,0,0.146119560714402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285421008633467,0,0,0.0933083318089123,0,0.0661734483277256,0.0557175991989036,0,0,0,0.0528314078602738,0,0,0,0,0,0,0,0,0,0,0,-0.00390468839231429,0.00177270018596969,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089459311150557,0,0,0,0,0,0,0,0.0244527043427515,0,0,0,0,0,0,0,0,0,0,0,0,-0.0386731033208392,0,0.705010425656338,0.0608107588457342,0,0.033405183600007,0,0.0129461122990255,0.0262406866110897,0,0,0,0,0,0
X600516.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309981699445573,0,0,0,0,0,0,0,0,0,0,0,0.205607892951163,0.120527479316976,0,0,0,0,0.0672778317034704,0.116278145621713,0,0,0.0110532517801948,0,0.154377992640069,0,0,0,0,0.155763318457223,0,0,0,0,0,0,-0.0267741258452018,-0.0300678319702241,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.25380205896316,0,0,0,0,0,0,0,0,0,0,0,0.179504569176586,0,0,0,0,0,0,0,0.17651475026888,0,0,0,0.112778458810632,0,0,0,0,0,0.0520102759709657,0,0,0,0,0,0,0,0.105655988887064,0.043282175463425,0,0,-0.0159286572757543,-0.0291480081850091,0,0,0,0,0,0
X002466.SZ,0,0,0.0176441929664937,0,0,0,0.115740475619041,0,0,0,0,0,0,0,0,0,0.103840391443615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.692529453671967,0,-0.29439811693864,0,0,0.0929811138490528,-0.0281977346309317,0,0,0,0,0,0,0,0,0,0.17648249455725,0,0.0101594524704515,-0.0289644524568953,0.367165451332604,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.106855029515738,0,0,0,0.177633060372464,0,0,0,0,0,0,0,0.0104716811750666,0.0721731708393771,0,0,0,0,0.0834202125424964,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0684805194684618,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0131084297798426,0,0,0,0,0,-0.00102223789701165,0,0,0,0,0,0
X600027.SH,0,0,0,-0.0943689747897037,0,0.0460106912657091,0.283476054619068,0,0,0,0,0,0,0,0,0.403969440319447,0,0.292591914773511,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,-0.151085902446732,0,0.0924954304201055,0,0,0,0,0,0,0,0,0,-0.0448637537245018,-0.0174719592205512,0.000991381511577143,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0.200535405157465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254808792633739,0,0,0.148233383151778,0,0,0,0,0,0,0,0.0664233460551979,0,0,0.0611865729932226,0,0,0,0.00849808672766829,0,0,0,0,0,0,0
