,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X601600.SH,X600795.SH,X600027.SH,X600362.SH,X600188.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X600352.SH,X000709.SZ,X600299.SH,X600516.SH,X600489.SH,X002460.SZ,X601158.SH,X600808.SH,X000629.SZ,X600219.SH,X600801.SH,X000786.SZ,X000825.SZ,X000883.SZ,X000539.SZ,X300072.SZ,X600612.SH,X000553.SZ,X000301.SZ,X000408.SZ,X600583.SH,X000027.SZ,X002110.SZ,X002470.SZ,X000630.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.135908422289568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266740004724917,0,0,0,0,-0.0653070919984992,0,0.0655478764329434,0.109818825792855,0,0,0,0.0326996374807736,0,0,0.237020907378243,0,-0.0251432670503656,0.035909085112591,0,0,0,0,0,0
X600028.SH,0.00703020875860951,0,0,0,0,0.104721357959071,-0.0192816750149882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465422891164726,0,0.0768097951272359,0,0,0.137513132721615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353085072331186,0,-0.00834560171033662,0.19091076503058,0,0,0,0,0,0
X601088.SH,0.36055302926744,0,0,0,0,-0.169285921738737,0,0,0,0.154875722974967,0,0,0,0,0,0,0,0,0.0371127017852173,0,0,0.0282062326091382,0.1207446796239,0,0,0,0,0,0,0,0,0,0.0784676595400143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612217135496786,0,0,0,0,0.00472374805006824,0,0,0,0,0,0,0
X600585.SH,0,1.73472347597681e-18,0,0,0,0.0719351764834211,0,0.0322608056829048,0,0,0,0,0,0.0417840618398309,0,0,0,0,0,-0.10628291130767,0,0,0,0,0.150143731629411,0,0,0,0,0,0,0.0525767752461915,0.0254212037064146,0,0.600443067820719,0,0,0,6.93889390390723e-18,-4.33680868994202e-19,0,0,0,0.0873167417409081,0,0,0,0,0,0,0,-0.00394511186647343,0,0,-0.0992183836814954,0,0,0,0
X600019.SH,0,0.0661730827101665,0.0402059312489015,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0.0351770023403826,0,0.481991344487358,0,0,0,0,0,0.0826515884941478,0.0618542272808359,0,0,0,0,0,0,0,0,0,0,0,0,0.0711440934191589,0,0,0,0,0,0.0731274767729418,0.0225361624708647,0,0,0,0.00247967661556779,0.0452398566875007,0,-0.0293847342517842,0,0.0743486470592697,0,0
X600011.SH,0,0,0,0.140972195459846,0,0,0.0254363500135656,0,0,0,0,0,0,0,0,0,0.678881146418161,0,0,0,0,0,0,0,0.092197129633767,0,0,0,-0.179695847153415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083532388339769,0,-0.0865488628328614,0,-0.00759217840433406,0.0302931169270982,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.137100419075218,0,0,0,0,0,0,0,0,0,0.235657731877201,0,0,0,0,0,0,0,0,0,-0.144748409782884,0,0,-6.93889390390723e-18,-0.0799471968901651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554585459330044,0,0,-0.65412968095609,-0.0635641627143052,0.063273175329086,0,0.0744925906513996,0,0,0,0
X600010.SH,0,0.0920521609227773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182352488987085,0,0,0,0,0,0,0,0,0,0,0,0,0.159975218747005,0.237435345579019,0.0797009510869642,0,0,0,0,-0.0318578498797962,0,0,0.0560826362539874,0,0,0,0,0,0,0,0,-0.00453862584808057,-0.0124899701835756,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.51026134834803,0.0980383361022619,0,0,0.00341489829886221,0,0,0,0,0,0,0.0150601288923573,0.11598812897602,0,0,0,0,0,0,0,0,0,0,0.00158177935118543,0,0,0,0,0,0,0
X601898.SH,0.323262034048105,0,0,0,0,0,0,0,0,0,0.267912534567635,0,0,0,0,0,0,0,0.194057499714413,0,0,0,0,-0.0514325970608988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173529816880908,0,0,0.0646406548144831,0,-0.0064323576415262,0,0,0,0,-0.0359086398856858,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0.161755448120369,0,0,0,0,0,0,0,0,0,0,0,0.147128930489102,0,0,0,0,0,0,0,0,0,0,0,0,0.112780880337476,0,0,0,0,0,0,0,0.0133893717317419,0,0,0,0,0,0,0,0.00858002458465046,-0.0217995895213058,0.0211431689231874,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.252408206730527,0,0.202253633099281,0,0,0,0,0,0.198116936966668,0,0,0,0,0,0.216258734439103,0,-0.065213467670409,0,0.0305484554175533,0,0,0,0.18332891256782,0,0,0.0217003132511088,0,0,0,-0.0744817994289728,0.305057648110637,0,0,0,0,0,0,0.0837172649094234,0,0,0.109549174489438,-0.000744036061213047,0.0497767278849728,-0.248332316917277,0.145397910003281,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0.348603608066809,0,0,0,0,0,0,0,-0.011964678759868,0,0,0.0770217587091738,0,0,0,0.0100010902185502,-0.0605677347764948,0,0,0,0.448635255036119,0.0366562902160555,0,0,0,0,0,0,0,0,-0.102346308216293,0,0,0,0,0,0,0,0,0.00583704136443163,-0.0166161182068328,0.0330520950054871,0,0,0,0,0,0
X600886.SH,0,0,0,0.03431553741377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180639122754535,0.0919430200661586,0,0,0.0882548812194445,0,-2.16840434497101e-19,0.00121920215615625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827644762822701,0,0,0,0,0,-0.0240624354138708,0.0115530973370809,0.0144079629527407,0,0,0,0.081227558704751,0,0
X601600.SH,0,0,0,0.139845369606125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205318551899042,0,0.0931314538583192,0,0,0,0,0,0.0779674217821837,0,0.0657532586669753,0,0,0.0100443480710368,0,0,0,0.0562340881701368,0,0,0.0280114682113599,0,0,0,0.0358947462695311,8.67361737988404e-19,0,0,0,0,0.137494137459652,0,-0.00551839685950847,-0.035770714116382,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588639270573437,0,0,0,0,0.0428979126509792,0,0.0527948403382533,0,0,0,0,0,0.0993432959408336,0,0,0,0,0,0,0,0,0.0328698876031721,0,0,0,0,0,0,0,0.186372205388784,0,0,0.0131476321798981,0,0,0,-0.000313657026818857,-0.00539345046743761,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0.526908940513939,0,0.110109181498718,0,0,0,0.0721634137314031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165571571532246,0.0269651572456065,0,0,0.340062068572247,0,0,0,0,0,0,0,0,0,0,0,0,0.029111361132382,-0.0784262904681063,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124725929041562,0,0,0,0,0,0,0,0,0,0,0,0,0.21574097028471,0,0.095634797156952,0,0,0,0,0,0,0,0,0,0,0,0,0.0316911330200415,0,0.0207631123034909,0,0,0,0,0.0432632372487583,0,-0.0099625172094683,-0.00694750961081194,0,0,0,0,0,0
X600188.SH,0,0,0.346681464324426,0,0,0,0.191936188993282,0,0,0,0,0.21668322261156,0.12499923741109,0,0,0,0,0,0,0,0,0,0.0367860571677583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073375561846492,0,0,0,0,0,0,0.0558454211895697,0.0344089906895176,0,0,0,-0.0185920365925428,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0.066907428420238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113278189603591,0,0,-0.055603699473722,0,0,0,0,0,0,0.328155530567748,0.213715341148794,0,0,0,0,0,0,0.332820671559432,0,0,0,0,0,0,0,0.0131958907418772,-0.0523042555712304,0,0,0,0,0,0
X000898.SZ,0,0,0.0853285813721684,0,0.418635657661127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00667520629934056,0,0.0278013351921569,0,0,0,0,0,0.045863879250512,0,0,0,0,0,0,0.232423432464562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0974115599032411,-0.0810900980135647,0,0,0,0,0,0.045422546241402,0,0
X002466.SZ,0,0,0.130296892180501,0,0,0,0,0,0,0,0.224067101547363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793169139930567,0,0,0,0,0,0,0,0,0,0.118179272090229,0,0,-0.0912309544280865,0,0,0,0,0,0,0,0,-0.00751687757297627,0.061954113582229,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0795203435030855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112644369884821,0,0,0,0,0,-0.0412520120338155,0,0.358700569809736,0.0623165231295631,0,0,0,0.209228875649645,0,0.303176501052944,0,0,0.118839509466133,0,0,0,0,0,0.180404518610739,0.0103763195479102,0,0,0,0,0,0,0
