,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600027.SH,X600188.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X000709.SZ,X600111.SH,X600352.SH,X600299.SH,X002460.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X002271.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600612.SH,X600021.SH,X000539.SZ,X600157.SH,X000630.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.393529553312604,0,0,0,0,0,0,0,0,-0.0736613222424733,0,0,0.0856865908507255,0,0,0,0,0,0,0,0,0,0,0,0.163242861440569,0,0,0,0,0,0,0,0,-0.0311412607015282,0,0,-0.024265346348515,0,0.0360337310889881,0,0,0,0,0.0150605363601995,0,0.0604808005419492,0.0245503400108179,0,0.0069086912965052,0,-0.00833773198374869,0.00402931958372017,0,0,0,-0.0050205524471068,0,0
X600028.SH,0.319329372391935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190263351034748,0,0,0,0,0,0,0,-0.103253077911138,0.0421294024115695,0,0.101941484091087,0,0,0,0,0,0,0,0,0.163689804897274,0.284859308370534,0,0.12177981340579,0,0,0,0,-0.112284794425469,0,0,0,0.00554437539777232,0.0990301197109078,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,-0.193041673723731,0.0162383253427274,0,0,0,0,0,0.0628196423835381,0,0,0,0,-0.0400984368199307,0,0,0,0.138962641470325,0,0.0940858956303936,0,0,0,0,0,0,0,0,0,0,0,0.0492507926249902,0,0,0,0.0557048376688276,0,0.118599948748974,0,0,-0.139420180046681,0,0,0.0260956639623528,0,0,0,0.0155761772931336,0,0,0,0,0.0998399710844074,0,0
X600585.SH,0,0,0.013846414681457,0,0,0,0,0.115937270286099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504310803196423,0,0,0,0,0,0.176574648514406,-0.112199066514087,0,0,0.4831054439485,0,0,0,0,0,0,0,0.090664465829871,0,0.0483845332640292,0,0,-0.311624785769318,0.00307426738923073,0,0,0,0,0,0,0,0,0.0592541602210134,0,0
X600019.SH,0,0,0.0389677535615569,0,0,0,0.0191326049878836,0,0,0,0,0,0,0,0,0,0,0,0.033580421889077,0.148428288721306,0.0426554868044984,0.0336059822114989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182664595164816,0,0,0,0,0,0,0,0,0,0.017123810527448,0.0198316541515977,0,0,0,0.0645424690003873,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.530164082026962,0,0,-0.00763538804678041,0,-0.139636454446934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182387451682862,0,0.124809130599562,0,0,0,-0.00388739823878838,0,0,0,0,0.00862231317609048,0,0,0,0,-0.0277072395981004,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240673123936386,0,0,0,0,0,0,0,0.145473314285648,0,0,0,0,0.452725852827184,0,0,0,0,0,0.297687545264551,0,0,0.027275783364342,0,0,0,0,0,0.0259347261159833,0.0287911861284264,0,0,0,-0.00449625618402493,0.0507280520273808,0,0,0,-0.0091634636411009,0,0
X600010.SH,0,0,0,0.0360675730798347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116019997852416,0.102104273867197,0,0,-0.0351112991102081,0.069050180025679,-0.189775775231373,0,0.209950409698526,0,0,0,0,0,0,0,0,0.253748624598587,0,0,0,0,0,0.157333842987236,0.0737943279399455,0,0,-0.00594499399923009,0,0,-0.0189836635914842,0,0,0,0,0.01122584187588,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110109684500188,0,0,0,0,6.93889390390723e-18,0.813710506780813,0.0510533955925122,0,0,0,0,0,0,0,0,0,0,0.0316090539977916,0,0,0.0602548659299436,0.0552949279108041,0.102406291555182,0,0,0,0,-1.42003591875005e-06,-0.0100564190074895,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.135554312008281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643542757408759,0.0876257003702032,0.000198639516006227,0,0,0,0,0,0,0.0441506219241091,0,0,0,0,0,0,0,0,0,0.0325049219895927,0,0,0,0,0,0,0,0.0481744540850063,0,0,-0.00424550296424807,0.01385517408174,0,0,0,0.0117860398181157,0,0
X600660.SH,0,0,0,0,0,0,0.0537805540789995,0,0,-0.134297667095381,0,-0.104391926146757,0,0.327223962478132,0,0,0,0,0.178344125524557,0,0,0,0,0,-0.206945095349339,0,0.0406501337356769,0,0,0.0341378982655922,0,0,0,0,0,0.0602268335307898,0,0,0,0,0.310064601594684,0,0,0,0,0,0,-0.010176295380466,0,0,0.0789710741760917,0,-0.0327892702077104,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057920207168552,0,0.129392313489444,0,4.33680868994202e-19,0,0.0500619667397314,0,0.0119819030416023,0,0,0,0,0,0.0785305337274866,0,0,0,0,0,0,0,-0.0450811406777323,0,0,0,0.0366390003901084,0,0,0,-0.022283630016159,0.00690886929713654,0,0,0,-0.0280169143170011,0,0
X600886.SH,0,0,0.0310773241391901,0,0,0,-0.0690756439453784,0,0,0,0,0,0,0,0,0,0,0.0454301135043051,0,0.161122953889979,0.0228502716233526,0,0,0,0,0,0.241901332361925,0,0,0,0,0,0,0,0,0,0,-0.0671925643308669,0,0,0,0,0,0,0.126187035990512,0,0,0,0,0,0,0.0181382395990103,-0.0307585489333065,0,0,0,0,0,0
