,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600352.SH,X600547.SH,X600660.SH,X601991.SH,X000723.SZ,X600886.SH,X600688.SH,X600188.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600027.SH,X600801.SH,X000898.SZ,X600111.SH,X600176.SH,X600299.SH,X002466.SZ,X002460.SZ,X000709.SZ,X000990.SZ,X000786.SZ,X600219.SH,X000629.SZ,X000553.SZ,X002110.SZ,X600808.SH,X002271.SZ,X000825.SZ,X000883.SZ,X601158.SH,X600489.SH,X600583.SH,X600985.SH,X600157.SH,X000630.SZ,X600339.SH,X000301.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0194520877705386,0,0,0.0316263164973065,0,0,0,0,-0.00718182458680397,0,0,0,-0.011633076095744,0,0,0,0.165130291127268,0,0.0236596974469096,0,0,0,0,0.0154929644028995,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116342727085579,0.00453126224161813,0,0,0,0,0,0,-0.0203861768606739,0,0,0,0,0,0
X600028.SH,0,0,0.0959331843191466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046878022932128,0.0873082257719292,0,0.0562357741037737,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852552948724712,0,0,0,0,0.106314108441033,0,0,-0.0243262095923557,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0109803057581536,0,0,0,0,-0.0582327023123594,0,0,0,0,0,0,0.0989318323248601,0,0,0,0,0,0.187988799073065,0,0.0238051345055899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560493859679459,0,0,0,0.113630454966963,0,-2.16840434497101e-19,-0.0118957330635073,0,0,0,-0.0615904896306381,0,0
X600585.SH,0,0,0,0,0,0.115994792182393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00667993059613601,0,0,0.482953900669124,0,0,0,-0.00177293730828925,0,0,0,-0.0172419666320816,0,0,-0.0304398268643785,-0.0076555144928705,0.0615043926622604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0159788573310066,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0808812200782839,0,0.053082038667857,0.128159868667348,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0868378533927171,0,0.113622223957796,0,0,0,0,0,0,0,0,0,0,0.0868887132554015,0,0,0,0,0,0,0,0,0.034718678561493,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113178616677043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00728426067467164,0.0170695368870872,0,0,0,0.150990538349873,0,0.0158655258033536,0,0,0,0,0,0,-4.33680868994202e-19,-0.0253696087769758,0,0,0.450521935978058,0,-0.0175136499194037,0.028456995570357,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790526589265286,0,0,0,0,0.413557196786707,-0.110332756558748,0,0.610653985186931,0,0,0,0,0.0155335446880574,0,-0.00440138415460841,0,-0.0164959895020747,0,0,0,0,0,0,0.0602707835802395,-0.0746977630113815,0,0,0,0,0,0,0,0,0,0,0,0.00681974811375051,0.0436328337475403,0,0.0261875347233934,0,-0.0248341330259068,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0480367073827208,0,0,0,-0.017011494737197,0,0,0,0.163881282845173,0,0,0.0453688006893091,0,0,0,0.196510796471037,0,0,0,0,0,-0.0181178165571007,0,0.286357709455178,0.0334404293620669,0,0,0,0,0.0556717001587094,0,0,0,0,0,0.0915542276144802,0,0,0,0,0,-0.016101898447298,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0.0146910564628472,0,0,0,0.183532044585297,0,0,0,0,0,0,0.135244562401484,0,0,0.0714181069781322,0,0,0,0,0.282753132272819,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00929016494129217,0,0.159662135196434,0,-0.0101880258918724,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.218710938536143,0,0,0,0,0,0,0,0,0,0.324794991071654,0,0,0,0,0,0,0,0,0,0,0.00393294399229769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162936141101297,0,0,0,0,0,0,-0.00392788466158292,0,0,0,0,-0.0338857439230856,0,0
X600352.SH,0,0,0,0,0,0.0250544058153982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227539580805681,0,0,0,0,0,0,0,0.0172713393311603,0.229505343084148,0,0,0.0674486657998289,0,0,0,0,0,0,0.0136782694186803,0,0,0,0,0,0.0680175913136961,0,0,0,0.0345783760651836,0,0,0,-0.279936580055709,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156986280455887,0,0.107694006761645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.732528962917373,0,0,0,0,0,0,0,-0.0640003566604478,-0.0067494868720295,-0.055073367591191,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0494080878143214,0,0,0,0.0775560223231918,0,-0.0572521345953991,0,0,0,0,0,0.0249676358241159,0,0.0844744667239136,0,0,0.031464394274073,0.220940253810694,0,0,0,0,0,0,0,0,0,0,0,-0.050685666384339,0,0,0,0,0,0,-0.00490634429020105,0.0174691430122102,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.160485943816236,0.132897728434066,0,0,0,0,0,0,0,0,0,0.00638000442743956,0.0951220459585707,4.33680868994202e-19,0,0,0,0,0.0110925558487439,0,0,0,0,0,0.0226957776894116,0,0,0,0.0181380172981682,0,0,0,0,0,0,0,0,0,0.0505818308722147,0,0,0,0.0396606536786144,0,0,-0.0400589164902444,0,0,0,-0.00491638538254972,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0.315448710645527,0,0,0,0,-0.207332280567732,0,0,0,0,-0.157038622397568,0,0,0,0,0,0,0,0,0.646049438599302,0,0,0,0,-0.061318482735883,0,0,0,0.370831909213494,0,0,0,0,0,0.0998641007375492,0.121669923643546,0,0,0,0,0,0.0857811899051807,0.0158111154685684,0,0.20712613809188,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0.0320154978120001,0,0,0.0437505045369237,0.0155562339188065,0,0,0,0.0747604807791738,0.0440300052313686,0.0552537688527178,0,0,0,0,0.00264490021065925,0,-0.0300356472508313,0,0,0,0,0,0,0,-0.013671967074394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171351266563962,0,0,0,0,0,0,0
