,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X600011.SH,X002271.SZ,X601600.SH,X600660.SH,X600886.SH,X601898.SH,X600010.SH,X600362.SH,X600801.SH,X600489.SH,X600188.SH,X600352.SH,X601991.SH,X000786.SZ,X600111.SH,X600688.SH,X600795.SH,X002466.SZ,X600027.SH,X601992.SH,X600176.SH,X600299.SH,X600426.SH,X600529.SH,X600315.SH,X002353.SZ,X600126.SH,X002080.SZ,X002409.SZ,X600612.SH,X000723.SZ,X600219.SH,X600516.SH,X002075.SZ,X000898.SZ,X000932.SZ,X000959.SZ,X600486.SH,X601158.SH,X000027.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0216861449334598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0340261600215749,0.0414776852032921,0,0,0,0,0,0.0686792871343258,0,0,0,0,0,0,0,0,0.00666976189554418,0.0150348575999581,0,0,0,0,0.058612151593071,0,0.028620342075636,-0.000908601151250689,0,0,0,0,0,0,0,0,0,-0.0117054370911625,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0111104736403751,0.163141651327122,0,0,0,0,0,0,0.00135430258249168,0.100701694134084,0.0383145602635983,0,0,0,0,0,0,0,0,0,0,0.0144446096647737,0,0,0,0,0.0313071163339809,0.00135861584625244,0,0.00903651591968686,0,0.0533988012079886,0,0.08151742346975,0,0,0,0,0,0,0,0,-0.0173492315881307,0.0054627742289764,-0.0100536983418696,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.166524598166303,0,0,0,0,0,0,0,0.0423888745018771,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131534031311045,0,0,0.246492324423328,0.0375697245183927,0.107065637831661,-0.00807511015037961,0,0.0514188817933908,0.000815493463908265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0179868806915536,-0.00611973230457276,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0145946748716117,0,0,0.0295412557944553,0.0291971233162622,0,0.123418061205113,0,0,0,0,0,0,0.550476904618488,0,0,0,0,0,0,0,0,0.0039643908379798,0,0,0,0,0.0361496199695544,0,0,0,0,0.0213341311326636,0,0.0349183242312135,0,0,0,0,0,0,0,0,0,0,0,-0.00927920034313953,-0.00749745471073763,0.00703329316715449,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0224289089387054,0,6.93889390390723e-18,0,0.199371844369464,0,0,0,0,0,0,0,0,-0.0134482621502367,0.0589090906586074,0,0,0,0,0,0,0.0671279303942102,0,0.283248367351605,0,0,0,0,0,0.07217210574163,0,0,0,-0.0366613828239451,0,0,0,0,0,0,0,0.00676728454105757,0,-0.0123798697818329,0.00476131176699873,0,0,0,0,0,0
X600547.SH,0,0,0,0.0315412695678667,0,0,0,0.131341453480171,0,0,0.091216739831685,0,0,0,0,0,0,0,0.597035764065629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.41513950613981e-05,0.258395136298844,0,0,0,0,0,0,0,0,0,0,0,-0.0329438515439133,-0.015674672303594,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0870793320749579,0,0,0,0.0303913624508472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00411296775937303,0,0,0.123589236719348,0,0,0,0,0,-0.0123358491476137,0,0,0,0.12759030954102,0,0,0,0,0,0,0,0,0,0,-0.00357219520322636,0,-0.00253895297273742,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206733051320296,0,0,0,0,0,0,0,0,-0.0312162112097783,-0.0723291545052169,0,0,0.0382346553850768,0,-0.0453098965644107,0,0,0,0.135753145726331,0,0,0,0,0,0,0,-0.00855406662343739,-0.0457755853444107,-0.0123537178826321,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137792066524038,0,0,0,0,0,0,0.0918436938464765,0,-0.011303659047474,0.0931982886330103,0.0740693404125881,0,0,0,0,0.0870698189987103,0,0,0,0,0,0,0.14655929595155,0,4.33680868994202e-19,-0.0116901676377853,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162659732366564,0.00273050174433143,0,0,0,0,4.33680868994202e-19,0,0,0,0,0.160703246500576,0,0,0,0,0.0210125861405327,0,0.0773173860848109,0,0,0.0299098998866328,0,0,0,0,0,0,0,0,0,0,0,0.147533950923216,0,0.00870141410901897,0.000518418436343907,0,0,0,0,0,0
