,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X000786.SZ,X600010.SH,X600176.SH,X601898.SH,X600111.SH,X601600.SH,X600011.SH,X000301.SZ,X600886.SH,X600188.SH,X002466.SZ,X600426.SH,X601991.SH,X600352.SH,X600803.SH,X600801.SH,X000932.SZ,X600219.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600516.SH,X600486.SH,X000807.SZ,X600299.SH,X000898.SZ,X002353.SZ,X600027.SH,X000723.SZ,X601168.SH,X600315.SH,X600157.SH,X601992.SH,X000630.SZ,X000825.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.258167941309516,0,0,0,0.0297320140238029,0,0,0,-0.000140662277586805,0,0.00534985940208026,0,0.0227696181902947,0,0,0,0.00132296866349819,0,0.0188873487994399,0,0,0,0.00870025007136966,0,0,0,0,0,0.00944863969911157,0,0,0,0,0,0,0,0.0184871070566273,0,0,0.041792760986025,0,0,0.0496221179537413,0,0,0,0,0,0,0,0,-0.00117404559139105,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0499839578179272,0,0,0,0,0,0,0,0,0,0,0.0402059557670799,0,0,0,0,0.0344394914122556,0.063426001640084,-0.0293635333025125,0,0,0,0,0.038680570629865,0,0,0,-0.00787761192463007,0,0,0,0.0563461311266592,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0231354333477824,0,0,0,0,0.0475064342593094,0,0
X601088.SH,0,0,0,0,0,0,0.0136750500793847,0,0,-0.0691316094771228,0,0.0664870037206739,0,-0.0442978990879421,0,0,0.0138556814501645,0,0.0817533629973303,0,0,0.211618321367018,0.0755274061270722,0,0,0,0,0,0.036715135516183,1.73472347597681e-18,0,0,0,0,0,0,0,0.101861909188577,0,0,0,0,0,0,0,0,0,0,0,0.0775014497851882,0,0.00956081334692815,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.321245160572207,0,0,0,0,0,-0.0419795557386154,0,0,0.061259263969555,0,0,0.0124075133278478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211511313960366,0,0,0,0,0,0,0.0615530904198096,0.237850643249951,0,0,0,0,0.130264460592846,0,0,-0.0209243660741634,0,0,0,0.0753728219877956,0,0
X600585.SH,0,0,0,0.0116483423667454,0,0,0,0.0357215340758675,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113141543796964,0,0,0,0,0,0.184272724427281,0.0420167768377014,0,0,0,-0.0461188786300014,0,0,0,0,0,0,0,0,0,0,0.00878925976517708,0.0601539553740107,0,0,0,0,0,-0.0205813108697822,-0.0169910151498344,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0243902555795202,0,0,0,0,0,0,0,0.194463137166394,0.114443297246835,0,0,0.169688687403752,0,0,0,0,0,0,0.0701273019308802,0,0.353463338035001,0,0,0,0,0,0,0.075947215226628,0,-0.0133757352856704,0,0.0600610388286505,0,0,0,-0.0437348148758706,0.0876863728854986,0,0,0,0.253997184062055,0,-0.0318269014325111,-0.0204751881544013,0,0,0,0,-0.0715029754819004,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.659372305131098,0,-0.0746205279130223,0,0.23874896467901,0,0,0,0,0,0,0,0,0,0,0,0,-0.0696230069268251,0,0,0,0,0,0,0.318554380446397,-0.0636352515277053,0.330161377178666,0,0.209093887758641,0,0,0.0981158527624171,0,0,0,0,0,-0.301206148431392,0,-0.0249014418972751,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.119824164176789,0,0,0,0.158992025004041,0.120211510405041,0.457103869262849,0,0,0,-0.118846064895867,0.0904662294719508,0,0,0.103893300502074,0,0,0,0.0242938401092264,-0.0932464385876294,0,0,0,0,0,0,0,0,0,-0.0316101911324652,-0.00854753486023951,0,0,0,0.161487946486637,0.463774135290032,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0279497334199046,0,0,0,-0.0229642251924508,0,0
X600660.SH,0,-0.114564641414914,0,0,0,0,0,0.201309421884447,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0714008764567483,0,0,0.103419647745943,0,0,0,0,0,0,0.181829611303337,0,0,0,0,0.0876185996104889,-0.225940529978993,0,0,0,0.12027550719662,0,0,0,0,0,-0.0445438963741134,0,0,0,0,0,-0.097905407332833,0.0890947733586074,0,-0.0252728958113204,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.101456030497774,0,-0.343883676016448,0,0.0181196182305092,0.1663778454343,0,0,0,0,0,0,0,0,0,0,0.00119895128170273,0,0,0,0,0,0,0,0,0,0,0,0,-0.129228004932612,0,0,0,0.0537168051136445,0,0,0,0,0,0,0,0,0,0,0,0,0.119639455224796,0,0,-0.0355634577067569,0,0,0,-0.04727293398157,0,0
