,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X601898.SH,X601600.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600011.SH,X600886.SH,X600176.SH,X600219.SH,X000786.SZ,X000825.SZ,X600803.SH,X000408.SZ,X000932.SZ,X300037.SZ,X601991.SH,X600795.SH,X002080.SZ,X600399.SH,X000898.SZ,X600549.SH,X002409.SZ,X000807.SZ,X000959.SZ,X600352.SH,X000027.SZ,X600489.SH,X002353.SZ,X000630.SZ,X000830.SZ,X600486.SH,X002407.SZ,X601699.SH,X601168.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,-0.0400724917167253,0.0204799351921366,0,0,0,0,0,0,0,0.0380304858823522,0,0,0,0,0,0,0,0,0.123329505392217,0,0,0,0,0,0,0,-0.0459124811527853,0,0,0,0,0.0143060032660259,0,0.0312398412926228,0,0.0382528709305681,0,0,0,0.0633887078192229,0,0.00729511624700252,0.143948085423407,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,-0.0253896736517356,0,0,0,0,0,0,0.0472692613831816,0,0.0342694833772092,0,0,0.0310888969373735,0,0,0.0375170886273262,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0420485434945444,0,0,-0.001388313766462,8.67361737988404e-19,0.0403001909347807,0,0,0,0,0,0.0465799167324124,0,0,0.0314601638980166,0,0.0110100795203168,0,0,0.0484142354509639,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.168110389587312,-0.0271737134462819,0,0,0,0,0,0,0,0,0,0,0.267622663297127,0,0,0,0,0.0460643428603278,0,0,0,0,0,0,0,0.0759911336256662,0,0,0,0.0961841313034857,0.0306898727136626,0,0,0,0,0,0,0,0,0,0,0.0281070336070446,0,0,0,-0.000724978529006169,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0687446264211557,0,0,0,0,0,0,0,0,0.0354149470725808,0.22248332068267,0,0,0,0,0,0,0,0.0306017415277791,0,0,0,0,-0.0612943019860599,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.0808473819591883,0,0,0,0,0,0,0.058456620944018,0,0,0,0,0,0,0
X002460.SZ,0,0,-3.46944695195361e-18,0,0,0,0,0.0970858936732251,0.329490696554727,0,0.186021503678348,0.0347798279955846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894818871140948,0,0.173143585541005,0,0,0,0,0,-0.238454874187346,0.246236839306129,0,0.0644463331310416,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0205862009256468,0,2.16840434497101e-19,-0.00614886455312809,-0.0689981190088012,0.0242797224385841,0,0.0930319620263687,0,0,0,0,0,0,0,0,0,0,0.0242299915735719,0,0.116458083466348,0.0012657085387411,0,0,0,0,0,0,0,0,0,0,-0.107250593472529,0,0,0,0,0,0,0,0,0,0,0,0,0.0810518331048928,0,0.0540630049108309,0.0531698159864519,0,0,0,0,0,0
X600019.SH,0,0,0.0193600422395508,0,0,0,0,0,0,0,0,-0.0391629864100411,0,0,0,0.00621560449077923,0.0408260653283013,0,0,0,0,0,0,0,0,0,0,-0.0162803983526558,0,-0.0437172994978424,0,0,0,0,0.413484606216288,0.0852259181166484,-0.106641917757878,0,0.113907303249223,0,0,0,0.00633221795656409,0,0,0,0,0,0,0,0,0,0.0308633663950093,0,0,0,0,0,0
X600111.SH,0,0,0.0652488811410425,0,0.0640275172268021,0,0,0,0,0,0,0,0.0581929157162366,0,0,0,0,0,0,0,0,0,0,0,0,0.212708140338409,0,0,0,0.242992063818965,0,0,0,0,0,0.389393277527304,0,0,0,0,0.0186528545733517,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.707270803084171,0,0,0,0,0,0,0,0,0,0,0,-0.148279112054605,0.235024525257424,0,-0.0189069728410343,0,0,0,0,0,0.144776453207155,0,0,0,0,0,0,0,0.172763069120135,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151088519731779,0,0,0,-0.170110024491203,0.131883403461285,0,0,0,0,0,0
X002271.SZ,0,0,0.0233973120594674,0,0.124594069109788,0,0,0,0,0,0,0.0475849582492905,0,0,0,0,0,0,0,0,0,0,0,0,0.0552819290128623,0.105782356320034,0,0.0261536955080118,0,0.00543465497062247,0,0,0,0.0206939402378549,0,0,0,0,0.0254876608890004,0,0,0,0,0,0,0.155325990223393,0,0,0,0,0,0.182872119608726,-0.108462297467137,0,0,0,0,0,0
