,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X002271.SZ,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X601898.SH,X600188.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600886.SH,X600011.SH,X600219.SH,X000786.SZ,X000723.SZ,X000408.SZ,X000825.SZ,X000932.SZ,X600399.SH,X601991.SH,X000831.SZ,X000959.SZ,X002080.SZ,X600795.SH,X600803.SH,X300037.SZ,X000807.SZ,X000898.SZ,X002409.SZ,X601699.SH,X600352.SH,X002407.SZ,X000027.SZ,X002145.SZ,X600549.SH,X600486.SH,X600489.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,-0.0173182331725599,0,0,0,-0.0129870929655802,0.0376433244558586,0,0,0,0,0,0,0,0.0290194168041972,0,0,0.0368892622871577,0.0342759492322663,0,0,0,0,0.0952410061376156,0,0.0230438812786563,0,0,0,0,0.0170980883865203,0,0,-0.0601523259524476,0,0,0,0,0.0558954072546233,0,0,0.0364944270871528,0,0,0,0,0,0,0,-0.0227789211024447,0,0,0,0,0,0
X600028.SH,0.14408182175064,0,0,0,-0.0702207597242306,0,0,0,0,0,0,0,0.0318517875719414,0,0.0636912989299415,0,0,0.00913493173247255,0,0,0.0267919380492511,0.0184430912398251,0,0,0,0,0.0353585973063013,0,0,0,-0.0348849077111187,0,0,0,0,0,0,0,0.0520437910994401,0,-0.0278983889642736,0,0,0,0,0,0,0,0,0,0,-0.00678950515863562,0.0322315906155745,0,0,0,0,0,0
X601088.SH,0.104304619038772,0,0,0,-0.0404234554684012,0,0,0,0,0,0,0,0,0,0,0.0661274231137116,0.0354576035979239,0.183943128737096,0,0,0,0.0402795763316588,0,0,0,0.0651965375224179,0,0,0,0,0,0,0,0,0,0,0,-0.0696694956219197,0,-2.16840434497101e-19,0,0,0,0,0,0,0.0203672791913982,0,0,0.118487623720461,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.11456845251976,0,0.104162178600928,0,0,0,0.0812478467043907,0,-0.0110310262421766,0,0,0,0.158543313840987,0,0,0,0,0,0,0,-0.0105430771878811,0,-0.0755070726361357,0,0,0,0,0,0,0.0144963512240961,0,0,0.0437450111301176,0,0,0,0.0355932817340247,0,0,0.0285417098152767,0,0,0,0,0,0,0,0,-0.0254560766538633,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.242602444220742,0,0,-0.221885233222241,0,0.217477450886432,0,0,0,0,0,0,0,0,0,0,0,0.12305241621008,0,0,0,0,0,0,0,0,0,0,0,0.0868910168853055,0.119237990575022,0.0510244827327053,0,0,0.191771662001124,0.0891431105931843,0.24581900283475,0.0656335806606351,0,0,0,0,0.0688916222620617,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0112319235847099,0,0,0,0.0265999684257127,0,0,0,0,0,0,0.0954301820402362,0,0,0.00980696715194059,0.0512736227423867,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0323224521426759,-0.00312980808232284,0.0164612190672995,0,-0.00753730758020708,0,0,0,0,0,0.452909053063425,0,0.0190902460408161,0.051050289222093,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04651695971188,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.0307858161749454,0,0.119026037182274,0,0,0.0156838016645452,0.0422097274556038,0,0,0,-0.102288029433506,0,0.378066665882717,-0.00351554214842172,0,0,0.0178821895805998,0,0,0.0183502646658788,0,0,0,0,0,0,0,0,0,-0.159409385308669,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.00307745272286308,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.163733180624385,0,0,0,0,0,0,0,0,0,0.105435466109045,0,0.0284581613912943,0,0.173835135064858,0,0,0,0,0.260886552910049,0,0,0,0,0,0,0.0298084775433312,0,0.545491089985277,0.0429999638794555,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.0163943408276535,0,0,0,0.338118590159495,0,0.197267753523899,0,-0.131528790301928,0.279383641584131,0,0.402717389899029,0,-0.117777297103508,0,0,0,0,0,0,0,0,0.0710380641805008,0.150404999906584,0.055715876092069,0,0,0,0,0,0,0,0,0.0423759852379519,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0568675227952753,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0.177694895507292,0,0,0,0,0,0,0,0.232957080941327,0,0,0,0,0,-0.036125105349897,0,0,0,-1.73472347597681e-18,0,0,0,0.00953400913581072,0,0.0176121392536029,0,0,0.141909755285696,0,0.056835402877613,0.220838504541674,0,0,0,0,0,0,0,0,0,0,0,0.0292591664388954,0,0.0755930401168224,0,0,0,0.0986617218625275,-0.0503888662276212,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,-0.0892538151378407,0,0.00434851528905205,0,0,0,0.0846173086877775,0,-0.0148292911252278,0,0,0,0,0,0,0,0,0,0,0.0238217909967491,0,0,0,0,0,0,0,0,0,0.224740438195209,0,0,0,0,0,0.156842347188723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.00762472356142038,0,-0.104002139166763,0.045428414949756,0,0.0485604610453448,0,0,0.114781331031031,0.128988263034478,0,-0.051361122938027,0,0,0.142196019752582,0,0,0,0,0,0,0,0,0.14889893967611,-3.46944695195361e-18,0,0,0,0,0,0,-0.122866421651617,0,0,-0.0291845298899952,-0.0168687066639185,0,0,0,0.0914169894270973,0,0,0,0.185865717664797,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0766694928570739,0,0.246844307119204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0777195306584147,0,-0.0138392998678781,0,0,0,0,0.0226990411034935,0.0124673158439355,0,0,0,0,0,0.25027020015184,0,0.0671114343572208,0,0,0,-0.0196816745299526,0.158786632614498,0,0,0,0,0.0633758747723505,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251788084235014,0,0,0,0,0,0,0,0,0,0,0,0.143471488290849,0,0.156764953377508,0,0,0,0.0766639469154287,0,0,0,0,0,0.220761204894937,0,0,0,0,0,0,0.195621106550267,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.125481132972405,0,-0.0274354356670291,0.110647398822189,0,0,0.0951246824295322,0,0,0,0,0,0,0,0,0,0,0,0,0.0327791880590663,0,0,0,0,0,0,0,0,0,0,0,-0.00350841741410071,0.518839985757783,0,0,0,0,0.0921733589130644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.14365196180119,-0.0388966633312738,0,0,0,0,0,0.109250814564788,0,0,0,0,0,0,0,0.0665677407064398,0,-0.128865510077095,0.089301550900854,0,0,0,0.0212994814331477,0,0,0,0,-0.0546390823811531,0.211585618858568,0,-0.0405227402628326,0.377900397515792,0,0,0,0,0,-0.195720627375246,0,0,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0.315030066704215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381112583446275,0,0,0,0,0,0,0,0,0,0.149709456009356,0,0.348388312151866,0,-0.0496563972439387,0,6.93889390390723e-18,0,0,0,0,-0.0851673797496099,0,0.0025467529052887,0.0258328239861987,0.247588715626892,0,0,0,0,0,-0.149247756534014,0,0,0,0.10823656553475,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0.106730757025254,0,0,0,0,0,0.158652944943563,0,0,0,0,0.124039904199939,0,0,0,0.148062734435997,0,0,0.0186438165215669,0.227889106983903,-0.012836320324367,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,1.73472347597681e-18,0,0,0,0,0.0663574359775962,0,0,0,0,0,0.0545245495056559,-0.0213034855489334,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.227075574944175,0,0.183651257944892,0,0,0,0,0,0,0,0,0,0,0.0959890409589227,0,0,0,0,0,0,0,0,0,0,0.00840882709695015,0,0,0.0117410301029123,-0.0159819722762238,0,0,0.108785615789709,-0.232388785529917,-0.0114469190870918,0.106497541332829,0.168190589275272,0,0,0,0,0,0,0,0,0,0
