,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600660.SH,X002271.SZ,X000877.SZ,X600010.SH,X600011.SH,X000708.SZ,X600188.SH,X601600.SH,X000301.SZ,X600547.SH,X601898.SH,X600362.SH,X600886.SH,X600176.SH,X000723.SZ,X600426.SH,X000786.SZ,X600219.SH,X600803.SH,X002080.SZ,X601991.SH,X600795.SH,X000408.SZ,X600688.SH,X600027.SH,X300073.SZ,X300037.SZ,X000807.SZ,X002353.SZ,X600352.SH,X002326.SZ,X000825.SZ,X600489.SH,X600801.SH,X600516.SH,X000630.SZ,X600157.SH,X600486.SH,X600141.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0252955816559498,0,0,0,0,0,0,0.0473157793511485,0,0,0.0175048411908474,0,0.15446936909951,0,0,0,-0.096540460911963,0,0,0,0,0,0,0,0,0,0,0.0987110059844707,0.150134387674238,0.00418796444441558,0,0,0,0,0,0,0,0,0.0540565601088362,0.195366253249223,0,0,0,0,0,-0.00561141584794261,0,0,0,0,-0.00431373704943729,0,0
X600028.SH,0.235457030467548,0,0.0399880451327566,0,0,0,0,0,0,0,0,0,0,0,0.00554694086397948,0,0.0297664312075482,0,0,0,0,0,0,0,0,0,0,0,0,-0.0174108966300335,0,0,0,0.0637553569456864,0,-0.0436842696557949,0,0,0,0,-0.00881463167192898,0,0,0.0418696084285123,0,0.0152750219448954,0,0,0,0,0,-0.0276985275872677,0,0,0,0,2.16840434497101e-19,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151614690086918,0,0.233138200814801,0,-0.133353540512251,0,0,0,0,0,0.0879110982528525,0,0,0,0,0,0,0,0,0.200349195518685,0,0,0,0,0.136166751198067,0,0,0,0,0,0,0,0,0,0,0.0808451680553779,0,-0.0126519866982274,0,0,0,0,-0.0132315404905171,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.0324792842749684,0.104127463253291,0.111343796676177,-0.0147178264262196,0.0654396243703273,0,0,0,0,0,0,0,0,-0.0554687232607643,0,0,0,0,0,0,0.12424480241114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10577601667929,0,0,0,-0.0605494629447411,0.119368684225084,0,0,0,0,0,0,-0.00471926729042583,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.085258556793369,0,0,0.147731799128419,0.0375890920275147,0,0,0,0,0,0,0,0,0,0.279125188819066,0,0,0.0622821583501537,0,0,-0.0329534312536191,0,0,0,0,0,0,0,0,0,0,-0.116240017647902,0,0,0.229863496423431,0,0,0,0,0,0,0,-0.00488095349453024,0,0,0,0,-0.0307172790500069,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.515088874907003,0.204219957703946,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0247297363734055,0,0,0,0,0,0,0,0,0,0,0,0.372468027036322,-0.0561255513289106,0,0,0,0,0,0,0,0,0,0,0.171007318958524,0,0,0,0.00200878083296705,0,0,0,-0.0534732191700948,0,0
X000792.SZ,0,0,0,0,0,0,0,-0.13645114559197,0.426015877928658,0.160138052608005,0,-0.0697154504394703,0,0,-0.0108502556163508,0,0,0,0.236416708223047,0,0,0,0,0,0.0718930300939327,0,-0.126099655953278,0,0,0.0892952569097846,0,0,0.16174549197252,0,0,0,0,0,0,0,-0.0466145038785587,0,0,0,-0.0128027205402176,0,0,0,0,0,0,-0.0642337104061357,0.0680614196669417,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441175462915217,0,0.0566496412330507,0,0,0,0,0,0,0.0586841096660861,0,0,0,0,0,0.00495306524657395,0,0.036008605510773,0,0,0.00033239914473162,0,0,0.0989416305121283,0,0,0,0.0226772752991965,0,0.0640040782627824,0,0,0,0,0,0.076487189128482,0,0,0.0231153347687633,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.458553023694479,0,0,0,0,0,0,0,0.0174728163980895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192547100117977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0680566710886073,0,0
X002466.SZ,0,0,0,0,0,0.445377876090933,0.302166339502214,0,0,0,0,0,0,0,0,0.0158360967285949,0,0,0,0,0,0,0,0,-0.0690950253673353,0,0,0,0,0,-0.093154179095013,0,0.251371424316319,0,-0.0191449317635769,0.212574731671474,0,0,0,0,0,0,0,0,0,0.047931653019696,0,0,0,0.0617320400935832,0,0.0246467586867991,0.00267238205106919,0,0,0,0,0,0
