,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600188.SH,X600019.SH,X600111.SH,X600011.SH,X002466.SZ,X601600.SH,X000877.SZ,X600010.SH,X002271.SZ,X000708.SZ,X601898.SH,X600660.SH,X600547.SH,X000301.SZ,X600362.SH,X600886.SH,X600426.SH,X600176.SH,X000723.SZ,X000408.SZ,X600219.SH,X000807.SZ,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X000983.SZ,X601699.SH,X002080.SZ,X000630.SZ,X000825.SZ,X600801.SH,X600688.SH,X600096.SH,X002353.SZ,X600141.SH,X000932.SZ,X600489.SH,X000960.SZ,X000959.SZ,X600027.SH,X600295.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0284483913039806,-0.0727446713797619,0,0,0,0,0,0.115382562741348,0,0,0,0,0,0,0,0,0,0,0.0197408309564128,0,0,0,0,0,0,0,0,0,0.259163737200841,0.0767845470060238,0,0,0,0,0,0.119949923199055,0,0,0,0,0,0,-0.0180024591446071,0,0,0,0.0260582017999878,0,0
X601088.SH,0,0,0,0,0,0,0,0.0814853751059195,0,0,0,0,0,0,0,0.0618894050674378,0,0,0,0,-0.0671059115487007,0,0,0,0,0,0,0,0,-0.166903904105431,0,0,0,0.370233919215302,0.0197987222357971,0,0,0,0,0,-0.103486850758509,0,0,0,0,0,0,0,0,0,0,-0.0473389355464887,0.0427137071333993,0,0,0,0,0,0
X600028.SH,0.0545014076284902,0.0403928300987293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0368104178825454,0,0,0,0,0,0,0,0.0879917489037613,0,0.0589026721100968,0,0.0946830761492403,0.107828068084531,0,0,0,0,0,0,0,0,0,0,0,-0.00768863401602709,0,0,0,0,0.0118747656340724,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0967312923271367,0,0,0,0,0,0.0156312022372249,0,0,0.0576123082519372,-0.0441201492200803,0.13745730953748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834685330755869,0,0,0,0,-0.0172688217955464,0,0,0,0,0,0,0,0,0,0,-0.0138624742154453,0,0,0,0,0.013740477721872,0,0
X600585.SH,0,-0.00694889313832519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830006106809778,0,0,-0.0182018303098195,0,0,0,0,0.442121904066002,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00584418327575185,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0.449250238607824,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0814088045131049,0,0.0396461037453095,0,0,0,0,0,0,0,0.24196510738688,0,0,0,0,0.0276555084790768,0,0.0682245689178156,0,0,0,0,0,0.0409122045426629,0,0.184034193445571,0,-0.0435024704049839,0,0,0,-0.0643039883845697,0,0
X000792.SZ,0,-0.0397616202761514,0,0,0,0,0,0,0,0.399923974757038,0,0.168385333491302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124356060926933,0,0,0,0,0,0,0,0,0,0,0,-0.427012826320552,0,0,0.258972230041967,0,0,0,0,0,0,0,-0.0392204817128674,0,0,0,0.0122995690875912,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0563536063489285,-0.0232951065062862,0,0,0,0.134769043355829,0,0,0,0,0,0,0.0974946760709087,0,0,1.73472347597681e-18,0,0,0,0,-0.0120727019483833,0,0,0,0,0,0,0,0.326405199229655,0.232431552493281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159515585160595,0,0,-0.060376809752423,0.111544451480589,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0462660599361386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00170000504525707,0,0,0,0,0.168197023871525,0,0.0145682792543194,0,0,0,0,0,0.0684380487592908,0.15675640518119,0.0781376089289971,0,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.362131594299451,0.0417156252733269,0.0376258792273617,0,0,0,0.015137574439994,0.0498516553032396,0,0.05778209252112,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0556209267312831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110436511738561,0,0,0,0,0,0,0,0,0.00589896169969323,0,0,0,0,0,0,0
