,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600019.SH,X600111.SH,X600011.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000629.SZ,X600803.SH,X000408.SZ,X601991.SH,X600348.SH,X600027.SH,X000983.SZ,X600096.SH,X000723.SZ,X600160.SH,X000786.SZ,X002080.SZ,X600219.SH,X300073.SZ,X601699.SH,X600141.SH,X002353.SZ,X600157.SH,X600549.SH,X600378.SH,X000933.SZ,X300037.SZ,X600295.SH,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419884131919532,0,0,0,0,0,0,0.141797988265447,0,0,0,0,0,0,0.00839031979756311,0,-0.0290314841579514,0.0430748880679407,0,0.275416632378651,0,0,0,-0.107551146287978,-0.0130437014328196,0,0,0,0,0,0,0,0,0,0,0,0,-0.0775748615994929,0.0333057090126162,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.047140668863139,0.23599967689302,0.10956640867749,0,0,0.128497634587224,0,0,0,0,0.0668491689968999,0,0,0.0142677593332824,0,0,0,0,0,0,0,0,0,-0.0852389776623207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338597374569483,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0595731434867048,0,0,0,0,0.0117587728180514,-0.00718244009525149,0,0,0,-5.42101086242752e-20,0,0,0,0,0.014301679355051,0,0.0342198440119557,0,0,0,0,0,0.00746094032801057,0,0,0,0,0,0.0180055540531018,0,0,0,0,0,0.0363189551862928,0,0,0,0.0426322387226573,0.000347063759177185,0,0,0.0235996378421779,0,0,0,0,0.0116424801194371,0,0,0,0,-0.0308883321079263,0,0
X600309.SH,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0152215202848809,0,0,0,0.0340500851795515,0,0,0.0258234568909065,0,0.0326427273467309,0,0,0,0,0.05365827187944,0,0,-0.00352943433165723,0,0,0,0,0,0,0,0,0,0.0202667333990753,0,0,0,0.081564431006446,0,0.106743212570564,0.0204840938917716,0,0,0,0,0,0,0.0133686520522018,0,-2.71050543121376e-20,0,0,0,1.0842021724855e-19,0,0
X600188.SH,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.471995918170717,0,0,0,0,0,-0.0360485549714516,0,0,0,0,0,-0.0389807910122309,0,0,0,0.0358309004658848,0,0,0,0.0339319671156151,0,0.067483633410381,0,0,0,0,0,0,0,0.276773628477203,0,0,0,0,0,0,0,0,0,0,-0.0982176078981963,0,0,0,0,4.33680868994202e-19,0,0
X002466.SZ,0,0,0,0,0,0,0.551567017966449,0,0.144773861695238,0.0289200719881256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17434926866181,0,0,-0.0320360914229133,-0.0183964264208321,0,0,0,0,0,-0.0304915042040055,0.0883577243773519,0,0,0,0.335953244289817,0,0,0,0,0,0,0,0,0,0.0438218395879285,0.0149520988112043,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.144848078190157,0,0,0.144111479570756,0,0,0,0,0,0,0.0275673743137327,0.0946482915146815,0,0,0,0,0,0,0.050243809270069,0,0,0,0,0,0,0.0157208593660969,-0.0393672485491131,0,0,0,0,0,0,0,0,0,0.101262872146125,0,-0.0263623193290205,0,0,0.249216101620943,0.187029089770349,0,0,0,0,-0.0411505948981626,0,0,0,0.0593035627978695,0,0
X600585.SH,0,0,0,0,0,0,-0.122489778737121,0,0,0,0,0,0,0,0,-0.00890154846045111,0.0503520332977747,0,0,0,0,0,0,0,0,0,0,0,0,0.158618147516672,0.0634536780904164,0,0,0,0.0342091966955685,0,0.0652749950865512,0,0,0,0,0,0,0.0072432976753756,0,0,0,0,0,0.327513900818865,0,0.0329417700154121,0.0297533665867554,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.258530406694504,0,0,0,0,0,0,0,0.0956957382159257,0.0139103892966209,0.0942652779861618,0,0,0,0,0,0,0,0,0,0,0,0.0315724050981769,0.0307611968734504,0,0.0853051155806383,0,0,0,0,0,0,0,0.252208208399208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419082481829242,0,0
X000301.SZ,0,0,0,-0.0778570875702881,0,0.377090113448014,0,0,0,0,0,0,0,0,0,0.201732218017497,0,0,0.183725757944449,0,0,0,-0.000980627927863645,0,0,0,0,0,0.218515063096424,-0.106393811449735,0.0886186593986941,0,0,0,0,0,-0.0469807053472508,0.113845572477723,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139848614497292,-0.117649370696735,0,0,0,0.0604279420229853,0,0
X601898.SH,0,0,0,0,0.0883542501252277,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.0600948195347178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340207134246498,0.233523092881953,0,0,0.0214374778067013,-0.080377355400439,0,0,0,0,0.126525319873271,0,0,0,0.0728264593880846,0,0,0,0,0.0416263307876408,-0.0320520782791612,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0629216325704933,0,0,-0.0127232196405261,0.0622180898642444,0,0,0,0,0,0,0,0,0,0,0,0,0.0861694306891524,0,0,0,0.0020547443898855,0,0,0,0,0,0.197378346249659,0,0.0517496077436236,0,0,0,0,0,0,0,0.161100508883304,0,0,0,0,-0.00624985924810316,-0.0514142078916471,0,0,0,0.0640616134792607,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149256668412759,0,0,0,0,0,0,0,0,0,0,0,0,0.359914363611494,0,0,0,0,0,0.0126505691647299,0.0466963052309949,0,0,0,0,0,0,0,0,0.138300737020809,0,-1.73472347597681e-18,0.251537935724521,0,0,0,0.0558134626151777,-0.03233518334622,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0764729361314081,-0.308675910502264,0,0,0,0,0,0.249099083828758,3.46944695195361e-18,0,0,0,0,0,0.114851161648426,0,0,0,0.114900893360094,0,0,0,0,0.803915589364077,0,0,0,0,0.12686476573981,0,0,0,0,0,0,0,0,0,0,0,-0.162184705118277,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0.0838049869751717,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0309063694139236,0,0,0,0.11495496553061,0,-0.0049422480428513,-0.0221258495157567,0,0,0,0,0,0.178342145071156,0,0,0,0,0,0,0,0,0,0,0,-0.121302704035197,-0.0465836638164399,0,0,0,-0.0419186096198034,0,0
X600010.SH,0,0,0,0,0,0,0.0897073035502887,0,0,0.113808890381619,0,0,0.256955653591261,0,0,0,0,0,0,0,0.116977281316989,0,0,0,0,0,0.00250823129850391,0,0,0,-0.103980969302989,-0.032090871836463,0,0,0,-0.0773755247199198,0,0.120845773456432,-0.207010061524782,0,0,0,0,0.272010106078904,0.0732948423194987,0,0,0,0,0,0,0,-0.101527559023375,0,0,0,0.0708732597118038,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,-0.250690007533194,0,0.0436947245831614,0.0125720967427623,0,0,0,0,0,0,0,0,0,-0.0866710622411084,0,0,-0.0520955389329041,0,0,0,0.357704216289709,0,0,-0.00809351963109219,0,0,0.844086013722289,-0.0541545880091405,0,0,0,0,0,-0.120115851665344,0,0.0555328075199921,-0.189652490004076,0,0,0.0377185866631977,0,0,0.0737533302553813,0,0,0,0,0,0
