,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600011.SH,X600585.SH,X600188.SH,X002460.SZ,X600547.SH,X601898.SH,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X601991.SH,X600489.SH,X000807.SZ,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000408.SZ,X600219.SH,X000539.SZ,X000629.SZ,X600378.SH,X300037.SZ,X002080.SZ,X000723.SZ,X600688.SH,X600995.SH,X000933.SZ,X000630.SZ,X600157.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.779232172064221,0,0,0,0,0,0,0,0,0.0478861347804988,-0.0101869515278361,0,0,0,0,0,0,0,0,0,0,0.145003579635987,0,0,0,0,0,0,0.0548569380517623,0,0,0,0,0.170987707532441,0,0,0,0,0,0,-0.245910916111015,0,0.0668335813880755,0,0,0,0,0,0,0,0,-0.0640635038211096,0,0,0,0,0,0
X600028.SH,0.661773111435979,0,0,0,0,0,0.185083633606443,0,0,0,0,0,0,0,0,0,0,0,0,-0.0560151953665816,0,-0.107072966389719,0,0,0,0,0.12285696015235,-0.0682212386669089,0,0,0,0,0,-0.0556878479759961,-0.0405757300518193,0,0,0,0,0,-0.00666352538054619,0,0,0,0,-0.0799389500003267,0,0,1.73472347597681e-18,-0.00346369908932792,-0.0327037638448407,1.73472347597681e-18,0.0534284910253259,0,0,0,0,0,0
X601088.SH,0.0760404165713388,0,0,0,0,0,0,0.314421921791354,0,-0.0187227319865745,0,0,0,0,0,0,0.115185074531252,0,0,0,0,0.103497139261476,0,0,0,0.0609090349226837,0,0,0,0,0.0175304036251503,0,0,0,-0.0394016575637836,0,-0.0429571212016947,0,-0.0538159706487769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100792390839015,0,0,0,0,0,0
X600309.SH,-0.0382694177728161,0,0,0,0,0,0,0.0099228049142713,0,0,0,0,0,0,0,0,-0.0383668112430945,0,0,0,0,0,0.126823130851395,0,0,0,0,-0.0535204701162286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395123782141914,0.278902828738288,0,0,0,0,0,0,0,0,0,-0.00387326254946156,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02219865956929,0,0,0,0,0,0,0.0626800375233259,0,0,0.164887961929195,0.0521247646554147,0,0,0,0.244938186282692,0,0,0,0.0561566721945879,0,0,0,0,0,0,0,0,0,0,0,0.0246395821973435,0,0.023313098439044,0,0,0,0,0
X600011.SH,0,0,-0.142377145566253,0,0,0,0.119428306386814,-0.0908776507433171,-0.0202487243393987,0,0,0,-0.10016014529354,0,0,0.170854643798841,0,0,0,0,0,-0.0962805585991094,0,0,0.239995695104766,0,0,0.270586687807739,0.353482571818001,0,-0.0498450342196621,0,0,-0.020324164302948,0,0,0,0,0,0,0,0,-0.420770824504286,0,0,0,0,0,0.277469520695547,0,0,0.0125145360427996,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.243602635428807,0.126489313967057,0,0,0.137921812472284,0,0,0,0,0,0,0,0,0,0,0,0.0727946592311819,0,0,0,0,0,0,-0.163603333030675,0,0,0,0,0,0,0,0,0.181144957608081,0,0,0,0.0742111047015259,0,0,0,0,0,0,0,0,0,0,-0.0263957919526264,-0.0389263540594175,0,0,0,0,0,0
X600188.SH,0,0,0.382115069616997,0,0,0,0,0,0,0,0.147647663107437,0,0,0,0,-0.233782537579787,0,0,0,0,0,0,0.0918753727912121,0,0,0,0,0,0,-0.633459110885355,0.0849370410501522,0.294834515322246,0,0,0.106732755717468,0,0,0,0.11025302843893,0,0,0.0405044714847743,0,0,0,0,0,0,0,0,0,0.0696571492390309,-0.084705276757586,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.624229442214511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00853657515533406,0,0.316708416760325,0.173499335827563,0,0.006938376413517,0,0,0,0,0,0,0,0,0,0,0.0519206237776797,0.0177027195811807,0.0267308481788728,-0.0503618969941834,0,0,0,0,0,0
X600547.SH,0,0.0976331345180213,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,-0.155551830822041,0,0,-0.0381167720467923,0,0,0,0,0.135621595020277,0,0,0.674930924379504,0,0.00258584705987198,0,0,0,0,0,0,0,0,-0.110078692915201,-0.00863115902954658,0,0,0,0.0928063865986525,0,0,-0.306232228584698,0,0,-0.0096814760284827,0,0,0,0,0,0,0
X601898.SH,0.166450284522396,0,0.0895283854968068,0,0,0,0,0.15870537108191,0,0,0,0,0.0836571984501148,0.243535110076235,0,0,0,0,0,0,0,0.061481230581427,-0.153109563803255,0,0,0,0,0,0,0,0,0,0.0319064076263102,0.0106947268581768,0,0,0,0,-0.167128547599929,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167788924831008,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,-0.042539708540986,0,0,0,0,0,0,-0.0365723840385641,0,0,-0.110033845696227,0,0,0,0,0,0,0.182727905146865,0,-0.0521862292819182,0,0,0,0,0.119492582064754,0.599671581275496,0,0,0.0311632755623251,-0.119874547189152,0,0,0,0,0,0.0277322611409419,-0.102042533016516,0,0.0844522689721663,0,0.0715185675075457,0,0,0,0,0.0262387606016731,0,0,-0.176936245695269,0,0,0,0,0
X002466.SZ,0.0032839757544699,0,0,0,0,0,0,0.0201455555447339,0.708214851304952,0,0.138041064915582,-0.0065820433569772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00411524528295728,0,0,0,0.0942380693960574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0402532809933701,0,-0.0451832683016856,0.00545667668913814,0,-0.0230910092175498,0,0,0,0,0
X000792.SZ,0,0,0,0,0,-8.67361737988404e-19,0,0.0942244616459064,0,0,0.08736635831423,0,0.412107585962059,0,0,0,0,0,0.0688154873614692,0,0,0,0,0,0,0.0586170715611999,0,0,0,0,0,0,0,0,0.0120564992790693,0,0.151869706104145,0,0,0,0,0,0,-0.016251429124544,0,0,0,0,0,0,0,0.0496865718953932,-0.0785022306330639,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,-0.0133465910095283,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0303574060444522,0,0,0,0,0.00234890813089563,0.0333665248903339,0,0,0,0,0.0772215299672015,0,-0.0453873759547244,0.0209341950046715,0,0,0,0,0,0,0,0,0,0,0.0867514785023609,0.170291096328642,0,0,0,0,0,0,0,0,-0.0286397474472754,0.00144093881862116,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0392102371202748,0,0,0,0,0,0,0,-0.272726375853429,0,0,0,0,0,0,0,0,0,0,0,0,0.283724033445435,0.134085187852882,0.260982723843828,0,-0.0672579050135627,-0.0153146090717642,0.120752289346356,0,0.0308900422317929,0,0,0,0,0,0.0632366238003939,-0.0405678419404428,0,0,0,0,0,0,0,0,-0.11342037846946,0.0545770221627058,0,0,0,0,0,0,0
X600111.SH,0,0,0.173720160518997,0,0,-0.034109036472079,0,0,0,0,-0.126236640016881,0.0979980517570176,0.1476712211348,0,0,0,0,0.197816809493418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.119831386578669,0,0,0,0,-8.67361737988404e-19,0.525437325649728,0,-0.0462327800476817,0,0,0,0,0,0,0,0,0,0,-0.00368696098543099,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.204601864477014,0,0,0,0,0,0,0,0,0,0,0,0.430448247039993,0,0,0,0,0,0.0166298891592634,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0399319236946099,0.0539666544519287,0,0,0,0,0,0,0,0,0,0,0,0,-0.011762338050212,0,0,0,0,0,0
X000301.SZ,-0.0881915831092906,0,0,0,0,0,0,0,0,0,0,0,0.207907195948056,0,0,0,0,0,0,0.0162623576235124,0,0,0.116683757475267,0,0.0190922467155483,-0.123352042190227,0.309260263560235,0,0,0,0,0,-0.0709360101097888,0.172742274761104,-1.73472347597681e-18,0,0,0,0,0,0.0971931575281046,0,0.127671796664076,0,0,0.122177317251414,0,0,0,0,0,0.0325621259701774,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0.138543191887306,0,-0.0138539721404538,0,0,0,0,0,0,0,0,0,0,0,0.0325763458482963,0,0,0,0.091954777665838,0.10003367347109,0,0,-0.109438228693416,0,0,0,0.218145485306355,0,0,0,0,0,0,0,0,0,0,0,0,0.0258519949679245,0,0,0,0,0.00126540622247763,-0.0392001064018222,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0.0420840934697498,0,0.0538333316213502,-0.0454219270370907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1044662150466,-0.0678876075274652,0,0,0,0,0,0.0723458991703247,0,0,0,0.101605339339263,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0348660526945542,0,0.201582322253711,0,0,0,0,0,0,0.00141712089689072,0,0,0,0,0,0
X002271.SZ,0.0539186157383048,0,0,0.141781802976959,0,0,0.177491949284879,0,0,0,0,0,0,0,0,0,-0.168420783523658,0,0,0,0,0,0.00686504039814589,0,0,0,0,-0.116858550615979,0,0,0,0,0,0.652836141512123,0,0.0302435076831729,0,0,0,0,-0.120911331551504,0,0,0,0,0,0,0,0.0934950706134628,0.0167284802738805,0,0,0.0816403466162431,0,0,0,0,0,0
X600426.SH,0,0,0,0,0.327330696940641,0,0,0.34964224432758,0,0,0,0.0428521518361753,0,0,0,0,0,0,0,0,-0.0975142012885526,0,0,0,-0.167001739907454,0,0,0,0,0,0.0253019072306188,0,0,0,0.0900751116339458,0,0,0,0.193158320644101,0.0915041128198628,0,0.0314922062444703,0,0,0,0,0,0,0.0568771437533778,0,0,0.0198306300383246,0.0382035653868289,0,0,0,0,0,0
X600362.SH,0,0.114109544966921,0,0,0,0,0,0,0,0.00397450723453485,0,0.135010906970654,0,0,0,0,0.0469758542919938,0,0,0,0,0,0.0306155108566203,0,0,0,0.0548267322873053,0.0194723247892193,0,0.0730787386073493,0.0100827708182688,0,0,0,-0.0481851291641887,0,0,0,0,0.060931851724833,0,0,0.0631895237823067,0.0721154985546559,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600795.SH,0,0.0249348850619422,0,0,0,0.327101274140691,0,0.0910978140055331,0,0,0,0.0474438606840229,0,0,0,0,0,0,0,0,0,-0.0245889283247987,0,0,0,0,0.0680041533130637,0,0.0595872976426283,-0.0250977655736992,0,0,0,0,0,0,0,0,0.0127340266661095,0,0,0,0,0,0,0.137352446821275,0.00974306376557121,0,0,0,0,0.0256910767598575,-0.0209548472955098,0,0,0,0,0,0
