,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X601898.SH,X600547.SH,X601600.SH,X002460.SZ,X600660.SH,X000792.SZ,X600886.SH,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X000807.SZ,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X002080.SZ,X000539.SZ,X000408.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X000723.SZ,X600157.SH,X600995.SH,X000933.SZ,X600612.SH,X600378.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.889003777550328,0,0,0,0,0,0,0.154592308775639,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239842985354391,0,0,0,0,0,0,0,-0.0158077318332442,0,0,0,0.0969614583369717,0,0.0150079948110489,0,0,0,0,0,0,-0.00292917050330848,-0.142521199792169,-0.0531206612802303,0,0,0,0,0
X600028.SH,0.654910036719452,0,0,0,0.0257314427800449,0,0.145029967200503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282770641930863,0,0,0,0,0,0,0,-0.111398905946868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00380318541192832,-0.0758675157761266,0.0435769908065297,0.0317484210555004,0,0,0,0,0,0
X601088.SH,0.0439542819266953,0,0,0,-0.0570955084315453,0,0,0.32620615411366,0,-0.00299570340466626,0,0,0,0,0,0,0.0902570635557155,0,0,0,0,0,0,0,0,0,0.183149193443667,0,0,0.0460593897620435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181964100239846,0,0,0,0,0,0,0,0.0466133275149745,0,0,0,0,0,0
X600309.SH,-0.0396423886695118,0,0,0,0,0,0,0.0312608858426928,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.239897670393833,0.0720369411422836,0,0.127795362133993,0,0,0,0,-0.0268163685472705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945641316945198,0,0,0.0134965233174715,0,0,0,0,0,0,0.024406456556838,-0.0319740391543285,0,0,0,0,0,0
X600011.SH,0,0.162913477084019,0,0,0,0,0.222212662571367,0,0,0.0239971812470574,0,0,0,0,0.571727971838972,0,0,0,0,0,0,0,0,0,0,0,0,0.554819416836903,0,0,0,0,0,-0.211168292759064,0,-0.134491289556484,0,-0.0352282984582271,0,0,0,0,0,0,0,0,0,0,-0.0581870698115403,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247623571303788,0.100646982587113,0.10120071999297,0,0,0,0,0.0596240554901019,0,0.177110717967715,0,0,0.0983651187278407,0,0,0.101587486890521,0,0,0,0,0,0,0.0299296465610609,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.040393262295745,0,0,0,0,0
X600585.SH,-0.0633220615198226,0,0,0,0.082899521927737,0.381953195298606,0,0,0,0,0,0.340664577105141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142245733920956,0,0,0,0,0,0,0,0,0,0,0.0449538145923175,0.101870023671939,0,0,0,0,-0.00601424586006028,0,0,0,-0.160907544027951,0,0,-0.0779526050332045,-0.0265537246451964,0,0,0,0,0,0
X600188.SH,0,0,0.429234718205963,0,0,0,0,0,0.128485511510472,0,0,0,0,0,-0.188025336335745,0,0,0,0,0,0,0,0.0900362676247265,0,0,0,0,0,0,0.100309741708228,-0.610227797611604,0,0.282401823924513,0,0.132432876173476,0,0,0,0.110415515906486,0,0,0,0,0,0.036090862548393,0,0,0,0,0,0,0.0720395252571035,-0.122737803634306,0,0,0,0,0,0
X601898.SH,0.172275035788395,0,0.214541101640201,0,0,0,0,0.151059619955572,0,0,0,0,0,0.165856529251642,0,0.0723613291450822,0,0,0,0.0770442904191137,0.0727597014780779,0,-0.169600480075155,0,0,0,0,0,0,-0.0215913349623208,0,0.104097984055818,0,0,-0.000258888254602549,0,0,0,-0.151052785487278,0,0,0,0,0,0.00195229909570853,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0.00924416943182697,0,0,0,0,0,0.074837132387558,0,0,0,-0.20813649205668,0,0,0,0,0,0,0,-0.110380931032553,0,0,0,0,0,0,0,0,0,0,0.731662397361529,0,0,0,0,0.105325116382346,0,0,0,0,0,0,0,0,0,-0.227164776600747,0.0652812092355268,0,0,-0.0829803501186482,0,-0.0640064278748914,-0.0222378242007842,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167102622968682,0.016809666802372,0,0,0,0,0,0.0548877756731811,0,0,0,0,0,0,0.559978218883139,0.0890021032716677,0,0,0.143072369212351,-0.0796969032164985,0,0,0.140966730666738,0,0,0,0,0,0,0.0592961020915474,0,0,0,0,0.0597655461922963,0.173697819252862,0.00658706917810809,0,-0.163290833085421,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0241130138583483,0,0,0,0,0,0,0,0.761312002716782,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.149527827159579,0,0,0,0,0,0,0,0,0.0750165661805029,0,-0.0111208706327173,0,0.175066396746405,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0.0089995517247863,0,0,0,0,0.0376481224230497,0,0,0.0415123337306912,0.0191087209635191,0,0,0,0,0,0,0.0607763907202898,0,0.0400798187218209,-0.0982298504080661,0,0,0,0,0,0,0.144358134076375,0,0,0,0.0909528012726843,0,0,0,0,0,0,0,0,0,-0.0310299325015636,0.0159541042194941,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.485430911810611,0,0,0,0,0,0,0,0,0,0,0.0450302746269372,-0.0093488068200252,0,0,0,0,0.21849507673113,0,0.0118214043489838,0,0,0,0,0.0285566094609979,0,-0.11104079724335,0,0,0,0,0,0,0,0,-0.0155113352747436,0,-0.108250860565525,0,0,0,0,0,0
X600886.SH,0,0,0,0,0.0540242563215603,0,0,0,0,0,0,0,0,-0.364219424601924,0,0,0,0,0,0.0815850336075868,0.0540150020839837,0,0.0585200133898571,0,0,0.326944361535273,0,0.100285717173449,0.251108473583544,-0.154891478223774,0,0,-0.0172568048294923,0,0,0.0297771264374565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128772454780323,-0.145353617283935,0.0529276420322831,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0182292042490417,0.0868380806803928,-0.054509204905611,0,0.654979167473434,0,0.0475433581799796,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110661783513641,0,0,0,0,0.0942973383224488,0,0,0,0,0,0,0,0,0,0,0,0,-0.015569920071739,0,0,0.0655423197911606,0,0,0.00538149909182265,0,-0.0634782816710129,0,0,0,0,0
X600111.SH,0,0,0.213548005930072,0,-0.0548240362794755,0,0,0,-0.0464052209888218,0,0.122736275620647,0,0,0,0,0,0,0.362650376399922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787576167203591,0,0,0,0,0.0203000679406295,0,0,-0.0596857169169531,0.434051504057759,0,-0.0151201924865281,0,0,0,0.0349185649297865,0.0248376061027746,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.192676844273537,0,0,0,0,0,0,0,0,0,0,0.412974974346948,0,0,0,0,0,0,0,0,0,0,0,0,0.0201807760241275,0,0,0,0,0,0,0,0,0.0435434072502277,0.0114325803455942,0,-0.00443307193563753,0.0639496235499037,0,0,0.0121374479357305,0,0,0.0170967508148618,0,0,0.00365925752718541,-0.0184209416015637,0.0480097114043082,0,0,0,0,0
X000708.SZ,0,0,0.119583429854486,0,0,0,0,0.0838978944480493,0,0,-0.00367718040576913,0,0,0,0,0,0,0,0,0,0.00219438304754769,0,0,0,0.147865579256605,0,0,0,0,0.0280128451582157,-0.0666753854796722,0,0.107453047923678,0.229879644290864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151526487918821,-0.13255361683225,0,0,0,0,0
X000301.SZ,-0.0322272182092886,0,0,0.180836145254139,0,0,0,0.0462385433449802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0755628584512344,0,-0.0112973997134571,0,0,0,0,0,0.24288517000412,0,0,0,0,0,0,0,0,0,0,0,0,0.104850802505335,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X002271.SZ,0.0403618144727382,0,0,0.136419772092098,0,0,0.184452781240435,0,0,0,0,0,0,0,0,0,-0.18273317396051,0,0,0,0,0.00733598863403502,0,0,0,0,0,-0.147370456768669,0,0,0,0,0,0.646413372770689,0,0.0612623635480824,0,0,0,0,0,0,0,0,0,0.0834448411398412,0,0,0,-0.128222457431956,0,0,0.121987123506085,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0.327838583224179,0,-0.00983994942849973,0,0,0,0,0,0,0,0,0,0,0,0,0.0697335036500664,0,-0.0707036784721904,0,0,0,0.0708439560300625,0,0.0468280545581544,0,0,0.0189041329229525,0,0,0,0,0,0,0,0,0,0,0,0,0.0449551937810353,0,0.185821851206208,0,-0.00755416722149598,0,0,0,0.020798684395314,0.127807292413818,0,0,0,0,0
X600426.SH,-1.73472347597681e-18,0,0,0,0,0.0857719368327137,0,0.269458765619051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.134129928277374,0,0,0,0.0990939100891354,0,0,0.151497403871259,0.368602642345141,0,0,0.0966511974891653,0,0,0,0,0.0153163046337787,0.0721343008792626,0.0155748813576211,0.0086444931261237,0,0,0,0,0
X600362.SH,0,0.0911741346670875,0,0,0,0,0,0,0,0.0647211465254831,0.15393057034943,0,0,0,0,0,0.073534603953081,0,0,0,0,0,0,0,0,0.0285998227122736,0,0.0188296257186183,0,0,0.0303473237081914,0,0,0,0,0,0,0,0,0,0,0,0.00875655079617956,0,0.133326249001468,0,0,0,0,-0.0366445347499955,0,0,0.00482146245589445,0,0,0,0,0,0
X600795.SH,0,0.00470570041792076,0,0,0.227694931094266,0,0,0.0874032329265992,0,-0.0439934699216271,0.0175552639042377,0.0379729305283276,0,0,0,0,0,0,0,0,-0.0478939770052728,0,0,0,0,0.105388540061178,0,0.0904397856883974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157154723273332,0,0,0,-1.73472347597681e-18,0.0193164499404642,-0.0331750542105232,0,0,0,0,0,0
X600803.SH,0,0,0,0,0,0,0,0.0810073616623729,0.0347348023401284,0.0856568337960952,0,0,0,0,0.549230460626412,0,0,0,0,0,0,0,0.0413190686394712,0,0,0,-8.67361737988404e-19,0,0,0,0.205061540755642,0,0.226704357281973,0.0447455147707927,-8.67361737988404e-19,0,0,0,0.0489204453711898,0,0,0,0,0,0,0.0748519638519845,0,0.0848637410067804,0,-0.125612434701104,0,0.00571051941332981,-0.118860501818158,-0.282765933609978,0,0,0,0,0
X600176.SH,0,0,0.116277519596357,0,-0.172152560311992,0,0,-0.153052365629313,0,0,0,0,0,0,0,0,0,0,0,0,0.13526898767377,0,0.00595801351186261,0,0,0.289609866793074,0,0,0.241743217558879,0.0043001123247655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0754314221581023,0,0,0.0141309980676302,-0.0707896161828593,0,0,0,0,0,0
X600027.SH,0,0,0,0.314545776643143,0.921356983258776,0,0,-0.0458060754659066,0,0,0.0763601488682471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313508692104182,0.00147152386450408,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0154942782976214,0,0,0,0,0,0.0118479077785558,0,0.0449538517125712,0,0,0.0972380322402086,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188131260363852,0,0,0,0,0,0,0.088134905034665,0,0,0,0,1.73472347597681e-18,0.0992127524696843,0,0,0,0,0,0,0,0,0,0,0.347582584704616,0,0,0,-0.0573692269944761,0,0.0639031937172686,0,0,0,0,0,0,0,-0.00824229621471365,0,0,0,0,0,0
X000807.SZ,0,0,0,-0.0642233129280676,-0.257913546007325,0,0,0.0241155645958209,0,0,0.367704202722008,0,0,0,0,0,0,0,0,0,-0.0268783549518074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40273829467243,0,0.0153551385685043,0,0,0,0,0,0,0,0,0.266787407586745,0,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.699854110149286,0,0,0,0,0,0.0571472097255863,0,0,0,0,0.0289141293213363,0,0,0,0,0,0,0,0,0.0650476223493026,0,0.0387860037667729,0,0,0.0522579509289872,0,0,0,0.028322783734242,0,0,0,0,0,0.0251355477235276,0,0,0,0,0.0643953342952734,0,0.0123837744261897,0,0,0,0,0,0,0
