,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X600011.SH,X600188.SH,X600547.SH,X601898.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X002466.SZ,X000792.SZ,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600803.SH,X600027.SH,X600489.SH,X601991.SH,X000807.SZ,X601699.SH,X000786.SZ,X000983.SZ,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X002080.SZ,X000408.SZ,X000629.SZ,X300037.SZ,X000933.SZ,X600612.SH,X000539.SZ,X600688.SH,X600157.SH,X600995.SH,X000723.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.875163149054854,0,0,0,0,0,0,0,0.212851143004007,0,0,0,0,0,0,0,0,0,0,0,0,0.0789989734299892,0,0,0,0,0,0.18079825329907,0,-0.0572531498268006,0,0,0,0,0,0,0,0,0,0.0387090438747589,0,0,0,0,0,0,0.00126677911299602,-1.73472347597681e-18,0,0.0615253484828407,-8.67361737988404e-19,-0.0224562357232533,0,0,0,0,0,0
X600028.SH,0.638489511988243,0,0,0,0.179835588337939,0.148017162962994,0,0,0,0,0,0,0,0,0,-0.0357291152538009,0,0,0,-0.0787194669000139,-0.0908884696040637,0,0,0,0,0,0.093077657480151,-0.00694761285952764,0,0,0,0,-0.0101617658918587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109118108415236,0,0,-0.00803782943082229,0.00481214176480525,0.0836121989671274,0,0,0,0,0,0
X601088.SH,0.0434546798742525,0,0,0,0,0,-0.120599533979342,0.312432990864575,0,0,0,0,0,0,0,0,0,0.133643603115194,0,0,0.105873952144942,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-4.33680868994202e-19,-0.0695294617904274,0,0,0,0,0,0,0,0.041971808446738,0,0,0,0,0,-1.35525271560688e-20,0,0,0,0.0135003132316338,0,0,0,0,0,0
X600309.SH,-0.101391017210735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196472584277546,0,0.0439423749867408,0,0.149743795786098,0,0,0,0,-0.0309692103799756,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0163333665456666,0.0730222368067257,0.155731292689198,0,0,0,0,0,3.46944695195361e-18,0,0,0,-0.0278248461796002,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.154540329679269,0.079795637976803,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460226207826202,0,0,0,0,0,0,-0.207966828159421,0,0,0,0,0,0.117488209731922,0,0,0,0,0,0.273203899828332,0,0,0.0706379130452532,-0.0726712814559956,0.0741899578217662,0,0.00217856397733421,0,0,0,0,-0.0753863899908391,-0.0242057142686758,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0732981895949871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747184265090417,0,0,0,0,0,0,-2.16840434497101e-19,0,0.181126684729264,0.143643873459996,0.090696797820415,0,0,0.0363817489595479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125104706618075,0,0.122228994204841,0,0,0,0,0
X600011.SH,0,0.114732758828353,0,0,0.307036131928323,0,0,0,0.00744432638713736,0,0,0,0,0.399229679782727,0,0,0,0,0,0,-0.0614286233182469,0,0,0,0,0,0,0.659737788794335,0,0,-0.0595603384584871,0,-0.18271101427787,0,0,0,0,0,0,0,0,0,0,0,0.0219160636811774,0,0,0,0,0,0,0.0177642450639526,0,0,0,0,0,0,0
X600188.SH,0,0,0.319979389828902,0,0,0,0,0,0,0,0,0,0,-0.187269798956497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71098696021526,0,0.0401474787652693,0.250621698613064,0,0,0.112341821958755,0,0,0,0,0,0,0,0.190919694647324,0,0,0,0,0,0.00911401495739088,0,0,0,-0.030725321186484,0,0,0,0,0,0
X600547.SH,0,0.153103632369518,0,0,0,0,0,0.119752200121075,0,0,0,0,0,0,-0.0879761944220443,0,0,0,-0.0858369655113961,0,-0.0360503221967299,0,0,0,0,0,0.100862088612752,0,0.792720622056264,0,0,0,0,0,0,0.0438904939483388,0,0,0,0,0,0,0,0,0,0,-0.258416039016996,0.0904220467057662,-0.0803626019434755,0,0,-0.0149823986399776,-0.0212837220410002,0,0,0,0,0,0
X601898.SH,0.1980737895233,0,0.0721138348748055,0,0,0,0,0.16887942499947,0,0,0,0,0,0,0.0562919111857612,0.121448445296789,0,0,0,0,0,0,-0.156418499107474,0,0,0,0.0768028195294835,0,0,0,0,0.0413300757783572,0.104760347848429,0.117078568039714,-0.0214332883765182,0,0,0,0,0,0,0,0,0,-0.183843184998903,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0
