,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600803.SH,X600489.SH,X600176.SH,X601991.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X600157.SH,X002353.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.671475336106557,0,0,0,0,-0.0745029325116208,0,0,0,0,0,0,0,0.155243153306108,0,0,0,0,0,0,0,0,0,0,-0.220150961064462,0,0,0,0,0,0,0,0,-0.0177226491561023,0,0.0586648969956693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00246291997646782,0.0186619158216443,0,0,0,0.036475544634832,0,0
X600028.SH,0.457746347029035,0,0.089007846155139,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532366492093671,0,0,0,0,0,0,0,0,0.0460553868403803,0,0,0,0.0544288877594043,0.062835766977237,0,0,0,0,0.0350979712673158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486469484398354,0,0,0,0,0.104786207387418,0,0
X601088.SH,0,0.129624167893358,0,0,0.181794822798504,0,0,0,0,0,0,0,0.0466036099315993,0,0,0,0,0,0,0,0,0,0,0,0.0599739898798973,0,0,0,0,0,0.061290664431363,0,0,0,-0.019488428756542,0.0344888395616621,0,0,0,0,0,-0.0961902313002103,0,0,0,0,0,0,0,0,0,0.0113504372020433,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.139763578005319,0,0,0,0,0,0.0325267325550282,0,0,0,0.0233515740135607,0.0447495165458298,0.0905043344653153,0,0,0,0,0,0,0,0,0,0,0.0494700961787258,0,0,0,0,0.126068795821361,0,0,0.107365359943731,0,0,0,0,0,0,0,0,0,0,0,0,-0.0896174331079253,0,0,0.0369893953178781,-0.0173559633554094,0,0,0,-0.139282292230313,0,0
X600188.SH,0,0,0,0,0,0.0124771072622467,0,0,0.199523264858501,0,0,0,0,0,0,0,0,0,0,0,0,0.152366775513377,0,0,0.146285922966478,0,0.482144665812242,0,0,0,-0.0368231357020364,0,0,0,0,0,0,0,0.0419111744069701,0.0631866966561789,0,-0.0611264054978091,0,0,-0.0858763495861421,0,0,0,0.0865514600218644,0,0,0,-0.0146376652103855,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.194539046945386,0,0.0296448532234759,0,0,0,0,0,0.0261012756754091,0,0,0,-0.111039118594577,0,0,0,0,0,0.133164795945708,0,0,0,0,0,0,0,0,0,0,-0.0992764730172793,0.192938879011825,1.73472347597681e-18,0.646418703079084,0,0,0,0.129667498339687,-0.200386841567443,0,0,0,0,0,0,0,0,0,0,0.0165020290129125,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124614637628537,0,0,0.0929444115727921,0.210560484592754,0,0,0.240982509583028,0,-0.176608513890351,0,0,0,0,0.132338722771477,0,0,0,0,0,0,0,0,-0.0935354238367058,0,0,0,0,0,0,0,0,0,-0.0376021559416167,0.0560765726243449,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.163547674362905,0,0,0,0,0,0,0,0.166379423830796,0,0,0,0,0,0,0,0,0,-0.0679560504927469,0,0,-0.0575603668825293,0,0.264663221027435,0.0495938654455137,0,0.112269170121146,0.110184664090119,0,0,0,0,0,0,0,0,0,0.126341712078831,0,0,0,0,0,-0.0650543954123993,0,-0.0543451434135471,0,-0.00176427738286437,-0.0298136441104098,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.170399624217432,0,0,0,0,0,0.0219371959140568,0,0,0,0,0.119664760875183,0,0,0,0,0,0,0.0147737525006641,0,0.29810744300643,0,0.0996393454874971,0,0.169410603552924,0,0,0,0,0,0,0,0.0288509384211401,0,0.0242287018160862,0,0,-0.0829841360073176,0,0,0,0,0,0,0,0,0,-0.000405121523206442,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0155555221136957,0,0,0,0,0,-0.113023303877869,0,0,0,0,0,0,0,0,0,0,-0.105739425720315,0,0,0,0,-8.67361737988404e-19,0,0,0.48967068891995,0,-0.00651326174904376,0,0,0.0277367523676833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255638366873332,-0.0344978236253093,0,0,0,0,0,0
