,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600111.SH,X600010.SH,X000708.SZ,X600795.SH,X000301.SZ,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X600027.SH,X000983.SZ,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000408.SZ,X000630.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X002409.SZ,X000723.SZ,X002128.SZ,X002353.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.645456243685429,0,0,0,0,-0.0449537272713152,0,0,0,0,0,0,0,0.183804974115779,0,0,0,0,0,0,0,0,0,0,-0.262526446730756,0,0,0,0,0,0,0,0,-0.0117333983505041,0,0.0259967928298861,0,0,0,0,0,0,0,0.00746727025683269,0,0,0,0,0,0,0,0.0143834038785592,0,0,0,0.0431286383348392,0,0
X600028.SH,0.457747968605533,0,0.0890125661505343,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532367074018628,0,0,0,0,0,0,0,0,0.0460498537447349,0,0,0,0.0628327511522084,0.0544290495625614,0,0,0,0,0.0350954371817914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00486481224917443,0,0,0,0,0.104788371480454,0,0
X601088.SH,0.0389374369316401,0.0217451812597027,0,0,0.243772119555337,0,0,0,0,0,0,0,0,0,0,-0.00253845600080558,0,0,0,0,0,0,0,0,0.0319116863742911,0,0,0,0,0,0,0,0,0,-0.0179971067296454,0,0,0,0,6.93889390390723e-18,0,-0.0350614227976715,0,0,0,-0.1101573711681,0,0,0,0,0,0.0162709922270244,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.147349993346248,0,0,0,0,0,0.00148712247432772,0,0,0,0.0615199163945861,0,0.113123310752723,0,0,0,0,0,0,0,0,0,0.0474770476100137,0,0,0,0,0,0.126092078598179,0,0,0.115463743017362,0,0,0,0,0,0,0,0,0,0,0,0,-0.0901746295157026,0,0,0.037078410788021,-0.0161058041065833,0,0,0,-0.1284225045635,0,0
X600188.SH,0,0,0,0,0,0.00299052815399676,0,0,0.168539218073565,0,0,0,0,0,0,0,0,0,0,0,0,0.150213588688536,0,0,0.0989001226608471,0,0,0.487442172797308,0,0,0,0,0,0,0,0,0,0,0.0494380751613868,0.102944772798242,0,-0.0707044776225447,0,0,-0.0671448880311267,0,0,0,0.0532479093145049,0,0,-0.0110889176233358,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.284187025956927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111055869700414,0.179377220794664,0,0.623476552316337,0,0,0.0046512811095363,0.229088461327902,-0.153975520560828,0,0,0,-0.0368332389681969,0,0,0,0,0,0.00398349219205083,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0359041315803924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057801287865525,0.26505891385947,0,0,0.00180807586033013,-0.164982126602491,0,0,0,0,0,0.113035017823351,0,0,0,0,0,0,0,0,0,0,0,0,0.0786175784042665,0,0,0.0574988243661093,0,0,-0.00257819809066859,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0549762944303568,0,0,0,0,0,0,0,0.113363042235538,0,0,0,0,0,0,0,0,0,-0.169243198375908,0,0,0,0.354488535440927,0,0,0,0,0,0,0,0,0,0,0,-0.000243217936834763,-0.0278826629627745,0,0.165396988592704,0,0,0,0,0,0,0,0,0,-0.0162881160154329,-0.00838278467226874,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.261403567628458,0,0,0,0,0,0.016402147955656,0,0,0,0,0.121604125214635,0,0,0,0,0,0,0.0258712180958603,0,0.239117351741263,0,0,0.0600282664364962,0,0.169407646579113,0,0.00395772530380885,0,0,0,0,0,0,0,0,0,-0.0730107929388998,0,0,0,0,0,0,0,0,0,-0.00387822373248095,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.0202853379872928,0,0,0,0,0,-0.0565735539414649,0,-0.0192977083565713,0,0,0,0,0,0,0,0,-0.142775678609445,0,0,0,0,0,0,0.481520825687549,0,-0.01343786407639,0,0,0,0.0357763318565315,0,-0.0682057520740596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313032000743362,-0.0479970233440917,0,0,0,0.0512819315774498,0,0
X601600.SH,0,0,0,0,0,0.000351822358481073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378892127217719,0,0,0,0,0.0601139628148065,0,0.19882497428927,0.186505730409359,0,0,0.161203952424265,0,0,0,0,0,0,0,0.00302191742152617,0,0,0,0,0,0,0
X600660.SH,0.0481537378258994,0,0,0,0,1.35525271560688e-20,0,0.00620631005009421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00228779038215852,0,0,0,0,0,0,0,0,0,0,0,0.115884321264045,0.103867817256826,0.0396086572640404,0,0,0,0,0.0657260557136791,0,0,0.037192975558258,0,0,0,0.0786738347856714,0,-0.17025031922584,-0.0266055533771978,0.052768543457425,0,0,0,0,0,0
X600886.SH,0.13838874553033,0,0,0,0,0,-0.0705556454694775,0.191105501149257,0,0,0,0,0,0,-0.0932541004005186,0,0,0,0,0.0621646030027093,0,0,0,0,0.0758049144642765,0,0,0,0,0.353262097374806,0,0,0,0,0,0,0,0,0,0.00732906538577309,0,0,-0.0538997601712,0,0,-0.0670691569215501,0,0,0,0,0,-0.00244168699041924,0,0,0,0,0,0,0
