,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X600010.SH,X600111.SH,X600803.SH,X000708.SZ,X600027.SH,X002460.SZ,X000301.SZ,X601991.SH,X600160.SH,X002466.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X000786.SZ,X000807.SZ,X000630.SZ,X600985.SH,X000408.SZ,X601168.SH,X600176.SH,X002128.SZ,X000933.SZ,X600096.SH,X000877.SZ,X000883.SZ,X600352.SH,X600378.SH,X002353.SZ,X600995.SH,X600863.SH,X600688.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.351627611177665,0,0.345837032456688,0,0,0,0,0,0,0,0,0,0,0,0.121920150555075,0,0,0,0,0.126996354767522,0,0,0,0,0,0,0.144722932638733,0,0,0,0,0.403097090777803,0,0,0,0,0,0,0,0,0,0,-0.205253317308849,0,0,0,0,0,0,-0.0141094931725823,-0.00275775881928585,0,0,0,0,0,0
X601088.SH,0.106118486703212,0,0,0,0.0613746429525572,0.0782719894233411,0,0,0,0,0,0,0,0.108370983510374,0,0,0,0,0,0,0,0,0,0,0,0,-0.0890777447476769,0,0,0,0,0,0,0,0.100858109616655,0,0,0,0,0.110003773594254,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0107129096674554,0,0,0,-0.0317500732102939,0,0
X600028.SH,0.376231688924424,0.199748803411291,0,0,0.197398188511621,0,0,0,0,0.0773589026980201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092249231124313,0,0,0,0,0,0,0,0,0,-0.0516176081911684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524018071333048,0,0.0516233647720125,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0679707714912101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00647142048277326,0,0,0,0,0,0.32456029850176,0,0,0,0,0,0,0,0,0,0,0.190397293165177,0,0,0,0,0,0,0.0456655483585007,0,0,0,0.257149035893594,0,-0.0828850981463913,-0.0463666896084378,0.0382130005482694,0,0,0,0,0
X601898.SH,0,0.751412636750966,0,0,0,0.122246965830562,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.0774396553692825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491582368686956,0,0,0,0.0415881117844379,-0.064609528141141,-0.0113430572705078,0,0,0,0,0
X600188.SH,0,0,0,0,0.251655342895818,0,0.0115061452861462,0,0,0.101605271425732,0,0,0,0,-0.105845261099598,0,0,0,0,0,0,0,0,0,0,-0.00832374335820222,0,0,0,0,0.361426886320379,0,0,0,0.526350131605971,0,0,0,-0.26816493825612,0,0,-0.0529615818889648,0,0,0,0,0,0.328763015045453,0,0.0952667517568763,0,0.0235201512214123,0,0,0,0,0,0,0
X600660.SH,0,0,0,0.0396270009989896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.584255040153317,0,0.0561123338361856,0,0,0,0.0165479730527912,0.401750092850005,0,0,0,0.217044553481951,0,0,0,0,-0.0580177373371463,0,0,0,0.0405066889305536,-0.194929261832453,0,0,0,-0.0967817450470003,0,0,0,0,0,-0.166167888094912,0,-0.09566377889197,0,0,-0.0836474197079023,0,0
X600019.SH,0,0,0.218354284892396,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.196799822178101,0,0.108229271772918,0,0.159165193770302,0,0,0,0.25097974766786,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0350008052747881,0,0,0,0,-0.134042432029476,0,0,0,-0.0960891376641217,0,0,0,0,0,-0.0784542394005338,-0.00672284514522831,0,0,0,0,-0.0204272977129578,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172624259165984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112221140590946,0.543568681646376,0,0,0,0.340036010025715,-0.0096028394142267,0,-3.46944695195361e-18,0,0,0.187621258567061,0,0,0,0,0.0580464350631812,0,0,0,-0.0313471695956764,0,0,0,0,0,0,0
X600547.SH,0,0,0,-0.0974339394925519,0,0.175773159287436,0,0,-0.15397121301216,0,0,0,0,0,0,0,0.660864782367644,0,0,0,0,0,0,0,0,0.080220032309231,0,0,0,0,0.0648725113948266,0,0,0,0,0,0.231339417975574,0,0.0244553632494904,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131203017849049,0,0,0,0,0.014891480620456,0,0
X600886.SH,0.228003795347909,0,0,0,0,0,0,0,0,0.136212206818307,0,0,0,0.193870911331979,0,-0.262144360333493,0.0398867663264855,0.205991251763351,0,0.177263104201372,0,0,0,0,0,0,-0.00469770415578527,0,0,0,0,-0.0560200854867783,0,0,0,0,-0.00526927388919486,-0.168051540170672,0,0,0,0,0.151370239438517,0,0,0,0,0,0,0,0,-0.0468743009845223,0.0303148702594227,0.140561856891266,0,0,-0.0425621651466942,0,0
X600585.SH,0,0,0,0,0,0,0.0718304284252108,0,0,0,0,0,0,0,0.0779889290711499,0,0,0,0,0,0,-0.0106675732048947,0,0.165587573905124,0,0,0.0223120033649833,0,0,0,0,0.0252420198023757,0,0,0,-0.00897996205975521,-0.0171172916386893,-0.0889694500272456,0,0,0,0.213310086350004,0,0,0,0,0,0,0,0,-0.0422832972023173,0.0668893484212207,0.0277401522497097,0,0,0,1.73472347597681e-18,0,0
X600011.SH,0,0,0,0,0,0,0,0,-0.00105723490600152,0,0.0872648477702219,0.176198071878559,0,0.156102769545239,0,0,0,0,0,0,0,0.10943850856083,-0.00076832980658572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854657662624357,0,-0.0768243750067604,0,0,0,0,0,0,-0.0985962131131291,0,0,0,0,-0.110223957124818,0,0
X600795.SH,0,0,0.0108684219010928,0,0,0.0190764922717492,0,0,0,0,0.108734987403451,0,0.0894084583618212,0,0,0,0,0,0,0,0,0.157226649932128,-0.0485906095676781,0,0,0,0,-0.164125326981253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10056419322869,0,0,0,0,0.288563050260801,0,0,0,0,0,0,0,0,-0.0165728599640417,0,0
X000792.SZ,0,0,0,0.128582606396633,0,0,0.0388406559216952,0.247451597366846,0,0,0,0,0,0,0,0,0.00417667946740593,0,0,0,0.0737426836810228,0,0.22289584129071,0,0,0,0.0503972428668522,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209123033157446,0,0,0,0,0.0348906633892433,0,0
X600362.SH,0,0,0,0,0,0.0101442286056412,0,0,0,0.0564563411520121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0840446981409832,0.00713937275327733,0,0,0,0,0,0,0.0580196069871658,0,0,0.39158859020603,0,0,0.112018563239456,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00447597063882118,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0.693271268813332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53953423350491,0,0,-0.0233241119210194,0,0,-0.208939939783499,0,0,0,0,0.0272811262889163,0.12954730227192,0,0,0,0.114873470660206,0,0,0,0,-0.133229619637662,0,0,0.0213212889454752,0,0,0,-0.0542494720607976,0,0
X600010.SH,0,0,0,0,0,-0.0265405155137288,0,0,0,0,0,0,0,0,0,0,0,0,0.090677574861875,0,0,0,0.00772569080235477,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32661160104423e-05,0,0,0,0,0.04717974664064,0,0,0,0,0,0,0,0,0,-0.0136166137722492,0,0,0,0,0.006877763160811,0,0
X600111.SH,0,0,-0.183120883015668,0,0,0,0,0,0,0.00964372936490565,0,0,0,0,0,0,0,0,0,0,0,0.0403398779756339,0.134350308816338,0,0,0,0.0758965824607961,0,0,0,0,0,0,0,0,0,0.290864346252018,0,0.0545060922553147,0,0,-0.0788860603261709,0,0,0,0,0.175601629748739,0,0,0,0,0,0.0176268197416381,-0.0442655131961281,0,0,0.049548800427719,0,0
X600803.SH,0,0,0,0.0293431991443218,0,0,0.0438340523544222,0,0,0,0.788464886270902,0,0,0,0,0,0,0,0,0,0,0,0.0255696585870354,0,0,0,0,0,0,0,0,0,0,0.0649016987748607,0,0,0,0,0,0,0,0.109665088504255,0,0,0.00805078446095309,0.0617184408699516,0,0,0,0.11524281619823,0.00718422451761116,0.0226099285368361,0.0277471971241856,0,-0.529951743862092,0,-0.0238104191807568,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413060268232133,0,0,0,0,0,0,0,0.100376793080175,0,0,0,0,0.127894332895104,0,0,0,0.0244893225206472,0,0,0.193732421864576,0,0,0,0,-0.0193931337615236,0.0828479893628031,0,0,0,0,0,0,0,0,0.164007420145936,0,0,0,0,0,0,-0.00899619353759821,0,0
X600027.SH,0,0,0,0,0,0.0224007941315138,0,0,1.73472347597681e-18,0,0,0,0.919873227110811,0,0,0,0,0,0,0,0,0,0,0,0,-0.223401287086647,0,0,0,0,0,0.0330212595406919,0,0,0,0,0.151674774637724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153800673445528,0.0288798300926317,0,0,-0.0209251223872299,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0244527158163784,0,0,0.234253848346352,0,0,0,0.391288390937278,0,0.00469787008663886,0,0,0,0,0,0.436193175128882,0,0,0,0,0.0893146342969147,0,0,0,0,0,0,0,-0.0473884637465125,0.0648980234772494,-0.00388209552114196,-0.148315977859851,0,0,0,0,0,0,0,0,0.0169990415234094,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,-0.0490646449199569,0,0,0,0,0.0908302254334328,0,0,0,0,0,0,0,0,0,0,-0.195680096944893,0,0.0465456609160355,0,0,0,0,0,0,0.0242038308421413,0,0,0,0,0,0.157272795223915,0.19514738659833,0,0.244022886646008,0,0,0,0,0,0,0,-0.0383608848953875,0,0,0,0,0,0,0
X601991.SH,0,0,0.144958674814013,0,0,0,0,0,0,0,0.368262025378042,0.0911241188686765,0,0,0,0,0,0,0,0,0,0.0112343813286779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205421638910118,0.0573517401414625,0,0,0,0,0.322913186879823,0,0,0,0,0.041149730312587,0,0,0,-0.00480695871495774,0,0
X600160.SH,0,0,-0.178195484821914,-0.494132986968231,-0.175129812129822,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.425826889696501,0,0,0,0,-0.124195879805069,0,0,0,0,0,0,0,0,0,0,0.169730740480177,0,0,0,0,0.632571973209128,0,0,0,0,0.33971222139624,0.639011228664298,0,0,0,0.111683554732849,0,-0.0383008311264439,0,0,0,0,-0.0563720026776147,0,0
X002466.SZ,0,0,0,0,0,0,0,0,-0.120557984987728,-0.0948706177294073,0,0,0,0,0,0,0,0,0.138468354314249,0,0,0,0.871502596217584,0,0,0,0,0.0285262082790518,-0.0449739425855014,0,0.169676648777496,0,0,0,0,0,0,0.0168295856202171,0,0,0,0,0,0,0.0296432248257378,0,0,0,0,0,0,0.0198734093379178,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.243822981225226,0,0,0,0,0,0,0,0,0,0,0,0,0.00431663583946792,0,0,0,0,0,0,0,0,-0.111603246369808,0,0,0.193794433955156,0,0,0.174988053869566,0,0,0.371878359619625,0,0,0.208283413872749,0,0.121116349027987,0,0,0,0,0,0,0,0,0,0,-0.0317070607737981,0.0387776793484334,0,0,0,0,-0.0143809892824944,0,0
X600219.SH,0.0503484597341331,0,0,0,0,0,0,0,0.107085851563012,0,0,0,0,0,0,0,0.160732958325658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154565042951274,0,0,0,0.192002601997671,0,0,0.0220560134475238,0.167166641604451,0,0,0,0,0.0280150412475386,0,0,0,0,0,-0.00761991488110104,0,0,0,0,-0.0119894901918065,0,0
X000983.SZ,0,0,0,0,0.0664487895589422,0.0474136850706465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896815437116963,0.0418158464819449,0.072786297189196,0,0,0.0999840815336357,0,0,0,0,0,0.196794503990722,0,0,0,0.0850743984495167,0,0,0,0.0479314370264205,0,0.0488324487140349,0,0,0,0,0.0129978398791282,0,0,0,0,0,-0.0367990773181912,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,4.33680868994202e-19,0.189659337369114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184101737827059,-0.0450672680758255,0,0,0,0,0,0,0.133126967185678,0,0.0261465981929517,0,0,0.07186084051048,0,0,0,0,0.292998121222975,0,0,0,0,0,0.0614137972925443,0,0,0,0,0,-0.0452854592994265,0,0.0397789897547765,0,0,0.0630539462995532,0,0
X000786.SZ,0,0,0,0,0,0,0.395879542681985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264949741559618,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.328907156464514,0,0,0,0.0885594277955767,0,0,0,0.0605453914211471,0,0,0,0.0807247203712129,0,0,0,-0.0478025455844288,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,-0.0712810327507704,0.317795910422996,0,0,0,0,0,0,0,0,0,0,0.000383417435984239,0,0,0.0570914579573135,0,0,0,0,0,0.0741249045055921,0,0,0,0,0.209702945460858,0,0,0,0,0,0.180113367942371,0,0,0,0,0,0.00802763646530564,0,0,0,0,0,0,0,0,-0.119140492244612,0,-0.00334634091369992,0,0
X000630.SZ,0.0579237351857511,0,0,0,-0.0116742502091851,0,-0.0500165635321675,0,0,0,0,0,0,0,0,0.187181957279688,0.0756586830495839,0,0,0.0367090176404931,0,0.0744942277526548,0,0,0,0,0.0507735964395228,0,0,0,0,0,0,0,0,0,0.230043842382865,0,0,0.164711731995555,0,0.0261402658622316,0,0,0,0,0,0,0.070303993048094,0,0,-0.00831949620359965,0,0,0,0,-0.039518719064993,0,0
X600985.SH,0,0,0,0,0.00879741222650778,0.281944736936084,0,0,0,-0.0424569342938347,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227610974719579,0,0,0.0959049669036224,0,0,0,0,0.0281208276127666,0,0,0,0,0,0,0,0,0.179622672917573,0,0,0,0,0.120765375036437,0.027237795791918,0.151487517553422,0,0,0,0,0,0,0,0,0,0.00634748375926019,0,0
X000408.SZ,0.0205446053634524,0,0,0,0,0,0,0,0,0.0149104917126158,0,0,0,0,0.0928981633259954,0,0.0271068248623274,0,0,0,0,0,0,0,0,0.0855262448857722,0,0,0,0,0,0,0.220836674630961,0,0,0,0.0318508938357306,0,0,0.143512506361859,0,0,0,0,0,0.109108066741884,0,0,0,0,0,0.00939537091226218,-0.11145584082873,0,0,0,0.0734208701440415,0,0
X601168.SH,0,0,0,0,0,0,0.118011445536792,0,0.303166708163486,0,0,0,0,0,0,0.535214271412703,0,0,0,0,0,0.0859451345383927,0,0,0,0,0,0,0.0918728919265547,0,0,0,0,0.208496852672863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102335372202248,0,-0.0195431214592018,0,0,0,-0.0364205373160702,0,0
X600176.SH,0,0,0,0,0,0,-0.0126262511490752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224561621716959,0,0,0.0176618037163007,0,0,0,0,0,0.294855193488974,-0.0276189659304237,0,0.116465339434061,0,0,0,0,0,0,0.159181498067726,0,0,0,0.236768768636117,0,-0.270831647893363,0,0,0,-0.0362469269251532,0,0.0141046728780128,0,0,0,0,0
