,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600660.SH,X601600.SH,X600585.SH,X600011.SH,X600547.SH,X600886.SH,X000792.SZ,X600010.SH,X600111.SH,X600795.SH,X600362.SH,X002460.SZ,X600489.SH,X000708.SZ,X002466.SZ,X600803.SH,X600160.SH,X600027.SH,X000807.SZ,X000301.SZ,X601991.SH,X000786.SZ,X600219.SH,X600426.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X601168.SH,X000933.SZ,X600096.SH,X600985.SH,X002353.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X000831.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.103353700098727,0,0,0,0,0,0,0,0.0764834859390673,0,0,0,0,0.166672319915249,0,0,0.191104256555077,0,0,0,0,0,0,0,0,0.091609070966504,0,0.0917011210597758,0.0673897697555695,0.0352886874354624,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.0247329920361854,0.0247536069328925,0,0,0,-0.015076920036719,0,0
X601088.SH,0,0,0,0,0.34590724871628,0,0,0,0,0,0,0,0.0988959651281257,0,0,0,0,0,0,0,0,0,0,0.0410066081428245,0,0,0,0.0857866971419646,0,0,0.00245050013926448,0,0.0413648962504642,0.0117729545823057,0,0,0,0,0,0.00609631950066125,0,0,0.0620791066714559,0,0,0,0,0,0,0,0,0.011072051014341,0,0,0,0,0.0113420689862782,0,0
X600028.SH,0,0,0,0,0.140931713447253,0,0,0,0.0281353679787817,0,0,0,0,0,0,0,0,0,0,0,0.12641384505757,0,0,0,0.0529452020641122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225871370475828,0,0,0,0,0,0,0,0,0,-0.0247845793658757,0.0286033740789949,0,0,0,-0.0100475805948582,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0841351533241384,0.104916080825224,0.0245381825876455,0,0,0,0,0,0.120081884389122,0,0,0,0,0,0,0,0,0.124759710799535,0,0.157857741529364,0,0,0,0,0,0.0267871998289418,0,0,0.10649574762439,0.0418150592448473,0,0,0,-0.0471373703382717,0.0336853633993861,0,0,0,0,0,0
X601898.SH,0,0.631878465444141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0339296645695253,0.224878577696982,0,0,-0.0327352910208021,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.145701233826845,0,0,0,0,0,0,0,-0.0118389103690271,0,0,0,0.0501032256184042,-0.0183631889198935,-0.0223250954775598,0,0,-0.0202785275981466,0,0
X600188.SH,0,0,0,0,0.227949324381722,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0669563212288159,0,0,0,0,0,0.122756272792361,0,0.00561559492074136,0,0,0,0,0,0,0,0,0,0,0.0586024759232663,0.0394692809835551,-1.73472347597681e-18,0,0.123835294982581,0,0,0,0,0,0,0,0,-0.0959856455926303,0,0
X600019.SH,0.172957805089689,0,0,0,0,0,0,0,0.195166451601354,0,0,0,0,0,0,0,0,0,0,0,0.0401825473067505,0,0.0507577372216999,0,0,0,0,0,0,0,0,0.0350231690397189,0,0,0.179832901171761,0.0974746598377351,0,0,0,0,0,0,0,0.0673746943773467,0,0,0,0,0,0,0,0,0.00416296574771806,0,0,0,-0.00958817575405644,0,0
X600660.SH,0,0,0,0,0,0.119554915742141,0,0,0,0,0,0,0,0,-0.0845899807513312,0,0.242090904271376,0,0,0,0,0,0.084332191174606,0.256107480407369,0,0,0.0117176721710239,0,-0.0452706095486655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110794358775121,-0.160630158717979,0,-0.0592483681241484,0,0,0,0,0,-0.00702290052055486,-0.0146066596346786,-0.0753000094636552,0.0619268366270423,0,-0.0105184791691488,0,0
X601600.SH,0,0,0,0,0,0,0.1795150619739,0,0,0,0,0,0,0,0,0,0,0.943536437702271,0,0,0,0,0,-0.159595065789447,0,0.105685911199074,0,0,0.0682564764521177,0.0995479241536953,0,0,0,0,0,-0.291914513827673,-0.0486611525408314,0,0,0,0,0,0.214605153174461,0,0,0,0,0,0,0,0,-0.0106865868503001,0,0,0,0,-0.078095785616267,0,0
X600585.SH,0,0,0,0,0.0010321324245474,0,0,0,0,0,0,0.0606637143365304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0773105253718813,0,0,0,0,0.138090986586735,0,0.435936087249037,0,0,0,-0.0342062834749922,0,0.174886428777611,0,-0.00487490599836621,0,0.021987331190584,0,0,0,0,0.00370875649694558,0.0674336577148388,0,0,0,0,0.0298368755509343,0,0
