,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600111.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600010.SH,X600688.SH,X600309.SH,X600027.SH,X000883.SZ,X600583.SH,X601992.SH,X002353.SZ,X000792.SZ,X000898.SZ,X601158.SH,X000709.SZ,X000629.SZ,X600489.SH,X000539.SZ,X000825.SZ,X600315.SH,X000831.SZ,X000027.SZ,X600808.SH,X600352.SH,X600660.SH,X601699.SH,X600578.SH,X600307.SH,X000630.SZ,X000983.SZ,X600549.SH,X600490.SH,X600863.SH,X000937.SZ,X002470.SZ,X000959.SZ,X000960.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0347055365473532,0,0,0.0412565131296534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108067326559826,0.0440406494021085,0,0,0,0,0,0,0,0,0,0.0348779807151911,0,0,0,0,0,0.13780473402087,0.0896332585675681,0,0,0.0484084554151042,0,0.0185741624943742,0,0,0,0,0,0,0,-0.0139809370410495,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.118964566779741,0,0,0,0,0,0,0,0.120768046289159,0,0,0,0,0,4.33680868994202e-19,0.0284715745913637,0,0.113539962732797,0.0253593673471988,0,0,0,-0.00314567404507475,0,0,0,0,0,0,0,0,0.0604900526338446,0,0.0843311953019462,0,0,0,0,0.00193705760470024,0,0,0,-0.0139311766218943,0.0213255883074318,0.00774851247173275,0,-0.00930933722004158,0.000342692445111188,0,0,0,0,0,0
X601088.SH,0,0,0,0.00729104035391145,0,0,0,0,0.0990605041600625,0,0,0,0,0.161190729177872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375215361083402,0,0,0,0,0,0,0,0,0,0,0,0,0.0807705958765712,0,0,-0.0292287262094621,0,0,0,-0.019106602923157,0,0,0,0,0,0
X600585.SH,0,0,0.239513958624586,0,0,6.93889390390723e-18,0,0,0.00616062451313981,0,0,0,0,0,0,-0.0321245255125033,0,0,0,0,0.0656410143929559,0.0336813642173494,0,0,0,0.0627870823941238,1.73472347597681e-18,0,0,0,0,0,0,0,-0.0325000154169437,0,0,0.127317381881216,0,0,0,0,0,0,0,-0.0252781662559809,0,0,0,0,0,0.000361387796610681,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0864832765092246,0,0,0,0,0,0,0,0,0,0.054128253838102,0,0.307234262694014,-0.0661878582718673,0,0,0.0172517875977316,0,0,0,0,0,0,0,0,0,0.0977547857634141,0,0,0,0,0,0,0,0,0,0,0,0.0162042884803896,0,0.00374064762989643,0.0376946584480229,0,0,0,0.0116482880784898,-0.0264485703155768,0,0,0,-0.145836150355368,0,0
X600019.SH,0,0,0,0,0,0,0.273374967118798,0,0,0,0,-0.105139863900196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144040496330661,0,0,-0.0414544732542246,0.0789536772469269,0,0,0.196200689993687,0,0,0,0,0.0182010008472305,0,0,0,0.047665721832226,1.73472347597681e-18,0,0,0.0950658943485848,0,0,0,-0.00294722235337035,-0.0116826918457331,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0620114693927691,0,0.052627882579986,0,0,0,0,0,0.150359839187993,0,0,0,0,0,0.0751984561317661,0.016616914054548,0,0,0,0.187033242877636,-0.0612627275279564,0,0,0,0.0274488787062939,0,0,-1.73472347597681e-18,0,0,0.0240311492564445,0.100206367187682,0,0,0,0,0,0,0.0121983982859238,-0.0274688663042375,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178602490343073,0,0,0,0.022052473562769,0,-5.42101086242752e-20,0,0,0,0,0,0.0216091688540312,0.154761899664303,0,0,0,0,0,0,0,0,0,0,0.150252270037175,0,0,0,0,0.0438339591949796,0,0.014305951068223,0,0,0.0191011693106121,0,0,-0.00417515136576582,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0.148925968586547,0.0817409530230726,0,0.301001641119252,1.38777878078145e-17,0,0,0,0,0,0,0,0.163006270369068,0,0,0.15642450605157,-0.127314275360924,0,1.73472347597681e-18,0,0,0,0.0983581921431808,0,0,0,0,0,0,0.159466562649718,0,0,0,0,0,0.108425574808577,0,0,0,0,-0.0384224529678425,0,0,0,0,0,-0.212626326027783
X600111.SH,0,0,0,0,0,0,0,0,0.0206869793077827,0,0,0,0,0.021706968012166,0,0,0,0,0.0196391062711368,0,0.0463036330977914,0,0,0,0,0.00430326864367789,0.0351109380470197,0,0,0.0822226880970809,0,0,0,0,0,0,0,0,0,0,0.0455323187788452,0.278255242913689,0,0,0,0,0.00419451376828121,0.0845721236280929,0,0,-0.0125130727776795,0,0,0,0,0,0,0
