,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600795.SH,X600585.SH,X601600.SH,X600886.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X600583.SH,X600188.SH,X600362.SH,X002075.SZ,X000539.SZ,X601158.SH,X600309.SH,X600352.SH,X601992.SH,X000027.SZ,X000883.SZ,X600021.SH,X000898.SZ,X002353.SZ,X002470.SZ,X600863.SH,X600307.SH,X000629.SZ,X600660.SH,X601918.SH,X600808.SH,X000792.SZ,X000878.SZ,X600098.SH,X000060.SZ,X600578.SH,X000825.SZ,X600489.SH,X600008.SH,X600022.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.751197597347708,0.105274092498156,0,0,0,1.38777878078145e-17,0,0.0542587944521642,-0.0981796264431445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0579057077853049,0,0,0,0,0,0,0,0,0,0.0226619453101934,0,0,0,0,0,0,-0.0559133320962911,0.00922399142537899,-0.0119165263446633,0,0,0,0,0,0
X600028.SH,0.495397831000967,0,0.0961648044231363,0.0355529107579492,0,0,0.114749262263302,0,0,0,0,0,0.0559330862209641,0,0,0.0899747744342915,0,0.0214252093874971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00716237861972209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00802697214618008,0.0129858305156563,0.144816928451369,0,0,0,0,0
X601088.SH,0,0.218908070490249,0,0.164799219232619,0.0181399102458209,0.143406300548668,0,0,0,0,0,0.0376824220691215,0,0,0,0,0,0.00266960559246337,0,0,0,0,0,0,0.010319979389122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130481667885556,0.00281551905080347,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.101768395543378,0,0,0,0,0,0,0,0,0,0,0,0.194046920880686,0,0,0,0,0,0,0,0,-0.0393109483835274,0.108839333859002,0,0,0.0588699995277383,0,0,0,0,0,0.254183573127248,0,0,0,0.181081972239625,0,0,0,0,0,0,0,0.00262931884126501,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.196752463155038,0.0328584210967103,0,0,0.0727311469178413,0,0.0830766165928536,0,0.13940008948641,0,0,0,0,0,0,0,0,0,0.0615088322031501,0,0,0,0,0,0,0,0,0,0,0,0,0.00559752001976774,0.0946409274054538,0,0,0,0,0.198325344478134,0,0,0,0,0,0,4.33680868994202e-19,0.0027580985896441,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.147497572518003,0,0,0.0895655112030978,0,0,0,0,0.0985163094863238,0.164808242619417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382660015242095,0,0,0,0.213954295857668,0,0,0,0,0,0.292762304744353,0,0,0,0,0,0,-2.16840434497101e-19,0.00981590961747199,0,0,0,0,0,0
X600019.SH,0,0.0180452262056827,0.0290481484930054,0,0.155622938287485,0,0,0,0,0,0,0,0.0539555196654459,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606857916722587,0.246940661524856,0,0,0.136535009642845,0,0,0,0.00289257666569623,0,0,0,0,0,0,0,0,0,0,0,0,-0.00759403416210908,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.0596579971182679,0,0,0.0156216874212374,0.0752952911926505,0,0,0,0.0502934169953962,0,0,0,0,0,0,0,0,0,0,0.205923881940836,0,0,0,0.283700493536831,0,0,0,0,0,0,0,0,0,0.101930557556296,0,0,0,0,0,0,0.00193451650450866,-0.00182077529171121,0,0,0,0,0,0
X600585.SH,0.0893478100696316,0,0.021985406212898,0,0.051396157502303,0,0.0961145305273287,0,0,0.102029202114732,0,0,0,0,0,0,0.0873178153655025,0,0,0,0,0,0,0.0377313935126828,0,0.0291843055220888,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.188803898174844,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00956673585867689,-0.00673421041576396,0,0,0,0,0,0
X601600.SH,0,0,0,0.190092081865688,0,0.128152003818764,0,0.223646958624868,0,0,0,0,0.245088956111347,0.0732682139347773,0,0,0.00279411229428379,0,0,0,0,0,0,0,0,0.200039906047294,0,0,0,0,0,-0.0614940791061802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660370112754347,0,0,0,0,0,0
X600886.SH,0.0162680205178803,0,0,0,0,0,0.251978024295691,0,0,0,0,0,0,0,0.139391347501006,0,0,-0.013197744712006,-0.0245428982028201,0,0,0.125048824314167,0,0,0,0,0,-0.180406439532179,0.131064028331847,0,0,0.041736904768959,0,0,0,0,0,0,0,0.0639308552615204,0,0.0794007136874508,-8.67361737988404e-19,0,0,0,0,0.0272305369790182,0,-0.00501419003170489,-0.0327970678225087,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.0294395539114214,0.202614249795397,0.190936940453274,0.028812289339483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111368638775128,0.0416136777438665,0,0,0,0,0,0,0.0561400067385026,0,0,0,0,0,0.112545970412397,0,0,0,0,0,0,0.00171671267940743,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0.0130673419439078,0,0,0,0,0,0,0,0.000972268188297569,0,0,0.322951939738993,0,0,-0.105890845784781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421833857870781,0,-0.068618041231508,0,-0.0568036271491589,0,0,0,0,0.00870404236709004,0,0,0,-0.00671707081475493,-0.0263093304740991,0,0.0016017635819869,0,0,0,0
X600027.SH,0,0,0,0,0.106717632296598,0,0,0,0,0,0,0,0,0,0.043775296411315,0,0,0,0.0117749893789852,0,0,0,0,0,0,0,0.0547242625991025,0,0.0142192677357114,0.0396824162942358,0,0,0.355081870963351,0,0,0,0.149468943789472,0.030656768123005,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.00179957539258604,0,0,0,0,0,0,0
X000709.SZ,0.235215124418936,0,0,0,0,0,0.104854541593885,0,0,0,0,0,0,0,0,0.295008994875086,0,0,0,0,0,0,0,0,0,0,0,0,0.109182727746623,0,0,0,0.0630048324757498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585574462175855,-0.0170006331801585,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361339713900184,0,0,0,0,0,0.153200562579042,0,0,0,0,0,0.103193773448454,0,0.0427307769237339,0,0,0,0,0.0797668420450453,0,0,0.177468269105032,0,0,0,0.0594201966563664,0.0198151853387245,0,0,0,0,0.0504771454409677,0,0,-0.00713615727300383,-0.0269107574545084,0.0316511594676694,0,0,0,0,0
X600111.SH,0,0,0,0.0719866362446458,0,0.0649198898496773,0,0,0,0.0792136823913439,0,0,0,0,0,0,0,0,0.0612700710761492,0,0,0,0,0,0.0368376706409036,0,0.129663250840503,0,0,0,0,0,0,0,0,0.207769460644947,0,0,0,0,0,0.0136231657109751,0,0.0964282044060832,0,0,0,0,0,-0.00554208247238334,-0.00640313852155978,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0.131693947495844,0,0,0,0.0987469850413596,0,0,0,0.356465414944989,0,0,0,0,0,0,0,0,0,0.101315357770712,0.101988289344528,0,0,0,-0.0386016255019189,0,0,0,0.0234027161177307,0,0,0,0,0,0.0341745808129934,0,0,0.0856944281350476,0,0.0986421818792684,0,0,0,0,0,0,-0.0502798768083555,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0885485121125099,0.212028645194185,0,0.0275811342271999,0,0,0,0,0,0,0,0,0.425187310932073,0,0,0.069013457117226,0,0,0,0.0716412836669282,0.0938599389221983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228827460793576,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0.0828311496804575,0,0,0,0,0,0,0,0,0,0,0.151798553249724,0,0.00614030522257712,0,0,0,0,0,0.0960019409122234,0,0,0.0244728491960821,0,0,0,0,0.075475357015309,0.0316568452269957,0.0629619958743591,0,0,0.254156995670916,0,0,0,0,0,0,0.147978660411185,0,0.0806243480273513,0,0,-0.017995995268813,-0.0195746738151667,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410206229242052,0,-3.46944695195361e-18,0,0,0,0,-0.527256965630871,0,0.312707351125658,0,-0.0046697036797355,0,0.173233152980757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328695184168813,0,0.0149143221211924,0.00811140061396582,0,0,0,0,0,0
X000539.SZ,0.21543325372138,0,0,0,0,0,0,-0.181977684755918,0,0,0,0,0.238170889265938,0,0,0.154721704114928,0,-0.0274825616020462,0,0,0.202209947583293,0,0,0,0.0562518985213506,0,0.0398324155972035,0,0,0,0,-0.094992664512922,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.326416586400446,0.033590242328654,0.0415347122628762,0,0,0,-0.502398720662989,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221014261101955,-1.73472347597681e-18,0.0916139466257174,0.088396534918747,0.171439307603726,0.106255888215335,0,0,0,0,0.0194273741039993,0,0.0697759177738876,0.00769333712680541,0,0,0,0,0,0,0.0336635591970959,0.0115699652720116,0,0,0,-0.00256316910452431,0.00271989310711972,0,0,0,0,0,0
X600309.SH,0,0,0,0.0339794134735551,0.24746738776451,0,0,0,0.0810495883649232,0,0,0,0,0,0,0,0,0,0.0327767378524807,0.0587976019607125,0,0,0,0,0.206850639004587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863521221820859,0.143905317726638,0,0,0,0,0.0139034430745598,1.0842021724855e-19,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0.0136721888584718,0,0,0.0413724728029565,0,0,0,0,-3.46944695195361e-18,0,0.0797938669009758,0,0,0,0.0338669395964885,0,0.272019550247098,0,0.0183093544118066,0,0,0,0,0,0,0,0,0,0.084637453301777,0,0,0,0,0,0.0477405318602691,0.0362043590284587,0,0.0517661640981024,0,0,-0.0263378955353669,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0.0229300803100823,0,0,0.0443235315038099,0,0,0,0,0,0,0,0,0,0,0,0.101277327348994,0,0,0,0,0.154629554003475,0,0,0.0189653654627086,0,0,0,0,0.136194906973765,0,0,0,0,0.159862138491621,0.103640607372028,0.0596133149727048,0.150878145128735,0,0.031955700954056,0,0,-0.0195856892624184,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638970294928671,0,0,0.0110850759451207,0,0.0892129240446545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024581986789156,0,0.200699325640492,0,0,0.146383500992234,0.221075749362096,0,0,-0.0361827864241891,0,0,0,0,0,0,0
X000883.SZ,-0.00912150579609075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0597808189282091,0,0,0,0,8.67361737988404e-19,0,0,0.115083624109954,0,0,0,0.090736536954777,0,0,0,0.0204387903488128,0,0,0,0,0,0,0,0,0.356863748768596,0,0,0,-0.0301495371771492,0,0,0,0,0,0,0
X600021.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145746266637399,0,0,0.0542896677229266,0,0,0,0,0,0,0,0.0182548547314634,0,0,0,0,0,0,0,0,0,0.0517238907861496,0.152157580053755,0,0,0,0,0.121474288431776,0,0,0.170538266059575,0.020707099774255,0,0,0,-0.033939400918287,0,0,0,0,0,0
X000898.SZ,0,0,0,0.0054030064165029,0.0110525980755777,0,0.189140242586253,0,0,0.0111974745376559,0,0,0,0.28359633829927,0,0,0,0,0.0714286090321462,0,0,0,0,0,0,0.103340496708894,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0698946516186673,0,0,0,0,0,0,0,0,0,0,0,0.000468952698744728,8.67361737988404e-19,0,0,0,0,0,0
X002353.SZ,0,0,0,0,0,-0.0516637948345197,0,0.0562394166453052,0,0,0,0,-0.114682262326074,-4.33680868994202e-19,0,0,0,0.0858872340513463,0,0,0.0106285515465398,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.00299392779023052,0,0,0,0,0,0,0,0.00969733667731052,0,0,0,0,0,0,0,0,0,0.028227147277857,-0.0233433086006915,0,0,0,0,0,0
