,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600886.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X002075.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X000898.SZ,X600021.SH,X601158.SH,X000027.SZ,X000539.SZ,X000878.SZ,X600309.SH,X600022.SH,X601992.SH,X600352.SH,X000883.SZ,X000629.SZ,X601918.SH,X600307.SH,X600160.SH,X600547.SH,X600098.SH,X600660.SH,X600489.SH,X600808.SH,X000792.SZ,X000060.SZ,X600863.SH,X002470.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.722461637973921,0.010938799224658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160923511069779,0.0276686778365145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417933714093756,-0.0513821434989191,0,0,0,0,0,0
X600028.SH,0.41351404813567,0,0,0,0,0,0.144958355586989,0.02882024542846,0.0261496740622958,0,0,0,0,0,0,0,0,0,0,0.0553026930632998,0.0813249986671583,0,0,0.00428351444243358,0,0,0,0,0.0212391739754172,0,0,0,0,0.0660892235622035,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0233241793187807,0,0.0159540926758153,0,0,0,0,0
X601088.SH,0,0,0,0.207234022169292,0,0,0.107177008483792,0.243268267549545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603094611440479,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.199215673361366,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.233603610995027,0.163914738366732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105682315692211,0,0.0511940313234089,0,0,0,0,0.0116346229551158,-0.0416204623650633,0,0,0,0,0,0
X600011.SH,0,0,0,0.0305255318595942,0,0,0.0231191659665244,0.129549297230025,0,0,0.137509730773098,0.0643325640962428,0,0,0.12997513930403,0,0,0,0,0.0834888185828347,0,0.0607336564939905,0,0,0,0,0,0.11315592838694,0,0,0,0,0,0,0,0,0,0,0,0,0.0988737222008231,0,0,0,0,0.0407941896076877,0,0,-0.0201827877503096,0,-0.0398777876466223,0,0,0,0
X600886.SH,0,0,0,0.0473296063947444,0,0,0,0,0,-0.0290955713482618,0,0,0,0.376775102813971,0,0.0484474977265609,0,0,0,0,0,0,0,0,0.0221782737362042,0,0,0,0,0,0,0,0,0,-0.0198367810986812,0,0,0,0,0,0,0,0,0,0.0003765927345491,0,0,-0.0755167066318671,0.0348402135549068,0,0,0,0,0,0
X600019.SH,0,0,0.148222595531908,0,0.15870263180907,0,0,0,0,0,0,0,0,0,0.261153803316331,0,0,0,0,0,0,0,0,0,0,0,0,0.0279358555826142,0,0,0,0,0,0.062214606953589,0.00468664576936201,0,0,0.0174333048764581,0,0,0,0,0,0,0,0,0,0,-0.0106442572757786,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.0907053223204196,0,0,0,0,0,0,0,0,0.272414868710604,0.180337435591041,0,0.0112560548734464,0,0,0,0,0,0,0,0,0,0,0.217622385076718,0,0,0,0.121964393035917,0,0,0,0,0,0,0,0,0,0.0430109989257534,0,0,0,0,0,0,0
X600585.SH,0.00147816338103888,0,0.109527084966637,0,0.106669085984121,0,0,0.00211954176010381,0,0,0,0,0,0,0,0,0,0.0433668201345399,0,4.33680868994202e-19,0,0.153637448463338,0,0,0.0646905694970497,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0299308351138044,0,0,0,0.19757818744999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.150865991366969,0,0,0.162022180933129,0,0,0,0.131800682828365,0,0,0,0.0279515523648806,0,0.0331987691188213,0,0.0391518523224393,0,0,0,0,0,0,0.140063612455148,0,0,0.0085075860474062,6.7762635780344e-21,0,0.0276214139223674,0.0150469984620113,0,0,0,0,0,0,0.0984226034695986,0,0.0159215684855527,0,-0.00390562181785741,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0726875964980458,0,0,0,0,0.0543958221953531,0,0.175493041983047,0,0,0,0,0,0.0106160292412732,0.0598068994604474,0,0,0.0842278427186548,0,0,0,0,0.0119452463367168,0,0,0,0,0,0,0.00585971292462994,0,0,0,0,0,0,0,0,0.021728821493004,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0.0258277080151711,0,0,0,0.0862129117207417,0.134901814760804,0,0.0535077462720655,0,0,0,0,0.0335431759569776,0,0,0,0,0.155257857949933,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.0739178499937593,0,0,0,0.0171654608918042,0,0,0.0296958547690524,0,0,0,0,0.184787076206043,0,0,0.000762562738014936,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,-0.152268272924411,0,0,0,0,0,0,-0.0433817449470138,-0.0807027554927991,0,0,0,0.387234109715431,0,0,0,0.125700605134324,0,0,0,0.0917992936653606,0,-0.13132240500142,0,0,0.337137471277018,0,-0.0661934953747216,0,0,0,0,0.049710738725559,0,0,0,0,0,0,0,-0.00102312317546819,0,0,0,0,0,0
X000709.SZ,0.0145059273978124,0.159800539401751,0,0,0,0,0,0,0.0380687657558419,0,0,0,0,0,0.0221802552800855,0,0.0984383173103202,0,0,0.0931961486346297,0,0.150053493582675,0,0,0,0,0,0,0,0,0,0,0.0681336788508786,0,0,0,-0.0645892346659479,0,0,0,0,0,0,0,0.176198566104918,0,0,0,-0.0411860749214255,0,0,0,0,0,0
