,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X300072.SZ,X600188.SH,X600547.SH,X600795.SH,X601600.SH,X601991.SH,X600027.SH,X600362.SH,X600157.SH,X600111.SH,X600886.SH,X601992.SH,X600489.SH,X600309.SH,X600660.SH,X600299.SH,X600623.SH,X002466.SZ,X000792.SZ,X002075.SZ,X601158.SH,X000709.SZ,X000898.SZ,X000983.SZ,X000723.SZ,X000408.SZ,X600583.SH,X000883.SZ,X600352.SH,X600549.SH,X000959.SZ,X000539.SZ,X600176.SH,X000027.SZ,X002470.SZ,X000630.SZ,X600021.SH,X000060.SZ,X000012.SZ,X002460.SZ,X600098.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.021465816109168,0,0,0.0866671662088916,-4.33680868994202e-19,0.0426775035470084,-0.0083383781130835,0,0,0,0,0.00962738708955671,0,0,0,0,0,0.0302382126009168,0,0,0,0,0,0,0,0,0,0,0.00861696496805343,0,0,0,0,0.0315476597824524,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051716895024659,0.0102859233065311,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0601761898705801,0.0604855395713,-0.02952608075302,0,0,0,0,0,0,0,0,0,-0.00179024520107681,0,0,0,0,0,0,0.01040276979455,0,0,0,0,0,0,0,0,0,0.0469437348047306,0.00356618393529824,0,-0.038153176126257,0,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0830242885502649,0,-8.67361737988404e-19,0.213656380097027,0,0,0,0,0,0,0,0.0525923568514217,0,0.142557258291877,-0.0124500183330757,0.0452273281921566,0,0,0.00221801637730736,3.46944695195361e-18,0,-0.0388157252602278,0,0,0,0,0.0505555265880227,0,0,0,0,0,0,0,0,0,-0.0794557080630342,0,0,0,0,0.0133499395218259,0,0,0.00541401494804403,0.0688450727218587,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0808531611168819,0.112641067649508,0.0132024608027835,0,0,0,0.231728684728724,0,0,0,0,0,0,0,0,-0.00975559611375297,-0.0707605135122304,0,0,-0.000121303670691178,-0.0167572206383029,0,0,0,0,0,0,0,0.123328308785161,0.0933211932312704,-0.0520361220681192,0,-0.14620950628275,0,0,0,0,0,0,0.0124141196372516,0,0,0.0138732802285524,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0889426223348084,0,0,0.0240366007961447,0.00227601306992902,0,-0.01994654949554,0,0,0,0,0,0,0.134564709353588,0,0,0,0,0,0,0,0,0.024964778362138,0,0.0365648814049263,0,0,0.0832686239334082,0,0,0,0,0,0.102076802077979,0,0,0,0,0,0,0,0,0.0402426559509962,0,0,0,0,-0.0110845258937544,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0891854937270393,-0.0355435797699806,0.154539947621842,-0.050937425215662,0,0,0,0,0,0,0,0,0.146584396709702,0,-0.150971103967162,0.21355902571829,0.00768787590303999,0.0598340935513555,0,0,-0.16517027857079,0,0,0,0,0,0,0,0.0431663621235007,0,0.144116906900538,-0.0313455641461432,0,0,0,0,0,0,0.0398369208147385,-0.123328762469857,0,0,0,0.039946892856401,8.67361737988404e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0148060169954354,0,-0.0615931447760947,0,0,0,0,0,0,0.0758536569289405,0,0,0,0.0499373962123752,0,0.00174532925340625,0,0,0,0,0,-0.0386479264231302,0,-0.00760535744154735,0,0,0,0,0,0,0,0,-0.0325956246209592,0,0,0,0,0,0,0,0,0,-0.0622111673999934,0.0445484133716204,-0.0219290659652271,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0661890425590501,0.114751423527273,0.00983218272586298,0,0,0,0,0,0,0,0,0.0597717037382787,0.0186470019242604,0,0,0,0.0432451892620007,0,0,0,0,0,0,0,0,0.0339447586925801,0,0,0,-0.0846190394790169,0.0846571650785331,0,0,0,0,0,0,0.348658606689341,0,0,0,0,0.0550607631197327,-0.0453154419135091,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0.0862906744997105,0,0.0297895936786502,0.0656518942207941,0,0,0,0,0,0,0,0,0,0,-0.031550829646821,0,0,0,0,0.0390531529709616,0,0,0,0,0,0.0896326046682342,-0.0431674427763415,0,0,0,0,0,0.0153954885894056,0,-0.0165999306486092,0,0.109210778118339,0,0.150328909557868,4.33680868994202e-19,0,0.0114224739461029,0,0,-0.00639651738467424,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0.10827216866201,0,0,0,-0.107553426180817,0,0,0,-0.491121590364204,0,0.384639434954465,0.185547200670004,0,0,0,0,0.0224376209618469,0,-0.0304052294812739,0,0,0,-0.202878455156651,0,0,0,0,0,0,0,0,0,0,0,0.332244955825412,0,0,0,0,0,0,0,0,0,0,0,-0.0430907825729635,0,0,0,0,0
