,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X600688.SH,X600547.SH,X601600.SH,X600795.SH,X600362.SH,X600309.SH,X300072.SZ,X600188.SH,X601991.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X601992.SH,X600111.SH,X600489.SH,X000898.SZ,X600299.SH,X600339.SH,X000709.SZ,X601158.SH,X000959.SZ,X600583.SH,X000792.SZ,X000630.SZ,X002466.SZ,X000408.SZ,X600098.SH,X000723.SZ,X600352.SH,X000883.SZ,X600219.SH,X000825.SZ,X000539.SZ,X600021.SH,X000027.SZ,X002092.SZ,X601699.SH,X000983.SZ,X000937.SZ,X600623.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.341605628100681,0.0288826478910781,0,0,0,0,0,0,0,0.0180715371288744,0,0,0,0,0,0,0,0,0,0.0187703612218746,0.0270746819215551,0,0,0.0545775537496001,0,0,0,0,0,0.00210644085318207,0,0,0,0,0,0,0,0,0,0.0382374238027792,0,0,0,0,0,0,0,0.100588518599872,0,0,0,0,0,0,0,0,0
X600028.SH,0.568269551521939,0,0,0,0,0.326564529382288,0,0,0,0,0,0,0.003647408211785,0,0.0471226625327277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0791184309016864,0,0.0343290766082536,0,0,0,0,0,0,0,0.0293811770171293,-0.0109678582728561,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.173687795374618,0.104369289447168,0,0.0667579002412217,0.0444406686157802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217872081419926,0,0,0,0,0,0,0,0.0163588566762428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137979930988353,-0.135854075904521,0,-0.0412088226221341,0.0302313531776546,0,0,0,0,0,0
X600019.SH,0,0,0.114910704268992,0,0.200164734268491,0,0,0,0,-0.0563556414726388,0,0,0.0536321268122051,0,0,0,0,0,0,0,0,0,0.153986277529623,0,0.155824449025188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788359205366323,0,-0.0549112061371161,0,0,0,-0.149988566693444,-0.0299722665036872,-0.0135751265597645,0.0157283252224684,0,0,0,-0.321953591395948,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,-0.105935219263648,0,0.325142666883342,0,0,-0.0759541369191637,0,0,0,0.103071584176046,0,0,0,0,0,-0.0310582655051189,0,0,-0.117529076685128,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181089005279832,0,0.0347821188879703,0,0.0955774277780021,0,0,0,0,0,-0.0158862531119763,0.0127611676502666,0.0273321136409895,0,0,-0.127487479819677,0,0
X600585.SH,0,0.143595193620991,0,0.0627000811856419,0,0,0,0,0,0,0,0,0,0.110168219919651,0,0,0,0,0,0,0.0712826735937365,-0.0436054430480654,0,0,0.109777395536483,0,0,0.130644699405939,0,0,0,0,0,0,-0.422363959195287,0.0365889160595363,0,0,0,0,0,0,3.46944695195361e-18,0,0.0799088399324445,0,0,0,0,-0.213930111612315,-0.0161028969405968,0.0184567011976985,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0738711095061117,0,0,0.0304566690961779,0,0,0,0,0,0,0,0,0,0,0.209414804535768,0.0192644238758452,0,0,0,0,0,0,-0.00449553780734212,0,0,0.054858774265169,0,0,0,0,0,0,0,0,0,0,0,0.0691578050309159,0.095038119233185,0,-0.0198472692543912,0.00455656184338947,0,0,0,0,0,0
X601898.SH,0,0,0.259952615787999,0,0,0,0,0,0,0,0,0,0,0,0,0.15195051466104,0,0,0,0,0,0,0,0,0,0,-0.0163177792197446,0,0,0,0,0,0,0,-0.146164970150243,0,-0.0220881716671626,0.245952212312742,0,0,0.0379031200027777,0,0,0,0,0,0.333922853500921,0,0,-0.0236952638569928,-0.0104644552695845,0,0,0,0,0,0,0
X600688.SH,0,0.3033259796377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033206886055838,0,0.0162030963230369,0,0,0,0.144103347525181,0,0.0383017708595341,0,0,0,0,0,0,0,0,0,0,0,0.0967308870154964,0,0.124088630360863,0,0,0.00997701573847784,0.00468525370135745,0,0.000362437383810701,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000295438618983207,-0.127186837554622,0,-0.0133263232977839,0,0,0,0,0,0.989150351908981,0,0,0,0,0,0,0,0,0.0178712594255523,0,0,0.102975045678591,0,0,0,0,0,0,0.00245114455200205,0,0.184255615229135,0,0,0,0,-0.0108703981316925,-0.0198146607573522,0,0,0,0,0,0,0
X601600.SH,0,-0.0561212688201365,0,0,0,0,0,0,0,0,0,0,0.135054589820375,0,0,0,0,0,0,0,0,0,0,0,0,0.187164050778898,-0.166796766135825,0,0,0,0,0,0.279881259636529,0,0,0,1.73472347597681e-18,0,0,0.261990361140066,0.137115820008935,0,0,0.036926680058538,0,0,0,0,0,-0.101470170027031,-0.00272880703564096,0.00702695162634601,0,0,0,0,0,0
X600795.SH,0,0,0,-0.0692575116184683,0.000584053657198725,0.012422943598327,0,0,0,0,0.0167737527249251,0,0.0665304765613692,0,0.0603043350292627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135552009840706,0,0,0,0,0,0,-0.0351881354631316,0,0,0,-1.38777878078145e-17,0,0,0,0.0290528060596217,0,0,0,0,0,-0.0252278475466369,0.0299223365234199,0.194849486403603,0,0,0,0,0
X600362.SH,0,0,0,-0.135563903007433,0,0,0,0.0181149721539314,0,0,0.130124845885144,0,0,0,0.136340185995377,0.0560029043742921,0,0,0,0,0,0,0,0,0,0,-0.341050494033777,0,0,0.11125032272124,0,0,0.502115784370312,0,0,0,0,0,0,0.0422084350106248,0,0,-0.215931616575595,0,0.0679891674777347,0,0,0.156291774488621,0,0,0,-0.019103636191574,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.108399330234565,0,0,-0.148271023302691,0,0,0,0,0,0,0,0,0,0.222975793122365,0,0,0,0,0.032458037238846,0,0.147363730719602,0,0,0.0850299648340185,0.0429150641871387,0,0.0989285504689386,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,-6.93889390390723e-18,0,-0.12735738211733,0,0,0,-0.0169460297248161,0,0,0,0,0,0
X300072.SZ,0,0,-0.0403114484189934,0,0,0,0,0,0,0,-0.0675272973810779,0,0.177991132748704,0,0,0,0,0,0,0,0,0,0,-0.0450367680669619,0,0,0.105041282623232,0,0.142308665681904,0,0,0.0964259986423872,0,0,0,0,0.016216992280801,0,0,0,0,0,0,0,0,0,0,0,0.0249537737333562,0.106983795643759,0.00200799982813653,0.0220830830028624,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.491931388991435,0,0.0890518454983664,-0.199351909438599,0,0,0,-0.0572703751421591,0,0,0.156997288207336,0,0,0,0,0,0,0,0,0,0,0,0,0.273664075144296,0,0,0.150664196904247,0,0,0,0,0,0,0.0809999946092967,0,-0.124833251302863,0,0,0,0,0.0693250355188605,0,0.0356591297500413,0.0151149504383571,-0.00613940477591646,0,0,0,0,0,0
X601991.SH,0,0,0,-0.0249565511404787,0,0,0,0,0,0,0.0648966777168619,0,0,0,0,0,0,0,0,0,0,0,0,0.00925243676754207,0,0,0.0902213890160701,0,0,-0.0354659189520158,0,0,0,0,0,0,0,0,0,0,0.0570662936983512,0,0,0,0.0347972307212385,0.0311610398986972,0,0,0.0830073210518242,0,0.0127551904365837,-0.0194454689067727,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0.0317115636565174,0,0,0,0,0,0.61446573988652,0,0,0,0,0.125239540278098,0,0.036836501353158,0,0,0,0.213076199941134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0912262195612788,0,0.0315590762384166,-0.0108956671848678,0,0,0,-0.0807765234916098,0.0218182205215594,0,0,0,0,0,0,0.0518842653345814
X600027.SH,0,0,0,0,0.0772517940579299,0,0,0,0,0,0,0.0385376746833858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378545271740921,-1.73472347597681e-18,0.0499948953121011,0,0,0,0,0.11849931281403,0,0,0,0,0,0,0,0,0,0,0.0610235053678795,-3.46944695195361e-18,0,-0.0399257377639179,0.00864478240186701,0.00198622678436129,0,0,0,0,0,0
X600886.SH,0.175532339991671,0,0,0,0,0,0,0,0,0,0.0148685231850179,0,0,0.183132749354699,0,0,0,0,0,0,0.122407785567956,0,0,0,0,0,0.0712153183499655,0,0,0.0383593908571258,0,0,0,0,0,0.073633158055417,0,0,0,0.0210448125504529,0,0,0,0,-0.0521239493490516,0,0,0,0,0,0,0.00267886299264939,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0.112614226835991,0,0,0,0,0,0,0.186475587318166,0,0.19682830021593,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0194645689755052,0.118404603230239,0,0,0,0,0,0.102176680502037,0,0,0,-0.103289275833992,0,0,0,0,-0.0467622056969505,0,0.106822731405596,0,0.0519670008537668,-0.257112108998907,-0.00562457451456195,0.00987911536804327,0,0,0,0,0,0
X601992.SH,0,0,0.254483775067059,0,0,0,0,0,0,0,0,0,0,0,0.0363605553402682,0,0,0,0,0,0,0,0,0,0.0418423676736447,-0.0116966420036455,0,0,0,0.0268712034442385,0,0,-0.0484721931323193,0,0,0,0,0,0,0,0,0,0.0187376780762587,0,0.085522037093371,0,0,-0.0381244697024784,0.338029568613207,0,-0.00330812828486653,0.00258505057314112,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.0632470411081659,0,0,0.0283856480805433,0,0.0898624558769065,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0497844473013782,0,0,0,0,0,0,0,0.10995042480742,0,0,0,0,0,0,0.0781176447401407,0.0755487030008815,0,0.0148318367942694,0,-0.0286029494344481,0,0,0.0919941818573951,0,0,-0.0169490966737851,0.00503411968311638,0,0,0,0,0,0
X600489.SH,0,0,-0.0297854547930573,0,0,0,0,0,0,0.787398767661132,0,0,-0.0329072988522154,0,0.0776245498250711,0,0,0.149953753664069,0,0,0,0,0,0,0,0,0,0,0,-0.041399275652872,0,0,-0.025403521617672,0,0,0.0195879732208675,-0.0234836587366979,0,0,0,0,0,-0.0673570957822727,0,0,0,0,0,0.0884291963176117,0,-0.0112872202669364,0.00599669508158515,0,0,0,0,0,0
X000898.SZ,0,0,0,0.35448892177773,0,0,0,0.00160981811578254,0,0,0,0,0.0493626208968943,0,0.0523496512757086,0.034134041490203,0,0,0,0,0,0.114624910911998,0,0,0,0,0,0.786835355376181,0,0,0,0,0,0,0,0,-0.0248267092186828,0,0,0,0.092291189846602,0,0.0743579853933751,0,0,0,0,0,0,0.127705626040765,-0.0559712922632784,0.0555829681157134,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.411761928833241,0,0,0,0,-0.0471285295534578,0.0211121812233939,0,0.0813862790993846,0,0,0.0182823761668624,0,0,0,0,0,0,0,0,0,0,0.184640717908887,0,0,0,0,0.0818545159798847,0,0,0,0,0,0,-0.139046636052629,0,-0.0233397898901095,0,4.33680868994202e-19,0,0,0,0,0,-0.000728954853096467,0,0,0,0,0,0,0
X600339.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142183055516242,0.184457272243797,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0113230435217273,0,0,0,0.18668452900104,0,0,0,0,0.125696730956416,0,0,0.0423365586419332,0,0,0,0,0,0,0,0.128261247121078,0,0,0,0.0244376306242871,0,0.0838774682693784,-0.074048106266196,0,0,0,0,0,0
X000709.SZ,0,0,0.0355120250721334,0.0156383611723081,0,0,0,0,0,0,0.168223950965848,0,0.0238532543875229,0,0,0,0,0,0,0,0,0,0,-0.0488351705693277,0.284550068880506,0,0,0,0,0,0,0,0,0,0,0,-0.00633487294953407,0,0,0,0.0662757072179341,0,0,0,0,0.0518156394601181,0,0,0,0,0.00407383474230658,-0.0135692483088647,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373129780976044,0.0918913101753678,0.126212313308997,0,0,0,0,0,0.188165485952008,0,0,0,-0.141364117347067,0,0,0,0,0,0,0,0.0609714763391426,0,0,0,0,0.0476115390906494,-0.0322674694444437,0.0151680731555366,0,0,0,0,0,0
X000959.SZ,0,0.107115888716369,0,0,0,0,0,0,0,0,0.142197230785584,-0.213987561553613,0,0,0,-0.0789717896210647,0.235991494795455,-0.32244241988364,0,0,0.0204947555414455,0.237625950464098,0,0,0,0,0,0,0,0,0.0550759982045803,0,0,0,0,0,0,0,0,0,0.0154487781006491,0,0,0,-0.0511567555929766,0,0,0,0.191542935190175,0,0.0467160355301889,-0.0417910268422087,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0,0.456752645791763,-0.0506301815617008,0,0,0,0,0,0.092670680625346,0,0,0,0,0,-0.0263563187097136,0,0,0.0221270060144898,0,0,0,0,0.0814578534967685,0,0,0,0,0,0,-0.133701543532976,0,0,0,0,0,0.000207324682548829,0,0.0491661018632024,0,0,0,0,0,0.0052778048096435,0.00530555554468787,0,0,0,0,0,0
