,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601992.SH,X601898.SH,X600688.SH,X601600.SH,X300072.SZ,X600547.SH,X600795.SH,X600309.SH,X601991.SH,X600188.SH,X600362.SH,X600660.SH,X000709.SZ,X600886.SH,X600027.SH,X002466.SZ,X600157.SH,X600111.SH,X000959.SZ,X600339.SH,X000898.SZ,X600489.SH,X600008.SH,X601158.SH,X600299.SH,X002460.SZ,X600219.SH,X000408.SZ,X000883.SZ,X600352.SH,X600578.SH,X000401.SZ,X000630.SZ,X600160.SH,X600583.SH,X000792.SZ,X000723.SZ,X000539.SZ,X000786.SZ,X600176.SH,X000983.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.111821155033269,0,0.0690670216711721,0,0,-0.0312421847370271,0.0464959966150023,0,0,0.105340041507026,0,0,0,-0.0265579315234847,-0.00596421704956876,0,0,0,-0.0258680147397995,0,0,0,0,0,0,0,0,0,0.019984207463652,0,0,-0.0549177746744481,0,0,0,0,0,0,0,0,0.110881145989339,0,0,0,0,0,0,0,0,-0.0124377352463932,0.00567557987205008,0,0,0,0,0,0
X600028.SH,0.0557336640580905,0,0,0,0,0,0,0.0354653177078469,0,0.0875828722183511,0,0.0586793721130925,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,0,0.00489616260840301,-0.0900522640764117,0.012490078540371,0,0,-0.0356714488505332,0,-0.0119652504130711,0,0,0,0,0,0,0,0,0,0,0.00695132895145024,0,0.0617170113239461,0,0,-0.00408644433235158,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.124353361965284,0,0,0,0,0,0,0,0,0,0,0,0.0834666659561789,0.0713314927883575,0,0,0,0,0,0,0,-0.025306976164428,0,0.106629831800789,-0.018796110097291,0,0,0,0,0,0,0,0,0,-0.033773154992811,0,0,0,0,0,0,0,0,0.0782982033322925,0,0,-0.00533574305624182,0.002953586531324,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.307279035161929,0,0,0,0,0.0664640379961654,0,0,-0.0378247040341368,0,0,0,0,0,0.100728620320201,0,0.0465125665011313,0,0,-0.00325776903363091,0,0.352697482766594,0.0603717801107583,0,0,0,0,0,0,0,0,0.0370086927090503,-0.0510637629141363,-0.0595912939550536,0,0,0,0,0,0,0,0,0,0,0.00298486673038784,-0.0371584586878779,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0853682036788649,0,0,0,0,0,0,0.102334844449309,0.030261796582491,0.130855975154582,0,0,0,0,0.0896865751182257,0,0,0.0532956833334519,0,-0.0731965709613617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070505264476179,0.0562315521737922,-0.0258331131994545,0,0,0,0,0,0
X600585.SH,0,0,0.118461638861777,0,0,0,0,0,0,0,0.331181812086092,0,0,0,0,-0.100856934983383,0,0,0,0,0,0,0.0526702097572147,0,0,0,0,0,-0.27468868419647,0,0,0,0,0,-0.0421163407626519,0,0,0,0.105238899146824,0,0,0,0,-0.0266346772582497,0,0.0242615060371102,0,0.126389471135047,0,0,0.00484181567842089,0.00601527830844209,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,-0.0458155007857024,0,0,0.0970834954737941,0,0,0,-0.0133230793326884,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00141677806473358,0.259689976935739,0,0.0529888010179148,0,0,0,0,0,0,0,0,0.0702595502077085,0,0,0,0,0.131989627176498,0,-0.013180408301697,0,3.46944695195361e-18,0.18543937385677,0,0.00188696617911006,0,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0888127199520066,0,0,0,0,0,0.13656678957697,0,0.517645902274407,0,0,-0.154459389085434,0,0,0.0320441673271058,0,0.0331811189158819,0,0.239251297963573,0,0,0,0,0,0,0,0.0787597847154564,0.427564894431421,0,0,0,0,0,0,0,0,0,0,0,0.00628322033339491,0.062156258120114,0,0,0,0,0,0
X601898.SH,0,0,0.0373686644983689,0,0,0.0333365648552086,0,0,0,0,0,-0.0113282973993761,0,0,0,0,0.00943972351624881,0,0,0,0,0,0,0,0,0.00216837367781465,0,0,0,0.0039497148803439,0,0,0,0.155002569579163,0,0,0,0,0,0,0,0.337083504306468,0,0,0.00286486323234128,0,0,0.175004374137988,0,0,0,-0.00476465714795556,0,0,0,0,0,0
X600688.SH,0,0.543517303323021,0,0.0279241937057863,0.146693950106728,0,0,0.00841449136094226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846389320658666,0,0,0,0,0,0,0,0,-0.116213806328339,0,0,0,0,0,0,0,0,0,-0.0281211280666801,0,0,0,0,0.0533341639521462,0,0,-0.00824320285277,0.0106519084341252,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0125126403775765,0,0.0919266385181594,0,0,0,0,0,0,0,0.0483578465666328,0,0.517132525043187,0,0,0,0.275759669731193,0,0,0,0,0,0,0,0,0,0,-0.0388354665494798,0.0979422668397462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00642469515380749,0.0280565544132882,0,0,0,0,0,0
X300072.SZ,0,0,0,0,-0.623739954788023,0,0,0,0,0,0,0,0,0,0.272640170386906,-0.0922688826245218,0,0,8.32818624665523e-05,0,0,0,0,0,0.369151795343593,0,0,0,0,0.158600600529897,0,0,-0.455890747801069,0,-0.0610679347093269,0,-0.104478854285331,0,0,0,0,0,0,0,0.315437265807856,0.105438875626614,0,-0.242717414115768,0,0,0.109720952761363,0.0283095875280951,0,0,0,0,0,0
X600547.SH,0,0,0,0.0465124518746676,0,0.183500667530967,0,0,0,0,0,0,0,0,-0.0769917495598353,0,0.0214898962728471,0.0297607727665524,0,-0.0327176262992288,0,0,0,0,0,0,0,0,0.273833675715497,0,0,0,-0.035734516284725,0,0.131707913533459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00616982962721585,-0.00927155065484044,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,-0.0331459182343261,0,-0.00109204594466469,0,0,0,0.00510126173627461,0,0,0.0305741120544022,0.0576491066977809,0,0,0.0812546815769845,0.0337979885687436,0,0,-0.0321129193640432,0,0,0,0,0,0,0,0,0,-0.0304129547768061,0,-0.0225007454897336,0,0,0.0571733178804547,0.00496883885758003,0,0,0,0,0,0.0975241477769206,0,0,0,0,0,-0.00365070863673439,0.00417141509586316,0,0,0,0,0,0
X600309.SH,0,0,0,-0.175737219572717,0,0,0,-0.161030617874126,0,0,0,0.0336098124361018,0,0,0,0,0.190950589620091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161962183076593,0,0,0,0,0,0.286658832887439,0,0,0,0,0,0,0,0.196151440494746,0,0,0,-0.00315001586207446,0,0,0,0,0,0,0
