,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601600.SH,X601898.SH,X600688.SH,X600188.SH,X600795.SH,X601992.SH,X600362.SH,X002466.SZ,X600660.SH,X601991.SH,X600547.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600516.SH,X600027.SH,X600157.SH,X002460.SZ,X000898.SZ,X600339.SH,X000959.SZ,X600489.SH,X002092.SZ,X600808.SH,X601158.SH,X600352.SH,X600219.SH,X002271.SZ,X000630.SZ,X000883.SZ,X000983.SZ,X600176.SH,X000723.SZ,X600299.SH,X600578.SH,X000408.SZ,X000792.SZ,X000060.SZ,X600008.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0877673381960998,0,0,-0.0106232542735847,0,0,0,0,0.0600750994394251,0.101035267269226,-0.0198113524915762,0.0127337267128549,0,0,0,0,0.0165860554009217,0,0,0,0,0,0,-0.0503800620301035,-0.0229293805708643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0444933944641972,0,0,-0.00996494206595883,-0.0158263142141091,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.257123053042341,0,0,0,0,0,0,0.042031605755365,0,-0.0600490147738145,0,0,0,0,-0.0954111277162771,0,0,0,0,-0.0152241431511263,-0.0913598336014435,0,0,0,-0.0202091283141538,0,-0.0524339351297958,0,0,0,0,0,0,0,0,0,0,0,-0.00915024556001699,0,0,0,-0.0194576998942242,0,0,0,0,-1.73472347597681e-18,-0.0939455008154973,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380013493979719,0,-0.00466599005197462,0.0365470525713325,0,0,0,0,0,0,0,0.00835404816789869,0,0.00364217940657488,0.0143148665475247,0,0,0.0298786347814861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338911779594335,0,0,-0.00818971780936028,0,0,0,0,0.0629822932827172,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.321274499395699,0,2.16840434497101e-19,0,0,0,0,0.112164099014333,0,0,0,0,0,0,-0.0798460484173381,0,0,0,0,0.00867417618808022,0.0624279149900854,0,0,0.356887350765547,0,0,0,0.0113270844975669,0,0,0,0,0,0,0,0,0,0,0.00990437173931378,0,0,-0.000773960209193053,0.0024480588364118,0,0,0,0,0,0
X600585.SH,0,0,0,0.173761514103973,0,0,0,0.356299351796193,0,0,0,0,0,0,0,0,0.177789974627437,-0.104638833343857,0,0,0.180028780384041,0,0,-0.0189173390843117,0,0,0,0,0,0,0,0,0.139153358900732,0,0,0,0.00225685684919415,0,0,0,0,0,0,0,0.0386187153691815,0,0.0432178757816234,-0.0292471165666019,-0.0130921367718922,0,0.0122074259684294,2.16840434497101e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.142329235440804,0,0,0,0,0,0,0,-0.0470854558846388,0,0,0.0249264923503135,0,0.0118922698555029,0.124496394093342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795166072837711,0,0,0,0,0,0,0.0695177228675019,0.035446648406895,0,0,-0.0109679102249574,0.00509368458722323,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199107313982455,0,3.46944695195361e-18,0.526387132830306,0,-0.0874158356327438,0,0,0,0,0.0988858504651771,0,0.00791943133317684,0,0.100903854280917,0,0,0,-0.105442981221709,0,0,0,0,0,0,0,0.131933405531831,0,0,0.140743325570633,-0.108902735396923,0,0,-0.0365100650433574,0,0,0.0262432915887856,-0.0152264409067315,0,0,0,0.0207806004366052,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.264685400005728,0,0.0349271026543063,0,0,0.235226485907503,0,0,0.205252506879498,0,-0.119206699337693,0,0.100856877948009,0,0,-0.0272371670915287,0,0,0,0,0,0.0115953667086902,0,0,0,0.247968275393428,0,0,0.06066649175517,0,0,0,0,0,0,0,0,0,0,0,-0.0841745170919661,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0861932661507983,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327642121172331,-0.0124223274347214,0,0,0.023710345272254,0.0842488504993632,0.296041318442239,0,0,0,0.0988944980831339,0.113456549398489,0,0,0.00708606727454518,0,0,0,0,0,0,0.176800861492029,0,0,0,0,0.0483722301351609,0,0,0,0.0210496293008936,0,-0.00844908726142585,-0.0256798935068044,0,0,0,0,0,0
X601898.SH,0,0,0,0.0736021015389033,0,0,0,0,0.0104234849631861,0,0,0.0771112064135981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385486518638715,0,0,0,0,0.0671505754364292,0,0,0,0,0,0,0.0972929376953656,0,0,0,0.128315422110475,0,0,0,0,0,0,0,0.00260289968091371,0,0,0,0,0,0
