,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X300072.SZ,X600688.SH,X002460.SZ,X600795.SH,X600660.SH,X601992.SH,X600362.SH,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X000898.SZ,X600516.SH,X000709.SZ,X000792.SZ,X600157.SH,X600027.SH,X000408.SZ,X000786.SZ,X600339.SH,X600176.SH,X600219.SH,X600489.SH,X000959.SZ,X000723.SZ,X000553.SZ,X002271.SZ,X600808.SH,X600352.SH,X601158.SH,X000883.SZ,X000807.SZ,X000630.SZ,X600549.SH,X000983.SZ,X002092.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0452004216075725,0,0,0,0,-6.7762635780344e-21,0,0.0468183976783426,-1.0842021724855e-19,0,0,0,0.00274977211526861,0,0,0,0,0,0,0,0,0,0,0,-0.00669771716756378,0,0,0,0,0,0,0,0.0472511036480498,0.0464965641688436,-0.0638946473016957,0.00469804256549407,0,0,0,0.0612746262758841,0,0,0,0,0,-0.0122621779464991,0.0234457704599014,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.098467219990409,0,0,0,0,0,0,0,0,0.0191620367656781,0,0,0,0,0,0,0.0288918870005603,0.0448060023086697,0,0,-0.066907585769826,0,0,0,0,0,-0.0210888756770602,-0.0732940144867297,0,0,0,0,0,0,0.0701025600881208,0,0.0657059581999446,0,0,0,0,0,0,0,0,0,-0.0232388116888607,0.022397367761396,0,0,0,0,0,0
X601088.SH,0,0,0,0.0456464382485534,0,0,0,-0.0586457326245386,0,0,0,0,0,0,0.938212755825243,0,0,0,0,0,0,0.0325650564219429,0,0,0,0,-0.0673282116188443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000608147441798742,0,0,0.055115470808146,0.0921184134747267,0,0,0.0639001800202825,-0.050151995356984,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0785181171516014,0,0.210440508129262,-0.02120436229279,0.181311809099809,0,0,0,0,0,0,0,0,0,0,0,0.093416379449092,-0.00422717466891368,0,0,0,0,-0.000989682772773089,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.331668365263814,0,0,0,0,0,0.0536560471154861,0,0,0,-0.074037376468382,-0.00844237172321276,-0.0181074899990028,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.000892732376697137,0,0.0779832899893564,0,0,0,0,0,0.00295131719554103,0,0,0,0,0,0,0,0.0142815822911481,0,0,-0.101157936203478,0,-0.10393312167724,0,0,0,0.121730016386942,0,0,0,0,0,0,0,0,0,0,0,0,0.113686948207645,0,0,0,0,0,-0.092347022504699,0.0015109841552548,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.313610794305971,0,0,0.373921218752824,0.087886805590247,0,0,0.103038067870336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049513515938511,0,0,0,0,0,0,0,0,0,0.00987790218140786,0,0,0,0.117696311551265,0.0159487796230876,0,0,0.0226190040040481,0,0,-0.00418804212200118,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0198054943970558,0,0,0,0,0,0,0,0,0,0,0,0.193638854826702,0,0,0,0.195435197626152,0,0,-0.0361630210966117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136331309945575,0,0,0,0,0,0.0572264009441852,0.0817309670251136,0.106108854336022,0,0,-0.0478730715847685,0.0598296843108107,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.468396036387057,0,0,0,-0.0111186083309666,0,0,0,0,0.320862063538929,0,0,0,0,0,6.93889390390723e-18,0,0,0.101479624249952,0,0,0,0,0,-0.0252028039679421,0,0.281535212755695,0,0,0,0,0,-0.196971772134391,0,0,0,0,-0.187872403677158,0,0,0,0.162879089446526,0,0,0,0.0713813894794682,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898876790123349,0.0473318370296445,0.0158537965963943,0,0,0,-0.0064271899520356,0,0,0,0,0,0.0192229043697406,0,0,-0.0298529104803131,0.0240660550665947,0,0,0.0750606383915772,0.0224858174406034,0,0.088298389844086,0,0,0,0,0,0,0,0.00786730736001356,0,-0.019526812607156,0.0224319963328164,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00314280571626508,0.338774294619336,0,0,0,0,0.138450103256,0,0,0,0.305052294560881,0,0,0,0.0315929323314583,0,0,0,0,0.0329066724208118,0,0,0,0,0,0,2.71050543121376e-20,0.15818708384387,0,0.00750999054916636,0,0,0,-3.46944695195361e-18,0.00609718738018241,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568433876448038,-0.0281865520102398,0,0,0,0,0,0,0,0,0.016711632783867,0.0476222038487655,0,0.0166297961894436,0,0,0.068578245642122,0.0409248252592955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969340403941821,0,-0.0405096007877522,0,0,0,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246070909018086,-0.0382507237193874,0,0,0,0,0,0,0,0,0,0,-0.0770484436265737,0,0,0,-0.018402848895868,0,0,0,0.0384822416101863,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.0739478007096875,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114281996710605,-0.0418482018178244,0.130727358088971,0,0,-0.186746083594688,-0.0194877149736534,0,0,0,0,0,0,0,0,0,0,0,0,0.0700039627355005,0,0,0,0,0.253224448249143,0,-0.0348931253935164,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.577713365354639,0.142281864383852,0,0,0,0,0,0,0,0,-0.0443543822365665,0.00631965723194178,0,0,0,0,0.0849840436834514,0,0,0.087563491049563,0,0,0,0,0,0,0,0,0,0,0.398060756084939,0,0,-0.062623746110257,0,0.14832122674858,0,-0.0931095685861486,0,-0.444972653284836,0,-0.00371790770225401,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0757196036675086,0,0,0,0,0,-0.076248359041636,8.67361737988404e-19,0,0,0,0,0,-0.295624949384304,0,0,0,0,0,0.0159764216341346,0,0,0,0,0,0,0,0,0,0,0,0,0.11611116451375,0,0.0329765806211616,0.15669292806715,0,0,0,0.118236297921196,0,0,0,0,0,0.0334771504853295,0,-0.046148672933317,0,0,0,0,0,0
