,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X300072.SZ,X600362.SH,X600660.SH,X600795.SH,X601992.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X600111.SH,X000898.SZ,X600176.SH,X600886.SH,X000786.SZ,X002460.SZ,X000709.SZ,X000553.SZ,X000792.SZ,X600157.SH,X600352.SH,X600027.SH,X002271.SZ,X601699.SH,X600489.SH,X000408.SZ,X600808.SH,X600219.SH,X002110.SZ,X000959.SZ,X000983.SZ,X002092.SZ,X600583.SH,X600299.SH,X601158.SH,X600339.SH,X000883.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.486152510891691,0,0.0240523943024232,0,0,0,0,0.0231963174373699,0,0,0.0526417442002492,-1.73472347597681e-18,0,0,0,-0.0437381577755086,0.0126070844181909,0,0,0,0,0.0294714804084648,0,0,0,0,-0.0597461458785649,0.0315387037916335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029017653666882,0,0.00992135301135063,-0.00689460522410266,0,0,0,0,0,0
X600028.SH,0.217350596570084,0,0,0,0,0,0,0,0,0,0.344923073088351,0,0,0,0,0,0,0,0,0.0703916240727094,0,0,-0.0119764984556091,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421972266798437,-0.0997586446654415,0,0,0,0,0,0.179717293860261,0.0498647473348342,0,0,0,-0.0831428836479873,0,-0.00549559619327974,0.00724504908230483,-0.00208559724961376,0,0,0,0,0
X601088.SH,0,0,0,0.227513347124594,0.107072937250273,0,0,0,0.140307910847273,0,0,0,0,0,0,-0.0809729984370708,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682294221797797,0,0,0,0,0.114482462030877,0,0,0,0,0,0,0,0,0,-0.0649263371038797,0,0,0,0.0953367790207246,0,-0.00990996747833518,0.026773448161725,0.157816867279797,0,0,0,0,0
X600019.SH,0,0,0.0576633538809934,0,0.13124850390969,0,0,0,0,0,0,0,0.0423295497254869,0,0,0,0,0,0,0.0903967782932294,0,0.711054090130155,0.101858164575876,0,0,-0.198127725018755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648515914300943,0,0,0,0.0167449098171846,-0.0128275782023887,0.167011754608624,0,0,0,0,0
X600585.SH,0,0,0.0750138650516125,0,0,0,0,0,0.265331547194967,0,0,0,0.259566011090284,0,0,0,0,0.0248362646886892,0,0,0,0,0,0,0.311041515301798,0,0,0.237058398804403,-0.294077554695791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0348393006945755,0,-0.0413070169506408,0.0520722951853766,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0808963398983996,0,0,0,0,0,0,0,0,0,0,-0.0248205507796041,0,0,0,0,0.0217577278700138,0.187430581204874,0,0.0297141490764433,3.46944695195361e-18,0,0.0925286474153223,0,0,0,0,0.00624293839872392,0,0,0.0135216277634423,0,0.192217173541858,0.109580890647896,0.0141694935375931,0,0,0,0,0,0,0.0113203799953213,0.0136001837263768,0,0,0,0,0,0
X600309.SH,0,0,0.080236845781244,0,-0.0670913869493633,0,0,0,0,0,-0.0779990217557733,0,0,0,0,0,0,-0.00770523907330052,0,-0.0914254812303068,0.139774666227793,0,0,0,0.0472657989571944,0,0,-0.0723317659355765,0,0,0,0,0,0,0,0,0,0,-0.00451606675555349,0,0,0.0345003974278979,0,0,0,0,0,0.114269284081985,0,-0.0598198164559577,0.0928942409683165,0,0,0,0,0,0
X600011.SH,0,0,0.00520690097163599,0,0,0,0.0307487993632634,0,0.0278864379552276,0,0,0.0608448634819572,0,0,0,0,0,0,0,0.0281003693695773,0,0,-0.0870028941802213,0,0,0,0,0,-0.0243278616428013,0,0,0.0559830541423602,0,0,0,0,0,0,0.0478153603287603,0,0,3.46944695195361e-18,-0.0388665284610891,0,0,-8.67361737988404e-19,0,0,0,-0.00376579902679961,0.00956423655964071,-0.0825100354729406,0,0,0,0,0
X600188.SH,0,-0.147101244114976,0,0,0.299660287976214,0,0.0711984814034742,0,0,0,0,0.0480577801858146,0,0,0,0,0,0,0,0,0,0,0.0260594234465825,0,0.032533512555766,0.145791383888625,0,0,0.064699510949145,0,0,0,0,0.323034436446004,0,0.127828596210562,0,0.0172873427213731,0.0651446308976407,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.019408484178984,-0.0149193634170844,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.107341512927864,0,0,0.0614057815991551,0,0,0,0,0,0,0,0.00535299355495226,0.022463279691129,0,0,0,0,0,0,0.0210468949629127,0.0325125406909514,0,-0.060944960296314,0,0,0.124111002616157,0,0,0,0,0,0,0.0357760545374813,0.118565973531701,0,0,0,0.0110103431926821,0,0,0,0.00649400621749838,0.00233521431394081,0,0,0,0,0,0
