,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601600.SH,X601991.SH,X600688.SH,X600188.SH,X600795.SH,X600886.SH,X600362.SH,X002466.SZ,X000898.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X600352.SH,X000553.SZ,X002110.SZ,X600299.SH,X300072.SZ,X000786.SZ,X000932.SZ,X600801.SH,X000709.SZ,X600808.SH,X600426.SH,X600339.SH,X000883.SZ,X600583.SH,X601158.SH,X600219.SH,X601699.SH,X600985.SH,X000830.SZ,X600489.SH,X601003.SH,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.118343205545719,0,0,0.0724869284070792,-0.106658483512685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0777988827305956,0,0,0,0,0,0.0906897393660255,0.261706979150224,0,0,0,0,0.00323187621774314,0.0155430634832335,0,0,0,0,0,0
X600028.SH,0.0835973241679556,0,0.154926760076871,0,0,0,0,0,0,0.0363960434513556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136232029453292,0.192960267333544,-0.123103124042468,0,0,0.0264572864630379,0,0,0,0,0,0,0,0,0,0,0.0876490905895072,0.0193121334380958,0,0,0,0,0,0,0.00337464991416731,0.00881765806388098,0,0,0,0,0,0
X601088.SH,0,0,0,0.150849085670653,0,0.014804638618687,-0.0292018030644361,0,0,0,0,0,0,0.329263415883602,0,0,0.166550948157648,0.0486019525859797,0,0,0.0293943543338868,0,0,0,0,-0.0734478617233465,0.0248318531218377,-0.0493005997116882,-0.0725084001513708,0,-0.0527107127449662,-0.068695846435809,-0.0202396816997437,0,0,0,0,0,0,0,0,0.179192503919738,0.108810749676551,0,0,0,0,0,0,-0.00456274507516555,-0.0153045774716036,0,-0.0266495340435776,0,0,0,0
X600585.SH,0,0,0.0455973091041539,0,0.198794375784452,0,-0.0153874497852112,0.167966559694733,0,0,0,0,0,0,0,-0.000567077239700472,0,0.100127915429294,0,0,0,0,0,0,0,0,0,0.0488833822909753,0,0,0,0.184885302750366,0,0.279402706248952,0,0,0,0,0,0,0,0,0,-0.0359099156288096,0,0,0,0,0,-0.00629288629684071,0,0,0,0,0,0,0
X600019.SH,0,0,0.200163599053996,0.190726465498288,0,0.160230606581837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190561154704543,0,0,0.000510442586685944,0.223846854428081,0,0,0,0,-0.0593932027288661,0,0,0,0,0,0,0,0,0.0525158330810415,0,0,5.75622603490193e-05,-0.00427854549776786,0,0,0,0,0,0
X600309.SH,0,0,0,0.000197083203627005,0,0,0,0,0,0.0543996513590128,0,0,0,0,0,0,0,-0.148804647810578,0,0.405008921554786,0,0,0,0,0,0,0,0,0,0.157861444485735,-0.17257829797514,0.281642116112157,0,0,0,-0.248369137223308,0,0,0,0,0,0,0,0,0.213755918243917,0,0,0,0,0.0296838070935949,0.0401749072247175,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.07707685868766,0,0,0,0,0,0,0,0,0,0.170448011843969,0,0,0,0,0,0.639943490107861,0,0,0,0,0,0,-0.0431046647074176,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0.198618550965856,0,0,0,0,-0.000323525726258634,0.00771908223099771,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,-0.0923407297447371,-0.137505884723144,0,0,0,0.759590005970255,0,0,-0.00855423735438323,0,0,0,0,0,0.610820077453569,0,0,0,0.0459264425610658,0,0.185419374145368,0.276824607948192,0,0,-0.00870249190221513,-0.0565038766817598,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.212535499047132,0,0,0.166204248265373,0,0,0,0,0,0.0498688233003438,0.0401951408690279,0,0.0535340736080354,0,0.0870283532876992,0,0,0,0,0,0,0,0,-0.0155746252509428,0,0,-3.46944695195361e-18,0,0,0,0.123327163579868,0,0,0.0389149705204253,0.0159058916120052,0,0,0,0,-0.00897521125642729,-0.00215234335143254,0,0,0,0,0,0
X600660.SH,0,0.224371089615865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252314981823449,0,0,0,0,0,0,0.0479575600487129,0,0,0,0,0.0770209463186328,0,0.0442890996096731,0,0,0,0,0.108718282155323,0,0.00706875529209301,0,0,0,-0.0636774111698454,-0.00204023792535082,0,0,0,0,0.0982223878481318,-0.00724125724735036,0.0084148453562268,0,0,0,0,0,0
