,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X601600.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X600176.SH,X601992.SH,X600516.SH,X002466.SZ,X600111.SH,X000709.SZ,X600352.SH,X002460.SZ,X600299.SH,X600489.SH,X000629.SZ,X600808.SH,X000786.SZ,X601158.SH,X600801.SH,X600219.SH,X000825.SZ,X000553.SZ,X600583.SH,X000883.SZ,X002110.SZ,X002271.SZ,X600157.SH,X002470.SZ,X600021.SH,X600612.SH,X600339.SH,X000408.SZ,X601699.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.209759248548012,0,0,0,0,0,0,0,0,-0.0309462214035719,0,0,0.10552661499618,0,0,0,0,0,0,0,0,0,0.0208860575600618,0,0,0,0,0,0,-0.00696904831828002,0,0.0267138739308711,0,0,0,0,0,0.0132834118767009,0,0,0,0.0105213229980935,0,0,0,0.18074517393498,0,0.00130258581813654,0.080568412919103,0,-0.00480617509293653,0.00218428405951951,0,0,0,-6.7762635780344e-21,-0.00647359536277604,0
X600028.SH,0.388845883283042,0,0,0,0,0,-0.0757573414356745,0,0,0,0.165192943746626,-0.103463007255765,0,0,0,-0.150574138798223,0,0,0,0,0,0,0,0,0,0,0,0,-0.0980610951841727,0,0.119930210312047,0,0,0,0,0,0,0,0,0,-0.0603491167285183,0.224114773054209,-0.0921361289619221,0,0,0,0.366242789421295,0,0,0,0,0.0233920756839949,0.0249133844073858,0,0,0,-0.0551065581000242,-0.165052820519212,0
X601088.SH,0,0,0,0,0,0.0833524619010226,-0.00341556384413187,0,0,0,0,0,0.192667140189941,0,0,0,0,0,-0.0964126627451693,0,0.0696001610123581,0,-0.0325265554098847,0.0287517493236989,0,0,0,0,0,0,0,0,0.0698283866452101,0,0,0,0,0,0,0,0.0500618766667589,0,0.0191309226117621,0,0,-0.116713995994006,0,0,0,-0.0488138169588326,0.097001075994473,0,0.0407343831583723,-0.0791407977877183,0,0,0.109716487673103,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0938741360525146,0,0,0,0,0,0,0,0,0,0.0563386710740506,0,-0.149151410060113,0.347294929126667,0.0663626723765064,0,0.450695093412968,0,0.0661460047085247,0,0,0,-6.93889390390723e-18,0,0.0678388545417257,-0.097728682006334,0,0,0,0,0,0,0,-0.0261852918720005,0.00787354217976761,-0.0911853928806096,0,0,0,-0.141065045371219,0
X600019.SH,0,0,0,0,0,0.00444586504878729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207666395599283,0.0440383759707399,0.0271666155286133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251852169672186,0,0.0151914384568129,0,0.0664150975669513,1.73472347597681e-18,0,0,0,0,0,0,0.0255816358429846,0,0,0,0.0165311976321251,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255185020524957,0,0,0.0895515944983609,0,0,0.362962538845992,0,0,0,0.122356991345185,0.0109407829818315,0.19043298910169,0,0,0,0,0,0,0,0,0.0364152314415641,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492486739373446,0,0,0.633355742855223,0,0,0.0188242940025381,-0.21766622069591,0,0,0,0,0.0298131012010312,0,0,0.0317688933837319,0,0,0,0,0,0,0,0,0,-0.054467786332532,0,0.052636522116903,0.0408936945466567,0,0.00107464496487432,-0.102623784673849,0,0,0,0,0.00664917514133834,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327568560860068,0,0,0.117567073447245,0.0665837901287694,-0.147851185630615,0,0,0,0,0,0,0,0,0,0,0.0867767409758769,0.0193171950184569,0,0,0,0,0.0662609873929288,0.148365613690356,0,0,0,0,0.167149058019973,0,0,0,0,0.00306181244682781,0.00116382024675172,0,0,0,0.00759485229302472,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0944833218399572,0,0,0,0,0,0,0,0,0,0,0.723266364505597,0.162741492256051,0,0,0,0,0,0,0.008214573590239,0,0,0.0792167121251008,0,0,0,0.112129360524347,0.105394680051285,0,0,0,0,0,0,-0.00187368678928219,0,0,0,-0.0155326213958052,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115084245774766,0,0,0,0,0,0.113794342043152,0,0,0,0.0394766404035934,0.0417148065585187,0,0,0.0327146644746378,0,0.0240318563610994,0,0,0,0,0,0,0,0.0641837724295517,0,0,0.00230647154295718,0,0,0,0,0.0759701460124511,0,0,0,0,-0.00790863265564006,0.0319356539307083,0,0,0,0.0417614143075827,0,0
