,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600362.SH,X600188.SH,X600886.SH,X600352.SH,X600795.SH,X600111.SH,X000723.SZ,X600801.SH,X601992.SH,X600027.SH,X000898.SZ,X600489.SH,X002271.SZ,X600176.SH,X600516.SH,X000709.SZ,X002460.SZ,X000786.SZ,X000629.SZ,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X601158.SH,X600808.SH,X000553.SZ,X000630.SZ,X600583.SH,X600985.SH,X000027.SZ,X600426.SH,X601699.SH,X000401.SZ,X600339.SH,X600612.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0283063110531444,0,0,0,0,0,0,0,0,0.129497414265295,0,0,0,0.00783425256242134,0,-0.0108346881666937,-0.0185612564243846,0,0,0,0,0,0,0,0.00534665439600493,0,0,0,0.0273604198345307,0.0374766349217258,0,0.0334587585598908,0,0,0,0,0,0.0927159391310105,0.0728574286535822,0,0,0,0,0,0,0,0,-0.00170326490648237,0,0,0,0,-0.00331986780623495,0,0
X600028.SH,0,0,0,0,0,0.00610312145052043,0,0,0,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0.00598602938934812,0.0239801006784624,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.0309992979408816,0,0,0,0.0407883431121933,0,0.00101682996388634,0,0,0.147448196974168,0.0104396931076392,0,0.0953478379806287,0,0,0,-0.00398576824346585,-0.010529440175331,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,-0.0363671546011186,0,0.0907313742065872,0.115337534635891,0,0,0,0,0.189317814709088,0,0,0,0,0.0229976831428581,0,6.93889390390723e-18,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0123379349356256,0,0,0,0,0,0,0,0,0,0.0505091703295475,0,0,0,1.73472347597681e-18,0.0242046979985079,0,0,0,0,0,0,0,0,0,0.00139413891165437,0,0
X600585.SH,0,0,0,0,0,0.138056700870887,0,0,0,0,0,0,0,0,0,0.0670643782371865,0.0897013512272735,0,0,0,0.00402317616728618,0.345304210677182,0,0,0,0,0.00203262488659474,0,0.022072325254078,0,0,0,0.0305916254874934,0,0,-0.0589226696991697,0,0,0,0,0,0,0,0,0,0,0.0788871160438199,0,0,0,0,-0.0153487537717228,0.00046466242882157,0,0,0,0.00436477985738986,0,0
X600019.SH,0,0,0,0,0,0.0430147200647128,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00941900563016713,0.0623478532046697,0.192106450977662,0,0,0,0,0,0,0.0060742762408748,0,0,0,0,0,0,0.0836773775145705,0,0,0,0,0,0,0.0710081393337654,0,0,0,0,0.0417804867512146,0,0,0,-0.0204814420333881,0,0,0,0,0.00178951939722755,0,0
X600309.SH,0,0,0,0.257626341409598,0,0,0.123114010462828,0,0,0,0,0,0,0,0,0,0,0.228674115917027,0,0.021803003217368,0,0,0,0,0,0,0,0,0.215865779967943,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516608207760737,0,0.164316912304022,0.019288064285509,0,0,0,0.335691165658074,0,0,0.00169279970659819,-8.67361737988404e-19,0,0,0,0.0663803390847058,0,0
X600011.SH,0,0,0,0,0,0.0743702830891213,0,0.0748640848819906,0.0982861970858963,0,0,0,0,0,0,0,0,0.0640007748080587,0,0,0.0115968563881364,0.0404554269782126,0,0.193946888711666,0,0,-0.180535096303834,0,0,0,0,0,0.278019915367081,0,0,0,0,0,0,-0.100822616608583,0,0,0,0,0,0,0,0.00480998534136548,0,0,0.0652960137695969,0.0115852466881261,0,0,-0.175311843121227,0,-0.00671147869205162,0,0
X600547.SH,0,0,0,0,0,0,0.122601469980599,0,0,0,0,0,-0.314104884618683,0,0,0,0.191319012389289,0,0,0,0,-0.205060586529473,0,0,0,0.879793712316712,0,0,0,0,0,0,0,0,0,0.0430729483243168,0,0,0,0.0971256465764741,0,0,0.017078182888473,0,0.0144116760869682,0,0,0,0,0,0,-0.00922470631083412,0.0583313354959505,0.00564717876691376,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.208489072900141,0,0,0,0,0,0,0,0.434604083803852,0,0,0,0,0,0.101826859988398,0.017093427463753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143660363084611,0,0,0,0,0,0,0.0793075794908456,0,0,0,0,0,0,0,0,-0.00799600640551131,0,0,0,0,-0.0115299920519288,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.196682208242531,0,0,0,0,0,0.297814243766825,0,0,0.000499578385751083,0,0,0.0239078643314232,0.0542908655084866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196865166259353,0,0,0,0,0,0,-0.0105641786255695,-0.0399444284578895,0,0.0277273530447503,0,-0.0304019943407995,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.10424139547897,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157066017124302,0,0,0,0.0800680760503923,0,0,0,0.000814283148806062,0,0.140550118852828,0,0,0,0,0,-0.0683721579216394,0.0556774130596926,0,0,0,0,0,0.200995905659374,0,0,0,0,-0.000149344060904695,0,0,0,0,-0.0111363432440244,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139301924380163,0,0,0.0122932327351169,0,0,0.00500681931320415,0,0.106766901194115,0.193301291053678,0,0,0,0.116384860079791,0.045382174010653,0,0.0480989077082626,0,0,0,0,0,0,0,0,0.00612859876929894,0,0,0.0194853863834605,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0162941243787747,-0.0471173934545707,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026231478696328,0,0,0.00288873453673137,0.0178190780491235,0,0.294923865930684,0,0,0.0564812524446367,0,0,0,0,0.0774619735834584,0,0,0,0,0,0,0,0.0444316071958969,0,0,0,0,0.0119180552127511,0,-8.67361737988404e-19,0,0,0,0,-0.020524705504688,0,0,0,0,-0.00870016841629088,0,0
X600688.SH,0,0,0,0,0,0.0371640996705871,0,0,0,0,0,0,0.0377723164473063,0,0,0,0,0,0,0.0374260020379521,-0.0128817807996794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0951191854881797,0,0,0.0754477206583899,0,0,0.064530647775855,0,0,0,0.0988053344854337,0,0,0,0.0464411928560854,-0.0490898485446939,0,0,0,0,0,-0.0126143430331868,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.139417166453293,0,0,0,0,0,0,0,0,0,0,0,0,0.242825872183776,0,0,0,0,0,0,0.0318828378221954,0,0,0,0,0,0,0,0,0,0,0,0.434107736740525,0,0,0,0,0,0,0,0,0,0,-0.0178207683974082,-2.16840434497101e-19,0,0,0,-0.00241766418061221,0,0
X600188.SH,0,0,0,0,0,0.0673335327904796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0776738903640881,0.0381448699091768,0,0,0,0,0,0,0.00768126997392576,0,0.051783256826681,0,0,0,0,0.0298776389468581,0,0,0,0,0,0,0.0437725434286943,0,0.260136807149319,0,0,0,0,0,0,-0.0146461576550685,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.0729857012694483,0,0.0527548508870576,0,0,0,0,0,0,0.028416878072298,0,0,0,0,-0.15066563343404,0,0,0.0440396269283691,0,0,0.0235379925142147,0,0.0479894732382155,0,0.0225926700181986,0,0,0,0,0,0,0,-0.0328918888349123,0,0,0,0.183236800652068,0,0,0.107131506674075,0,0,0,0,0,0,0,0,-0.017199883492378,0.047725790292502,0,0,0,-0.0202934417688423,0,0
