,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600547.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X600688.SH,X600352.SH,X600362.SH,X600188.SH,X600795.SH,X600111.SH,X600801.SH,X000723.SZ,X601992.SH,X600027.SH,X000898.SZ,X002271.SZ,X600489.SH,X600176.SH,X600516.SH,X002460.SZ,X000709.SZ,X002466.SZ,X000786.SZ,X000629.SZ,X600299.SH,X000883.SZ,X601158.SH,X600219.SH,X600808.SH,X000553.SZ,X000630.SZ,X000401.SZ,X600985.SH,X601699.SH,X000027.SZ,X600583.SH,X600426.SH,X600339.SH,X000825.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0.0157375374592,0,0,0,0,0,0,0,0,0,0.169692879550545,0,0,0,0,-0.00765482602503513,0,-0.0111665882411519,0,0,0,0,0,0,0.00669214957460592,0,0,0.0120940061884261,0,0.00820263635824246,0.0322213111772059,0,0,0,0,0,0,0,0.069363957518978,0,0,0.0979438743198908,0,0,0.00905500279768249,0,-0.00565332433733483,0.00278647292881639,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244829762473349,0,0,0,0.0142674601197478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028111640754489,0,0,0,0,0.039913634600312,0,0,0,0.00062893831799707,0,0.00705751481438907,0.151072746661102,0.0852771921103835,0,0,0,-0.0049854620814573,-0.0111287265167305,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,-0.0184537696829931,0,-0.0311886661983604,0,0.110410737275868,0,0,0,0,0,0,0.276963076246373,0,0,0.0473672025688964,0,0,0,0,0,0,0,0,0,0,0,0.00999106777214538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0766321863997737,0,0,0,0,-0.0166838913764268,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.104096418184342,0,0,0,0,0,0,0,0.148649024943965,0,0,0,0.022743061935418,0,0,0.371946991177308,5.42101086242752e-20,0,0,0,0.0261528315077549,0,0.0620282239404148,0.0283508389285039,0,0,0,0,0.00319872227395164,-0.0454772232208593,0,0,0,0,0.00792685958064562,0,0.054579984017151,0,0,0,0,0,0,0,0,0,-0.00237890163025528,0,0,0,0,0.014404158410721,0,0
X600019.SH,0,0,0,0,0,0.0168732068171775,-0.0358608795950816,0,0,0,0,0,0,0,0,0,0.0600643155356871,0,0,-0.0556654724907594,0.192533810863168,0.0552438299967178,0,0,0,0,0,0,0,0,0,0,0,0.0626316418673119,0.0778675738479965,0,0,0,0,0,0,0,0.136737113369736,0,0,0,0,0.0103069737707299,0,0,0,-0.00372498695167806,-0.00143661502808704,0,0,0,0.0140595871912405,0,0
X600309.SH,0,0,0,0.206181830487023,0,0,0,0.181112650466905,0,0,0,0,0,0,0,0.218901740703454,0,0,0,0.0614914198851685,0,0,0,0,0,0,0,0,0.135440895402317,0,0,0,0,0,-0.124779518699803,0,0,0,0,0,0,-0.0802972144841103,0,0,0.24220379481971,0,0.114524013301037,0,0,0.446457468390963,0,0.00525424710819133,0,0,0,0,0.0511270778644983,0,0
X600547.SH,0,0,0,0,0,-0.040950072740171,0,0.137120976485702,0.149000852422586,0,0,-0.130819752541827,0,0.171371107976753,0,0,-0.197528811719838,0,0,0,-0.157477864407798,-0.0430219788099929,0,0,0,0,0.808222805220124,0,0.0114845635791717,0,0,0,0,0,0,0,0,0,0,0.0899435286093744,0,0,0,0,0,0,0,-0.0705067285271418,0,0.220823815906345,0,-0.0672918577382008,0.107486302640723,0,0,0,-0.0313746360403346,0,0
X600011.SH,0,0,0,0,0,0.104263671174161,0.0589020442074612,0,0.0746326443102503,0,0,0,0,0,0,0.043908495991718,0,0,0,0,0,0.003676609795264,0.12080515200846,0.211861669597614,0,-0.156409956106325,0,0,0,0,0,0,0,0.165753632497477,0.0180844306803912,0,0,0,0,-0.11568919031364,0,0,0.0412967104650867,0.110780901307217,0,0,0,0,0,0,0,0,-0.0203067306566889,0,-0.248221351079173,0,-0.0259696844766853,0,0
X600010.SH,0,0,0,0,0,0,0,0.211773247411475,0,0,0,0,0,0,0,0.0351991566851511,0.37843304038437,0,0,0,0.0799319605922711,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166565608216493,0,0,0,0,0,0,0.0966476926885755,0.129813887899055,0,0,0,0,0.00367417493922813,0,0,0,0,-0.0671988963463951,0,0,0,-0.0140335505004924,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.185176242286749,0,0,0,0,0,0,0.00564297083246649,0.31453776105335,0,0,0,0.0325583646165498,0.0298971778539234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232893617118574,0,0,0,0.208052334600524,0,0,0,0,-0.00365390972699712,-0.0557961754605101,0,0,0,-0.0270460460526966,0,0
