,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X600352.SH,X000708.SZ,X600795.SH,X600688.SH,X000723.SZ,X600111.SH,X600801.SH,X601992.SH,X600027.SH,X600516.SH,X600489.SH,X002271.SZ,X000786.SZ,X000898.SZ,X002460.SZ,X002466.SZ,X600176.SH,X600299.SH,X000709.SZ,X601158.SH,X000883.SZ,X600426.SH,X600612.SH,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000027.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X601699.SH,X600315.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0128982266987058,0,0,0,-0.0220210344961782,0,0,0,0,0,0.0373167055791774,0,0,0.0295069889092049,0.0387747758291857,0,0,0,0,0.0379314590148444,0,0,0,0,0.0151591208401001,0,0,0.0832932709822471,0,0,0,0.0566971087576902,-0.0136514095671064,0,0,0.0621629632342058,0.0441715251109694,0,0,0,0,0,0,0,0,-0.00841665815220397,0.00619532459643858,0,0,0,0,0,0
X600028.SH,0,0,0.0062967253317341,0,0.0561211238898687,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0925379682688988,-0.00677137282197198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216350411973219,0,0,0,0.0524787609710367,0,0,0,0,0,0,-0.00951689088671031,0,0,-0.0022178018728369,0,0,0.241092851298948,0,0,0,0
X601088.SH,0,0,0,0.375878201715456,0,0,0,0,0,0,0,0,0,0.102736468268853,0,0,0,0.0625474901580264,0,0,0,-0.0233273590998225,0,0,0,0.0660811007140703,-0.0110506383123182,0.0608809177643274,0,0,0,0,0,0,0,0,0,0.0329980217950725,0,0,0,-0.005532834112645,0,0,0,0,0,0,0,0,0,-0.0162143443453981,0.0253328294282297,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0299714654762356,0,0,0,0.0307085816976316,0,0,0,0.0728495043857924,0,0.157932626993771,0,0,0,-0.0549945989273007,0,0.383858363331051,0,-0.165619524283337,0,0,0.15653555345031,0,0,0,0,0,0.0439485700513283,0,0,0,0,0,0,0,-0.00525471522852586,0,0,0,0,0,0,0,0,0,-0.00824321109648432,0,0,0,0,0.038075695968738,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548717164194431,0,0,0.0491767608367502,0,0.130234361117078,0,0,0.161765965977463,-0.0695028218631531,0,0.0674080086836561,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.102649748644608,0.210496825662477,0,0,-0.0160885125869736,0,0,0.00227975917794356,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0108058634137517,0,0,-0.0265130951843717,0,0,0,0,0.176332540289217,0,0,0,0.102879376185226,0,0,0.0407934958115895,0.0328920720935589,0,0,0,0,0,0,0,0,0.00807764791405096,0,-0.0458768560922599,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136038972244262,0,0,0,0,0,-0.0107923950250951,0.0215471433344798,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.299489171524534,0,0,0,0,-3.46944695195361e-18,0,0,-0.0142598781631507,0.0392955277183306,-0.149883575326986,0,0.181515227460101,0,0.620594370293468,0,0.0418846147867283,0,0,-0.0564594892320881,0.0531551080160539,-0.0280593276155807,0,0,0,0,0.175845338090339,0,0,0,0,0,0,0,0,0,-0.311407359934713,0,0,-0.0324978098133606,-0.0142791738534587,0,0,0,0.0678158794679175,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128298475377894,0,0.394549394846242,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114274066167639,0.0501000053356157,0,0.192576441146487,0,0,0,0,0,0.0315151622342216,0,-0.0894490527487601,0,0.0199771780389621,-0.0360747148634382,0,0,0,-0.0247368321792292,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626399989542052,0.12455041785017,0.0438628603228132,-0.0113877533831167,0,0,0.0499204202964592,0,0,0,0,0.0374734225525461,0,0,0.0446108038153013,0,0,0,0,0,0,0,0,0,0,0,0,0.058763147045421,0,0,0.218792595280729,0,0.00173973332667887,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,-0.00587254791291117,0,0,0,0,0,0,0.126600265736503,0,0,0,0,0,0,0.0579596926253477,0,0,0,0,0.00538612723494967,0,0,0,0,0,0,0.108891559005254,0.0365769385351342,0,0,0,0,0,0,0,0,0,0,0,0,0.261342607244535,0,0,0.0998611239865815,0,0.0214728278788038,0,0,0,0,0,0,0
