,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600660.SH,X002271.SZ,X600011.SH,X002460.SZ,X600886.SH,X000786.SZ,X601898.SH,X600010.SH,X600362.SH,X600176.SH,X601600.SH,X600801.SH,X600489.SH,X600352.SH,X600188.SH,X601991.SH,X600426.SH,X600795.SH,X600111.SH,X600688.SH,X002080.SZ,X600027.SH,X600299.SH,X601992.SH,X000301.SZ,X002466.SZ,X000932.SZ,X600803.SH,X002075.SZ,X600529.SH,X600219.SH,X300037.SZ,X000027.SZ,X002353.SZ,X600486.SH,X000883.SZ,X600315.SH,X601158.SH,X000898.SZ,X000723.SZ,X000878.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00063430267716377,0,0,0,0,0.0308813834725545,0,0,0,0,0,0.0121389372682696,0,0,0,0,0,0,0,0,0.00258533366410398,0,-0.00158022005583024,0.0175602435889267,-0.0239171631807314,0.0857720651806113,-0.0220083391890096,0.158310423339011,0.0273668034040879,0,0,-0.00799810000736676,0,0.0889931539080365,0,0.0514280392943223,0,0,0,-0.0145257782004811,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.000805375056427126,0,0,0,0.0542788104746552,0,0,0,0,0,0,0,0,0.0523763827986419,0,0,0,0,0.0162457728563818,-0.0144578205141726,0,0,0,0,0,0,-0.00111347423258459,0,0,0,0,-0.0104464139078212,0,-0.0440993865047574,0.0225200678598937,0,0.0636860420863879,0.0100913789319697,0,0,-0.00692660939680856,0,0,0,0.00766791363264769,0,0,0,-0.00574817186421138,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0314424433653727,0.0932864245337668,0,0,0,0,0,0,0,0,-0.0065478213159418,0.068830204803115,0.301921599244829,0,0,-8.67361737988404e-19,0,0,-0.0141006579652855,0,0,0,0,0,0,-0.0429986149086731,0,-0.0143219938448981,0.0132664237491776,0,0,0,0,0,0,0,0,0,0,0,0.0330202557551324,0.00303899491041429,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106443421679616,0,0.00285722446251905,0,0.0825325605686473,0,0,0,0,0,0,0,0.0544299830153608,0.0311666819118799,0,0.0147048249446165,-0.01674591503586,0,0,0,0.0790589560469735,0.141126230690107,0,0.00555138900541797,0,0,0,0,0,0,0,0,0,0,0,0,0.147868048617675,0,-0.0210569524779873,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0689680543214827,0,0,0.172248876392913,0,0,0,0,0,-0.0592425301239692,0,-0.227131982148316,0,0,0.370538336638637,0,0,0,0.194389952939301,0,0,0,0,0,0,0,0,0.210721208146629,0,0,0,0,0,0.106405935000476,0,0.106041675636007,0,0,0,0,0,0,0,0,0,0,0.0114988074804515,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-0.026965276624662,0,0,0,0,0.00623999731796228,0,0,0,0,0.0357509723080422,0,0,0,0,0,0,0,0,0,0,0,0,0.0591972991234114,-0.0127380787060111,0,0,0.0520532798373467,0,0.0172716738676821,0,0,0.073564340873738,0,0,0,0,0,0,0,0.388864730213471,0,0,0,0,0.0468607035159954,-0.00545772304408415,0,0,0,-0.24295530174159,0,0
X600547.SH,0,0,0,0,0,0,0,0.0209628363732092,0,0.0508949694819518,-8.67361737988404e-19,0.0667715854063958,0,0,0,0,0,0,0,0,0.595094662556416,0,0,0,0.0162553713257957,0,0.0854235742938124,0,0,0,0.0175673540768346,0,0,0,0,0,0,0.038646204430861,0.107233857562152,0,0,-0.0366562819848778,0,0,0.0835739463351461,0,0,0,0,0,0,-0.0193648037924673,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.128949130136924,0,0.136399512845365,0,0.130091966686537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127234967039163,0,0,0,0,0,0,0.0287789050617311,0,0.0492592655789989,-0.0911009958169617,0.0176446258064024,0,0,0,0,0,0,0.14946595143872,0,0,0,0,0.00352022557245765,0,0,0.00677288534982839,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0596823988930859,0,0,0,0,0,0,0,0,0.0847534359039414,0,0,-0.046216167602116,0.151598779104167,0,0,0,0,0,0,0,0,-0.0243092584542892,0,0,0.0467588612922667,-0.0305146836763406,0,0.277456271885348,0,0.0310407041150739,0,0,0,0,0,0,0,0.113504973465545,0,0,0.0519053382820398,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0.0588038897708486,0,0,0,0,-0.0598368864015205,0,0,0,0.228720069868759,0,0,0,0,0,0,0.151651085028079,0,0,0,0,0,0,0,0.0768648658669764,-0.0720990612160485,0,0.216355254801791,0,0,0,0.322378617987061,0,0,0.121624809655927,0,0.0302274227460463,0,0,0,0,0,0,0.0594630478796099,0.0259496906549137,0,0,0,0,0,0
