,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X600111.SH,X000786.SZ,X600176.SH,X601600.SH,X600011.SH,X601898.SH,X600886.SH,X600188.SH,X000301.SZ,X600426.SH,X002466.SZ,X600352.SH,X000932.SZ,X600801.SH,X600219.SH,X601991.SH,X600803.SH,X600795.SH,X002080.SZ,X600489.SH,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X002353.SZ,X000807.SZ,X000898.SZ,X600516.SH,X600027.SH,X601168.SH,X600295.SH,X000630.SZ,X601992.SH,X000723.SZ,X600157.SH,X600315.SH,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.189368844179463,0,0,0,0.0145743627275909,0,0,0,-0.0255259694196224,0,0.0138222041755056,0,0.0170002118731632,0,0,0.0197356012982507,0,0,0,0,0,0.0123690423539983,0,0,0,0,0.0144673415274672,0,0,0,0,0,0,0,0,0,0.065830587317642,8.67361737988404e-19,0,0,0,0.0540312549567257,0,0,0,0,0,0,0,0,-0.00312730013758637,0,0,0,0,0,0,0
X600028.SH,0.0556759000071289,0,0,0,0,0,0.0828955288302699,0,0,0,0,0,0,0,0,0,0.0206077664523564,0,0,0,0,0,0.0221025451529568,0.029571696242297,0,0,0,0.0422464231831478,0,0,0,0,0,-0.0204439004290585,0,0,0,0.0232620113660887,0.0127508440249888,0,0,0,0,0,0.0937370465980248,0,0.0118445465594247,0,0,-0.0404043766950475,0,-0.00462404688436351,-0.0202314712961193,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0670761611647947,0,0,0,0,0,-0.0817370591194342,0,0,0,0,0,0.0848817775055548,0,0.223745645811106,0,0,0.00947833876216097,0,0.00601542255987026,0,0.217780635542436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049669411022658,0,0.0748234339564163,-0.0409595644137635,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.00637482329540574,0,0.248802346934355,0,0,0,0.0925077483003546,-8.67361737988404e-19,0.0268996501421623,0,0,0,0,0,0,0,0.101134319052829,0.123444924389089,0,0,0,0,0,0,0,0,0,0,0,0,0.0987178753410951,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.139574137029752,0,0.181681412189446,0,0,0,-0.0127387978774206,0,0,0,0.199493449252637,0,0
X600585.SH,0,0,0,0.0114651048166129,0,0,0,0.0226970897776247,0,0,0,0,0,0,0,0,0,0,0,0,0.0707659458800156,0,0,0,0,0.0244453329883215,0.243705054123504,0,0,0,0,0,-0.0507829036628822,0,0,0,0,0,0,0,0.0298430205018138,0,0.0466213227868006,0,0,0,0,0,0.056520635100587,-0.0213054003531062,-0.0442158914778739,-0.014356853728546,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,-0.0305041604785053,0,0,0,0,0.0403191796934877,0,0,-1.0842021724855e-19,0,0,0,0,0.140293942398641,0,0,0,0.356138611304793,0,0.122932030651301,0,0,0,0.0202408425658802,0,0,0,0,0,0.0214801675823275,0,0.255509514841064,0,0,0,0.234649368384145,0,0,-0.032692447244486,0,0.00239682291244648,0,0,-0.0271929563418474,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37341504363202,-0.513028091586027,-0.166869007384831,0,0,0,0,0,0,0,0,-0.113030705585018,0,0,0,0,0,0,0,-0.0640245529555858,0,0,0.22443872997369,0.261651783956513,0.0973619392778211,-0.12103613899002,0,0,0,0,-0.0877770534360826,0,0,0,0,0,0,0,0,-0.0423166219194576,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.246047270828323,0,0,0,0.092789301635931,0,0.106096185678028,0.453700942092702,0,0,0,0,0,0.10056470360601,1.73472347597681e-18,0.0806582625533963,0,0,-0.0729989959176023,0,0,0,0,0,0,0,0,0,0,0,-0.0989688914586223,0,0,0,0.44435913629076,0,0,0,0.155515775961186,0,0,0.0689760986278605,0,-0.0191057058126588,0.0368753426011508,0,0,0,-0.0619861542588801,0,0
X600660.SH,0,0,0,0,0,0,0,0.178567155817854,0,0.103944981754022,0,0,0.0480602638409077,0,0,0,0,0,0,0,0,0.0974254800809122,0,0,0,0,0,0.068988120089833,0,0.0621190567331243,0,0,-0.246511729178233,0,0,0.0817507732180747,0,0,0,0,0,0,0,0,0,0,-0.0270972366427687,0,0,0.145186824704373,0,-0.00948713679609965,-0.020697084330917,0,0,0,0,0,0
X002271.SZ,0,0,0,0.144240782121048,0,-0.241922191232116,0,0,0.204140195039026,0,0,0,0,0,0,0.0809019701774092,0,0,0,0,0,0,0,0.0208645536717583,0,0,0,0.0937609075253449,0,0,0,0,-0.0581980670835553,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412261284917307,0,0,0,0,0,0
