,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X000708.SZ,X600660.SH,X002271.SZ,X600547.SH,X600362.SH,X600010.SH,X000786.SZ,X600111.SH,X600176.SH,X601600.SH,X601898.SH,X600011.SH,X600886.SH,X000301.SZ,X002466.SZ,X600188.SH,X600426.SH,X600352.SH,X600801.SH,X000932.SZ,X601991.SH,X600803.SH,X600219.SH,X600795.SH,X600489.SH,X002080.SZ,X000027.SZ,X600688.SH,X600486.SH,X600299.SH,X600516.SH,X000898.SZ,X000807.SZ,X002353.SZ,X601168.SH,X600027.SH,X000723.SZ,X600157.SH,X601992.SH,X600315.SH,X000630.SZ,X300037.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.267942258068859,0,0,0,0.0231916399129189,0,0,0,-0.0110681892658572,0,0,0.0127161691798954,0,0.0124708758453184,0,0.0182168017598417,0,0,0,0.0120865827762895,0,0,0.00943680168802117,0,0,0,0,0,0.00441889935405285,0,0,0,0,0,0,0,0,0,0,0.0480582206685983,0.0596639576084314,0,0,0,0,0,0,0,0,0,-0.00108270085635888,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.070143151762251,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0345880232596544,0,0,0,0,0,0,0,0.0758519714341207,0,0,0,-0.00104368119941527,0,0,0,0,0,0,0.0380090858361562,0,0,0,0,0,0,0.0764354632218847,0,0.0234486777109144,0,0,-0.0279126871370884,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0515558653763136,0,0,0,0,-0.0535152714068864,0,0,0,0,0.0515430280894578,0,0,0,0,0.225967492413033,0,0,0,0.0210261593933293,0,0,0.186975043460689,0,0,0,0,0,0,0,0,0,0,0,0.00869740789312604,0,0,0,0,0,0,-0.0207627559962821,0,0,0.100680697464122,-0.0741116399965945,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.102369942840845,0.298487530887195,0.0708715963600485,0,0,0,0,-0.110639045855712,0,0,0.0361875322171,0,0,0,0,0.0400458965193475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14531168260948,0,0,0,0,0,0,0,0,0,0,0.214835569650867,0,0,0.171782022557748,0,0.00338412230224889,0,0,0,0,0.126011547159003,0,0
X600585.SH,0,0,0,0.013011556130842,0,0,0.0229110785055349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0856278208441471,0,0,0.216675950309676,0.0457069303814564,0,0,-0.00238444089755323,0,-0.0497837422880283,0,0,0,0,0,0.000375055004679063,0,0,0,0.028461581642096,0,0,0,0,0.0560278605655995,0,0,0,-0.0398982163923095,-0.0165497326034805,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-0.114469404407999,-0.085741910505791,0,0,0,0,0,0,0.127198120938449,0,0.0482334535426901,0.23068021446602,0,0,0.18745746712324,0.0667026625611869,0,0,0,0,0.358325006828665,0,0.0618126337924309,0,0,0,0,0,0,0,0,0,0.122495667601449,0,0,0,0,0,-0.0479805097286205,0,0.0806838621939236,0,0,0,-0.129309386488798,-0.0294613656397605,8.67361737988404e-19,0,0,0,-0.0356846548739704,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.199182624184366,0,0,0,0,0.0893520514683785,0,0.505324670921012,0,0,-0.0561010711596504,0,0.125169764146307,0.0890929798009437,0,0.0103268360454579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.084004210656867,0,0.469784131258016,0,0.173144440984758,0,0,0,0,0.0292111392169025,0,0,0,0.0156575502599375,0,0,0,-0.00691588442040359,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.0571849501493435,0,0,0,0,-0.657892176372417,0.231939018657533,0,0,0,0,0,0,0,0,0,-0.0863580914453466,0,0,0,0,-0.086625153499568,0,0,0,0,0,0.234332659672223,0.262043621410369,0,0,-0.0691445006293593,0.225499205161278,0.213217882348629,0,0,0,0,0,0,0,-0.370792344730086,0,-0.0216671111179833,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.160869632365865,0.00552323616197467,0,0.101384403598733,0,0,0,0,0,0,0,0,0,0,0.0957226653079791,0,0,0,0,0,0,0,0.0390464361709536,0.032572070408013,0,-0.182026827672787,0,0,0,0.13963867537908,0,0,0,0,0,0,0,-0.0556170470827028,0,0,0,0,0.165677161016295,0.0384364533180144,0,0,-0.0327493062810993,0,0,0,0,0,0
X002271.SZ,0,0,0,0.15143433098698,0,-0.30941898720672,0,0,0.181541424327776,0,0,0,0,0,0,0.138878748038649,0,0,0,0,0,2.16840434497101e-19,0.0331603976452052,0,0,0,0,0,0,0.0629035907561795,0,-0.10450306418923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0546422143877852,0,0.0274811813204462,-0.0603250818960369,0,0,0,-0.0512548040076087,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195955733302763,0.131382300182336,0,0,0,0,0,0,0.0607462236509125,0,0,0,0,0,0,0,0,0,0.24068067231982,0.000877291437028069,0,0,0,0,-0.00331735250378934,0,0,0,0,0,0,0,0,0.0610064430540838,0.100451631513873,0,0,0,0,0,0,0,0,-0.0796772035065416,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203478198312896,0,0.0466456080970795,0.304749296526892,0,0,0,0,0.0458553121404138,0,0,0,0,0,0,0.252255959937393,0,0,0.105988386218302,0,0,0,0,0,0,8.67361737988404e-19,-8.67361737988404e-19,0.222645174030083,0,0,0,0,0,0.34673663814695,0,0,0,-0.00699196897828994,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039236259251998,0,0,0,0,0,0,0,0.191003010809973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104260466543393,0,0,0,0.273924425009756,0,0.0437269476121558,0,0,0,0,0,0,0,-0.0343211718047168,0,0,0,0,0.00958270103259829,0,0
X000786.SZ,0,0,0,0,0,0,0,0,0.0669594913578526,0,0,0.038943366177344,0,0,0,0.057935397056929,0,0,0,0,0.097265183369605,0.00172702807124421,0,0,0.178378860763121,0,0,0,0.0202914400329106,0,0,0,0,0,0,0.0160414314452557,0,-0.0252029806684746,0,0,0.140551703776785,0.0537250813641143,0,0,0,0,0,0,0.0109852226499793,-0.18832781468915,0,0,-0.0338704584838452,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.320458604186037,0,0.0785682893492734,0,0,0,0,0.478169305339508,0,0,0,0,0,0,0,0.251423086524994,0,0,0,0,0,0,0,0.0539194198966816,0,0.230573563021504,0,0.300258975356952,0.0137110274175625,0,0.00598858516452281,0,0.254568370298737,0,0,0,0,0,0,0,0,0.0622709908070972,0,0,0,0,-0.0440095398147287,0,0,0,0,-0.13962612240117,0,0
X600176.SH,0,0,0,0.231192433887519,0,0,0.138663089389059,0.00564956326164511,0.0685336916030306,0,0,0.11830167842233,0,0.399417946406744,0,0,0,0,0,0,-0.172505431305262,0,0,0.141348515559154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244705874562818,-0.138843238588201,0,0,0,0,0,0,0,0,0,0,0.0403369129631011,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,-0.0415768817298985,0,0.0281954853191501,0.0132657828427239,0,0.0231708558205649,0,0,0.00826398919612313,0,0,0,0.0470826832410868,0.0552797047924064,0,0,0,0.0339658589773889,0,0,0,0,0,0,0,0,0,0,0,0,0.296784047706526,0,0.123167921262995,0,0,0,0,0,0.248078694447271,0,0,0,-0.021607408647343,0,0,0,0,0,0,0
X601898.SH,0,0,0.509900217146922,0,0,0,0,0,0,0,0,0.109997344862218,0,0,0,0,0,0,0,0,-0.00171331314732723,0.019630299128968,0.153982160469843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263073753240483,0,0,0,0.0796841652772288,0,0,0,0,-0.0217975283344313,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0183739209500974,0,0,0,0,0,0,0.0318858199212949,0,0,0,0,0,0,0,0,0,0,0,0.0616487300092579,0,-0.0364205404612476,0,0.0631316516645959,0,0,0.108320335934225,0,-0.0628891118003473,0,0.0479417551648534,0,0.0717854669806628,0,0,0,0,0,0,0,0,-0.0167216233212277,0,0,0.0101594025703694,0,0,0,0,0,0,0
X600886.SH,0,0,0,0.0414476336306995,0,0,0,0.0306046620155722,0,0,0,0,0,0,0.0304755841084521,0,0,0,0,0,0,0,0,0,0,0.165901077638297,0.00860202088700419,0,0,0.0702541486756092,0,-0.00757749413555008,0,0.235727599412798,0,0,0,-0.0332149361952524,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673959015154266,-0.0366424160192116,0.0436434189433113,0,0,0,0.0668517401657047,0,0
X000301.SZ,0,0,0,0,0,0,0.118490547168303,0,0,0,0,0,0,0.323865724202796,0.129038649578282,0,0,0,0,0,0,-0.171171119093239,0,0,0,0,0,0,0.507369095861329,0,0,0,0,0,0,0.0470864139262366,0,-0.0699966738121446,0,0,0,0.158735728932997,0,0,0,0,0,0,-0.186954024078758,0.0336610084385797,0,-0.0142416117016835,-2.16840434497101e-19,0,0,0,-0.252527990955253,0,0
