,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X000786.SZ,X600111.SH,X600188.SH,X600010.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X601991.SH,X600803.SH,X600795.SH,X000027.SZ,X000408.SZ,X600219.SH,X600352.SH,X600489.SH,X600801.SH,X000932.SZ,X000807.SZ,X600688.SH,X000898.SZ,X000825.SZ,X002353.SZ,X000959.SZ,X601699.SH,X300037.SZ,X600315.SH,X002080.SZ,X600157.SH,X000830.SZ,X600299.SH,X600486.SH,X600027.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0861009142124469,0,0,0,0,0,0,0,0,0,0,0.0698037458740592,0,0,0.0467045225135388,0,0,0.050971164654376,0.0582433313170342,0.102828189850918,0,0,0,0,0.0503061864234903,0,0,0,0,0,0,0,-0.0295654902113473,0,0,0,0.0262865317917016,0,0.10259634902138,0,0,-0.0122157201547359,0,0,0,0,-0.00189143702484198,0,-0.013078341313431,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0.0512887286208763,0,0,0,0.00324824453657332,0,0,0.00784404667627198,0,0,0,0,0,0,0,0,0.0144140260848034,0.0447921360185404,0.082647703816743,0,0,0,0,0,0,0.00304794037319307,0,0,0,0,0,0.0506701789068569,0.00661131935275139,0,0.0707650607413875,0,0,0,0,0,0.0529131151484747,-0.110561132470833,0,0.105326803803224,0,0,0,0,0,0.101184704826711,0,0,0,0,-0.024547873127606,0,0
X601088.SH,0,0,0,0.028666235580401,0,0,0.0581038388592578,0,0,0,0,0,0,0,0,0.0121059837524961,0,0,0.210918213320705,0,0.120872985021353,0,0,0,0,-0.000423158160190226,0,0,0,0,0,0,0,-0.0450667606292105,0,0,0,1.73472347597681e-18,0,0.0826594341606472,-8.67361737988404e-19,0,-0.0236980311410222,0,0,0,0,0,0,0,0,0.0458050071331871,0,0,0,0,0.00638323095614649,0,0
X600309.SH,0,0,0,0,0,0,0.0755933487981047,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.233940358667856,0.0577500511047435,0,0,0.197963683089127,0,0,0,0,-0.152656091905026,0,0,0,0,0,0,0.0646797264479077,0,0,0,0,0.0676567598960588,0,0,0,0,0.0387009501610022,0,0,0.097471357169227,0,0.0857338233672228,-0.0579415552657814,0.0812848448422631,0,0,0,0,0,0,-0.00149637168971671,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0217678408226418,0,0,0,0,0,0,0,0,0,0,0,0.0367801230824329,0,0,0,0,0,0,0.00608043244116244,0,0.0454770805142013,-1.73472347597681e-18,0,0.156097655544287,0.0188170215655261,0,0,0,0,0,0,0,0.0405771532557599,0,0,0,0.0587940249113613,0,0.0152240750028907,0,0,0,-0.00778876580561202,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0984564335350585,0,0,0,0,0,0,0,0.0299916895652663,0,0,0,0,0,0,0,0,0,0.217343568449111,0.0897101862018619,0,0.0108817272453892,0.271362640322434,0,0,0,0,0,0,0,0,0,-0.0296920446096026,0,0,0,0,-0.0257323757176708,0,0,0,0.0218347691585815,0,0
X002460.SZ,0,0,0,0,0,0,0,0.264193616274079,0,-0.121360068649943,0,0,0,0,0,0.539273946941736,0,0.127622821785129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438605514463783,0,0,0,0.0858572580042692,0,0,0,0,0,0,0.0817702506237938,0,0,-0.110287805416679,0,-0.00191188040109277,0,0,0,0,0,0.0245904953267975,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.139216732936015,0,0,0.1707717529907,0,0.154150968536615,0.119664833344926,0,0,0,0,0,0,0,0,0,0,-0.111405588057809,0,0,0,0,0,0,0,0,0,0,-0.0129546493121279,0,0,0.0648511899516455,0,0,0,-0.141384751468037,0,0,0,0.0986977979325687,0,-0.0171165111343091,-0.0174478685180755,0,0,0,-0.0228019855875753,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0982378251840094,0,0,0.122816190310142,0,0,0.106395285356591,0,0,0,0,0,0,0,0.201044996961804,0,0,0.04760426862694,0,-0.0596035311499681,0.0276214031238321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111094670589372,0,0,-0.0813136584293558,0,0,0,0.0165705999941832,0,0
X000708.SZ,0,0,0,0,0,0,0,0.056068589706499,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.185044250874738,0,0,0,0,0,0,0,0,0,-0.0170416305745435,-0.0937604333284648,0,0,0,0,0,0.0441701973400266,0.242760581198888,0.25816581919188,-0.0524211801424748,0.25572619128028,0,-0.0627316427947699,0,0.0912029782336235,0,0,0,0.284597809187059,0,0,0.0668293713377075,0,0,-0.0069712004105487,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,-0.186096693705038,0,0,0,0,0,0,0,0,0,0,0.301486031435209,0.0851223714721346,0,0,0,0,0,0,0,-0.0363394262699766,-0.049532317613417,0,0,0,0,0,0.313618844593758,0,0,0,0,0,0,0,0.0323761528871591,-0.0526148108515948,0.167685648372323,0,0,0.275304242163603,0,0,0,0,0,0,0,0,0.0071145880450887,0,0
X600547.SH,0,0,0,-0.0363790779720359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644086962513529,-0.0184394498429172,0.0276357759195487,0,0,0,0,0,0,0,0.144720681926406,0.00519192373201354,0,0,0.282468983269524,0,0.0753255941508536,-0.0763318852266835,0,0,0.140353544141541,0,0,0,0,0,0.0452706312373066,0.0300035260652251,0.00876172083495181,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.055533556655606,0,0,0,0,0,0.0555825197208913,0,0,0,0.0922275996585183,-0.136651676019541,0,0,0,0,0.0438578099575222,0,0,0,0,-0.0124851342103039,0,0,-0.022478955570069,0,0,0,0,0,0.0147334012296541,0.418885432642573,0,0,0.0434796842523541,0,0,0.113975101561423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0.185285658445062,0,0,0,0,0,0,0,0,0,0.0975310450073171,0,0,0,-0.0300330275401341,0,0,0,0,-0.118510306293233,0,0,0,0,0,0.0589568586021232,0.343248213980075,0,0,0,0,0.165508982954533,0,0,-0.116193794095099,0.187055576092124,0.0953381478729674,0,0,0,0,-0.0369240445238333,0,-0.0340631698342546,0,0,0,0,-0.00942507917161454,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106894303378187,0,0,0,0,0.23948451033771,0,0,0.443302477074315,0,0,0,-0.0156114165453397,0,0,0,0,0,0,0,0,0,0,0,0,0.0995820230670546,0,0,0,0,0,0,0,0.0306433015380759,-0.0729111511036719,0,0,0.0838062011863228,0,0,0,0.0153072235075423,0,0
X002466.SZ,0,0,0,0,0,0,0.380078019984176,0,0,0,0,-0.16220668746262,0,0,0.261038541515938,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055356596462671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172016473863941,0,0,0,0,0,0,0.00873614840299974,0,0
X000786.SZ,0,0,0,0.473021194789403,0,0.133567855060888,0,0.0618283660139691,0,0.0988714536145722,0,0,0.0437697186150107,0,0,0,0,0,0,0,-0.241995698651491,0,0,0,0,0,0,0.0269385043530525,0,0,0,0,0,0.0477385013063639,0,0,0,0,0,-0.221468103905706,0.0638176023215149,0,0,0,0,0,0,0,0,0,0,0,-0.0890584327872518,0,0,0,-0.0079462614486987,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.320441657604481,0.0214893780755088,0,0,0,0,0,0,0,0,0.200176713523548,0,0,0,0,0,0,0,0.0406812941565019,0.030601211448183,0,0,0,0,0,0.0327242777889167,0,0,0,0,0,0.0761682985152396,0.175275487240956,0,0.0665585817336105,0,0,0,0,0,0,0,-0.0799146647093727,0,0,0,0,-0.0678098560175344,0,0
X600188.SH,0,0,0,0,0,0,-0.21802086054376,-0.233939298303136,0,0,0.54061301280668,0,0,0.33543999573018,0,0,0,0,0,0,0,0,0,0,0.208832693641747,0,0,0,0,0,0.361035607543786,0,0,0.0930019559399507,0,0,0,0,0.0405579577036808,0,0.188179050219474,0,0,0,0,0,0,0,0,0,0,0,-0.0726063493822064,0,0,0,-0.00114450121344687,0,0
