,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600010.SH,X600660.SH,X000301.SZ,X600188.SH,X000877.SZ,X000708.SZ,X002271.SZ,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X000723.SZ,X600803.SH,X600219.SH,X000408.SZ,X002326.SZ,X300037.SZ,X600688.SH,X300073.SZ,X600399.SH,X000786.SZ,X601991.SH,X000825.SZ,X600795.SH,X600141.SH,X600516.SH,X600096.SH,X000831.SZ,X600352.SH,X600489.SH,X000959.SZ,X600157.SH,X600295.SH,X002409.SZ,X000155.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0452607677977967,0,0,0,0,0,0.0756950573310268,0.0837866743713828,0,0,0,0,0,0,0,0,0,0,0.0251417142757406,0,0,0,0,0,0,0,0.170541824772236,0,0,0,0,0,0,0,0,0.0149898009887078,0,0,0,0,0,0.120232549999505,0,0,0,-0.027115736584275,0,0,0,0,-0.0956679229452783,0,0
X600028.SH,0.202645905503426,0,0,0,0,0,0,-0.0101420777712045,0,0.0260826500454044,0,0,0.0277400876823494,0.0333234012718733,0,0,0,0,0.073732319969254,0,0,0,0,0,0.0448007058104337,0,0,0,0,0,8.67361737988404e-19,0,0.0687049767532197,-0.0652026147176514,0,0,0,0.0221872772758526,0,0,0,0,0,0,0,0,0.0626498003059641,0.100004580240631,0,0,0,0,-0.0130592402700048,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0166520705748234,0,0,0.198793341262457,0,0.130880967847453,0,0.0648063957274067,0,0,0.383276152494849,0,0,0.0718128727158149,0,0,0,0.0353648415427798,0.0260262517012371,-0.0246311825158574,-0.0343392890993478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114903657792532,0,0,0,0,0.0111152459575382,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0441595114478433,0,0,0,0,0,0,0,0.032153092230143,-0.0169001109487032,0.0610612032998691,0,0,0,0,0,0.149100942314859,0.0826911459234818,0,0,0,0,-0.0807077153296655,0,0,0,0,0,0,0,0,-0.0787969756047623,0,0.0106303373117571,0,0,0,0,0,-0.0405034147266735,0,0,0,0,0.0334040439794792,0,0,0,-0.0125119207008288,0,0
X002460.SZ,0,0,0,0,0,0,0,0.478281662087105,0,0,0,0,1.73472347597681e-18,-0.105445759234846,-0.0763614333286074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505808368400036,0,0.0928543283368198,0,0,0.106206808007402,0,0,0,0,0.105616455743434,0,0,0,0,0,0,0,0.0762742161750857,0,0,0,0.0222863987794833,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425289021887511,0.452318776850654,0,0.103802196483754,-0.0534283216588495,0,0,0,0,0.0873689432108534,0.0652575249043037,0,-0.027060829308771,0,0,0,0.101055201534622,0,0,0,0,0,0.135268917456342,0,0,0,-0.103672269672146,0,0,-0.0206710735247679,0,0,0.13679425969866,0,0,0,0,0,0.000907411459445267,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.160266471403759,0,0,0.399034494578981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171474096522328,0.0728770018590458,0,0,0.00110216410824047,0.175775848194898,0,0,0,0,0,0,-0.0679860951388231,0.116324319739621,0,0,0,0,-0.118424170618444,0,0,0,0,0.0260899539187229,0,0,0,-0.0287371449570507,0,0
X002466.SZ,0,0,0,0,0.474881065374268,0,0.016542760754592,0,0,0,0.0844812509542317,0,0.108088442903403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534353099812956,0,0.0309791209724998,0.159618877827982,0.0216833597570917,0,0,0.0040138260216805,0,0,0,0,0,0,0,0,0.042768056885784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0746374126004833,0,0,0,0,0,0.149957923352899,0,0,0,0,0,0,0,-0.14254537184836,0,0,0,0,0,0,0,0,0,0,0.0851901408278001,0,0,0.262393905169926,0.00936858399842686,0,0,0,-0.00341523475163661,0,0,0,0.017690902956106,0.000851022817518306,0,0,0,0,0,0,0.290552531435909,0,0,-4.33680868994202e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0645177610570762,0,0,0,0.0975452701471584,0.118072767505996,0,0,0,0,0,0,0,0,0,0,0,0.0538983484755147,0.0681037268297053,0.105923436031711,0,0,0,0,0,0,0,0.300210769657186,0,-0.0297523729942558,0.135700889815461,-0.0461042891810098,0,0,0,0,0.043594509873192,0,0,0,0,0.0181241492214405,0,0,0,0,0,0,0
X600010.SH,0,0,0.0257658401347212,0,0,0,0.24926632779272,0,0,0,0,0,0,0,0,0,0,0,0.107374803288039,0,0,0,0,0.0379983072334193,0,0,0.0895155992760239,0,0,0,0,0,0,0,0,0,0,0,0.0502325702437784,0,0.0561851002919265,0,0.0992629517752461,0,0,0.0597888448622138,0,0.155407641250816,0,0,0,0,0.0103992470872024,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,-0.0588411999149231,0,0,0,0,0.0448109169614949,0,-0.125651708630948,0,0.0304172717313214,0,0,0,0,0,0,0,0.0175076437687451,0.078433253056751,0,0.0277057059350984,0,0,0.0309997449714347,0,0.0215286336993874,0,0,0,0,0,0,0,0,0,0.0953883319960156,0,0,0,0,0,0.0765480606739469,0,0,0.0278406968964389,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0.000779437390508075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344145840786977,0,0,-0.126501202485495,-0.0759160438560911,0,0.0737431865040698,0.0782789940553087,0.0590082351948668,0,0.210601633209421,0,0,0,0,0.27491236401706,0,0.245873524986074,0,0,0,0,0,-0.162847009854201,0,0,0,0,-0.0397806747784984,0,0,0,0,0,0
X600188.SH,0.0248572658826923,0,0.385149902587697,0,0,0,0,0,0,0.151279491464277,0,0,0,0,0,0,0,-0.0657946603526608,0,0,0.38062619068942,0,0,0,0,0,0,0,0,0.0515947923486392,0.0134442772371002,-0.074521861397939,0.119720820881915,0,0,0,0,0.0472515288154409,0,0,0,0.096108405201819,0.11769864084084,0,0,0,0,0.00105219195656234,0,0,0,0,0,0,0,0,-0.0798946254741084,0,0
X000877.SZ,0,0,0,0,0,0.365553784860386,0,0,0,0,0.141905154454242,0,0,-0.0213577272263613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515016358017918,0,0.0553498455351615,0,0.102030433885806,0,0,0,0,0.0462051261223594,0.0550709362727001,0,0,0,0.0136962011467458,0.170851079718007,0,0,0,-4.33680868994202e-19,0,0.0416575170214177,0,0,0.00081212224436387,0,0,0,0.114912558570436,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.0646855504882721,0.0302535227246553,0,0,0,0.0387033502498745,0,0,0,0,0,0,0,0,0,-0.00994488707807566,0,0.00420578582087715,0.0939707585681303,0.0474358674150729,0.0382721745562116,0,0.0454515419898289,0,0,0,0,0,0,0,0,0,0.0225210475609421,0,0,0,0,0,0,0,0,0,0,0,0.0457089363372096,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0321656608858883,0,0,0,0.188183426462544,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0571743591186032,0,0,0,0,0.0264380702337946,0,0.0342329120429448,-0.0868498656081532,0,0.881700128219181,0,-0.102728058437913,0,0,-0.0342633134276291,0,0,0,0,0,0,0,0,0,0,-0.0211828944841798,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884731276997584,0,0,0,0,0,0,0.0549121231569648,0,0,0,0,0.0482113284237217,0,0,-0.167494311038047,0.0088070566889423,0,1.73472347597681e-18,0,-0.0881570984289547,0.13669861263769,-3.46944695195361e-18,0.542577923622393,0,0,0,0,0,0.248439431475149,0,0,0,0,0.113668749514324,0,0.00091850552605954,0,0.0522982131202357,0,0,0,0,-0.0119170504340198,0,0
