,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600111.SH,X600019.SH,X601898.SH,X002271.SZ,X600660.SH,X000301.SZ,X000877.SZ,X600011.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600096.SH,X000983.SZ,X000408.SZ,X600803.SH,X000723.SZ,X000786.SZ,X600141.SH,X300073.SZ,X601699.SH,X600486.SH,X601991.SH,X600219.SH,X002080.SZ,X002192.SZ,X002353.SZ,X000807.SZ,X002497.SZ,X600157.SH,X600801.SH,X600295.SH,X600027.SH,X600489.SH,X000630.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0308074522949527,0,0,0,0,0,0,0,0,0,0.00474654662053643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179641604983118,0,0,0,0,0,0,0,0.122635018259349,0,0,0,-0.0317135918970693,0.0466261208390669,0,0,0,0.0417689341928827,0.00226671541362834,0,0,0.264345262721314,0,0,-0.00465369373481152,-0.0749575901166103,0,0,0,0,0,0
X601088.SH,0.184370740850885,0,0,0.0155515633712835,0,0,0.269351452273756,0,0,0,0,0.155729633455948,0,-0.0605964599639594,-0.0366650323286269,0,0.0906359084720491,0,0,0,0,0,0.136376236654772,0,0.0591240640826436,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,-0.123702185974959,0,0,0,0,0,0.0821425304276363,0,0,0,0,0,0.00852232205047719,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0258107157227869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0844802583007956,0,0.0290771434052477,0,0.0119137925590104,0,0,0,8.67361737988404e-19,0,0.025901825052694,0,0,0,0,0,0,0.0218754462055823,0,0,0.047959055639599,0.0175604916908677,0,0,0,0,0,0,0.0665003022370901,0,0,-0.0137472552721545,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0598403557534411,0,0,0.0634626058620276,0,0.0232002571862021,-0.00360226841018057,0.195061466934016,0,0,0,0,0,0,0.00577012221444282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534034399609258,0,0,0,0,0,0.0520182848735615,0,0,0.181228410703732,0,0,-0.00223721593739297,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.33343399755413,0.00742680677747298,0.16817949292891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089619603089522,0,0,0,0,0.153809600503833,0,0,-0.0480833218895127,0.0953249226084504,0.15981245934409,-0.0176787314952761,0,0,0,0,-0.00507703378163021,0,0.207554789575036,0,0,0.0172260583980012,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0523410944106078,0,0,0,-0.0354810128415711,-0.0731599844395576,0,0,0,0.140313853936624,0,0,0,0,0,0,0.096132939511635,0,0,0,0,0,0,0.0912373797615361,0,0,0,0.0497952225967931,0,0,-0.0215818741723913,0,0,0.0193827545682248,0,0,0,0,0,-0.0127791251597296,0,0.254360136824567,0,0.135469012438629,0,0,0,0,-0.0292296892761145,0,0.0650022863430069,0,0,-0.101153327965391,0,0
X600188.SH,0,0.352059213687469,0,0,0,0,0,0,0.0412914844727,0,0,0,0,0,0,0,-0.269914698038808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34798285298822,0,0,0,0,0,0,0.0453837791745356,0,0,0,0.0680928071920316,0,0,0,0,0,0.0424245818607824,-0.063800250637243,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.623174620125787,0,-0.0714800053257704,0,0,0.0520093971055372,0,0,0,0,0,0,0.043051526323228,0,0,0,0,0,0,0,0,0,0,0.0305745632616248,0,0,0,0,0.0606154199592563,0,0,0.0159141539856921,0,0,0,0.0720528281031085,0,0,0.145141407731225,0,0,0,0,0,0,0,0,0.0132029257835983,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.118541461485703,0,0.135425188541582,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0492255500422401,0,0,0,0,0,0,0,0,0.110214145240648,-0.0752266685692002,0.397458667167942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140202301781133,0,0,-0.0345744112130452,0,-0.0432321188615099,0,0,0,0,0
X600111.SH,0,-1.73472347597681e-18,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0530241633225283,0,0,0,0.396098044148573,0,0.0997264057791432,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.260880072791148,0,0,0,0,0,0,0,0.0804385597047494,0.197427628490821,0.0214243789841657,0,0,0,0,0,0,0,0.0237155961940214,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0209162360960663,0,0,0,0,0,0,0,0,0,0,0.106171123336812,0,0.0519759239046113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057880705060992,0,0,0,0.0228850177810113,0.140072515774615,0.0139314306195645,0.109694968839505,0.0932536517165188,0,0,1.0842021724855e-19,-0.081296292407168,0,0,0,0,0,0
X601898.SH,0,0.245779395462791,0,0.161692057322418,0,0,0.0607574790253199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0913186594667588,0.224481082035857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119235241455289,0,0,0.0278421770094375,0,0,-0.00890004888354234,-0.0587005085727006,0,0,0,0,0,0
