,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X600660.SH,X000877.SZ,X000301.SZ,X600010.SH,X000708.SZ,X600886.SH,X600547.SH,X600795.SH,X601600.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X600096.SH,X000786.SZ,X601991.SH,X300073.SZ,X000629.SZ,X600803.SH,X000983.SZ,X600027.SH,X000723.SZ,X002080.SZ,X600141.SH,X601699.SH,X600219.SH,X600801.SH,X002192.SZ,X600157.SH,X600486.SH,X000959.SZ,X000883.SZ,X600160.SH,X600399.SH,X002353.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0760619886365746,0,0,0,0,0,0.0033311305742946,0,0,0.07581816233951,0,0,0,0,0.0710555137638285,0.0138351797075904,0,0,0,0,0.0963691651197525,-0.157516973294553,0,0,0,0.165473883052137,0.163169251481329,0,0,0,0,0,0,0,0,0,0.0147061017920908,0,0,0,0,0.0558243898952353,0,0,0.00578580990850434,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.154643068810596,0,0,0.179517796356181,0.111041472067752,0,0,0.0549962586470459,0,0,0,0,-0.154975170901501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0807011571663959,0,0,0,0.110077492458859,0,6.93889390390723e-18,0.280415808316003,0,0,0.00945405477923876,0,0,0,0,0,-0.0732307880269411,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0.066962395614516,0,0.0189416616145136,0,0,0,0,0.0118086503798672,0,0,0.0134140678594404,0,0,0,0,0,0,0,0,0,0,0.122079939970787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187663978713709,0,0,0,0.0985099784597403,0,0,0,0,0.046504760616331,0.0123668760588029,0,0,-0.00466868614239776,-0.00198968381383264,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0402384766746766,0,0,0.120516128305173,0,0,0,0,0.204577498184937,-0.0156113769138373,0,0,0,0,0,0,0,0,0,0,0.00786428895776913,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0807623918393958,0,0,0,0,0,0.0313175450538263,0.0507523740203956,0,0,0,-0.0100286181121363,0,0,0,-0.0336116113115597,0,0
X002466.SZ,0,0.00760865853928689,0,0,0,0.673304989771141,0,0,0.0119011046766836,0,0,0,-0.0760930534571376,0.0187506846683593,0,0,0,0.150585697719567,0,0,0,0,0,0,0,0,0.154116946757889,0.0419381396586169,0,0,0,-0.207284604792485,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.162881159044804,0,-1.38777878078145e-17,0,0,0,0.0292267646600783,0,0,0,0,0.00862106055665583,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.10728607899959,0,0,0,0,0,0,0,0,0,0,0,0,0.109666911640534,0,0,0,0,0.0218815591332643,0,0,0,0,0,0,0,0.047568590765809,0,0,0,0,0.106026035945403,0.0620954312025983,0.0374965616274736,0.0244270760956937,0,0,0.0819011902732176,0,0,0.148540873165248,0,0,0,0,0.0978557902944578,0,0,0,0,0,0,0.0347759643202828,0,0
X600585.SH,0,0,0,0,0,0,0,0,-0.000919349930082697,0,0,0,0.131511400474153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.383018368877132,0,0,0,0.071398417168425,0,0,0,0,0,0,0,-0.0503936844710976,0,0,0,0,0,0
X600188.SH,0,0.490758547419066,0,0.0059968769685281,0,0,0,0,0.00653944026913083,0,0,-0.148809786961209,0,0,0,0,0,0,0,0,0,-0.11913213225819,0,0,0,0,0,0,0,0,0,0.0549324806577285,0,-0.0308371717703759,0,0,0,0.0724180491507681,0.430092896420839,0,0.132155927131454,0,0,0,0,0,0,0,0,0,0,0.0398356170433806,-0.0701459574145087,0,0,0,0.00518838779134769,0,0
X000792.SZ,0,0,0,0,0.0368925047429665,0.118707892634383,0,0.217469542907405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128349424451877,0,0,0.365484943155669,0,0,-3.46944695195361e-18,0,0,0,0,-0.00961110894497225,0,0,0,0,0,0,0,0,0,0,0,0,0.0261450767685497,0,0,0,0,0.00587718332191945,0,0,0,0,-0.0395854733661774,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00760122758995329,0,0,0,0,0,0,0,0,0,0.11586637197002,0,0,0,0,0,0.0445342439889047,0,0,0,0,0,0,0,0,0,0.0604876472645854,0,0,0,0.0640032500905279,0,0.147036637343215,0,0,0,0.037347031418962,0,0,0.0148323810491622,0,0,0,0,8.67361737988404e-19,0,0
X601898.SH,0,0.314031990355742,0,0.110226988070431,0.0738243360024291,0,0,0.0623400596506505,0,0,0,-0.0188106457114444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19526464522446,0,0,0,0,0,0.25644232851309,0,0,-0.0687822405257411,0,0,0,0,0,0,0,0,0,0,0,0.00570536888831627,0,0,0,-0.0376220782553347,0,0,0,0.0248661943463634,0,0
X600011.SH,-0.111241083070931,0,0,-0.0737911997673435,0,0,0,0,0,0,0,0,0,0,0.0396965732547948,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258739850166354,0,0.464898504548395,0,0,0,0.438310291909908,0,0,-0.574949463121458,0,0,0,0,0,0,0,0,0,0,0.100461439480036,0.211386180626617,0,-0.115770911751066,0,0,0,0,-0.174268370877518,0,0
X002271.SZ,0,0,0,0,0,0.0442404710077362,0,0,0,0,0,0,0,0,0.307125730985742,0,0.0539506050623659,0,0,0,0,0,0,0,0,0,0,0,0.850430700261223,0,-0.341257277897885,0,0,0,0,0,0,0,0,0,0.0683692162732017,0,-0.0823058620650777,0,0,0,0.0633019583416961,0,0.0220897432122688,0,0,0,0,0,0,0,-0.0106934309637332,0,0
X600111.SH,0,0,0,0,0,0.204351428028452,0,0,0,0,-0.0712040204678297,0,0,0,0,0,0,0,-0.0453185519455503,0,0,-0.0342761881336365,0.0388462579949789,0,0,0.136173815933576,0,0,0,0,0,0,0.150553604634416,0,0,0.195207338813471,0.0182528912959234,0,0,0.0680478502705017,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.439885907266363,0,0,0.190927515155677,0,0,0,0.0856520233651108,0,0
X600660.SH,-0.0916284389174992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244293996233636,0,0,0,0,0,0,0,0,0,0,0,0,0.0842901816306153,0,0,0,0,0.23892141762753,-0.00662412018587998,0,0,0,0,0,0,0,0,0,0,0,0.00160192265942722,0,-0.0423765624152216,0,0,0,0,-0.0210869811479761,0,0
X000877.SZ,0,0,0,0,0,0,0,0,0,0,-0.0103710233991999,0,0.116265091059924,0,0,0,0,0,0,0,0,0.0871155276822699,0,0,0,0,0.109113288154961,0.0658849160868055,0.0369148736358581,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00919884291403109,0,0,0.0204390989965331,0,0,0,0,-0.0273391677691598,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0,0,-0.0123372450620455,0,0,0,0,0,0,0.208326802588594,0,0,0,-0.00766584804697702,0,0,0,0.35879719211826,0,0,-0.0230894189297732,0,-0.0198312176619516,0,0,0,0,0,0,0,0,0,0,0.0342485477021309,0,0,0,0,0.328467804968349,0.111145055561782,0,0.0954395108276287,0,-0.0181427809493055,0,0,0,0,0.0897834512883285,0,0
