,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X601898.SH,X600011.SH,X002271.SZ,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X000877.SZ,X600426.SH,X600795.SH,X600362.SH,X000983.SZ,X600176.SH,X600803.SH,X600027.SH,X601699.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X600160.SH,X000408.SZ,X000629.SZ,X600489.SH,X600219.SH,X002080.SZ,X600378.SH,X000723.SZ,X600096.SH,X300037.SZ,X000933.SZ,X000630.SZ,X600348.SH,X600688.SH,X000831.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.324058246196116,0,0,0,0,0,0,0,0,0,0.0409618445221892,0.0111981567894517,0,0,0,0,0,0,0,0,0.00404248681523438,0,0,0.111664888068516,0,0,-0.0158148610994159,-0.00102969049544411,0.164372931872988,0.0443908912645329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00893463438344268,0.0119050619847127,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.395996065474552,0,0,0,0,0,0.254510704258116,0.0370942938817065,0,0,-0.0432744349425715,0,0,0,0,0,0,0,0,0.0250749655215515,0,0,0,0.0696698722524004,0,0.0524052999711599,0,0,0,0,0.0488406180624107,0,-0.0667774068409981,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166403163172277,-0.0103689857665267,0.00787163360928886,0,0,0,0,0,0
X600028.SH,0.460149724716728,0,0,0,0.0409982364471172,0,0,0,0,0,0,0,0.00256199035302022,0,0.0349777307060692,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.115659748564803,0,0,0,0,0,0,0,0,0,0,0,-0.0281582665886689,0,0,0.0380425478960274,0,0,0,0,0,0.0043937957618803,0.00555905151756965,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.211737398418123,0,0,0,0,0,0.243763520959384,0,0,0,0.108477016911406,0,0,0,0,-0.101834658324361,0,0,0,0.00347616012551791,0,0,-0.01341238971403,0.187263370031809,-0.0569142909490805,0,0,0,-0.0749865716095184,0,0,0,0,0,0,0,0,0,0,0,-0.00954292478942499,0,0,0.0306378789264347,-0.024485594134261,0,0,0,0,0,0
X600188.SH,0,0.683328941694758,0,0,0,0,0,0,0,0,0,0,-0.0642398065591458,0,0.0544192257589458,0,0,0,0,0,0,0,-0.0748392358067604,0,0,0.0791164031498794,0,0.0307994696912309,0,0,0.0199958823091077,-0.00855064292721272,0,0,0,0,0,0,0,0,0,0,0,0,0.308714003881403,0,0.037341028284563,0,0,0,-0.0409237924595513,0,0.0142789508077048,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132626570175599,0,0,0,0,0.390291004015254,0,0,0,0,0,0,0,-0.0107428315335314,0,0.22811259667611,0,0,0,0,0,0,0,0.0926573357937281,0,0,0,0,0.0274275628088987,0,0,0,0,0,0.0319749566893513,0,0.0100215946902538,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.590128120409704,0,-3.46944695195361e-18,0,0,0.000313541151912793,0,0,0,0,0,0,0,0,0,0,0.0343238653201296,0,0.0445455004905494,0,0,0,0,0,0,0,0,0,0.077539939850893,0,0,0,0.0216359555332477,0,0,0.0678202398843056,0.0724200467973959,0,0,0,0,0,0,0.0438370890285106,0.010379799454149,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.636442496302927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00458720424551537,0,0,0,0,0,0.131687245699442,0.0460659719018426,0,0,0.16262236762117,0,0,0,-0.157076315933682,0,0.0220756297418657,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0237647648870367,0.0258569229847622,0,-0.0677906945903076,0,0,0.164999893640284,0,0,0,0,0,0,0,0,0.185098358978854,0,0,0,0,0,0,0,0,0.0646996306991829,0,0,0.106200716724083,-0.0740497412735844,0,0,0,0,0,0,0,0,0,0,-0.0342843620997214,0,0.114546771293499,0,0,0,0,0,0,0.00106612779910838,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.363735641425705,0,0,0,0,0,0,0.0667035012842199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249948631585347,0,0.048729713978005,0,0,0,0,0,0,0,0,0,0,0,0.152754147578216,0,0,0.0101791587636438,0,0,0,0,0,0.000732457478864129,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.311968733638444,0,0,-0.111359149451256,0,0,0,0,0,0,0.00773881083140681,0,0,-0.0429865009207926,0,0.00929443903370429,0,0,0,0,0,0.189697493693441,0,0.0731721443844634,0,0.0979410504773904,0,0,0,0,0,0,0.125036069149567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00236957702674095,-0.00463377478747259,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.10281126045987,0,0,0,0,0.0414294752040763,0,0,0,0,0,0.111118140865918,0,0.276837474577857,0,0,0,0,0.0180882146655624,0,0.178368244209696,0.383746112009877,0,0.365205118950986,0,0,0,0.019453415093406,0,0,0,0,0,0.153000228753075,0,0,0,-0.214583057472741,0,0,0,0,0,0,-0.0447008803060344,0.0323898470861465,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0.0158929381750735,0,0,0,0,0,0,0,0,0,-0.149908227470533,0,0,0,0,0.105335144605312,0,0,0.0936717830493115,0,0,0.0979876460429303,0,0,0.679432994668396,0,0,0,0,0,0,0,0,-0.0793778344183999,0,0,0,0,0,-0.0160368792917631,0,0,0,-0.0871765131584364,0.0225683447895522,0.0220719155084381,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.0493097792586116,0,0.288873440425558,0,0,0.161236328688123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00176935355173558,0,0,0,0.134303093958385,0,0,0,0,0,0,0,0.0267595344697348,0,0.0145719759326697,0,0,0,0,0.200656693462843,0,0,-0.00817189300269363,0.0256945914369962,0,0,0,0,0,0
X000301.SZ,0,0,0,0.109287559110855,0,0,0,0,0,0,0,0,-0.445562579528851,0,0,0,0,0,0,0,-0.587753465385303,0.423455593484048,0.540620705136646,0,0,0.270924645004498,0,0.0474145736287288,0,0,0,-0.077999093465619,0,0,0,0,0,0.0886078769323727,0,0,0,0,0.356886017338524,0.0912483202805086,0,0,0,0,0,0,-0.251672503900364,0.0289847151520387,0.0472309861953319,0,0,0,0,0,0
X600660.SH,0,0,0,0.126127660321657,0,0,0,0,0,0.0397005981264997,0,0,0,0.107950531410602,0,0,0,0,8.67361737988404e-19,-3.46944695195361e-18,0,0,0,0,0.0601014766132619,0,0,0.0899003423288426,0,0,0,0,0,0.141660443094389,0,0,0,0,0,0,0,0.00170147142102997,0.0225421539124026,0,0,0,0,0,0.0568265877072695,0,0.036659867641271,-0.0241737744359452,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0.350141251147018,0,0.00299834043737575,0,0,0,0,0,0,0.066946500479577,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.00583794438514634,0,0,0,0,0,0,0.132225614198722,0,0,0,0.0952654551492722,0,0,0,-0.106128022168582,0,0,-0.00893535314437607,0.0127561214231122,0,0,0,0,0,0
X600010.SH,0,0.164314328846384,0,0,0,0,0,0,0,0,0,0,-0.106043749104031,0.199612520445232,0,0,0.0459396347822408,0,0,0,0,0,0,0,0,0,0,0,-0.0111416780945944,0,0.121970250825876,0,0,0,0,0,0,0,0,-0.0634163479204175,0.0146912124671506,0.0992752259814,0,0,0,0,0,0,0.139470117454553,0,0,4.33680868994202e-19,0.0028754386276909,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.0966243808685859,0,0,0,0,0,0,0,0.0269023631256299,0,0.0244066844502512,0,0.0653306863915216,0.220047054522334,-0.0516858809219903,0,0.174211648877071,0,0,0,0,0,0,0,0,0,0.565818258908779,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168217775302036,-0.0390019725604174,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0702664914149356,0,0,0,0,0,0,0,0,0.151456619863383,0,0,0,0,0,0,0.151255187553439,0,0,0,0,0.0642274807354398,0,0,0.0115445911692719,0,0,0,0,0,0,0,0.229589140841031,0,0,0,0.0189169120564842,0,0,0.0259932575607572,-0.0145881739017788,0,0,0,0,0,0
X600886.SH,0,0.0358494040565105,0,0,0,0,0,0,0,0,0,0,0,0,-0.115360630516039,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16346053632844,0.0462667907841385,0.0508590536633002,0.0130464592860461,0,0,0,0,0.0893915060777025,-0.119851612532635,0,0,0.103512390425825,0,0,0,0,-0.250638868029996,0,0,-0.00601471227754239,0,0,-0.014152069301924,0.0124026668025508,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0.0880176855520064,0,0,0,0,0,0,0,0,0.121518018705413,0,0,0,0,0.275329085135103,0,0,0,0,0,0,0,0,0,0,0.0015792151284012,0.200270134178846,0,0,0,0,0,0,0,0.170734098239805,0,0,0,0,0,0,0,0,0,0,0,0.000504788250168615,-0.011936140503935,0,0,0,0,0,0
X600426.SH,0,0.114337472431093,0.0387236901846802,0,0,0,0,0,0,0,0,0,0,0,0.0381588191250779,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.30249766157922,0,0,0,0,0.0187070639112133,0,0,0,0,0,-0.00236182485350001,0,0,0,-0.248845334265522,0,0,0,0,0,0.0468533973649236,0,0,0,0,0,-0.0164320181640682,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0.359032093015196,0,0,0.127516889062714,0,0,0,0.0184777590214471,0,0,0,0.0148318669013261,0,0,0,0,0,0.143592480431987,0,0.105625876235217,0,0,0,0,0,0,0,0,0,0,0,-0.162027463607575,0,0,-0.230730915402873,0,0,-0.0961276115187068,0,0,0,0.0208184818621724,0,-0.439120334447229,0,0,0,0
X600362.SH,0,0,0,0,0,0.0144527527982916,0,0,0,0,0,0,0,0.10258989173975,0,0,0,0.0803680204721021,0.212241965740355,0,0,0,0,0,0,0,0,0.132131244960708,0,0,0,0.00746098034172746,0,0.176087886922193,0,0,0.0258468085072435,0,0,0,0,0,0,-2.16840434497101e-19,1.73472347597681e-18,0.0400814282404147,0,0,0,0,0,0.00896343054070368,-0.00874569017676991,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0.102757826253315,0,0,0.0974468457671405,0,0,0,0,0.0446390034743932,0,0,0,0,0,0,0,0,0,0.120972862184431,0,0,0,0,0.374753298846765,0,0.294443116550347,0,0,0,0.30047277328106,0,0,0,0,0,0,0,0,0,0.248612990812346,0.152599976606699,0.0477182228385565,0,0,0,0,0,-0.0125185791623275,-0.0323954142304466,0,0.115873774703251,0,0,0,0
X600176.SH,0,0,0,0,0.0415223117325273,0.0652833194462289,0,0,0,0.017822694812594,-3.46944695195361e-18,-0.0206795933201128,0,0,0,0,-0.113906327617558,0,-0.0148307819468012,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.184955200685444,0,0.355884107580428,0,0,0,0,0,0,0,0.44502645333529,-0.0358945041520154,0,0,0,0,0,0,0,0.190583069062221,0,0.12846694150438,-0.0476742194697253,0.026282941239622,0,0,0,0,0,0
X600803.SH,0.0531679196777557,0,0,0,0.354240424365638,0,0,0,0,0,0,0.120922265709788,0,0,0.0314594763300445,0,0,0,0.180861206430814,0,0,0.121522302639827,0,0,0,0,0,0,0.0499345673253808,0,0,0,0,0,0,0,0,0,-0.211356491938086,0,0,0,0,0.0360558275083903,0,0.205518942918068,0,0,-0.0209252164411294,0,0,0,-0.012207745303343,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0,0,0.576565284234713,0,0,0,0,0,0,0,0,0,0.172790142093727,-0.248720263241339,0.201088004121391,0,0,0,0,0,0,0.0947268808623307,-0.0306151997067451,0,0,-0.190677824551739,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716110668979086,0,0,-0.0649043963915707,0.0188488347607888,0.0133552663500173,0,0,0,0,0
X601699.SH,0,0,0,0,0.540484165484444,0,0,0,0,0,0,0,0,0,0.0703075660325103,0,0,0,0,0,0,0,-0.019466137136823,0,0,6.93889390390723e-18,0,0,0.00456857164582311,0,0,-0.00681050116746029,0,0,0,0,0,0,0,0,0,0,0.0849361831369403,0,0.0178615544383788,0,0,0,-0.223934051101237,0,0,0.0108246459991958,-0.0102642051368558,0,0,0,0,0,0
X601991.SH,0.341654224043286,0,0,0,0.0892731179042422,0,0,-0.23534348116352,0,0,0,0.499745791667758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125425743364889,0,0.0057929365435325,0,0,0,0,1.38777878078145e-17,0,0,0.186725089289097,0,0,0,0,0.0343206813839543,0,0,0,0,0,0,-0.0695453492987009,0.0915714937899065,0,0,0,0,0,0
X000786.SZ,0,0,0,0.0600281502547643,0,0.0978578714327045,0,0,0.0911075028516585,0,0,0,0.492275771671726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371574348105183,0,-0.0369913957863522,0,0,0,0,0.136050544285476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197797616748934,0,0.0900178291448031,-0.0232196117085483,0.0127402298414153,0,0,0,0,0,0
X600995.SH,0,0,0,0,0,0,0,0.0269963861845478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00211771522426701,0.123836970609857,0,0.158716348156195,0,0,0,0,0,0,0,0,0.0770387157233028,0.0528146833862378,0,0.0199594098519503,0.150950227943018,0.019467821561309,0,0.0183105896901116,0,0.0972834242620243,0,-0.0399464659462064,0.00905128778866236,0,0,0,0,0,0,0
X000807.SZ,0,0,0,0,0,0,0,0,0,0.0871352512867907,0,0,0.027833877278618,0.12203792645795,0.100917051594962,0,0,-0.00283318274380808,0.107930575279447,0.250873903749786,0,0.00204573490909197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640717274801406,0,0,0,0,0.0590757202885486,0,0,0,0,0,0,0.0257050182968701,-0.0141156353869195,0,0,0,0,0,0
X600160.SH,0,0,0,0,0,-0.16853421964716,0.265604697681927,0,0,0,0,0,-0.0316426446990708,0,0,0,0,-0.0606616704093498,0,0,0,0,0,0.00910882279681325,0,0,0,0,0,0,0,-0.0416950410801824,0.0683564419100473,0,0,0,0,0,0,0,0.0299647125496927,0,0,0.201769284840695,0,0,0.0291681296709587,0,0,0,0,-0.0351734182571222,0.0258859696001008,0,0,0,0,0,0
