,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X601600.SH,X000792.SZ,X600886.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X000877.SZ,X002271.SZ,X600795.SH,X600362.SH,X600027.SH,X600426.SH,X601991.SH,X601699.SH,X600176.SH,X600803.SH,X000983.SZ,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X600160.SH,X600219.SH,X600688.SH,X000933.SZ,X000408.SZ,X600612.SH,X000932.SZ,X000629.SZ,X002080.SZ,X000630.SZ,X600096.SH,X000723.SZ,X300037.SZ,X600157.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.193162078812296,0,0,0,0,0.0969261746926786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010560445097499,0,0,0.0447893220431924,0.0395034254728183,0.0314499650600329,0,0,0.0713280916530187,0,0.0852657833907963,0,0,0.0995797503849488,0,0,0,0,0,0.0308940617589705,0,0,0,0,0,0,0,0.0495776498379981,-0.00550850462441474,0,0,0,0,0,0
X600028.SH,0.52352018224371,0,0,0,-0.17009133293782,0,0,0,0,0.139201430256256,0,0,0.0802305868598363,0,0,0,0,0,0,0,-0.0615392582668741,-0.0152737463470119,0,0,0,0.109836936851883,0.054447887255226,0,-0.0182788139403447,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0361672204872569,0,0,0,0,0,0,0.00989574148821339,-0.0565428441942924,0,0,0,0,0,0
X601088.SH,0.0700871258467615,0.0748443604471573,0,0,-0.190977732112149,0,0,0,0,0.196874011916679,0,0,0.0545089760498621,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190706512584927,0,0,0,0,0,0,0,0,0,-0.0551429554337044,0,0,0.167820903927959,0,0,0.216024526397488,0,0,0,0,0,0,0,0,0,0,-0.0279087459603996,0,0,0,0,0,0
X600309.SH,0.0882499236134687,0,0,0,0,-0.0164370209595485,0,0,0,0,-0.0492239096837134,0,0,0,0,0,0,0,0,0,-0.0574069500083812,0,0,0,0,0.306202891609904,0,0,0,0,0,0,0.102951956541747,0,-0.102070088845865,0,0,0,0,-0.0879432642730861,0.00708652387305195,0,0,0,0,0,0,0,0,0,0,0,0.0101349773636413,0,0,0,0,0,0
X600188.SH,0.156433089948458,0,0,0,0,0,0,0,0,0.174208365743065,0,0,0,-0.083585955644994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119754968782846,0,0,0,0.00533522108520341,0,0,0,0.214610498562818,0,0,0,0,0,0,0,0,0,0,0.249000411730424,0,-0.0340772162882337,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0955426631841536,0,0,0,0,0,0,0,-0.0286043187327555,-0.09343312284952,0,0,0.386534660287011,0,0.124769520487927,0,0,0.0260748502124295,-0.17384603136057,0,0,0,0,0,0,0,0,0,-0.211169629583459,0,-0.0473934415535473,0.0661395489710973,0,0,0,0.026707764348923,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.334272267793265,0,0,0,-0.0849492518146969,0,0,0,0,0,0,0.0407239884375723,0,0,0,0,0,0,0,0.054275839223664,0.0970543317381415,0.166239366641885,0,0,0,0,0,0.128216597046956,0,0,0.0335863215205826,0,0,0,0.0835399111529489,0,0,0.0589270556737921,0,-0.0108680967593191,0,0,-0.079689953623759,0,0,0,0,0,0,0,0.00838640733606933,-0.0204441656647205,0,0,0,0,0,0
X600585.SH,0,0,0,0.00255804822941259,-0.0179482677307942,0,0,0,0,-0.0187747103665924,0,0,0,0,0,0,0,0,0,0,0.267765428540749,0.139208470148113,0,0,0,0,0.0497005373595025,0,0.159328733980597,0,0,-0.000133471443479228,0.00236947706771699,0,0,0,0,0,0.0907288156614384,-0.062217360957862,0,0,0,-0.0385742448307374,0,0,0,0,0,0,0,0.0162716013364909,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,-0.0013241680838687,0.632047833240551,0,0,-0.0879452635897341,0,0,0,0,0,0.222924715533497,0,0,0,-0.0469891270214896,0,0,0,0,0,0,0,0,0,-0.058755612670917,0,0,0,0,0.0852820901240009,-0.0532120213602668,0,0,0,0,0,0,0,0,0,0,-0.0108240654024036,0,0,0,0,0,0,0
X601898.SH,0,0.451896173052076,0.0815577167093689,0,0.0563762734470668,0.0685261074790756,0,0,0.0405433834962769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0209639512126495,0,0,0.324285436385432,0,-0.174356991912934,0,0,0,0,0,0,0.121941019055721,0.0659650260487871,0,0,0,0.0881460317274141,0,0,0,0,0,0,0,-0.15811166227945,0,0,0,0.010845081892215,0,0,0,0,0,0,0
