,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X600547.SH,X601898.SH,X002460.SZ,X601600.SH,X002466.SZ,X000792.SZ,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000807.SZ,X600489.SH,X601699.SH,X000983.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X000408.SZ,X000539.SZ,X300037.SZ,X600219.SH,X000629.SZ,X002080.SZ,X600688.SH,X000723.SZ,X600995.SH,X000933.SZ,X600157.SH,X600612.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.883700054945422,0,0,0,0,0,0,0,0.175253564589015,0,0,0,0,-0.203398779274235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181979104749007,0,0,0,0.024297784785519,0,0,0,0,-0.0165706053258874,0,0.160810402517295,0,0,0.0221020350220494,0,0,0,0,0,0,0,-0.0932329710006469,-0.00556975638030374,0,0,0,0,0
X600028.SH,0.62876454179319,0,0,0,0,0.0843003153009282,0.199517102771413,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0957371157970651,0,0,0,0,0,-0.0173717770711664,0.0816862550235132,0,0,0,0,0,-0.0402846269136232,0,0,0,0,0,0,0,0,0,0,0,-0.117671664326452,0,0,0,-0.0382155251551988,-0.0567043567605058,0.00484934496752491,0.0637998364577313,0,0,0,0,0,0
X601088.SH,0.0497807939688677,0,0,0,0,0,0,0.406422279641242,0,0,0,0,0,0,0,0,0.0608956241874839,0,0,0,0.0511773065269013,0,0,0,0,0.190456051536483,0.0111963600430166,0,0,0.0253119113211487,-0.0199165640005599,0,0,0,-0.0447594711749231,0,0,0,0,0,0,0,0,0,0,-0.170863204770308,0,0,0.0228817884161244,0,0,-0.0120251826879716,0.02389118071161,0,0,0,0,0,0
X600309.SH,-0.0788472264566245,0,0,0,0,0,0.140956162622744,0.0164357350263285,0,0,0,0,0,0,0,0,-0.0128366336660282,0,0,0.144359007662434,0.0133962256733531,0,0.147915092936438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119462828319363,0.118752944635751,0,0,0,0.072321211005169,0,0,0,0,0.0148852830826786,-0.0518483448647006,0,0,0,0,0,0
X600011.SH,0,0.184401515482479,0,0,0,0,0.217773764283907,0,0.0339320198667644,0,0,0,0,0,0,0.558144257717514,0,0,0,0,0,0,0,0,0,0,0.551677085483645,0,0,0,0,0,0,-0.223337635888356,0,-0.167167244999246,0,0,0,0,0,0,0,0,0,0,0,0,-0.0548144907562712,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247622313594884,0.100646711163397,0.101201996800869,0,0,0,0.0596249520526716,0,0,0.177110234789871,0,0.0983661228362218,0,0,0,0.101587541514523,0,0,0,0,0,0.029925478441747,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0.0403898790835056,0,0,0,0,0
X600585.SH,-0.0549271732274435,0,0,0,0.14232749568712,0.129255753839111,0,0,0,0,0.347519495993445,0,0,0,0,0,0,0,0,0,0,0.0456963397347075,0,0,0,0,-0.195794650998139,0,0,0,0,0,0,0,0,0,0,0.133950904199137,0.0671331882700999,0,0,0,0,0,0,0,0,0,-0.158666755371696,0,0,-0.0372151437168006,-0.0246517557348145,0,0,0,0,0,0
X600188.SH,0,0,0.300338939284329,0,0,0,0,0,0,0.101198439707938,0,0,0,0,0,-0.205309310348627,0,0,0.00923207967773223,0,0,0,0.123437888151235,0,0,0,0,0,0,0,-0.633944534006112,0.31027779008931,0,0,0.225381296613506,0,0,0,0.0804857110087954,0,0,0,0,0,0,0,0.151424998697142,0,0,0,0,0.0147977055476671,0,0,0,0,0,0,0
X600547.SH,0,0.089602766814226,0,0,0,0,0,0.07531749666767,0,0,-0.0491318646718177,0,0,0,0,0,0,0,0,-0.214076458549481,-0.0686896424977509,0,0,0,0,0,0,0.147314479325953,0,0,0.797907625352657,0,0,0,0,0.189568409498283,0,0,0,0,0,0,0,0,-0.0227772220769199,0.0795418314121303,0,-0.171954709069101,0,0,0,-0.00862108769498287,0,0,0,0,0,0,0
X601898.SH,0.163120286290008,0,0.0894237686693486,0,0,0,0,0.194995917727066,0,0,0,0,0.0538581888332636,0.120291249727307,0,0,0,0,0,0.167267578106975,0.0325324759596917,0,-0.20959071046701,0,0,0,0,0,0,0,0,0.150456378399663,0.105793439813536,0,-0.048873998630954,0,0,0,-0.132642774300257,0,0,0,0,0,0.00723133532683519,0,0,0,0,0,0,-0.0113620257189202,0,0,0,0,0,0,0
