,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600019.SH,X600585.SH,X600188.SH,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000708.SZ,X000301.SZ,X002271.SZ,X600426.SH,X000877.SZ,X600362.SH,X600795.SH,X600176.SH,X000807.SZ,X600803.SH,X600489.SH,X000983.SZ,X601699.SH,X000786.SZ,X601991.SH,X600027.SH,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X002080.SZ,X000629.SZ,X300037.SZ,X600688.SH,X000539.SZ,X600157.SH,X600096.SH,X600612.SH,X002409.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.04209839666998,0,0,0,0,8.67361737988404e-19,0,-0.0470995293206421,0,0,0,0,0,0,0,0,0,0.0123399483125823,0,0,0.128551175435282,0,0,0,0,0,0,0.191073304017087,0,0,-0.0659084499867182,0,0,0.0603842093186414,0,0,0,0,0,0,0.055109771840019,0,0,0,0,0,0,-0.0925463647393809,0.0405581411126357,0,-0.0137421639314333,-8.67361737988404e-19,0,0,0,0,0,0
X600028.SH,0.593769320843795,0,0,0,0,0.201580635551984,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206529155118534,0,0,0,0,0,0,0,0,0,0,0,0.133336589753719,-0.0842012639759536,0,0,-0.0234836980499673,0,0,0,0,0,0,0.03577295762959,0,0,0,0,-0.184890037488013,0,0,0,0,0,0.030087975317775,0,0,0,0,0,0
X601088.SH,0,0.118168081674728,0,0,0,0,0.243278650820455,-0.0910630820449503,0,0,0,0,0,0,0,0,0,0.135832002025971,0,0,0.102971913611473,0.0861116368271361,0,0,0,0,0.0439331915787311,0,0,0,0,0,0,0,-0.0976577565434382,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493085807115594,0,0,0.0137299696915058,0.0116738739245307,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114011905789449,0,0,0,0,0,0.077872910386274,0.126800942915045,0,0.0468977398819735,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.00778260909126181,0,0.0288933336370373,0,0.0300140527878147,0,0,0,-0.0116076487618672,0,0,0.00513805088561369,0,0,0,0.0431181418345669,0,0,-0.00488834563948167,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.116051323923641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895041596019731,0.0817935461588489,0.135304811693456,0,0,0,0,0,0,0,0.214696767219336,0,0,0,-0.0211378428835008,0.0368493283654859,0,0,0.0921396202947998,0,0,0,-0.0312373988566667,0,0,0,0,0,-0.0765853888967488,-9.31846930643882e-05,-0.173157367345782,-4.33680868994202e-19,0.028216864803027,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.109874598224969,0,0,0,0,0,0,0.152367829792193,0,0,0,0,0,0.0299067467197357,0,0,0,0,0,0,0,0,0.33372542193109,0,0,0,0,0,0,0,0.0716948431468365,0,0.0896393270701757,0,0,0,0,0.0036348358209852,0,0,-0.0348316156449672,-0.197722589722021,0,0,-0.0204284026529494,-0.0247825327759196,0,0,0,0,0,0
X600188.SH,0,0,0.724194004147908,0,0,0,0,0,0.0870554032778536,-0.377424381012824,0,0,0,0,0,0,0,0.0167387371204647,0,0,-0.122038561320123,0,0,0,0,0,0.0710098338815253,0,0,0.0965248533676967,0.211573554867072,0,0,0,-0.010375835906292,-0.0380358009375186,0,0,0,0,0,0,0,0,0.0605956481917911,0,0,-0.148433590222367,0,0.0165911867622191,0,0,0,0,0,0,0,0,0
X600011.SH,0,0.0541771840871215,-0.241859139677696,0,0,0.172231849244531,0,0,0,0,0,0,0,0,0,0.583373686050033,0,0,0,0,-0.047436165974536,0,0,0,0,0,0,0,0,0,0,-0.0260972175392729,0,0.340116364809909,0,0,0,0,0,0,-0.314970663333169,0,0,0,0.182098231786018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0.0083633926419113,0,0,0,0,0,0.0160687595274758,0,0,-0.0412498576865523,0,0,0,0,-0.0407815816157998,0,0,0.323428815602797,0.128606695887843,0,0,0,0,0,0,0,0.451692199487313,0,0,0,0,0.0957290494479637,0,0,-0.0103004066087567,0,0,0,0,0,0,0,0,0,-0.119769827339993,0,0,-0.121338236784505,0,0.0586475626500694,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.22508593619836,0,0,0,0,0,0,0,0,0,0,0,0.0254300310939662,0,0,-0.275440214562055,0,0,0,0,0,0,0,0.0835946020210546,0.796906468379355,-0.0515475521208838,0,0,0,0.0740060813570991,-0.109064178073069,0.0387949526363777,0,0,0,0,0.0049359298211967,0,0,0,0,-0.10538842758917,0,0,0.0658630149445524,-0.0154434582217146,0.0996120610870963,0,0,0,0,0,0,0,0
X601898.SH,0.0621752330766826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336970200365906,0,0,0,0,0,0.133586674246837,0,0.0739986456736307,0.290323504060239,0,0,0,-0.070958010825048,0,0.1346481002969,0,0.0206345824035169,0,0.057991134958129,0.0913481756333667,-0.116152066869543,0,0,0,0,0,0,0.0689151703575262,0,0,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0710060213191009,0,0,0,-0.0856262388420337,0,0,0,0,0,0,0.00640383718896791,0,0,0,0,0,0,0,0,0,-0.00977031196324608,0,0,0,0,0,0.103931990501141,0,0.049979591568858,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0.0812465571748835,0,0,0,-0.0595447141330714,8.67361737988404e-19,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203502702929922,0,0,0,0,0,0.0904623310878054,0,0,0,0,0,0,0,0.00304263806552289,0,0,0.0262209024400874,0,0,0,0,0,0,0.0613737470762793,0,0,0.184828685568534,0,0,0,0,0,0,0,0,0,-0.0324641121855286,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,-0.095865483098764,0,0,0,0,0.102781666864386,0,0.812496352734032,0,0,0.0240489873257907,0,0.034303500435397,0,0,0,0,0,0,0,0,0,0,0,-0.0689684435522901,0,-0.0364726219151751,0,0,0,0,0.0807803673364648,0,0,0,0.111613255574626,0,0,0,0,-0.0545013820765868,0.0131955692889311,0,0,-0.0839140688752861,0.0383759040707847,0,0.0183465840826203,0,0,0,0
X002466.SZ,0.0230602398048764,0.0781443331832855,0,0,0,0,0,0,0,0,0,0,0.0145922430331565,0.711052233459308,0,0,0,0,0,0,0.106121710707226,0,0,0,0,0,0,0,0,0,0.0529886198757691,6.56720130102172e-06,0,0,-0.049376805828416,0,0,0.00815300950626047,0,0,0,0,0,0,0,-0.0221026824888208,0,0.0710490248169902,0,0,-0.0680875264795616,0,0.018188229742555,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,-0.0184132029066011,0.179311408381199,-0.0446258668015532,0,0,0,0,-0.00994999724474482,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237647958872197,0,0,0,0,0.286237656635825,0,0.0199517185190453,0,0,0,0,0,0,-0.0974580282446763,-0.121902699552739,0,-0.0455616146044952,0,0,0.0452338785174093,-0.0222084834876889,0,-0.0211650832190206,0.00464503600726328,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0177408539257515,0,0,0,0,0,0,0,0.0981843175829094,0,0,0,0,0.278329230019894,0,0,0,0,0,0,0,0,0,0,0,0,0.0105964220387364,0,0,0.0694869059175763,0,0,0,0,0,0,0,0.181733713686972,0,0,0,0.0241845077443745,0,0,-0.0117769740704578,0,0,-0.00816832607220526,-0.0114724418542155,0,0,0,0,0,0
