,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X601898.SH,X600011.SH,X600547.SH,X601600.SH,X600660.SH,X002460.SZ,X600886.SH,X000792.SZ,X002466.SZ,X000708.SZ,X600111.SH,X600010.SH,X000301.SZ,X600426.SH,X600795.SH,X000877.SZ,X600362.SH,X002271.SZ,X601699.SH,X600803.SH,X000983.SZ,X600489.SH,X600027.SH,X600176.SH,X000807.SZ,X601991.SH,X000786.SZ,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X000408.SZ,X600219.SH,X600985.SH,X600688.SH,X000629.SZ,X300037.SZ,X002128.SZ,X002353.SZ,X600157.SH,X600612.SH,X601168.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.991677473374925,0,0,-1.0842021724855e-19,0,0,0,0,0,-0.0182663788425492,0,0,0,0,0,0,0,0,0,0.00438413468437529,0,0,0,0,0,-0.0599811234154344,0,0,0,0,0,0,-0.00321151920047682,0,0,0.0222980574331843,0,0,0,0,0,0,-0.085245939108725,0,0,0.223322690402201,0,0.13033704483726,0,0.035562071727204,-0.0107657388560417,-8.67361737988404e-19,0,0,0,0,0,0
X600028.SH,0.500249111667674,0,0,0,0,0.0262140262431567,0,0.0534223271791961,0,0,0,0,0,0,-0.0604453162016383,0,0,0,0,0,0,0.0177964733372258,0,0,0,0,0.0668202049064738,0,0.0343813996660582,0,0,0,0.0965709864564383,0,0,0,0,0,0,0,0,0,0,0,0,-0.0770501357321687,-0.166101038083199,0,0.0901495604139295,0,0,0.00796420586255978,-0.00918817892844135,0,0,0,0,0,0
X601088.SH,0,0.0648214739769881,0,0,0.14065224186043,0,0,0.24108992922195,0,0.0224845712674329,0,0,-0.0415056842008454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030261404824613,0.0120513790358088,0.0303319531702137,0.163795421761843,0,0,0,0,0,0,0,-0.0190212796033411,0,0,0,0,-0.0049655600002003,0,0.00885515993663033,0,0,0.031245668326557,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0720773304193278,0,0,0,0,0,0.210283941933719,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409459072429288,0,0.0273086851237937,0,0,0.00789035760796328,0,0.0776001756005591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279905302068456,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.114399017738737,0,0.222709592644373,0,0,0,0,0,0,0,0,0,0,0,0,0.0395041514250506,0,0,0,0,0,0.0944929630853226,0.479264767441854,0,0,-0.24088151377871,0,0,0,0,0,0,0.0655753016369811,0,0,0,0,0,-0.0175488227648604,0,0.0372070198872754,0,-0.031970826406949,0,0,0,0.0179214408315536,-0.0300801518220492,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.129909604076242,0,0,0,0,0,0,0,0.0254324762513674,0,0.0243715869554236,0,0.333325224469394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220832973650929,0.20928003339762,0,-0.0249464873161533,0,0.297871775960774,0,0,0,0,-0.183016293442194,0,0,0,-0.0374321383742483,0,0,-0.0570088027786932,0,0.0565975887458239,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0508760633081769,0,0,0,0,-0.0721933165136014,0.244384033122033,0,0,0,0,0,0.0967457093961303,0,0.0497272322498502,0,0,0,0,-0.174207488615677,0,0.157550417046956,0,0.0197662787186273,0,0,0,0,0,0,0,0,0,0,0,0.136156518544624,0,0,0,-0.122677733198924,0,0,0.0217969588007178,0,0,0,0,0,0
X601898.SH,0.0662004024199339,0,0,0,0.16472850409952,0,0,0,0,0,0.00418997375496581,0,0,0,0,0.0661770890373498,0,0,0,0,0,0,5.42101086242752e-20,0,0,0.179463893694706,0.280430690072533,0.0739329374450354,0.038785061166056,0,0,0,0,0,0,0,0,0,0,0,0.0982474753571803,0,0,-0.145267312239698,0,0,0,0,0.0112296950576496,0,0,0,0.0137545900082828,0,0,0,0,0,0
X600011.SH,-0.118754554330126,0,0,0,-0.124479616752122,0,0,0,0,0,0,0,0,0.217711396014867,0,0,0,0,0,0,0,0,0,0,-0.078841914284315,0,0,0,0.026702471509242,0.849112097955147,0,0,0,0,0,0,0.0665611057836962,0,0,0,0,0,-0.170016867206968,0.128257507398475,0,0,0,0,0,0,-0.139330816609391,0,7.58291314374727e-05,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.00431199084365431,-0.109737861238895,0,0,0,-0.161034225529426,0,0,0,0,0,0,0,0,0,0,-0.00132315942663818,0,0,0,0,0.0897999375976433,0,0.555007757915143,0,5.42101086242752e-20,0,-0.0687362295480298,0,0,0,0,0,0,0,0,0,0,0.0488718120949993,0,0.1455068195593,0,0,0,0,0,-0.00248429099735392,-0.021405328844325,0,0,0,0,0,0
X601600.SH,0.0426877943006996,0,0,0,0,0,0.192798056165133,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0395438900137179,0.256798482767152,0,0,0,0,0,0,0,0,0,0,0,0,0.0163188103592349,0.423630187687533,0,0,0,0,0.0220364012113506,0.0128443527804636,0,0,0,0,0,-0.0668673431422915,0,0,0,0,0.0499326536239769,0,0,0.00710196930460261,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,-0.00714792491309149,0,0,0,0,0,0,0,0,0,0,0,0,-0.0668682374922669,0,0,0,0,0,0,0,0,0,0,0,-0.0413063893137048,0,0,0,0.110488451428835,0.112455476909098,8.67361737988404e-19,0.00991578045999044,0,0.102477284035773,0,0,0,0,0.092783869019363,0,0.0144133917815033,0,0,0,0,-0.0618422094318584,-0.00189598122239242,0.0321304560308316,0,0.202089999779902,0,0,0,0
