,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X600886.SH,X000792.SZ,X002466.SZ,X002460.SZ,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X600795.SH,X600426.SH,X000877.SZ,X600362.SH,X601699.SH,X002271.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X601991.SH,X600176.SH,X000807.SZ,X600160.SH,X000786.SZ,X000932.SZ,X000630.SZ,X000408.SZ,X600985.SH,X000933.SZ,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X600612.SH,X000723.SZ,X002128.SZ,X601168.SH,X600157.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.813242156792163,0.102789275405641,0,0,-0.056438425244437,-0.0401532417716855,0,0,0,0,0,0.000846571513639939,0,0,0.164503428486187,0,0,0,0,0.00449527465064654,0,0,0,0,-0.214714098928491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0470531516639591,0,0,0,0,0,0,-0.00532049546294306,0.0183143510508198,0,0,0,0.0271817231845476,0,0
X600028.SH,0.512217514550277,0,0.0566415207504576,0,0,0.13470253300293,0,0,0,0,0,0.132172576517139,0,0,-0.00866908745080515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140977975181742,0.012486154609946,0.0239057658277639,0,0,0.0243026696955276,0.0545499480320498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123920258461927,0,0.0137211839982238,-0.0211772944817381,0,0,0,0.082756355942999,0,0
X601088.SH,0.0985826623436149,0.0538162372631963,0,0,0.161068634086228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0842117989722297,0,0,0,0,0,0,0.0845972433184271,0,0,-0.0130611151371024,0.0126936930601067,0,0,0,0,0,-0.137044010992707,0,0,0,0,0,0,0,-0.0518990996866488,0,0.00740630869952438,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190855601818025,0,0,0,0,0,0.0141656844724858,0,0,0.0114868468514518,0.118270781973533,0,0.062673761495055,0,0.0205335245285187,0,0,0,0.047496136434156,0,0.337853157811737,0,0,0,0,0,0,0,0,0,0,0,0,0.333243628282075,0,0,0.00545911898062179,0,0,0,0,-0.240353486222905,0,0
X600188.SH,0,0,0,0,0,0.105785217870403,0,0,0.238659593462553,0,0,0,0,0,0,0,0,0,0,0,0,0.0594993701622151,0,0,0.00686440259281362,-0.0749223691743867,0.462358979793836,0,0,0.0854277745345476,0,-0.18384287150591,0,0,0,0,0,0,0.0481804938947339,0.117492197276576,0,-0.0117676531049196,0,0,-0.0406888547205955,0,0,0,0,0,0,-0.00658647285419822,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.283321702149363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114969936382802,0.193078915420494,0,0,0.593696912891296,0,0.00843179847030008,0.286669591639059,-0.137053874107338,0,0,0,0,0,0,0,-0.0374282518318039,0,0.00334016797372351,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0330686239216806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963522244605312,0.210938143916303,0,0,0.0877776721074719,0,-0.145110743324838,0,0,0,0,0.121177302648328,0,0.0195924288897968,0,0,0,0,0,0,-0.0683525114772577,0,0,0,0,0,0,0,0,0,-0.0257394773421538,0.0347620993005948,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0710077044158839,0,0,0,0,0,0,0,0.175177972788336,0,0,0,0,0,0,0,0.0872537824068172,0,-0.137560084828848,0,0,-0.03768634340306,0,0.248225554482619,0,0,0.0834638608202753,0.107971677991176,0,0,0,0,0,0,-0.0156569067034808,-0.0644113457757635,0,0.16058768566993,0,0,0,0,0,0,-0.0515682555342064,0,0.061474635666626,0,-0.038245762327684,0,0,0,0,0,0
X601898.SH,0,0,0.0741588639126175,0,0.185871289155861,0,0,0,0,0,0.0376642388706179,0,0,0,0.114698643951059,0,0,0,0,0,0,0,0.0511218226092039,0,0.350067953503386,0,0.0262867292927929,0,0.0425221992091678,0.130839902482046,0,0,0,0,0,0,0,0,0,0,0,-0.0834312430113075,0,0,0,0,0,0,0,0,0,-0.00354074789239634,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0294427007241284,0,0,0,0,0,0,0,0,0,0,-0.145692176226669,0,0,0,0,0.00863690175222133,0,0.48507875817631,0,-0.0191221966667474,0,0,0,0.0407841944833716,0,0,-0.0903756620022014,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298971369332074,-0.0461963887175691,0,0,0,0.0625754315588884,0,0
