,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X000708.SZ,X601699.SH,X000301.SZ,X600426.SH,X600362.SH,X000877.SZ,X000983.SZ,X600027.SH,X600489.SH,X600803.SH,X002271.SZ,X601991.SH,X600160.SH,X600176.SH,X600985.SH,X000807.SZ,X000630.SZ,X000408.SZ,X000786.SZ,X000932.SZ,X600612.SH,X300037.SZ,X000933.SZ,X600219.SH,X002128.SZ,X600995.SH,X600348.SH,X000629.SZ,X600688.SH,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.751507354546634,0.235883908569789,0,0,0,0,0,-0.138043292297255,0,0,0,0,-0.155311300901578,0,0,0,0,0,0.17043139326276,0,0,0,0,0,0,0,0,0,-0.215701255748496,0,-0.115423792851832,0,0,0,0,0,0,0,0.142605478418159,0,-0.0254208402143331,0,0,0,0,0,0,0,0,0,0,0.0042375080906445,0,0,0,0,0,0
X600028.SH,0.592869863094361,0,0,0,0,0,0,0,0.0556324757696162,0,0,0.0872047874950501,0,0,0,0,0,0,0,0,-0.0479515918150397,0,0,0,0,0,0.0566903950521092,0.11864354523188,0,0.0370453870684082,0,0,0,0,0,0,0,0.017998153485472,0,0,0,0,0,0,0.0538587319193042,-0.131400051720135,0,0,0,0,0,0.0186922817934314,-0.0348792779142158,0,0,0,0.0293915682161893,0,0
X601088.SH,0.104174175209448,0.0617994655966349,0,0,0.125162065025949,0,0.186140038095636,0,0,0,0,0.00326493635203261,0,0,0,0,0,-0.0767047782627208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769976072980687,0,0,0,0,0,0,0,-0.185509777582615,0,0,0,0,0,0,0,0,0,0,0.00203222444637275,0.00376710059104836,0,0,0,-1.73472347597681e-18,0,0
X600309.SH,0,0,0,0,0.184381938649,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.0421035794356589,0,0,0.021102237452716,0,0,0,0.215077255468967,0.00708404147470345,0,0,0.175887898119144,0,0.0735123082050401,0,0,0.0779643783805447,0,0.0845671407949571,0,0,0,0,0.342017749858794,0,0.351607608718284,0,0,0,0,0,0,0,0.412337998114657,0,0,0.00562595807094808,0,0,0,0,-1.73472347597681e-18,0,0
X600188.SH,0,0,0,0,0,0,0.27048547428159,0,0,0.125995963557375,0,0,0,0,0,0,0,0,0,0,0.220018184677055,0,0,0,0,0.1187196015215,0,0,0,0,-0.0241611501858792,0.00337807598305299,0,0.126005282695836,0,0,0,0,0,0.0185140329013682,0,0.228938625593219,0,0,0,0,0,0,0,0,0,0,-0.0100905739193547,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.179172357783797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.658867886265106,0.145427831124333,0.32312919984059,0,0,0.155312149551427,0,0,0,0,0,0,0,0,0,0,0.0330487164106369,0,0,0,0.00388699004761025,0,0
X601898.SH,0.0101358777394473,0,0.258695858534366,0,0.214392802824561,0.042746143806393,0,0,0,0,0,0.043220980117958,0,0.0291102060559743,0,0,0,0,0,0,0.00859973714506744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611596381000157,0,0,0,0,0,0.154017939661736,0,0,0,0,0,0,0,0,-0.00930445978519449,0,0,0,0.0202059430803987,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0.207613012052671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272233461380379,0,0.0793815168435578,0,0.0511076217094881,0,0.0960117814613771,-0.0456668425573253,0,0,0,0,0,-0.0154017333907351,0.05301530976223,-0.113004436234305,0,0,0,0,0,0,0,0,0,0,-0.0131861316538112,0.0290722417708869,0,0,0,0,0
X600585.SH,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558298331994926,0,0.365040559641511,0.033740054251435,0,0,0,0.244318579043285,0,0,0.0334649100707115,0,0,0,0,0,0,0,-0.112859746938994,0,0,0,0,0,0,0,0,0,0,0,0.00297467421931205,-0.0129910550793554,0,0,0,0,0
X600547.SH,0,0.172247169879502,0,0,0.0510114733632382,0,0,0,-0.0570945047527768,0,0,-0.0884224701006093,0,0,0,-0.0518592201922781,0,0,0,0,0,0,0,0,0,0,0,0.453503582842036,0,0.0249646400558778,0,0,-0.0858500362995485,0,0,0,0,0,0.0334129583965161,0,0,0,0,0,0,0,0.0440374021578314,0,0,0.0428096702686933,-0.0145754234191521,0.00886582012208514,0,0,0,0,0.0148798350131537,0,0
X600660.SH,0.030872556419413,0,0,0,0,0.0772389736111344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244742464335218,0,0,-0.0509524080060885,0,0,-0.0534213759018316,0,0,0,0,0,0.172068905974303,0,0,0,0,0,0,0,0,0,0,0,0,-0.0601022211697586,0.000314429285777826,0.0103953251560633,0,0,0,0.062635827288578,0,0
X600886.SH,0,0.305339014096068,0,0,0,0,0,0.183055370236158,-0.138315839555589,0,0,0,0,0,0,0,0.142527775053895,0,0,0,0,0,0,0,0,0,0,0,0.163409780879236,0,0.0534731273763845,0.0902650537668274,0,0.0350895197540684,0,0,0,0,0,0,0,0,0,0,0,0,-0.221904272786912,0,0,0,0,-0.033727031239221,0.0561838501234832,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.170380634579499,0,0,0,0,0,0,0,0.0632517834791227,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112881120691661,0,0,0.0753276059869636,0,0,0,0.404002729746069,0,0,0,0,0,0,0.139807665518306,0,0.132016855346447,0,0,0,0,0,0,0,0,0.00364771923744257,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,-0.100559291040727,0,0.30476926922659,0,0,0,0,0.15629786508283,0.699412315431689,0,0,-1.73472347597681e-18,0,-0.0624111690400007,0.0703065196904402,0,0,0,0,0,0.076130022308731,-0.0569163232034839,0,0,-0.0107881982795064,0,0,0,0,0,0,0,0,0.0292070625344243,0,0,0,0,0,0,0,0,0.0102675844312235,0,0,-0.00527413485449646,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0393811652026185,0,0.086358890106479,0,0,0,0,0,0.315720224371574,0,0,0,0.142720300662831,0,0,0.0303674925767786,0,0,0,0,0.0397078519992282,0,0,0.0359720337070042,0.140972212233341,0,0.0179900780045209,0,0,0,0,0.109240726488626,0,0,0,0,0,0,0,0,0,0,0,0,0.0362189475154235,-0.109127979121013,0.00995780873381248,-0.0116987018811175,0,0,0,0,0,0
