,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600585.SH,X600660.SH,X600886.SH,X600547.SH,X002466.SZ,X601600.SH,X002460.SZ,X000792.SZ,X600795.SH,X000708.SZ,X601699.SH,X600010.SH,X000301.SZ,X600111.SH,X600362.SH,X000983.SZ,X600027.SH,X600803.SH,X000877.SZ,X600426.SH,X000786.SZ,X601991.SH,X600489.SH,X002271.SZ,X600985.SH,X600160.SH,X000408.SZ,X000630.SZ,X000807.SZ,X000933.SZ,X000932.SZ,X600612.SH,X600176.SH,X600348.SH,X600219.SH,X300037.SZ,X601168.SH,X002128.SZ,X600157.SH,X002353.SZ,X600688.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.513661901153685,0.104531871854252,0,0,0.170869166641106,-0.404131225918744,0,0,0,0,-0.268289251948824,0,0,0,0.10952046240779,0.120135630941128,0,0,0,0,0,0,0,0,0,0.0780099195676321,0,0,0,0,0,0,0,0,0,0,0,0,0.0290514197196016,0,0,0,0,0,0,0.142428445821708,0,0,0,-0.0163500748464694,0.00181090585570984,0,0,0,0,0,0
X601088.SH,0.0228118165641035,0,0.182093474186954,0,0.199614569252597,0,0.0929253100037176,0,0,0,0,0,-0.0137705740466357,0,-0.00309831388198641,0,0,0,0.115054528039451,0,0,-0.0426308108058881,0,0,0,-0.149172619073668,0,0,0,0,0,0,0.0336253364515638,0,0,0,0,0.0680140674624206,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0128727179398745,0.0113215095315713,0,0,0,0.0605033502559368,0,0
X600028.SH,0.614195267953096,0,0,0,0,0,0,0,0,0,0,0,0.0357031778411289,0,0,0,0,0.0830211812365855,-0.0497365378549721,0.00806685076354806,0,0,0,0,0.0832771961791626,-0.0173036688505735,0,0,0,0,0.0740006347230436,0.0447378458489017,0,-0.16917948951146,0,0,0,0,0.0750561496398889,0,0,-0.019914147521486,0,0.00448557705884123,0,0,0,0,0,0,0,-0.0115337692518744,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0156812111139948,0,0,0.18651718036915,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125291162237143,0,0.155255228897947,0,0,0,0,0,0.327403833890054,0,0,0,0.142376742376644,0,0,0,0,0,0.331119600293771,0,0.123692717491569,0,-0.163268658091949,0,0,0,-0.03861773185736,0.0295572557424923,0,0,0,-0.0529751062077357,0,0
X600188.SH,0,0,0,0,0,0.0486691551579648,0,0,0,0,0,0.0439687631470856,0,0,0,0,0,0,0.29204898414542,0,0,0,0,0,0,0,0,0,0,0,0.0713343729962749,0.0230416599542815,0.0601324846953147,0,0,0,0,0,0,0,0,0.209586301465245,0,-0.0336860407538378,0,0,0,0,0,0,0,1.6940658945086e-21,-0.00107680244698451,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.168561818866058,0,0,0,0,0,0,0,0,0,0,0,0.104664950308439,0,0.0414121548101134,0,0,0,0,0.214415677772978,0,0,0,0,0,0,0,0,0.0167341565288861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170877316874331,0,0,0.175683213549268,0.0149704588740727,0,0,0,0,0.0175495126199186,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0833014992745456,0,-0.0223802325841495,0,0,0,0,0,0,-0.0861983693534495,0,0,0,0,0.41650981590984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174835667672708,0,0,0,0,0,0,-0.0183220442871888,0,0,0,0.00990858104540334,-0.00555580125554888,-0.0228062241245853,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0354823683954018,0,0,0,0,0,0,0,0,-0.0113319064490236,0,0,0,0.0123657452549006,0,0,0,0,0,-0.144200194022664,0,0,0,0,0,0,0.237961095202637,0,-0.0630476496667117,0,0,0,0.288591659218915,0,0,0,0.0933122649375766,0,1.0842021724855e-19,0.00699494847499448,0,0.0669396811003099,0,0,0,0,0
X600585.SH,0,0,0,0.144870659153193,0,0,0,0,0,0,0,0,0,0,0.0527962949511555,0,0,0,0,0,0,0,0,0.0738634216578031,0,0,0.153489976534663,0,0.0701727334961496,0,-0.120050561283452,0.153125016122564,0,0,0,0,0,0.0676338333479365,0,0,0.0796831043093183,0,0,0,0,0,0,0,0,0,0,0,0.00529338521169173,-0.0113498586351449,0,0,0.00704960498848429,0,0
X600660.SH,0,0,0.0545467142655141,0,0,0,0,0,0,0,0.152465156505393,0.0303393186662124,-0.144220572128683,0,0,0,0.0108922587349101,0,0,0,0,0,0,0,0.165756268510443,0,0,0,-0.0144677005899049,0,0,0,-0.127369564204468,0.288879130942947,0,0,-0.0323142103059329,0,0,0,0,0,0,0.0734031603018939,0,0,0,0,0,0,0,0.0143616159101207,0,0,0,0,0.0891214669025781,0,0
X600886.SH,0.0102885286258732,0.108553446123847,0,0,0,0,0.0462195034919904,0,0,0,0,0,0,0,-0.0398976169266627,0,0.297545450131311,0,0,-0.151194546394307,0,0,0,0,0,0,0,0,-0.020960829611216,0,0,0,0.00744472321471819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011550902792243,-0.00348183015973597,0,0,0,0,0,0,0
X600547.SH,0.0660681781170125,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.0681089830997363,0,0,0,0,0,0,0,0,0,0.0174373532737961,0,0,0,0,0.0655813110743243,0,0.552338091446401,0,0,0,0,0,0.0176824822726553,0,0,0,0,0,0,0,0.0575403939039889,0,0,0,0,0,0,0,5.73005094994305e-05,0,0,0,0.00310022897469066,0,0
X002466.SZ,0,0,0,0.0295603826439264,0,0,0,0,0,0,0,0,0,0,0.754803116646164,0,0,0,-0.00754472346423592,0,0.350363377731746,0,0,0,0,-0.231030299606851,0,0,0,-0.0201114800020023,0.0895788286636962,0,0,0,0,0,0,0,0,0,0,0,0,0.0342704790901238,0,0,0,-0.025088758310336,0,0,0,0,-0.021781036293621,0,0,0,0,0,0
