,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X600886.SH,X601600.SH,X600547.SH,X000792.SZ,X600795.SH,X002466.SZ,X000708.SZ,X601699.SH,X600010.SH,X600111.SH,X002460.SZ,X000301.SZ,X600362.SH,X000983.SZ,X000877.SZ,X600027.SH,X600426.SH,X600803.SH,X600160.SH,X600489.SH,X000786.SZ,X601991.SH,X600985.SH,X000408.SZ,X000630.SZ,X002271.SZ,X000933.SZ,X000932.SZ,X600176.SH,X000807.SZ,X601168.SH,X600612.SH,X600348.SH,X002128.SZ,X300037.SZ,X600219.SH,X600096.SH,X000027.SZ,X600995.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.271017437481271,0,0.225618193189612,0,0,0,0,0,0,0,0.161690661670161,0,-0.41998424740025,0,0,0.136932691059625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103244334148837,0,0,0.211834092169897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0073403180441618,0.107696592699993,0.189546044991136,0,0,0,0
X601088.SH,0.0919398849006467,0,0,0,0.318571124925018,0.0614747564788529,0,0.0630156825072378,0,0,0,0,0,0,0,0,0,0.0329788700813038,0,0,0,0,0,0,-0.309706478297862,0,0,0,0,-0.112612883196946,0,0,-3.46944695195361e-18,0,0,0,0.155412603241681,0,0,0,0,0,0.00598381925162981,0,0,0,0,0,0,0,0,0.00221342511714934,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.0418883923326991,0,0,0,0,0,0,0.163197337382575,0,0,-0.016035505098012,0.0373200086326759,-0.0710447725420501,0,0,0,0,0,0,0,0.0113656726582749,0.0121384338811219,-0.0909852114007413,0,0,0,0,0,-0.084305393608455,0,0,0,0.478621766696776,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158598866090672,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171526962156686,0,0.284607919535866,0.176063928801928,0,0,0,0.0067735055092715,0,0.0514473545541872,0,0,0,0,0,0,0,0.200509973337146,0,0.136044765627072,0.0689750622100671,0,0,0,0,0,0,0,0,0,0,0,-0.0201771518774227,-9.24485777279663e-05,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.0311293375138656,0,0,0,0,0,0,0.177330406276907,0,0,0,0,0.137877516487074,0,0,-0.00173044707833965,0,0.0176098386098168,0.331493356183245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492935173605855,0,0.157763599936213,0,0,0,0,0,0,0,0,0,-0.00937491671716876,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.479275917621017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152357879861184,0,0,0,0,0,0,0.184491305404069,0,0,-0.0246020589869266,0,0,0,0,0,0,0,0,0.188859066451977,0,0,0,-0.113714190305894,0,0,0,0.0583903126190757,0.00357105483029022,-0.0264288533820566,0.12525615936145,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0522897554989392,0,0.141155694517562,0,0,0.0262293209539598,0,0,0,0,0,0.0823366011866859,0.0115321182391597,0,0,0.0500354534676534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112894587233254,0,0.177222817313043,0,0,0.106149938256734,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.00446119375734089,0,0,-0.0829226076884109,0,0,0,0
X600011.SH,0.122588346830729,0,0,0,0,0.111682248019276,0,0,0,0,0,0,0,0,0.0840775336056646,0,0,0,0,0,0,0,0,0,-0.0628006576428305,0.312968874887624,0,0,0,0,0,0.190735154194258,-0.0292149739723333,0,0,0,0,0,-0.069456824656449,0,0,0,0,0,0,0,0,0,0.0837842786549025,0,0.029748936054098,0,-0.00100344302002772,0.0112015768515454,0,0,0,0,0
X600585.SH,0.1953013267774,0,0,0.114697359061366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156232876842066,0,0,0,0,0,0,0,0,-0.0365823354509284,0,-0.0360768702768386,0,0,0,0.0333563886146501,0.018532974832549,0,0.0897590984083755,0,0,0,0,0,0,0,0,0,0,0,0,0.0125269350647487,0.00254937671478779,0,0,0,0.00170841562545011,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00089816681725701,0,0.14192996578323,0,0,0,0,0,0.0294956771432381,-0.208782462195946,0,0,0,0,0,0,0,0,0.0613236131273888,0,0,0,0.0549664242409457,0,0,0.027625843063426,0,0.290573500867188,0.00932339657751974,0,0,0,0
