,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X600426.SH,X601991.SH,X600160.SH,X000301.SZ,X000983.SZ,X601699.SH,X002466.SZ,X000786.SZ,X600219.SH,X000807.SZ,X002128.SZ,X000630.SZ,X600176.SH,X000933.SZ,X601168.SH,X600985.SH,X000877.SZ,X600096.SH,X000408.SZ,X000883.SZ,X002353.SZ,X000027.SZ,X002271.SZ,X002409.SZ,X000932.SZ,X600299.SH,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.323756906888549,0,0,0,0.0275684489263937,0,0.0131402901533143,0,0,0,0,0,0,0,0.186784831248595,0,0,0,0,0,-0.024113602936626,0,0,-0.110383085952834,0,0.133984627492345,0,0,0,0,0,0,0,0,0,0.189200237539337,0,0,-0.0595146770189401,0,0,0,0,-0.0733437455179387,0,0,0,0,0,-0.0119610367942698,0,0,0,0,-0.070632958813105,0,0
X601088.SH,0.176667506206636,0,0.164634283195802,0,0,0,0.119658703320173,0,0,0,0.0529802366886948,0.0181959602341849,0.0794595517072128,0,0,0,0,0,0,0,0,0,0,0,0,0.032478824384558,0,0,0.210964546177675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729986324006511,0,-0.0835569247386644,0.0992051079520101,0,0,0,0,0,0.0753885504459689,0.0834664240353557,0,0,0.0301209848427906,0,0
X600028.SH,0.504668760347823,0.174575658016315,0,0,-3.46944695195361e-18,0.0418505958684257,0,0,0,0,0,0,0,0,0,-0.0241366392720271,0,0,0,0,0,0,-0.054153436465264,0,0,-0.0123914955744452,0,0,0,-0.056219883836234,-0.0694831794439489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186550563847069,0.038859614998631,0,0,0,0,-0.0234310584531392,0,0,0,0.0738637633169424,0,0
X600309.SH,-0.129574377570794,0,0,0,0,0,-0.0292216287272664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375164509388523,0,0.0532995229213847,0,0,0,0,0,0,0,0,0,0.0376370600164198,0,0,0,0,0,0,0,0,0,-0.0144852317552178,0,0.211539755122743,0,0,0.0429457410796949,0.0120859845753971,0,0,-0.0351413917928683,0,0,0,0.00837597653537157,0,0
X601898.SH,0,0.0285547251217419,0.133263030616512,0,0,0,0.181774358079511,0,0,0,0,0,0,0,0,0,0,0,0,0.141664485134978,0.0769268336980422,0,0,0,0,0,0,0,0.231274520430592,0,0,0,0,3.46944695195361e-18,0,-0.0490740649712167,0,0,0.167524272085297,0,0,2.16840434497101e-19,0,0,0,-0.00172209339060773,0,0,0,0,0,0.00882726588005038,0,0,0,0,0.00872647754247117,0,0
X600019.SH,0,0,0,0,0.201503438876782,0,0,-0.0433946062485318,0,0,0,0,0,0,0,0,0,0,0,0,0.177352629721006,0,0,0,0,0.0886746927081833,0,0,0,-0.0153478701214111,0,0,0,0.029493931787086,0,0,0,0.0322140096906683,0.00144132054607787,0,0,0,0,0,0,0,0,0.333844347908381,0,0,0,0.0469767877584701,0,0,0,0,0.0575020675403048,0,0
X600188.SH,0,0.225561633382319,0,0,0.072804307381585,0,0,0,0,0,0,0,0.0632521752946936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729101410254898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.191605824785151,0,0,0,0,0,-0.0614290983257302,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50062073871297,0.34918826963965,0,0,0,0,0,0.0270750284014107,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.00127104565582594,0,0.0197006562365254,0.00418209022943067,0,0,0,0,0,0,0,-0.0108145840046337,0,0,-0.181885813736914,0,0.204577195540352,-0.0159645415572642,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0.146260746619877,0,0,-0.0233316036363438,0.246195339630757,0,0,0,0,0,0,0.0793735088446218,0,0,0,0,-0.0687519628159433,0,0,0,0,-0.143654462370749,0,0,0,0,0,-0.0296027514458239,0,0,0.143223368900216,0,0,0,0,0,0,0,0,0,0,-0.148178710622728,0,0,0.0933055385411909,0,0,0,0,0
X600011.SH,0.0240494265654975,0,0,0,0,0,0,0,0,0,0,0,0,0.136686663863897,0,0,0,0,0,0,0.191402410157355,0,0,0,0.378109533469593,-0.0313641823255076,0,0,-0.170544761062552,0,-0.036637890143895,0,0,0.104722974587591,0,0,0.0425486647771126,0,0,-0.0222574818994014,0,0,0.0831891819450135,0,0,0,0,0,0,0,0,0.0385415052682594,0,0,0,0,-0.0811762162350796,0,0
