,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600188.SH,X600019.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X600660.SH,X601600.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X002460.SZ,X600803.SH,X601991.SH,X000301.SZ,X600160.SH,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X000786.SZ,X600219.SH,X000807.SZ,X600985.SH,X000630.SZ,X002128.SZ,X000877.SZ,X601168.SH,X000933.SZ,X600096.SH,X000408.SZ,X000883.SZ,X000932.SZ,X600378.SH,X000027.SZ,X002271.SZ,X002353.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.73929974239733,0,0,0,0.0862152606146912,0,0,0.0939944606223217,0,0,0,0.0675209023911579,0,0,0.10971919929793,0.10260962114474,0,0,0,0.0109471887827696,-0.0946587163498731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606418300037907,0,0,0.0269744042609606,0,0,0,0,-0.0394828998036813,0.0325367386197517,0,0,-0.01157528249085,0,-0.0338942086446802,0.0252326449809585,0,0,-0.06038779101317,0,0
X600028.SH,0.373225292778839,0,0.13314986593754,0.0239540715125931,0.00847939959596208,0,0.0918893886759709,0,0,0,0,0,0.101084360233628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00733948999819865,0,0,0,0,2.16840434497101e-19,0,0,0.0609628421015003,0,0,0,0,0,0,0,0,0.00874788792722051,0,0,0,0,-0.00380520822661623,0,0
X601088.SH,0,0.291996497595268,0,0,0,0.127598312086166,0,0,0,0.071123518087468,0,0,0.258329574866349,0,0,0,0,0,0,0,-0.016020388313101,0,0,0,0,0,-0.0899564691020463,0,0,0,0,0,-0.119055659524815,0,0,0,0,0,0,0,0,-0.0195824585829626,0,0,0,0,-0.0547451531849251,0.021714889049647,0,0,0,0,0.0476531640271323,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0114893417198504,0,0,0,0,0,0,0,0,0,0.0437315862116079,0,0,0,0,0.135618333019205,0,0,0,0,0,0,0,-0.0334152634884972,0,0.123082138373093,0.0556616996455914,0,0,0,0,0,0,0,0,0.22031646628242,-0.0305369928065055,0,0,0,0.14936694972838,-0.220817596065059,0,0,0,-0.0336441817349867,0,0
X601898.SH,0.0637259407639729,0.177093523398429,0,0,0,0.0812505015220727,0,0,0.0514546864124724,0,0,0,0.161483548855724,0,0,0,0,0,0,0,0.0637027296697939,0,0,0,0,0,0,0,0,0.221604727753309,0,0,0,0,0.0315773102084855,0,0,0,0.0228830992047752,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0425452407007267,0,0,0,0,-0.011059441834109,0,0
X600188.SH,0,0,0.160454748706088,0,0.0670169752751576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0704025829818326,0,0,0,0,0,0,0,0.0696729706274082,0.55910252601063,0,0,0,-0.00761839688389385,0.400287457559736,0,0,0,0,0,-0.0536010131854539,0,0,0,0,0,-0.0911526983975129,-0.134695050589667,0,0,0,0,0,0,0,0,0.0232365858754023,0,0
X600019.SH,0,0,0,0,0.286354454964743,0,0,0,0,0,0.225084832267162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796004669284689,-0.269575053245823,0,0.225161220048954,0,0,0,0,0.140127594622946,0,-0.0471544070851879,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,-0.0257932846975109,0,0,0,0,0,0.620914516430478,0.176432812964589,0,0,0,0,0.0834880119258662,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0704770751427424,0,0,0,0,0,0,0,-0.04426431411901,0,0,-0.272669089649599,0.180851328127043,-0.0256014622526099,0,0,0,0,0.0305040088695703,0,0
X600886.SH,0.23061864064979,0,0,0,0,0,0,0,0,0,0,0,-0.0240833938707644,0.126152392850803,0,0.0664603170188867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.280542648932468,-0.0011616665135282,0,0.224977811728916,0,0,0,0,0,-0.0467384974301364,0,-0.212990641903779,0,0,0,0,0,0,0,0,-0.151724757986708,-0.00518480085229605,0,0.116660835992579,0,0,-0.00919489168519266,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308171442291388,0.00651906923679046,0,0,-0.0701025084255605,0,-0.0149673427849523,0,0,0,0,-0.0432203853429454,0,0.134135991639321,0,0,0.00430022870653246,0,0,0,0,0,0,0,0,0,0.105803369812646,0,0,0,-0.0767538689756687,0,0.079479374801298,0,0,0,0,0,-0.0120684633356888,0,0,0,0,0,0
X600011.SH,0,0.016335087106651,0,0,0,0,0,0,0,0,0,0,0,0.15231485383818,0,0,0,0,0,0,0.144616420154857,0,0,0.364533021341869,0,-0.0139669270165862,0,0,0,-0.0661849281978432,0,-0.0779119391424752,0,0,0,0,0,0,0,0.0713049946869426,-0.014409679308064,0,0.0707108596179454,0,-0.0200542852274751,0,0,0,0,0,0,0.0588923589961224,0,0,0,0,-0.0840826202709262,0,0
X600660.SH,0,0,0,0,0,0,-0.170718342520084,0,0,0,0,0,0,0,0,-0.0610383179503966,0,0,0,0,0,0,0,0,0,0,0.0588437850000316,0,0,0,0.193619920686657,0.223623585268758,0,0,0,0,0,-0.0638671872600291,-0.0519334059476675,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.0279896957681375,-0.00809980459836772,-0.266853320655946,0,0,-0.0426195517615788,0,0
X601600.SH,0.289049245616366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31577584066323,0,0,0,0,0.15106093416033,0.245556455736951,0,0,0.17742511638751,0.100268479411725,0.00481816163112836,0,0,0.171806640862964,0,0,0,0,0.119114766991661,0,0,0,-0.00228113261224875,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0520885233069961,0,0.127547460633996,0,0,0,0,0,0,0,0,0,0.24619057122075,0,0,0,-0.0321151300672324,0,0,-0.0845032210846181,0,0,0,-0.12049376223283,0,0,0,0,0,0,0,0,-0.0337692040254336,0,0.272716902036179,0,0,0,-0.0208130981538458,0,0,0,-4.33680868994202e-19,0,0.00582907023858419,0,0,0,-0.0143759236151921,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.0328763650788789,0,0.00898364780558161,0,0,0,0.131207447771554,0,0,0,0,0,0.259662013643132,0.032907591605732,0,0.168915657236427,0,0,0,0,0,0,0,0,0,0,0,0.0373630939683526,0,0,0,0,0,0,0,-0.0542659951310184,0,0.0260876993381605,0,0,0,-0.0167714600359852,0,-0.0235414463244772,0,0,0,-0.0063813845133563,0,0
X600489.SH,0.254937700325661,0,0,0,0,-0.0429525425718214,0,0.675942211868167,0.063919677731098,0,0,-0.227152348337441,0,0,0,0,0,0.255079075024307,0,0,0,-0.00249132698462073,0,0.0345408072388138,0,0,0,0,0,0,0.0520296612098808,0,0,0,0,0.103996440106734,0,0,0.00604777399029594,0,0,0.0125481897766431,0,-0.267020634746304,-0.10124938645031,0,0,0,0,0,0,0,0,0,0,0,-0.0601935925916277,0,0
X600362.SH,0,0,0,0,0,0,0,0.0541158490491612,0,0,0,0,0,0,0,0,0,0,0,0,0.0440767281590708,0.0180625206669033,0,0.00870085634465939,0,0,0,0,0,0,0,0,0,0,0.0694887377995481,0.499223939176915,0.00899721176034749,0,0.238176344276293,0,0,0,0,0,0.059591924221157,0,0,-0.000750565467249467,0,0,0,0,0,-0.0059234078868546,0,0,0,0,0
X600010.SH,0,0,-0.149631810014438,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0965916402260423,0,0,0,0,0,0.107964282574271,0,0,0,-0.14890000007197,0,0,0,0,0,0,0,0,0,0,0,0,0.00630314113369877,0,0.145154454106014,0,0,-0.0403629031411783,0,0.0157556374636217,0.203702646668248,0,0,0.00184708961005177,0,0,0,0,-0.0418014617974877,0,0,0,0,0.0123433089378399,0,0
X600111.SH,0,0,0,-0.175568997511712,0,0,0,0.0582796112913787,0,0,0,0,0,0,0,0,0.065565394060622,0.10441571971426,0,0.0210506923192557,0,0.27676819569597,0,0,0,0,0,0,0,0,0.0997925034261532,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.154022360780423,0,0.0563081675630991,0.109425020354714,0,0,0,0.154337549237043,0,0,3.46944695195361e-18,0,-0.0401095071234384,0,0,0.00316252804161332,0,0
X000708.SZ,-0.0808744958225595,0,0,0,0,0.0179222044377737,0,0.00390327886691879,0,0,0,0,2.71050543121376e-20,0,0,0,0,0.18200289490874,0,0,0,0,0,0,0,0.0584690394705547,0,0,0,0,0,0,0,0,0,0.120142402885048,0,0,0,0.0225500713134157,0.180033684865709,0,0,0.0711778694859092,0.00347443560347947,0,0.0114357171955151,0.108026378161447,0,0,0,-0.0130537029434306,0,0,0,0,0.0444890291101695,0,0
X600027.SH,0,0,0,0,0,0,0,-0.114162255700943,0,0,0.929791970670103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103118517001567,0,0.101859897270883,0,0.00850372443144256,0,0,0,0,0,0,0.223760832168422,0,0,0,0,0,0,0,0,0,0,0,0,0.117885637267706,0,0.0152512717961738,0,0,-0.0247191292198249,0,0
X002460.SZ,0,0,0,0,0,0.0192911495660316,0,0,-0.04740603096732,0,0,0.028378278260678,0,0,0.0604974938835246,0,0,0,0,0.0237399760302485,0,0,0,0,0,0,0,0.841000136963517,0,0,0,0,0,0,0,0,0,0,0,0.0504778585567907,0.0123106916717537,0,0,0,0,0,0.0507357881905433,0.0323651536762121,0,0,0,-0.048523060778897,0,0,0,0,0.0120140091146724,0,0
X600803.SH,0,0,0.0774707865863504,0.0669211494906829,0,0,0,0,0,0.0443708952478677,0.0254559601451943,0,0.0507494110568921,0,0,0,0,0,0,0,0.063279680936006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137218287707274,0,0.0157980383171251,0,0,-0.0284305561647304,0,0,0,0,0,0,0,0.0414026495728347,0,0,0,-0.0496869121411328,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.106730219906677,0,0.100869695933616,0,0.0843120939883124,0,0,0.073856202936998,0,0,0,0,0.174699322752532,0.118425078619881,0,0,-0.0840455014717205,0,0,0,0,0,0,0,0,0,0,0,0,0.142447536757075,0,-0.0797926457239057,0,0,0.13783760740876,0,0,0,-0.0764484883314683,0,0.259009220993902,0,0,0.0473236319296454,0,0,0,0,0,0,0
X000301.SZ,0,0,-0.0391840058617331,0,0,0,0,0,-0.0422422198670342,0,0,0,0,0,0,0,0,0,0,0,0,0.00497971345022857,0,0,0,0,0,0.251416193587587,0,0,0.111102353721766,0,0,0.0478932950327221,0.0881409388212731,0,0,0.140112867742047,0,0,0,-0.0826519827376742,0,0.0939565705390172,0,0,0,0.0577294276837228,0,0,0,0,0,0,0,0,0.00216207085309347,0,0
X600160.SH,0,-0.206953636053157,0,0,-0.249133685116313,0,0,-0.00318773570391719,0,0.162598085152384,0,0.0603318276681452,0,0,0.0750605093500985,-0.405256700052043,0,0,0,0.173181849978981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34258747757434,0,0,0.389314522722567,0,0.164915609147759,0,-0.17893941347082,0.057490513845739,0,0.0517867189869709,0.151411009588048,0,0,0,-0.0919356615830032,0.178409025367266,-0.012962669719721,0,0,-0.104672081745929,0,0
X600426.SH,0,0,0,0.349624871056278,0,0,0,0,0,0,0,0.0309298389807655,0,0,0.0546958330787656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165497120707848,0.00208559055375988,0,0,0,0,0,0,0.0554991382785748,0,0.197672885811677,0,0,0,0,0,0,0,0,0,0,-0.035270127824085,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00831006231672167,0.0342103769342218,0,0,0,0,0,0,0.769317432846884,0,0,0,-0.0067149029563512,0,0,0,0,0,0,0,0,0.0413872023542236,0,0,0,0,0,0,-0.0520590234608189,0,0,0.0866761876925413,0,0.0467591963611062,0,0,0,0,-0.0156448939356054,-0.00930805528565519,0,0,0,-0.00555628853330686,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015580457635368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993221525396842,0,0,0,0,0.308313378587269,0.0460234121018657,0.150667025172579,0,0,0.0138236035464285,0,0.011981854034214,0,0.0718743696703319,-0.0499615292275318,0,0,0,0,0,0,-0.0423640512002358,0,0,0,0,0,0,0
X601699.SH,0,0,0,0,0.110276282288192,0.106754470091069,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0448441915853698,0,0,0,0,0,0,0.1602275881159,0,0,0,0,0,0.347113924360187,0,0,0,0,0.110424185056081,0,0,0,0,0,0,0,0,-0.103658780822371,0,0,0,-0.0799673612083391,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00911706108930263,0,-0.38414225497654,0,0.0597958548851526,0.348182407864129,0.301226021292739,0,0,0,0,0,0,0.0356289748917769,0,0,0,-0.00454958924899797,0,0.0618960291186829,0,0,0,-0.117371751266819,0,0.113108549510198,0,0,0,-0.201380590581458,0,0.0422533413683176,0,0,0,0.0226350524718986,0,0
X000786.SZ,0,0,0,0,0,0,0,-0.0902787447834129,0,0,0,0.288020946916912,0,0,0,-0.0332007060652485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290205608526573,0,0,0,0,-0.111429144959853,0,0,3.46944695195361e-18,0,0,0.150928962407983,0,0,0.0837052296438065,0,0.0551692187753055,0,0,0,0,-0.0515888735119388,-0.0266248756740881,-0.125655911280133,0,0,-0.0378286216407155,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446686252446912,0.013848274579308,0,0,0,0,0,-1.0842021724855e-19,0.0884427767464903,0,0.0848279427663948,0,0,0,0,0,0,0,0,0.0578490942006341,0,0,0,0,0.501457630733952,0,0,0,0,0.0417021171916275,-0.0466610217374735,0,0.10213852017289,0,0,0,0,0,0.00510244526453052,0,0,0,-0.0133323595453057,0,0
X000807.SZ,0,0,0,0,0,0,0,0.0115819251936899,0,0,0,0,0,0,0,0,0.565760356656308,0,0,0,0.233898167880788,0,0,0,0,0.0966959217418124,0,0,0,0,0,-0.0362520363057818,0,0,0,0.0532786398952199,0,0.0967754703034631,0.0154029629085072,0.126728632302689,0,0,0,0,0,0,0,0.0212859424901215,0,0,0,0,0.10249958940999,0,0,0,0,0,0
X600985.SH,0,0,0,0,0,0.224208477567566,0,-0.0196131901785963,0,0,0,0,0.0597748292186487,0,0,0,0,0,0,0,0.106613343884521,0,0,0,0,0,0,0,0,0.299386014477734,0.0987858716475218,0,0,0,0,0,0,0,0,0,0,0,0,0.118552806801221,0.0691276621295457,0,0,0,0,0.0492764152784815,0,0,0,0,0,0,0.0148313184726278,0,0
X000630.SZ,0,0,0,0,0,0,0,0.135480615724682,0,0,0,0,0,0,0,0.0239839875715584,0.130177592002017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102259201813901,0.023492003005145,0,0,0,0,0.259942532565444,0.143761420491117,0,0,0.0457363278885718,0,0,0,0.0587504664259035,0.0365632351150334,0,0,0,0,0,0,0,0,0,0,0
