,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X600010.SH,X000792.SZ,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000708.SZ,X600803.SH,X000301.SZ,X600489.SH,X600160.SH,X600027.SH,X002466.SZ,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X600219.SH,X002128.SZ,X601699.SH,X000877.SZ,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X000933.SZ,X601168.SH,X600985.SH,X002353.SZ,X600352.SH,X600995.SH,X000883.SZ,X600688.SH,X600378.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0598528738605334,0,0,0,0.101703177568628,0,0,0,0,0,0,0.0654645521009097,0,0,0,0,0,0,0.347604355825416,8.67361737988404e-19,0.249568837982429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322570854133721,0,0,0,0,0,0,0,-0.0228457932795351,0,0,0,0,-0.0157200267943107,0,0
X601088.SH,0,0,0,0,0.587287368497105,0,0,0,0,0,0.0963857689773796,0,0,0,0,0,-0.115412390950498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141195270439903,0,0,0,0,0,0,0,0,0,0.0674672246850239,0,0,0,0,0,0,0,-0.0187661160863515,0,-0.0106334246942182,0,0,-0.0132344497559024,0,0
X600028.SH,0.0631952926274427,0,0,0,0,0,0,0,0,0,0,0,0,0.0594164981555877,0,0,0,0,0,0,0,0,0,0,0.026018436182424,0,0.00718919221844733,0,0,0,0,0,0,0,0,0,0,-0.0368038596006733,0,0,0,0,0.379074349136585,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0474389966103517,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104546504893563,0.0976063551539677,0,0.0796211291106927,0.0735190369324556,0.084356136106145,0,0,0,0,0,0,0,0,0,0.0219981659961352,0,0,0,0.0592650810052238,0.278650913687393,0,0,0,0,0,0,0,0,0.0375880512780133,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.45414236246738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163135531203009,0.0934101106588031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793398097700699,0,0,0,0,0,0,0,0,0,0,0,0,0.0381360519409699,0,0,0,0,-0.00776857015094368,0,0
X600660.SH,0,0,0,0,0,0,-0.0335806833133834,0,0,0,0,0,0,0,0,0,0.0623015862046458,0,0,0,0,0,0.115210067513792,0.286249915521048,-0.0899079941117355,0,0,0,0,-0.0680305672640496,0,-0.0590332369951582,0,-0.0592497439931664,0,0,0,0,4.33680868994202e-19,0,-0.0866400699376957,0,0,0.141848941397181,-0.0981688554264308,0,0,0,0,0,0,-0.0515065004919735,0,0,0,0,-0.014911740481458,0,0
X600019.SH,0.253988795941168,0,0,0,0,0,0,0,0,0.20576308979795,0,0,0,0,0,0,0,0,0,0,0.105089404249591,0.0409521065190488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606613031929491,0.0559122589193789,0,0.109226475691883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00720468277378977,0,0
X600188.SH,0,0,0,0.287535083590976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.00951222958371451,0.163194398584654,0.0101935215769121,0,0,0,0,-2.77555756156289e-17,0,0,0,0.2528835765721,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0662542483287871,0,0,0,0,0.124149575242996,0,0,-0.0559936816474514,0,0
X600585.SH,0,0,0,0,0.362165606053273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156226078663283,0,0,0.197272702566246,0,0.0902190575154453,0,0,0.143449293543801,0,0,0,0,0,0,0.275370173072572,0,0,0.0246363808786525,0.153790087644766,-0.0179923194929291,0,0,0,0,0,0,0,0,0,0,0.0438116562250018,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.0872721583983768,0.333398141002819,0,0,0,0,0,0,-0.0687963047499048,0,0,-0.166515045814561,0,1.28218198435433,0,0,0,0,0,0,0,0,0.240505416834863,-3.46944695195361e-18,0,0,0,0,0,0.0370650751165366,-0.245832726174011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00313444656742423,0,0,0,0,-0.0273886500939823,0,0
X600886.SH,0,0.0173059220703816,0,0,0,0,0,0,0,0,0,0,0,-0.225516607879124,0,0.512607443382262,0,0,0,0,0,0.0461183484648046,0,0,0,-0.00895012657953037,0,0,0,0,0,0,0,0,0.054881710859209,-0.029334568718714,0,-0.0789550305825168,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0164123101584484,0.00308027214530635,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0867971667783598,0,0,0,0,0,0,0,-0.0170806546962433,0,0,0,0.0215145438801965,0,0,0.22608166449138,0,0.127436279166414,0,0,0,0,0,0,0,0.10908391559744,0,0,0,0.0632234152503071,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252665335176602,0,0.0345645524240965,0,0,-0.0310002015848661,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423756222368693,0.0267677968045575,0,0.123172378001284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00768271622433567,0,0
X600010.SH,0,0,0,0,0,0,0.18257422515478,0,0,0,0,0,0,0,0.102869550302455,0,0.193303343315003,0,0,0,0,0.062236144475536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229823053410054,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.116164561707724,0,-0.0417219394293719,0,-0.00184281765026724,0,0,0.0699280956381429,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.115413178907451,0.0866989780615042,0,0,0.151449271261849,0.231675190246786,0,0,0,0,0,0.0459999161769236,0,0.00949225408373561,0,0,0.0271751774555567,0,0,0,0,0,0,0,0,0.10114713623852,0.072367972349034,0,0.0865118722460781,0,0,0,0,0,0,0,0,0,0,-0.0045697773157207,0,0,0,0,-0.0156847475832425,0,0
X600795.SH,0,0,0,0,0,0,0,0.0094070200830652,0,0,0.430770760151692,0,0,0,0,0,0.0406444653174714,0,0,0,0.0307417450591845,0,0,-0.0266731237704029,0.340981842939929,0,0,0,0,0,0,-0.00734492747814623,0,0.0434612397405681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443663392246769,0,0,0,0,0.00366871678536386,0,0
